,skills,positions,about,degree
0,"['Stakeholder Management', 'SEPA', 'ITIL', 'Business Process Improvement', 'Banking', 'Change Management', 'SWIFT payments', 'Internet Banking', 'Financial Risk', 'Business Analysis', 'Requirements Analysis', 'Business Process', 'Retail Banking', 'Project Portfolio Management', 'Architecture', 'Business Requirements', 'MOP foundation', 'MSP Practitioner', 'MSP foundation', 'MOP Practitioner', 'Stakeholder Management', 'SEPA', 'ITIL', 'Business Process Improvement', 'Banking', 'Change Management', 'SWIFT payments', 'Internet Banking', 'Financial Risk', 'Business Analysis', 'Requirements Analysis', 'Business Process', 'Retail Banking', 'Project Portfolio Management', 'Architecture', 'Business Requirements', 'MSP Practitioner', 'MSP foundation', 'Data Migration', 'IT Service Management', 'Strategy', 'Management', 'Portals']","['Duo+', 'Royal Bank of Scotland', 'Project Manager / Release Manager', 'Project Manager', 'Programmer (Cobol-Java),  engineer, system design, technical project leader']","An ambitious project manger with thorough development knowledge (I followed the traditional IT-career path: programmer – designer – analyst – team leader).  An open, results-oriented and experienced project manager (PMP/Prince2) with a strong desire to do a great job on behalf of the customers and internal technology teams. Very good technical background on software development delivered through various platforms, with a proven track record for delivering projects in these areas.  I am a dedicated person, once a goal is set I will go for it. I am a frequent cyclist and in 2015 I cycled the whole ‘Tour the France’ one day ahead for charity.An ambitious project manger with thorough development knowledge (I followed the traditional IT-career path: programmer – designer – analyst – team leader).  An open, results-oriented and experienced project manager (PMP/Prince2) with a strong desire to do a great job on behalf of the customers and internal technology teams. Very good technical background on software development delivered through various platforms, with a proven track record for delivering projects in these areas.  I am a dedicated person, once a goal is set I will go for it. I am a frequent cyclist and in 2015 I cycled the whole ‘Tour the France’ one day ahead for charity. 

 
              ","['1990 - 1991', 'Economics']"
1,"['Opportunity execution', 'Strategy Execution', 'Global account management', 'Solution Selling', 'Conflict Resolution', 'Channel Sales', 'Cross-functional Collaborations', 'Team Management', 'Cross-functional Team Leadership', 'Business Development', 'Lean Manufacturing', 'Marketing Strategy', 'Account Management', 'Pre-sales', 'Manufacturing', 'Project Management', 'Total Productive Maintenance (TPM)', 'Total Quality Management (TQM)', 'Kaizen', 'Microsoft Office', 'Strategy Execution', 'Global account management', 'Solution Selling', 'Channel Sales', 'Cross-functional Collaborations', 'Cross-functional Team Leadership', 'Business Development', 'Lean Manufacturing', 'Marketing Strategy', 'Account Management', 'Pre-sales', 'Manufacturing', 'Project Management', 'Total Productive Maintenance (TPM)', 'Total Quality Management (TQM)', 'Kaizen', 'Visual Management Systems', 'Microsoft Office', 'Microsoft Power BI', 'Conflict Resolution', 'Team Management', 'Negotiation']","['Wesco Anixter', 'Sales Engineering', 'UCAL Fuel Systems Ltd', 'Operations Management (Production Engineer - GAT)']","A techno-commercial specialist with a Master's degree in International Strategic Business from Toulouse Business School, Paris, and with an Executive General Management education from the Indian Institute of Management, Bangalore. Currently assisting companies to build, connect, power, and protect valuable assets and critical infrastructures.A techno-commercial specialist with a Master's degree in International Strategic Business from Toulouse Business School, Paris, and with an Executive General Management education from the Indian Institute of Management, Bangalore. 

Currently assisting companies to build, connect, power, and protect valuable assets and critical infrastructures.","[""Master's degree, International Strategic Business"", 'Executive Education, General Management ']"
2,"['Research', 'Urban Regeneration', 'Urban Restructuring', 'Gentrification', 'Social Housing', 'Social Capital', 'Empowerment', 'Social mobility', 'Mobile Social Networking', 'Community Development', 'Community Building', 'Public Space', 'Urban Planning', 'Geography', 'Policy', 'Social Mobility', 'Urban Studies', 'Sociology', 'Residential mobility', 'Urban', 'Research', 'Urban Regeneration', 'Social Housing', 'Social Capital', 'Mobile Social Networking', 'Community Development', 'Community Building', 'Urban Planning', 'Geography', 'Policy', 'Urban Studies', 'Sociology', 'Urban', 'Teaching', 'Project Management', 'Social Media', 'Mobile Technology', 'ICT Governance', 'Sustainability', 'Sustainable Development', 'English', 'Dutch', 'Public Space']","['Delft University of Technology', 'Lid Programmagroep Kenniswerkplaats Leefbare Wijken', 'Assistant Professor of Human Geography', 'Research Fellow', 'Junior adviser']","My research interests are urban regeneration, self-organisation, community entrepreneurship, online/offline citizen engagement, digital participatory planning, tactical urbanism, placemaking and democratic innovation. I am part of the NWA (Nationale WetenschapsAgenda) project ‘Dilemma’s of doing Diversity’ (DIDI), (lead: Marlou Schrover), focussing on 'doing' diversity in housing and community-based initiatives. I am the TU Delft co-ordinator of the LDE Centre 'Governance of Migration and Diversity' and chair of the TU Delft Special Interest Group 'Community Engagement in Design & Engineering Education', hosted by the Teaching Academy. I like to conduct my research and teaching on the borders of urban geography, sociology, planning, entrepreneurship studies and public administration. My personal website: www.reinoutkleinhans.comMy research interests are urban regeneration, self-organisation, community entrepreneurship, online/offline citizen engagement, digital participatory planning, tactical urbanism, placemaking and democratic innovation. I am part of the NWA (Nationale WetenschapsAgenda) project ‘Dilemma’s of doing Diversity’ (DIDI), (lead: Marlou Schrover), focussing on 'doing' diversity in housing and community-based initiatives. I am the TU Delft co-ordinator of the LDE Centre 'Governance of Migration and Diversity' and chair of the TU Delft Special Interest Group 'Community Engagement in Design & Engineering Education', hosted by the Teaching Academy. I like to conduct my research and teaching on the borders of urban geography, sociology, planning, entrepreneurship studies and public administration. My personal website: www.reinoutkleinhans.com","['Master of Science (MSc), Human Geography and Urban Planning', 'Gymnasium']"
3,"['Business Analysis', 'Requirements Analysis', 'Management', 'Software Project Management', 'Project Management', 'Integration', 'Program Management', 'Change Management', 'SDLC', 'ERP', 'TMS', 'Agile Project Management', 'Supply Chain Consulting', 'WMS Implementations', 'Vendor Management', 'Consulting', 'Requirements Gathering', 'Business Analysis', 'Requirements Analysis', 'Software Project Management', 'Project Management', 'Integration', 'Program Management', 'Change Management', 'SDLC', 'ERP', 'TMS', 'Agile Project Management', 'Supply Chain Consulting', 'WMS Implementations', 'Vendor Management', 'Consulting', 'Requirements Gathering', 'Management']","['Information Technology Project Manager', 'Business consultant ', 'Senior Project Manager', 'project manager', 'Project Manager']","I am an experienced supply chain consultant and project and interim manager.I am a typical “self-starter” with a considerable international experience. I feel at home in large, complex and multi discipline environments. I am used to manage vendors and other third parties in my projects or interim management position. I can put (almost) failed projects back on track. Customers appreciate my customer focus, analytical skills, pragmatic approach and immunity to stress. I have the diplomatic and creative skills to help people overcome their resistance to change and parties to reach consensus. I am a team player who also like to coach. I am able to quickly familiarize myself to new situations and lines of business.My ambition is to further develop myself by using my experience to help customers in realizing successful projects.I am an experienced supply chain consultant and project and interim manager.

I am a typical “self-starter” with a considerable international experience. I feel at home in large, complex and multi discipline environments. I am used to manage vendors and other third parties in my projects or interim management position. I can put (almost) failed projects back on track. 

Customers appreciate my customer focus, analytical skills, pragmatic approach and immunity to stress. I have the diplomatic and creative skills to help people overcome their resistance to change and parties to reach consensus. I am a team player who also like to coach. I am able to quickly familiarize myself to new situations and lines of business.

My ambition is to further develop myself by using my experience to help customers in realizing successful projects.

 
              ","['1965 - 1970', 'Supply Chain Management']"
4,"['Microsoft Office', 'Public Speaking', 'Project Management', 'Graphic Design', 'Literature', 'Research', 'Microsoft Excel', 'PowerPoint', 'Adobe Photoshop', 'InDesign', 'IBM SPSS', 'Customer Service', 'Negotiation', 'Communication', 'Teaching English as a Second Language', 'Statistical Analysis', 'Linear Regression', 'Logistic Regression', 'SPSS syntax', 'English', 'Project Management', 'Graphic Design', 'Literature', 'Research', 'Customer Service', 'Teaching English as a Second Language', 'Statistical Analysis', 'Linear Regression', 'Logistic Regression', 'Microsoft Office', 'Microsoft Excel', 'PowerPoint', 'Adobe Photoshop', 'InDesign', 'IBM SPSS', 'Public Speaking', 'Negotiation', 'Communication', 'English']","['Junior Research Analyst', 'Director of Student Engagement', 'Radboud University', 'Online Teaching Support', 'English Teacher']","Curious and diplomatic, I have collaborated on various projects concerning social issues such as diversity and gender equality, sustainable development, cybersecurity, and free speech. My experience working with diverse international colleagues helped me adapt to various professional and organizational environments. During my bachelor's program in International Relations, I focused on networking by collaborating in various ASEAN and Indonesian student initiatives in Japan. During my research master's program in Political Science, I focused on research and worked on two research projects: a multidisciplinary research internship and a research project on descriptive representation through Ken Je Stem. In my free time, I love working with my hands such as making and formulating origami, cooking, knitting, or playing guitar (badly).Curious and diplomatic, I have collaborated on various projects concerning social issues such as diversity and gender equality, sustainable development, cybersecurity, and free speech. My experience working with diverse international colleagues helped me adapt to various professional and organizational environments. 

During my bachelor's program in International Relations, I focused on networking by collaborating in various ASEAN and Indonesian student initiatives in Japan. During my research master's program in Political Science, I focused on research and worked on two research projects: a multidisciplinary research internship and a research project on descriptive representation through Ken Je Stem. 

In my free time, I love working with my hands such as making and formulating origami, cooking, knitting, or playing guitar (badly).

 
              ","['Master of Science - MSc, Political Science: Gender Equality, Diversity, and Inclusion in Politics', ""Pre-Master's, Political Science""]"
5,"['Hospitality Management', 'Communication', 'Analytical', 'Economics', 'Business Process Design', 'Hospitality Industry', 'Microsoft Office', 'Mac', 'Applicant Tracking Systems', 'Management', 'Teamwork', 'Dutch', 'German', 'English', 'Managerial Accounting', 'Business Administration', 'Global Human Resources Management', 'Human Resources Information Systems (HRIS)', 'Hospitality Management', 'Economics', 'Business Process Design', 'Hospitality Industry', 'Managerial Accounting', 'Business Administration', 'Global Human Resources Management', 'Microsoft Office', 'Mac', 'Applicant Tracking Systems', 'Human Resources Information Systems (HRIS)', 'Communication', 'Analytical', 'Management', 'Teamwork', 'Dutch', 'German', 'English']","['Deloitte', 'Master Thesis Student', 'CS Representative', 'Zoku']",nan,"['MSc, Culture, Organisation & Management', 'Bachelor of Business Administration - BBA , International Hospitality Management']"
6,"['Adult Education', 'Elementary Education', 'Translation', 'Hotels', 'Hospitality', 'Hospitality Industry', 'Food & Beverage', 'Tourism', 'Front Office', 'Writing', 'Inglés como lengua extranjera', 'Escritura', 'Proofreading', 'Spanish', 'Teaching', 'Adult Education', 'Elementary Education', 'Translation', 'Hotels', 'Hospitality', 'Hospitality Industry', 'Food & Beverage', 'Tourism', 'Front Office', 'Proofreading', 'Teaching', 'Writing', 'Inglés como lengua extranjera', 'Spanish']","['Spanish Lessons Amsterdam', 'English and Spanish Teacher', 'Language Lessons Mili/ Spanish Lessons Amsterdam', 'Collaborator-Writer', 'Collaborator-Writer']","In Spanish Lessons Amsterdam we believe that each student is unique and therefore, different. That's why we offer different types of lessons, so we can meet everyone's needs.The classes are meant to be fun, easy-going and they take place in a relaxed environment while we enjoy some coffee, tea or, (why not?) some Argentinean mate so you can boost your confidence and feel comfortable enough to speak,Mili, the founder of Spanish Lessons Amsterdam, and the rest of the team are language-passionate people who will help you get to the level you want at the pace you need.We work with a textbook to guide us through the lessons, but also with other important resources such as newspaper articles, blogs, websites, videos, shorts, songs, extra exercises, etc, so the process of learning is always complete and diverse.In Spanish Lessons Amsterdam we believe that each student is unique and therefore, different. That's why we offer different types of lessons, so we can meet everyone's needs.
The classes are meant to be fun, easy-going and they take place in a relaxed environment while we enjoy some coffee, tea or, (why not?) some Argentinean mate so you can boost your confidence and feel comfortable enough to speak,
Mili, the founder of Spanish Lessons Amsterdam, and the rest of the team are language-passionate people who will help you get to the level you want at the pace you need.
We work with a textbook to guide us through the lessons, but also with other important resources such as newspaper articles, blogs, websites, videos, shorts, songs, extra exercises, etc, so the process of learning is always complete and diverse.

 
              ","['Literary Translator, English-Spanish', 'English-Spanish Literary Translator, Inglés, Español']"
7,"['Communicatie', 'Business understanding', 'Voedselindustrie', 'Data Governance', 'Microsoft Azure', 'Organization Skills', 'Financiële administratie', 'Agile Methodologies', 'DAMA', 'Data Stewardship', 'Knowledge Management', 'Quality Management', 'Project Management', 'Research and Development (R&D)', 'Academic writing', 'Project Planning', 'Information Management', 'SQL', 'Google Analytics', 'Google Cloud Platform', 'Business understanding', 'Voedselindustrie', 'Data Governance', 'Financiële administratie', 'Agile Methodologies', 'DAMA', 'Data Stewardship', 'Knowledge Management', 'Quality Management', 'Project Management', 'Research and Development (R&D)', 'Academic writing', 'Project Planning', 'Information Management', 'Coaching', 'Business Philosophy', 'Ontologies', 'Technology Management', 'Cybersecurity', 'Cloud Security', 'Microsoft Azure', 'SQL', 'Google Analytics', 'Google Cloud Platform', 'Git', 'Microsoft PowerPoint', 'Microsoft Word', 'Microsoft Excel', 'GitHub', 'Python (Programming Language)', 'Communicatie', 'Organization Skills', 'Personal Development', 'Analytical Reasoning', 'Interpersonal Skills', 'Strategic Thinking']","['Data Steward Customer Data', 'Foodpairing®', 'Mathematics Tutor', 'Cuise', 'Mise en Place']","It starts with 'why?'  I believe that by questioning the value-as-is we build value for tomorrow to improve the quality of life. To find improvements everywhere around me, every step of the way, I combine my transdisciplinary interests in food, business, IT and philosophy and translate business wants & stakeholder needs across these disciplines into purposeful & practical solutions. I strongly believe that ""You can't improve, what you can't see"".  Therefore, I strive to be a good listener, pose the right questions, create insights and explanations to my peers, and work persistently to build an understanding of the story so far. My story has only just started...It starts with 'why?'  I believe that by questioning the value-as-is we build value for tomorrow to improve the quality of life. 

To find improvements everywhere around me, every step of the way, I combine my transdisciplinary interests in food, business, IT and philosophy and translate business wants & stakeholder needs across these disciplines into purposeful & practical solutions.
 
I strongly believe that ""You can't improve, what you can't see"".  Therefore, I strive to be a good listener, pose the right questions, create insights and explanations to my peers, and work persistently to build an understanding of the story so far.  

My story has only just started...

 
              ","['Master of Science - MS, Food Quality Management', 'Nanodegree Programming for Data Science with Python, Computer Programming, Specific Applications']"
8,"['Relaciones públicas', 'Comunicaciones de marketing', 'Corporate Communications', 'Redes sociales', 'Marketing Communications', 'Planificación estratégica', 'Social Media', 'Comunicaciones internas', 'Mercadotecnia', 'Corporate Events', 'Public Relations', 'Supplier Negotiation', 'Estrategia de mercadotecnia', 'Business Strategy', 'Events Coordination', 'Internal Communications', 'Diseño gráfico', 'Organización de eventos', 'Editing', 'Travel Arrangements', 'Relaciones públicas', 'Comunicaciones de marketing', 'Corporate Communications', 'Redes sociales', 'Marketing Communications', 'Social Media', 'Comunicaciones internas', 'Corporate Events', 'Public Relations', 'Supplier Negotiation', 'Business Strategy', 'Events Coordination', 'Internal Communications', 'Diseño gráfico', 'Organización de eventos', 'Editing', 'Travel Arrangements', 'Sponsorship', 'Graphic Design', 'Office Administration', 'Microsoft Office', 'Planificación estratégica', 'Communication Skills', 'Team Management', 'Design Thinking', 'Inglés', 'English', 'Español', 'Spanish']","['Booking.com', 'Booking.com', 'Business Manager', 'Co-Owner and Business Manager', 'Co-Founder and Communication Manager']",I thrive in constant innovation. I am passionate about finding creative solutions to new challenges and share these findings in order to support the success of the business. I believe in the power of clear communication within a company to achieve future goals by the engagement of its people.I thrive in constant innovation. I am passionate about finding creative solutions to new challenges and share these findings in order to support the success of the business. I believe in the power of clear communication within a company to achieve future goals by the engagement of its people.,"['Master in Business Administration (MBA)', 'Communications, Corporative Communication']"
9,"['Analytics', 'Python', 'Matlab', 'R', 'Stata', 'Data Analytics', 'Econometrics', 'Marketing', 'Text analysis', 'Sentiment Analysis', 'Photography', 'SAS Programming', 'Marketing Strategy', 'Microsoft Office', 'Natural Language Processing (NLP)', 'Big Data Analytics', 'EViews', 'Analytics', 'Data Analytics', 'Econometrics', 'Marketing', 'Sentiment Analysis', 'Photography', 'SAS Programming', 'Marketing Strategy', 'Natural Language Processing (NLP)', 'Big Data Analytics', 'Python', 'Matlab', 'R', 'Stata', 'Microsoft Office', 'EViews']",['Data Analytics internship'],"I am currently a master student majoring in Marketing Data Science specialization of Econometrics at VU Amsterdam and a Data-analyst in ACEDA (https://www.ace-analytics.org/). I accomplished my bachelor programme in Economics Statistics (ranked 4th in China) at Zhejiang Gongshang University. My interests and specialties cover topics in econometrics, text analysis, sentiment analysis, NLP, marketing analysis, media analysis, data mining. I’m proficient at using tools including Excel, R, Python, SPSS, SAS, E-Views, Matlab and Python. What’s more, I also keep learning other tools like SQL and Tableau, and enhancing up-to-date data analysis skills and innovations. As for working, I am a people person enjoying team-work, efficient communications and creating. Individually, I am passionate about social concern, sustainability, culture, marketing and media. Currently, I am open to the opportunities in the field of data analysis, business analysis, marketing analysis and etc. Please feel free to contact me.I am currently a master student majoring in Marketing Data Science specialization of Econometrics at VU Amsterdam and a Data-analyst in ACEDA (https://www.ace-analytics.org/). I accomplished my bachelor programme in Economics Statistics (ranked 4th in China) at Zhejiang Gongshang University. 

My interests and specialties cover topics in econometrics, text analysis, sentiment analysis, NLP, marketing analysis, media analysis, data mining. I’m proficient at using tools including Excel, R, Python, SPSS, SAS, E-Views, Matlab and Python. What’s more, I also keep learning other tools like SQL and Tableau, and enhancing up-to-date data analysis skills and innovations. 

As for working, I am a people person enjoying team-work, efficient communications and creating. Individually, I am passionate about social concern, sustainability, culture, marketing and media. 

Currently, I am open to the opportunities in the field of data analysis, business analysis, marketing analysis and etc. Please feel free to contact me. 

 
              ","['Master, Econometrics', 'Bachelor, Economics Statistics']"
