job_titles,job_description,images,locations,salaries,companies
EMEA Purchasing - logistics & packaging Internship,"Supply Chain Planner te Den Haag

Ben jij op zoek naar een uitdagende en afwisselende functie binnen een mooi familiebedrijf? Wil jij ons helpen stappen te maken op het gebied van Supply Chain, operational én digital excellence? Lees dan zeker verder!

Wat doe je als Supply Chain Planner?

Ben jij de schakel tussen abstracte data en de uitdagingen van de dagelijkse praktijk? Wil jij de essentiële brugfunctie vervullen tussen inkoop, logistiek, magazijn en commercie? Dan zijn wij op zoek naar jou!

Als Supply Chain Planner lever je niet alleen een technische, maar ook een administratieve én commerciële bijdrage aan het gezamenlijke teamresultaat. Je zorgt voor de verwerking en controle van gegevens in het ERP- systeem, waaronder het verwerken en controleren van inkoopcontracten, inkooporders, inkoopdocumenten en magazijnontvangsten. Ook werk je mee aan het (aan)vullen van product specificaties in ons Product Informatie Management systeem.

Jouw taken:
Je biedt technische ondersteuning aan het algemene inkoopproces, je begeleidt het logistieke proces, controleert de Interne Kwaliteitsbewaking (IKB) en dient als back-up voor het verzorgen van technische tekeningen;
Je levert een bijdrage aan het artikelbeheer en je maakt diverse calculaties;
Je beheert voorraden, signaleert tijdig manco’s en bent proactief in het voorkomen van problemen;
Je stuurt onze productie aan voor diverse productgroepen;
Je levert een bijdrage aan onze uitdagende en complexe logistiek;
Je helpt met het onderhouden van producten, aanvullen van productkenmerken en de bijbehorende classificaties binnen het ERP en het PIM systeem.
Gezocht profiel:
Je beschikt over een afgeronde opleiding richting Economie, Business, ICT Management, Supply Chain en/of je hebt relevante werkervaring op administratief en/of Supply Chain gebied. Beschik je nog niet over de relevante werkervaring? Dan staat er een team van professionals voor je klaar die je graag verder helpt;
Je hebt minimaal een MBO+/HBO denkniveau;
Je bent analytisch, nauwkeurig, proactief en communicatief sterk;
Goede beheersing van de Nederlandse taal, Duitse en Engelse taal is een pre;
Je hebt kennis en ervaring met technieken in Excel en gaat secuur te werk;
Je hebt ervaring met ERP systemen, Microsoft Navision/Business Central is een pre;
Ervaring met Autocad is een pre;
En je hebt natuurlijk humor en houdt van gezelligheid
Wij bieden jou:
Een startsalaris vanaf €3.367,89 op basis van een 40 uur per week;
Een leuk, professioneel en ambitieus team met veel enthousiasme en behulpzaamheid;
Ruimte voor ontwikkeling d.m.v. interne en externe trainingen behorend bij de functie;
Laptop en mobiele telefoon;
Reiskostenvergoeding van € 0,21 ct. km.
Je komt in aanmerking voor een aantrekkelijke tantième regeling en niet-ziek bonus;
Deelname aan pensioenregeling (Bpf Meubel) op basis van een 50/50 premieverdeling;
Werken in een professioneel en ambitieus team met een informele werksfeer;
Een prachtig familiebedrijf met diverse bedrijfsuitjes per jaar en gezellige borrels!
Mogelijkheid tot het volgen van aanvullende trainingen en opleidingen;
Over Dekker Hout

Dekker Hout is een familiebedrijf dat in 1885 is begonnen als lokale houthandel en is uitgegroeid tot één van de meest vooruitstrevende houtbedrijven in Europa. Wij zijn gespecialiseerd in de import, export en verwerking van hout, houtproducten en gerelateerde materialen. Het hout dat wij inkopen wordt door onafhankelijke organisaties gecontroleerd en gecertificeerd en is afkomstig uit bossen die op duurzame wijze worden beheerd. Omdat kwaliteit, levertijd en leverbetrouwbaarheid bij ons voorop staan, investeren wij continue in onze logistieke en productie organisatie. Daarbij leiden wij onze medewerkers op zodat iedereen een bijdrage kan leveren aan het optimaliseren van onze dienstverlening aan onze klanten en het vergroten van ons bedrijfsresultaat. Bij Dekker Hout werken dan ook vakmensen met kennis van zaken die samen met onze klanten dagelijks aan de weg timmeren. We zijn ambitieus en gedreven vanuit de overtuiging dat onze organisatie naast een rijke historie ook een mooie toekomst heeft in een sector waar duurzaamheid een gewoonte wordt!

Heb jij interesse in deze uitdagende functie met daarin een belangrijke rol in de doorontwikkeling van de organisatie en haar medewerkers? Stuur dan je motivatiebrief en CV. Mocht je meer informatie willen over deze functie kun je dit opvragen bij Quincy Johnson, Corporate Recruiter via 06 30 86 97 70.

Interesse in de functie van Supply Chain Planner bij Dekker Hout B.V. - Den Haag regio Den Haag?
Reageer nu met je CV en motivatie via de ""solliciteer"" button.

Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.",https://media.glassdoor.com/sql/43129/tesla-squarelogo-1609189398200.png,Amsterdam,nan,Tesla3.6 ★
Supply Chain Management Internship - Born,"What to Expect
Location: Amsterdam
Start date: July – August
Length: 6 months
Time type: Full-time
NOTE: YOU MUST BE ENROLLED IN EDUCATION DURING THE ENTIRE INTERNSHIP TO BE CONSIDERED.
You'll be part of our EMEA Procurement logistics team working from Amsterdam office. As part of your internship your scope will be divided into two main tasks. 1. Operational management of the EMEA logistics Procurement processes, management of all rates maintenance and disputes and improvement of processes. 2. Procurement project management for logistics and Packaging commodities (gathering needs, setting up strategy, launching RFP documents, assessing offers, vendors, stakeholder’s management).
We Offer:
A dynamic and fast-paced environment where inclusion, learning and collaboration are key to success
Participate in high-profile projects that impact our customers’ experience across multiple channels including our physical locations
Ongoing training and development to help you grow your skills and career
A competitive compensation and benefits package
What You’ll Do
Strong understanding of the Procure to Pay process
Procurement project management: Analysis, definition of the needs, RFx - Negotiation - contracting
Follow-up meetings with suppliers related to the procurement of goods and services
Analysis of spend data across multiple spend categories
Working in an international environment

What You’ll Bring
Level C1 (spoken and written) in English and German is a plus
Studying in a relevant field such as Supply Chain, Procurement, Logistics, Process engineering, etc.
Capable of working in a fast paced and always changing environment
Strong Analytical mindset and problem-solving oriented
Ability to keep an overview and improve processes",https://media.glassdoor.com/sql/7587/mitsubishi-squarelogo.png,Amstelveen,nan,Mitsubishi Motors Europe3.9 ★
Senior Supply Chain Sepcialist,"Company
MMitsubishi Motors Europe BV (MME) is the European headquarters of Mitsubishi Motors Corporation (MMC).

From our European headquarters in Born, we provide;
After Sales service support for the European distributors of Mitsubishi Motors products
Technical Field Service Support, Technical Training, Product Quality Management, Service Literature and Warranty to our distributors
Parts distribution and vehicle Supply Chain Management
Sales, marketing and product planning of Mitsubishi Motors Parts & Accessories for the European market

From our office in Amstelveen we provide;
Vehicle Sales & Pricing for European distributors
Marketing, Product Management, EV Business and Network Development

Purpose of the internship
After reorganization SCM team was drastically reduced. Also the number of distributors reduced, but also 2 additional factories in Valladolid (Spain) and Bursa (Turkey) were added to the network. Resulting in a much bigger logistics network with all kinds of different systems. As there are many stakeholders, we need to improve our reporting. The intern should first investigate the complete logistics network and the needs of the stakeholders in order to provide appropriate reporting. The internship is an “active work internship” and not a “research internship”.
Job Content
Become a Mitsubishi Supply Chain member and support your SCM colleagues. As an intern you will assist and support the Supply Chain Management team:
Forecasted volumes for logistics service providers
Lead-time performance reports of logistic service providers
Estimated arrival times of vessels at several destination ports
Daily factory reports Valladolid
Distribution and suppliers portal in our Vinturas system
Administrative tasks when required

Job Requirements
Bachelor in Supply Chain Management
Proficient level of spoken and written English (other language is beneficial)
Interest in and/or willingness to understand the (European) Automotive market
Good knowledge of MS Office
Can-do attitude, enjoy working in a dynamic and international environment
Ability to work independently as well as in a team
Multicultural mind- and skill set

Duration & location of the internship
Born, >5 months, January 2023

Interested?
Do you feel like this profile suits you, apply now and join the SCM team.Send your motivation and CV to:
recruitment@mitsubishi-motors-euro.com

Acquisition further to this advertisement is not appreciated.",https://media.glassdoor.com/sql/2919865/loavies-squarelogo-1585058595772.png,Zwolle,nan,Loavies3.0 ★
Traineeship Supply Chain Management,"Senior Supply Chain SpecialistAre you ambitious and analytic and do you want to complete our operations team? You will be based at our HQ in Zwolle and visiting our state of the art warehouse in Groningen frequently.As a Senior Supply Chain Specialist, you have a key position within the finance and operations department. This role oversees several key responsibilities in the management and control of LOAVIES day to day operations and logistics.You are part of various expansion and improvement projects across the organization, reporting directly to the CFO.YOU GOT IT!Main responsibilitiesOwn and maintain the operations and logistics internal proceduresOwn stock count management and inquiries towards our third partiesOwn the continued development of LOAVIES operationsReview key fulfillment and transportation documentation from third parties or towards themBe a key stakeholder and subject matter expert in ERP and IT enhancement projects, provide advice and perform testing for the operations topicsProvide support to the business regarding the fulfillment and forwarding processesFollow up on defined KPIs and SLAs with third parties and ensure action plans and developed and followed up onSupport the buying team with custom clearance and inco terms and transport related topicsSupport the external and internal audits when applicableSupport the CFO and the planning department with volume forecastingSupport management with analysis and insights on the performance of the operations when requiredCoach and develop junior team members and internsBRING YOUR AMBITIONJob requirements and competenciesA completed education at HBO+ level in a business direction or a bachelor’s in finance, supply chain or economicsAt least 4 to 6 years of experience in a similar positionExperience with managing (incoming) inventory, when you have this experience in a retail / FMCG environment this is a plusExcellent knowledge and command of Excel and analyticsExperience with ERP improvements, BC is an advantage.Flexible, agile, responsive and proactiveApproachable to the various stakeholdersAttention to details and ability aligning business needs to the jobHighly analytical critical and accurateExcellent command of Dutch and English both written and spokenGood project management skillsAssertive and effective communicatorWORK HARD, PLAY HARDERWhat to expect from usA competitive package based on your work experience and educationA catered healthy lunch at the officeThe opportunity to join our bootcamp three times a week for free, provided by a personal trainer25 vacation days for full-time employmentYour birthday as an extra day offInspiring work environment at our headquarters in Zwolle, surrounded by talented, energetic colleaguesFun Friday afternoon drinks, company events and parties2 happy office dogs!Soort dienstverband: Vaste baanRooster:ma-vrSecundaire arbeidsvoorwaarden:BedrijfsfitnessProductkorting werknemersReiskostenvergoedingVrijdagmiddagborrelWerk vanuit huisSoorten aanvullende vergoedingen:VakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/40865/neways-electronics-squarelogo-1426685297950.png,Son,nan,Neways Electronics International3.8 ★
Sourcing & Inkoopspecialist (Supply Chain),"Traineeship Supply Chain Management
What will you do as a Trainee Supply Chain Management?
Within this traineeship, you will receive the opportunity to experience what it means to control our production planning, to work with suppliers and customers, to manage escalations, to optimize current processes, collaborate with colleagues, and so on. Within a period of 2,5 years, you will experience 3 different functions which will contribute to a successful reaction to our ever-growing customer demand.

Personal development is key. This traineeship will challenge you to practice and evolve your skillset with regard to problem-solving, communication, flexibility and pro-activity. Next to that, we will provide the opportunity to support you in the development of hard skills that are necessary to grow within your profession. You will be guided by the manager of your function plus a coach who can support you during this traineeship. The goal of this traineeship is to become a supply chain specialist with an extensive background in multiple roles.
Whether you’re interested in logistics, procurement or operations, this traineeship will provide you with valuable skills that will set you apart in the workforce.

Your duties further include:
Supplier managed inventory control
Escalation management
Production planning
Optimizing current workflows
Supporting logistical concepts
Controlling our order flow
Evaluating our customer requests
What do we offer:
A good salary matching your knowledge and experience;
Good supervision and coaching so you can develop yourself into a true supply chain professional;
Working with people from different cultures in an international high-tech production environment;
27 vacation days, plus 13 ADV days;
working with a team of enthusiastic, highly skilled professionals;
Holiday pay, travel allowance and a good pension scheme.
Your profile and DNA:
A Bachelor’s degree in one of the following fields:
Logistics
Supply Chain Management
Commercial Economics
Industrial Engineering & Management
A maximum of 2 years of experience;
Good communication skills and command of both the Dutch and English languages at a professional level;
You are ambitious, pro-active and inquisitive;
Affinity with ERP-systems is helpful;
The traineeship will demand 40 hours a week;
Starting date preferably in September 2023.
Who we are:
As an EMS Life Cycle Partner and System Innovator, we create smarter solutions for a changing world. We not only respond to market demands but are also involved in the early stages of our customers’ development and engineering processes, proactively providing concrete solutions and adding value.

Our core values:

Passion: We are proud of our work and work with passion
Trust: We believe trust is the foundation of good cooperation
Customer focus: We work proactively with our customers and suppliers to find the best solution together
One team: We believe in collaboration as one team and one company with a common goal
Innovation: We challenge current society and continue to improve ourselves

You will be working at our subsidiary Neways Advanced Applications:

Specialization: full product lifecycle management for electronic modules and systems;
Customer group: semiconductor, medical;
Number of employees: 580 FTE;
Located at Science Park Eindhoven 5004, 5692 EA in Son.
You are most welcome!
Apply now by clicking the ‘apply now button’ and send us your cv and motivational letter.

Do you have any questions? Please contact our Corporate Recruiter Sander de Groot for substantive information about the internship via 06 – 3830 5718 or sander.de.groot@newayselectronics.com",https://media.glassdoor.com/sql/2879471/tuinmaximaal-squareLogo-1657205912953.png,Eindhoven,nan,Tuinmaximaal3.5 ★
Logistics Inventory Analyst - Eindhoven,"Sourcing & Inkoopspecialist Supply ChainEindhoven - 32/40 uur – mbo/hbo werk- en denkniveau - salaris afgestemd op situatieJe maakt onderdeel uit van een snelgroeiende en dynamische organisatieEen uitdagende functie met groeipotentieelDit is je dag als Sourcing & Inkoopspecialist Supply ChainOnze organisatie is continu in beweging en jij als sourcing & inkoopspecialist weet hier goed op in te spelen. Als Sourcing & Inkoopspecialist weet jij als geen ander hoe je invulling geeft aan operationele inkoopprocessen en hoe deze te vertalen naar concrete acties.Vorige week ben je op zoek gegaan naar nieuwe leveranciers in verschillende inkoopgebieden. Vandaag ga je je bezig houden met het controleren en beoordelen van nieuwe inkoopcontracten met de afdeling legal, met als doel om met alle leveranciers een contract af te sluiten. Verder zorg je ervoor dat de nieuwe leveranciers geïmplementeerd worden in de organisatie.Hierna is er nog tijd over om op zoek te gaan naar nieuwe leveranciers, het stukje ‘sourcing’ in je rol. Jij houdt het contact met deze leveranciers en maakt prijs-en contractafspraken met ze. Daarnaast ben je in staat om opgevraagde offertes te beoordelen en inkoopvoorwaarden te controleren. Uiteraard doe je dit ook voor onze bestaande leveranciers.Dit vind je leuk om te doen als Sourcing & Inkoopspecialist Supply ChainContact onderhouden met nieuwe en huidige leveranciers, nationaal en internationaal;Onderhandelen met leveranciers over levertijden, condities en prijzen;Administratieve taken vind jij geen enkel probleem, hier krijg je juist energie van;Het leveren van een bijdrage aan de (verdere) optimalisatie van operationele werkprocessen;Je weet het overzicht te bewaren.Hier ga je direct mee aan de slagJe gaat direct aan de slag met het maken van een inkoopoverzicht van de hele organisatie en het optimaliseren van verschillende inkoopprocessen binnen de organisatie.Dit krijg je als Sourcing & Inkoopspecialist Supply ChainEen uitdagende functie met veel verantwoordelijkheid in een groeiende organisatie;Een salaris passend bij je werkervaring;125% verdienen voor elke minuut overwerk, of gecompenseerd in vrije tijd (regeling 2023);25 vakantiedagen per jaar;8% vakantiegeld, dit betalen we maandelijks uit bovenop je salaris;Deelname aan een zeer goed pensioenfonds (Detailhandel), tot wel 6x hoger dan bij andere werkgevers;Reiskostenvergoeding, zelfs als je bij ons om de hoek woont;Toegang tot meer dan 100 trainingen om jezelf te blijven ontwikkelen.Je bentHbo-geschoold, bijvoorbeeld in de richting van Supply Chain, Logistiek, Bedrijfskunde of soortgelijk (een mbo opleiding met relevante werkervaring is ook mogelijk);Resultaatgericht en analytisch sterk;Goed met het Microsoft Office pakket;Minimaal 32 uur per week beschikbaar;Communicatief sterk en beheerst de Nederlandse en Engelse taal goed in woord en geschrift.Soort dienstverband: Fulltime, Parttime, Contract bepaalde tijd, Vaste baanParttime uren: 32-40 per weekRooster:DagdienstFlexibel werkroosterma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenExtra vakantiedagenMogelijkheid tot promotiePensioenProductkorting werknemersReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/38403/ceva-logistics-squarelogo-1576648238891.png,Eindhoven,€2K - €3K (Employer est.),Ceva Logistics3.6 ★
Tactical supply chain planner,"CEVA Logistics provides global supply chain solutions to connect people, products and providers all around the world. We are supply chain experts. We live and breathe logistics every day. Above all, we believe that this is a people business. That’s why we are building a global culture of teamwork and respect. We encourage initiative, and we engage and empower our diverse workforce to grow their careers within CEVA.
CEVA Logistics offers a broad range of end-to-end, customized solutions in both Contract Logistics and Freight Management thanks to our approximately 98,000 employees at more than 1,000 facilities in 160 countries worldwide. With the recent acquisition of the former Ingram Micro Commerce & Lifecycle Services business, we are building one of the world’s leading end-to-end eCommerce service offerings through the dedication and passion of our people—the heartbeat of our organization. As we continue growing at a fast pace, will you “Dare to Grow” with us?

Are you looking for a job in Inventory Control were you can coordinate the team? Do you want to use your analytical skills for process improvements? And would you like to have a job with career opportunities towards Engineering or other departments? Then this job is something for you!
THE ROL
As Logistics Inventory Analyst you will ensure that our stock management is set up as efficiently and properly as possible! LEAN is our philosophy, in which you will analyze how the processes within stock management can be further improved. You are an advisor AND assistant to your manager when it comes to the way we manage our stock. You manage the stock counts carried out by your colleagues and you investigate deviations. From your analyses, you come up with a solution that ensures that the deviations no longer occur and that CEVA organizes its stock even more efficiently. In this way you contribute to our logistics services towards our customers. In addition, this role is a great and educational position to get known with CEVA and broaden your experience in process improvements!
Your are going to work in Eindhoven with 5-10 colleagues. An important requirement is that you can make jokes, because they will be made many times in our team! The rest of the time, we work hard to make sure our customers are satisfied. The options for working from home can be discussed in consultation with the Inventory Supervisor, to whom you report. Working hours vary between 08:00 and 18:00.
WHAT ARE YOU GOING TO DO?
As Logistics Inventory Analyst you are going to:
Manage, monitor and analyze the inventory towards our customers
Analyze the current processes of our inventory management and describe them towards improvements;
Preparing stock counts and analyze them;
Investigate issues and problems in our inventory management and create solutions fort hem;
Report about the stock counts and deviations towards your supervisor and customers; and
Participating at improvement projects.
WHAT DO YOU NEED FOR THIS JOB?
Do you recognize yourself in the following knowledge and skills:
Bachelor’s degree, preferring Logistics Management or Engineering;
Analytical skills and pro active attitude;
Communication skills;
Excel skills and knowledge;
Good English writing and speaking skills;
WHAT DO WE OFFER?
At CEVA Logistics there are plenty of opportunities to get the best out of yourself and your career. Besides a dynamic environment in which we achieve our goals at a rapid pace and in a result-oriented manner, we offer a position with room for fun and connection. This role can be the first step in a broad career path within our organization. The possibilities to walk your own path are endless!
In addition, we offer:
A competitive gross salary between € 2,227 and € 3,153 depending on your work experience and level of education;
An annual contract with a view to permanent employment;
25 vacation days + 40 ADV hours (only with a fulltime employment) and the option to buy or sell extra leave;
Profit share of max. 3% in case of positive company results;
Good pension scheme, travel allowance and 8% holiday pay
Opportunity to participate to our CEVAfit program; and
The possibility to develop yourself by means of our CEVA Academy.
INTERESTED?
Are you interested in this role after reading this vacancy and would you like to apply?
Then just send your resume and letter (optional) to Remco Hendrikx, Corporate Recruiter, via remco.hendrikx@cevalogistics.com or press on apply. You can also reach out via phone: +31 (0)6 83 22 25 39.
As a global organization, and as part of the CMA CGM Group, diversity is critical to our business success; only when we can reflect the cultures, languages, behaviors and local knowledge of our customers, we can succeed. By employing people with different experiences and abilities, we expand our knowledge and increase our creativity and innovation.",https://media.glassdoor.com/sql/1160803/action-squareLogo-1674486874489.png,Zwaagdijk-Oost,nan,Action3.4 ★
Junior Supply Chain Analyst,"Tactical supply chain planner

(Fulltime, 38 hours per week)

Do you want to join a new international team and are you keen to participate in project that will improve our processes? Then you could be our new Tactical Supply Chain Planner in our Head Office in North-Holland. You will work on our huge logistics challenge of keeping more than 11 million customers happy every week by offering over 6,000 products at the lowest prices in more than 2,000 stores around Europe. At the same time, the number of our stores and distribution centres continues to grow.
This is your daily action

You will act as our senior expert at the heart of our supply chain operation. As a Tactical Supply Chain Planner, you will enable fellow planners to do their jobs in the best possible way. By anticipating and translating future aspects and capacities into planning parameters and a flow of goods strategy, you’re able to plan up to 2 years ahead. You will work closely with the operational supply planners and your colleagues in Capacity, Commerce and Controlling.
As a Tactical Supply Chain Planner :
Drive the optimization of the Action’s supply chain network by setting up a replenishment parameter structure with the goal of optimal utilization of the Network at the lowest cost.
You’re responsible for the replenishment parameters of all inbound flows from Asia and Europe, their optimization and coordination with the operational Supply Planners
You facilitate a continuous improvement process a.o. by setting up a new BI landscape and further developing data driven process decisions.
You act as the go-to person for complex network issues, facilitate and drive discussions and follow-up with internal and external stakeholders in this.
You anticipate internal and external effects affecting the supply chain such as Chinese New Year, commercial seasons, supply chain disruptions, etc. and translate these to the impact on the network through simulations and recurring patterns.
You work on developing Supplier Level Agreements (SLA) regarding delivery performance, reliability, availability, OTIF, etc. and their follow-up.
You participate in and lead improvement projects to make the chain more scalable and manageable such as DC/HUB expansion, Dual sourcing and CFS.
You work closely with both our commercial and logistics departments and suppliers to optimize performance and processes.

Meet your team

High-level planning is achieved with our 70-strong Supply Chain Planning team. With a global scope, a highly dynamic product range and a growing number of distribution centres, stores, hubs and cross-docks, you will face exciting challenges day in, day out. A sense of resilience is needed to deal with these challenges, and that's why we invest heavily in developing innovative tools as well as in everyone who works at Action through extensive training programmes and more. We offer a vibrant work environment that will help you to take the next step. Many colleagues have already led the way and will be happy to guide you through our unique team and our varied work.
This is you

If you see that something could be done more efficient or more effectively, you'll be itching to get started! You also gain energy from structuring and improving processes. Others describe you as organised, flexible and someone who can go the extra mile. You'll also find that teamwork makes the dream work, as the saying goes, which is why you enjoy working with colleagues. You're also able to put your strong communication skills to good use to build a constructive relationship with your stakeholders and incorporate them into your plans.
What else:
You have a bachelor or master degree, preferably in Supply Chain
At least 8 years of experience in Supply Chain Management, for example as a planner or analyst in an (international) retail company
You have an analytical mindset and an expert in Excel
You have experience in project management
Good level of English
How we contribute to society

If you only know Action from the stores, a world will open up for you when you join us. For example, we are working hard behind the scenes to make a positive impact on society and the environment. Did you know, for example, that we sponsor more than 2,000 children worldwide who are growing up in an SOS Children’s Village? That our team reflects the diversity of our customers, including 124 nationalities? That we already source 70% of our wood products and 86% of our cotton sustainably? And that only energy-efficient LED lighting is used in more than half of our stores? Yes, that is also Action. Curious about what other initiatives we’re facilitating? Join our team and find out for yourself.
Interested?

Take action and apply now!
The next steps
Our recruiter will review your application and get back to you as soon as possible.
We invite you for a first job interview.
We would like to get to know you better, which is why we ask you to take an online assessment.
We will invite you for a second interview and we will discuss your assessment
Are will still a great match? Then we will become new colleagues!",https://media.glassdoor.com/sql/1200935/walters-people-squareLogo-1611226039363.png,Rotterdam,€3K (Employer est.),Walters People3.7 ★
Operations Coordinator,"Do you have your bachelor's degree (or masters) in Supply Chain management, Logistics or a related field? Are you excited to make your first step in your career in this industry? Are you intrigued by international companies and want to learn from the best? Do you have strong analytical skills and do you want to use the theory learned in University in practice? Are you as excited as we are?! Keep reading!
For our international client in Rotterdam, we are looking for a Junior Supply Chain Analyst. You will join an international company - a leader in sales, distribution & transportation of specialised raw materials in the pharmaceutical, chemical and food industries. The company's products are all around us: from the snack you eat to the smartphone and laptop we use every day. Besides quality of the products, sustainable partnerships and delivery reliability, the expertise of their own people is valued highly. If you have any ideas in these areas; the company is very open to your ideas!
As a Junior Supply Chain Analyst, you act as a link between various departments. The atmosphere at the company in Rotterdam can be described as 'working hard in a nice informal atmosphere in a driven and open team'. In this role, the days are never boring!

Tasks and responsibilities

Analysing current performance of different departments
Ensuring the execution of cycle counts and troubleshooting in the field of stock differences
Drawing up improvement proposals, new internal goals and Kpi's
Making process analyses and advice for the Management Team

Job requirements

Completed HBO/WO education (preferably in Supply Chain or Logistics)
Strong interest in improving Supply Chain processes
Proactive, driven, analytical and communicatively strong
Good command of the Dutch and English languages (any additional language is an advantage)
Full-time (40 hours) availability
Prospect of an indefinite contract with a large international player with a familiar atmosphere
Salary up to €3300 based on 40 hours

Our offer

Challenging work environment with ample training opportunities and an employer who likes to invest in its own people
Travel allowance
Holidays and pension
Internal career opportunities (horizontal and vertical)
Access to the Walters People Academy (and therefore certified training courses)
Friday afternoon drinks and other fun outings
A communicative, commercial, creative, solution-oriented position where you can use your energy and creativity in a passionate team in an ambitious organisation

Are you ready for this job?! Then I would love to get in touch with you to discuss this position in detail. Press the button to apply or send your CV directly to tessa.smit@walterspeople.nl.

Do you have your bachelor's degree (or masters) in Supply Chain management, Logistics or a related field? Are you excited to make your first step in your career in this industry? Are you intrigued by international companies and want to learn from the best? Do you have strong analytical skills and ...",https://media.glassdoor.com/sql/4206/samsung-electronics-america-squarelogo-1542763337200.png,Delft,nan,Samsung Electronics3.4 ★
Supply Chain Planner,"Position Summary
Are you looking to join the Global Leader in production and sales of Consumer Electronics? Do you like to work in a dynamic, challenging and international work environment? Then we have a fantastic opportunity for you to join our best-in-class team as: Operations Coordinator

Samsung Electronics Europe Logistics (SELS) is the Central European logistics organization of Samsung Electronics based in Delft, The Netherlands. SELS functions as a logistics and financial control tower within Samsung Europe, with a focused role in logistics & supply chain strategy, innovation and governance. SELS has approximately 200 employees located in the Netherlands and Slovakia.

The West Operations team governs and develops the logistics operations and distribution networks in Europe (central, local) in cooperation with our logistics service providers (4PL, 3PL).
By translating voice of customer and business requirements into best practice logistics solutions, initiating advanced logistics innovation, and secure operations excellence.

The West Operations team is monitoring the SCM and logistics operations for the European Supply Chain of Samsung finished goods. The aim of the team is to create an optimal alignment of demand and supply in order for Samsung Sales to be able to provide sufficient service to all customers in Europe. Customers are the Samsung sales organizations in Europe, the products are shipped to 3rd parties.
Role and Responsibilities
Your main responsibilities will include:
[Performance Management] Execute EU Online Operations monitoring & analysis activities in order to maximize efficiencies, on time delivery and customer satisfaction (Net Promoter Score); Perform daily reporting on delivery status of online orders; Monitor and report logistics performance by LSP to achieve KPI targets; Define/measure logistics KPIs of online business and improve them; Support peak season logistics preparations; Direct follow up/resolve issues with LSP/sales subsidiaries; Management reporting on actions and progress; Analyze NPS result and find out the solution to improve NPS;
[Process Innovation] Keep informed and gather business developments and progressing requirements from European
Sales subsidiaries and customers in order to provide agile logistics and supply chain solutions; Propose process improvement plans to SELS management to increase efficiency and improve quality; Initiate and/or develop, in close cooperation with 4PL partners, opportunities to increase service levels and efficiency; Identify, advise and present sales subsidiaries with tailored SCM/logistics solutions and best practice sharing; Expand network (internal & external) to enhance insights in logistics and supply chain trends and developments in order to maintain the organizational competence for initiating or evaluating innovative SCM/logistics solutions; Participate in interdepartmental logistics projects; Occasional travel within Europe may be required;
What we offer:
Working at the Global Leader in Consumer Electronics and in a best-in-class team environment comes with hard work, but we also make it rewarding through:
 A competitive base salary depending on your profile; Annual performance related bonuses (twice per year); 25 holidays (and Good Friday off) and additional loyalty days based on your service period; Fully compensated health care insurance (extensive coverage); Well-arranged pension scheme with an extensive employer contribution; Compensation of your fitness subscription; Free drinks and fresh fruit at the office; Employee shop to purchase Samsung products with discount; Bicycle plan.
Skills and Qualifications
Who we are looking for:
Bachelor degree in Logistics/Supply Chain management (preferred);
1 - 3 years working experience, (operational experience in online business environment preferred, warehousing / transportation);
Proficient in Korean and English (Bi-lingual or Multilingual preferred);
Advanced skills in MS Office (Excel and Access) and ERP system;
Professional with strong analytical and communication skills;
Furthermore, your passion for numbers and analytics is evident as you develop reporting and analytics including and combining a variety of data from multiple sources and systems (cost metrics, cost trends, business analysis, logistics parameters, actual vs. budget, forecast). Your attitude can be described as flexible and hands-on, which is required in the dynamic, challenging and high performance work environment Samsung offers. We are looking for a team player who is result and solution oriented and able to work independently. You have excellent communication skills and cultural understanding. Furthermore, you take ownership and accountability in your role.
What’s next:
We hope that we have triggered your interest to join our company. If so, please make sure to apply right away and we will be in touch with you shortly.Please note that Samsung will treat your application confidential and will process your personal data in line with the applicable EU GDPR. Samsung will not request any information which could be contrary to any confidentiality agreement you may have with your current or any previous employer.",nan,Zwolle,€3K (Employer est.),Uitgekookt - Van Marle BV
