job_titles,job_description,images,locations,salaries,companies
Junior Business Controller,"Assistent office manager/boekhouder Euro Feed Services (E.F.S.) levert speciale grondstoffen naar de veevoederindustrie. Wij zijn o.a. gespecialiseerd in de levering van grondstoffen en additieven die de gezondheid van dieren bevorderen. Daarnaast ontwikkelen wij producten en doseerapparatuur om de bacteriologische kwaliteit van grondstoffen en veevoeders te kunnen waarborgen.Ben jij een stressbestendig persoon die accuraat met vertrouwelijk gegevens weet om te gaan en heb je voldoende boekhoudkundige bagage om een kleine afdeling aan te sturen, dan ben jij degene die ons team kan komen versterken.Je gaat beginnen als assistent van de Office Manager met de mogelijkheid om in de toekomst de functie van Office Manager te gaan vervullen.Wij kennen een vlakke structuur waarin iedereen zijn/haar verantwoordelijkheid heeft en als een echt team samenwerkt om optimale resultaten te halenEr is voldoende ruimte om je creativiteit in te zetten om processen zo optimaal mogelijk te organiseren.Je groeit in je functie waarin o.a. de volgende verantwoordelijkheden tot je takenpakket gaan behoren:· Verantwoordelijk voor de administratie en de algehele financiële boekhouding.· Contact met onze externe accountant· Regelen van bankzaken, betalingen etc.· Debiteurenbeheer· Orderverwerking· Maandelijkse financiële Rapportage aan directie· Personeelszaken/HRVoor deze functie vragen wij minimaal HBO werk- en denk niveau op administratief en boekhoudkundig gebied.MS Office kent voor jou geen geheimenZorgvuldigheid, integriteit zijn voor deze functie essentieelNaast het uitstekend beheersen in spraak en geschrift van het Nederlands en het Engels is ook kennis van de Duitse taal belangrijk.Wij bieden een uitdagende full time job (40 uur/week) in een internationaal opererend MKB bedrijf waarin zelfstandigheid en creativiteit wordt gewaardeerd.Secundaire arbeidsvoorwaarden zoals een laptop, mobiele telefoon, reiskostenvergoeding, 25 vakantiedagen zijn voor ons niet secundair maar standaard.Heb je interesse, stuur dan een gemotiveerde e-mail + CVnaar Dhr. Henk van BremenSoort dienstverband: VoltijdsRooster:DagdienstSecundaire arbeidsvoorwaarden:BedrijfsfeestenExtra vakantiedagenKerstpakketReiskostenvergoedingSoorten aanvullende vergoedingen:BonusregelingVakantiegeldOpleiding:MBO (Gewenst)Ervaring:Office Manager: 1 jaar (Gewenst)Taal:Nederlands (Vereist)Engels (Vereist)Duits (Gewenst)",https://media.glassdoor.com/sql/2887231/grip-op-finance-squarelogo-1570520633480.png,The Hague,€3K (Employer est.),Grip op Finance5.0 ★
Junior Controller,"INTRODUCTIE
Je bent een ambitieuze financial die zich wil ontwikkelen tot volwaardig business partner binnen een organisatie. Deskundige op jouw vakgebied, en je bent bereid om in jezelf te investeren. Je zoekt een functie die je creativiteit prikkelt en je uitdaagt tot grensverleggende prestaties.
Please note: good verbal and written command of Dutch is essential for this role
ORGANISATIE
Wij helpen letterlijk met het creëren van grip op finance, door onze Grippers in te zetten op uitdagende interim opdrachten bij o.a. Booking.com, Pathé theaters of Nikon. Niet door pleisters te plakken, maar door blijvende oplossingen te implementeren.
Door persoonlijke begeleiding, opleidingen en trainingen helpen we jou om die vaardigheden te ontwikkelen die jij nodig hebt om jezelf te ontwikkelen en jouw ambities waar te maken. Daarnaast is er ook ruimte voor plezier, en maken we samen mooie herinneringen tijdens de vele Grip borrels, de karaoke sessies en natuurlijk de uitjes naar o.a. Barcelona, Split of naar camping de Lievelinge.
FUNCTIE
Als Junior Business Controller ben je in vaste dienst bij Grip en ga je aan de slag bij onze klanten op opdrachten die gemiddeld 6 tot 9 maanden duren. Tijdens het werk sta je er niet alleen voor. Onder begeleiding van je coach (zowel on-the-job als op afstand is mogelijk), word je op opdrachten ingezet. Hierbij voer je werkzaamheden uit zoals:
Opstellen en analyseren van maandrapportages, budgettering en forecasting
Analyseren van en adviseren over jaarplannen en business cases
Opstellen van financiële, business en KPI-analyses
Contacten onderhouden en fungeren als sparringpartner voor de organisatie
Initiëren, begeleiden en deelnemen aan verbetertrajecten
FUNCTIE-EISEN
De ideale junior business controller bij Grip is nieuwsgierig, hands-on en toont initiatief. Verder ben / heb je:
Bedrijfseconomische Bachelor of WO opleiding afgerond
Minimaal 1 jaar relevante werkervaring als business analist of controller
Sterk ontwikkeld analytisch denkvermogen
Goede communicatieve vaardigheden (fluency in Dutch is a must)
Woonachtig in de Randstad
AANBOD
Salaris van € 2.600 tot € 3.400 per maand
Aangevuld met een prestatiebonus (gem. 10-11%)
Goede pensioenregeling waarin Grip 2/3 van de premie betaalt
Persoonlijke opleidingsprogramma (o.a. Lean, DISC, communicatie en presentatie trainingen)
Inhoudelijke coaching en persoonlijke begeleiding
Lease auto met Europese tankpas of reiskostenvergoeding
Gezellige uitjes met je Grip collega’s; o.a. het jaarlijkse Grip uitje en periodieke borrels
Netto onkostenvergoeding van € 50 per maand voor telefonie en internet
INLICHTINGEN
Onze sollicitatie procedure gaat als volgt:
Korte telefonische intake met onze recruiter Ruud
Eerste kennismaking met Ruud en een andere Gripper
Online assessment
Inhoudelijke test en 2e gesprek met 2 andere Grippers
Voor meer informatie over deze functie of over onze sollicitatie procedure, neem contact op met Ruud Tol via 06-19446034 of mail naar ruud[at]gripopfinance.nl.",nan,Eindhoven,nan,Crowe Foederer
Assistent accountant,"Als Controller maak je onderdeel uit van de afdeling Finance & Administration en draag je samen met jouw collega’s zorg voor de verwerking en rapportages van alle administraties binnen Crowe Foederer. Je gaat aan de slag als assistent van de aanwezige Controller en zal zijn werkzaamheden in de komende jaren geleidelijk gaan overnemen i.v.m. zijn nadere pensionering. Dit past binnen de ambitie die jij hebt om als volwaardig Controller actief te zijn binnen een brede, toonaangevende en innovatieve financiële dienstverlener met ca. 650 medewerkers verdeeld over 8 vestigingen in Nederland.Jouw kwaliteitenJe hebt afgeronde financiële HBO opleiding;Je hebt een goed gevoel voor cijfers en je bent analytisch sterk;Je kan zelfstandig goed uit de voeten en werkt gestructureerd;Je staat open voor innovatieve oplossingen en nieuwe tools;Je hebt bij voorkeur enkele jaren relevante werkervaring opgedaan;Je bent integer, accuraat en secuur;Je hebt een flexibele instelling t.a.v. je werk;Je staat altijd klaar voor collega's met vragen.Waar jij jouw kracht voor inzetHet voorbereiden van periodieke maand-, kwartaal- en jaarrapportages alsmede de bijbehorende werkkapitaalanalyses;Het voorbereiden van managementrapportages met bijbehorende KPI’s;Het controleren van gevoerde administraties op juistheid en volledigheid;Het bewaken van budgetten en het inzichtelijk maken van verschillen tussen resultaten en budgetten;Het maken van incidentele financiële analyses en rapportages bijvoorbeeld over productiviteit, omzetten of rendementen;Het opstellen van liquiditeitsprognoses;Het doorontwikkelen van dashboards en business intelligence;Verder ondersteun en assisteer je waar nodig bij alle overige werkzaamheden op de afdeling F&A in de breedste zin van het woord.Wat je van ons mag verwachtenEen veelzijdige functie in een dynamische werkomgeving;Aandacht voor persoonlijke ontwikkeling;Je maakt deel uit van gezellig en enthousiast team;We hebben goede arbeidsvoorwaarden met onder andere 30 vakantiedagen en een pensioenregeling;Met regelmaat wordt voor alle medewerkers een activiteit georganiseerd als een nieuwjaarsfeest of een zomerfestival.Soort dienstverband: Fulltime, ParttimeParttime uren: 32-40 per weekSecundaire arbeidsvoorwaarden:BedrijfsfeestenCollectieve zorgverzekeringDienstreizen vergoedingFlexibele werkurenMogelijkheid tot promotiePensioenReiskostenvergoedingTelefoon van de zaakVrijdagmiddagborrelWerk vanuit huisWerklocatie: Hybride werken in 5651 CD Eindhoven",https://media.glassdoor.com/sql/981393/fidor-bank-squarelogo-1515756185686.png,Ridderkerk,€3K - €4K (Employer est.),Fidor2.9 ★
Assistent accountant Audit (RA),"Assistent accountant gezocht door Fidor in Ridderkerk | 40 uurWerken bij Fidor betekent werken bij een dynamisch, verfrissend en informeel IT gericht accountants- en (belasting)-advieskantoor, met een brede dienstverlening voor het MKB. Persoonlijke betrokkenheid is bij Fidor essentieel en sluit primair aan bij onze missie: het succesvol maken van onze klanten. Ter uitbreiding van ons team zijn wij zijn op zoek naar gedreven gevorderd assistent accountants.Over ons 'Fidor Accountants en Belastingadviseurs B.V. te Ridderkerk is een jong en dynamisch accountantskantoor met een sterke IT- en advies focus. Bij ons kun je niet alleen terecht voor de reguliere accountancy dienstverlening, fiscaliteit en loonadministratie. Maar ook voor de boekhouding, financiering en juridische vraagstukken.'Wat ga jij doen als assistent accountant?je bent verantwoordelijk voor het opstellen van jaarrekeningen en het voorbereiden van fiscale aangiften;je maakt efficiënt gebruik van diverse online toepassingen en past de laatste technologische ontwikkelingen efficiënt toe in je vakgebied en naar de klant;je bent voor vragen en advies het eerste aanspreekpunt voor de klant/ondernemer voor optimale samenwerking;je begeleidt en stimuleert beginnende assistent accountants in hun ontwikkeling en werkzaamheden.Wat vragen wij van jou als assistent accountant?je bent ambitieus en gedreven in je persoonlijke en professionele ontwikkeling;je hebt een proactieve instelling en werkhouding;je werkt servicegericht, accuraat en zelfstandig;je bent cijfermatig, kritisch en analytisch ingesteld;je hebt een goede beheersing van de Nederlandse en Engelse taal en bent communicatief sterk;je hebt minimaal een afgeronde hbo-opleiding Accountancy of Bedrijfseconomie;je hebt minimaal 5 jaar werkervaring als assistent accountant;je hebt affiniteit met automatiseringsoplossingen, ruime ervaring met Excel en online boekhoudsoftware.Wat bieden wij jou als assistent accountant?een salaris €2750-3750 afhankelijk van leeftijd, opleidingsniveau en ervaring;een bonus afhankelijk van het bedrijfsresultaat;8% vakantiegeld;27 vakantiedagen;persoonlijke begeleiding en ontwikkeling;een vast contract;een coachingstraject;de mogelijkheid om thuis te werken;een vergoeding voor een sportabonnement;een (reis)kostenvergoeding;een laptop van de zaak;de mogelijkheid tot het volgen van cursussen en opleidingen;tafelvoetballen in de pauze.Enthousiast geworden over de functie assistent accountant? Solliciteer direct via het sollicitatieformulier!Heb je vragen of wil je meer informatie? Aarzel dan niet en neem contact op met Kim Rijckenberg, managementassistent, via telefoonnummer 0180-746016of stuur een email naar info@fidor.nl.Soort dienstverband: Fulltime, Vaste baanSalaris: €2.750,00 - €3.750,00 per maandRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:Budget voor professionele ontwikkelingExtra vakantiedagenReiskostenvergoedingSoorten aanvullende vergoedingen:BonusregelingVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/6658477/brown-and-mccrow-squarelogo-1653992211085.png,Noordwijk,€32K - €46K (Employer est.),Brown & McCrow5.0 ★
Assistent Accountant,"Heb jij al enige ervaring op de controlepraktijk – audit? Vind jij het belangrijk om kwaliteit te leveren aan jouw klanten? Wil jij graag werken bij een menselijke club met een informele werksfeer?

Voor een modern accountantskantoor ben ik opzoek naar een assistent accountant voor op de controlepraktijk.

Het kantoor bevindt zich in Noordwijk in een modern pand en er werken ruim 50 medewerkers. Ze hebben hier allerlei specialisten in huis op gebied van accountancy, fiscale en juridische diensteverlening. De organisatie doet veel om mee te gaan met de tijd en leveren aan hun klanten een hoge kwaliteit aan dienstverlening. Digitalisering staat hier ook hoog in de vandaal.

Op voorhand beloven zij aan hun klanten al hoge kwaliteit en zijn aangesloten bij een grote internationale organisatie die kwaliteit waarborgen. Op die manier kunnen klanten over de hele wereld dezelfde kwaliteit verwachtten. De klanten zijn voornamelijk MKB, Stichtingen, Fondsen en Internationale ondernemingen.

Toch is dit een hele menselijke club met een informele werksfeer. De werknemers staan centraal en worden gewaardeerd want zij leveren uiteindelijk gezamenlijk dit goede werk op. Ook zijn er genoeg doorgroeimogelijkheden op zowel professioneel en persoonlijk vlak.

Profiel:
Afgeronde Hbo of je bent bezig met de RA opleiding
3 tot 5 jaar Audit ervaring
Je bent communicatief sterk en je hebt een dienstverlenende houding
Jouw takenpakket:
Je zal je bezighouden met controleopdrachten van MKB, stichtingen en meer. Hierdoor heb je een zeer gevarieerde klantenportefeuille en zal je veel klantcontact hebben
Je bent medeverantwoordelijk voor het begeleiden van junioren en stagiaires, jij bent hun eerste aanspreekpunt en zal hen ondersteunen.
Het Aanbod:
Een prachtig maandsalaris variërend vanaf € 2500 – € 3.515 o.b.v. fulltime dienstverband auto.
Mogelijkheid voor een leaseauto of een mobiliteitsvergoeding
Een uitdagende functie in een dynamisch team
Verschillende klanten in het MKB, Stichtingen, Fondsen en Internationale ondernemingen
Veel ruimte voor persoonlijke en professionele groei
Het volgen van opleidingen en trainingen op het bedrijf zijn kosten zodat jij jezelf blijft ontwikkelen
Uitstekend werk en privé balans waarbij je elkaar goed kan combineren
Flexibele werktijden
31 vakantiedagen en 8,33% vakantiegeld
Prestatie-bonusregeling zodat jij jezelf blijft uitdagen nog meer kan verdienen!

Spreekt dit jou aan? Solliciteer dan snel, want de werving is al volop bezig! Mocht je vragen hebben bel dan naar 020 760 3444 of neem een kijkje op de website van Brown & McCrow.

Deze vacature wordt beheerd door Indy, Max en Douwe van Brown & McCrow. Dit is overigens het enige recruitment consultancy van Nederland dat enkel bemiddeld in de Accountancy branche. Jij wordt dus altijd geholpen door een specialist!

(Jouw kandidatuur is volledig confidentieel. Wij vertellen dus niemand over jouw zoektocht zonder jouw toestemming.)",https://media.glassdoor.com/sql/4788920/strict-staffing-squarelogo-1638958741142.png,Rotterdam,€3K - €4K (Employer est.),Strict Staffing
Assistent Controller,"Introductie
Heb je enige jaren als assistent accountant en ben je opzoek naar een nieuwe werkomgeving met veel persoonlijke aandacht? Lees dan verder en reageer snel!
Vacature omschrijving
Als assistent accountant kom je te werken op de afdeling audit. Je houdt je dagelijks bezig met het uitvoeren van controle opdrachten of enkel bepaalde posten controleren. Dit doe je voor een breed scala aan klanten, waardoor je steeds opnieuw geprikkeld wordt. Je zal je bevindingen en aantekeningen overleggen met de klanten, waardoor je regelmatig bij bedrijven op bezoek bent en een groot zakelijk netwerk opbouwt.
Gevraagd wordt
Jij bent klantgericht en vindt het leuk om met directeuren in gesprek te gaan
Je hebt ongeveer 2 tot 8 jaar ervaring in de controlepraktijk
Afgestudeerd op HBO- of WO-niveau in financiële richting
Geboden wordt
Direct een onbepaalde tijd contract bij onze opdrachtgever
Bruto maandsalaris tussen de € 3.100,- en €4.900,-
26 vakantiedagen, 8% vakantiegeld en een goed pensioen
Wil je doorstuderen naar RA dan worden alle studiekosten vergoedt, studieschuld bij vorige werkgever wordt ook overgenomen
Flexibele werktijden en thuiswerkmogelijkheden
Auto van de zaak en sportschool abonnement
Maandelijkse teamlunch en regelmatig bedrijfsuitjes
Bedrijfsomschrijving
Onze opdrachtgever is een accountancykantoor met ruim 50 medewerkers en een echt Rotterdams karakter. Ze onderscheiden zich door hun persoonlijke aanpak en ondersteunen haar medewerkers in het behalen van haar persoonlijke doelen.",https://media.glassdoor.com/sql/4763903/werelds-in-mens-and-werk-squarelogo-1637228805387.png,Oss,nan,Werelds in Mens & Werk5.0 ★
(assistent) financial auditor (controle jaarrekeningen),"De Assistent Controller is verantwoordelijk voor de financiële administratie (inkoopfacturen, verkoopfacturen, crediteuren en debiteuren). Daarnaast ondersteun je bij de financiële rapportages op maand-, kwartaal- en jaarbasis. Je trekt proactief de organisatie in en gaat het gesprek aan met de projectmanagers. Samen met de Financieel Manager geef je sturing en bewaak je de afspraken die het team heeft gemaakt. Jij zorgt ervoor dat de processen goed op elkaar aansluiten. Uiteraard beheers je de cijfers, de boekhouding en de maandelijkse rapportages. Altijd de dingen goed blijven doen of verbeteren en dit ook goed bewaken binnen het team, dat zit in jouw karakter! Kortom een zeer brede en uitdagende rol binnen een snel groeiend internationaal opererend bedrijf.

Functie-eisen

Voor deze uitdagende rol als Assistent Controller voldoe je aan het volgende profiel:

- MBO+/HBO werk- en denkniveau.
Minimaal 5 jaar relevante werkervaring in een administratieve rol;Analytisch en cijfermatig goed onderlegd;Communicatief vaardig en gericht op samenwerken en verbinden;Proactieve houding met gezonde drive voor verbetering en innovatie;Spreekt zowel Nederlands als Engels;Woonachtig in de regio Den Bosch / Oss / Nijmegen.

Arbeidsvoorwaarden

De Assistent Controller kan rekenen op de volgende arbeidsvoorwaarden:

Een marktconform salaris, afhankelijk van leeftijd en ervaring;Veel zelfstandigheid qua invulling van je werkweek;Ontwikkelingsmogelijkheden en de mogelijkheid om aanvullende opleidingen te volgen;Een gezellige en informele werksfeer.

Adviseur

Wil je meer informatie of heb je vragen over deze vacature neem dan contact op met Nout ter Horst via nout.ter.horst@werelds.nu of bel 073 - 75 066 17.",nan,Amstelveen,nan,IUS Statutory Audits Coöperatie U.A.
Assistent Controller,"Wij zoeken een enthousiaste junior dan wel senior auditor / externe accountant. Parttime of fulltime. In loondienst of als zzper. Met een beetje ervaring of juist met heel veel ervaring.IUS bestaat inmiddels 10 jaar en heeft een vergunning van AFM. We hebben een 30-tal controle opdrachten en groeien organisch langzaam door. Wij focussen op de controle van jaarrekeningen van grotere nationale en internationale ondernemingen.We hebben een klein en hecht team. Het is mogelijk om deels op afstand te werken vanuit huis. Flexibiliteit is eigenlijk een soort kernwaarde. Loyaliteit is wat we verwachten. de geschikte kandidaat krijgt werkzaamheden op zijn/haar niveau en de uitdagingen die daarbij passen.We zoeken een assertieve persoonlijkheid. sociaal vaardig. Je hebt een professioneel kritische houding.Wij bieden jou· Alle mogelijkheden om jezelf te ontwikkelen· Een fijne en goed bereikbare werkplek· Een goed honorering· Een goede werk-privé balans· Goede begeleidingEnthousiast? Neem contact met ons opSoort dienstverband: Fulltime, Parttime, Vaste baan, Freelance / zzp, Interim, Tijdelijk, Oproepbasis, ProjectbasisParttime uren: 24-40 per weekRooster:DagdienstFlexibele werkurenFlexibel werkroosterma-vrSecundaire arbeidsvoorwaarden:Dienstreizen vergoedingFlexibele werkurenMogelijkheid tot promotieSoorten aanvullende vergoedingen:13e maandOveruren uitbetaaldVakantiegeldWerklocatie: Hybride werken in Amstelveen",nan,Moerdijk,€5K (Employer est.),Havenbedrijf Moerdijk
Assistent Accountant,"“Port of Moerdijk is de vierde zeehaven van Nederland en van groot belang voor de regio.Het is de tweede economische motor van de provincie Noord-Brabant.”Havenbedrijf Moerdijk zoekt een enthousiaste en zelfstandigeAssistent controller (M/V)(24-32 uur per week)De functieIn deze functie ben je onderdeel van onze financiële afdeling en voer je financiële interne controles uit waardoor je bijdraagt aan een goed functionerende administratieve organisatie.Samen met de medewerkers financiële administratie en de controller vorm je het team dat verantwoordelijk is voor de gehele P&C-cyclus. Je verzamelt, analyseert en ordent gegevens voor management rapportages, de begroting en jaarrekening en je bent aanspreekpunt voor budgethouders. Je stelt overzichten en toelichtingen op, voert controles uit en stelt verklaringen op over afwijkingen. Ook stel je periodieke management rapportages op en draag je bij aan de optimalisatie van het management informatiesysteem.Ook voer je controle werkzaamheden uit op juistheid en volledigheid van de financiële (project enactiva) administratie, voert werkzaamheden uit ten behoeve van maand-, kwartaal- en jaarafsluiting en steltde balans en resultatenrekening op ten behoeve van de verschillende rapportages. De HRM adviseur ondersteun je bij de controle van de mutaties in personeels- en salarisadministratie. Tenslotte stel je liquiditeitsplanningen en cash-flow overzichten op, sluit je de gewenste leningen af en beheer je ook de leningenportefeuille.In deze functie zijn goede administratieve vaardigheden belangrijk; je bent analytisch en hebt een uitstekend cijfermatig inzicht. Je werkt graag zelfstandig, maar bent ook een teamplayer. Wij vinden het belangrijk dat je een afgeronde Hbo-opleiding hebt in een financieel administratieve richting. Je bent servicegericht, werkt heel nauwkeurig, bent proactief en hebt kennis van de nautische wereld of bent bereid je hierin te verdiepen. Vanwege de ligging van het kantoor is het nodig dat je over eigen vervoer beschikt.Waar je gaat werkenWij bieden een afwisselende werkplek waar veel mensen elkaar ontmoeten en waar geen dag hetzelfde is. Je komt te werken in een team waar collega's al meerdere jaren naar volle tevredenheid samenwerken. De lijntjes zijn kort. Er wordt hard gewerkt, maar er is veel oog voor de balans tussen werk- en privéleven. Het management kenmerkt zich door een transparante, persoonlijke houding. Er wordt sterk gestuurd op inhoud en resultaat, maar je krijgt veel ruimte om zelf invulling te geven aan je werk en je persoonlijke ontwikkeling.Ons aanbodWij bieden je een uitdagende functie in een gedreven en enthousiast team. Je kunt rekenen op een eigentijds arbeidsvoorwaardenpakket.Het bruto fulltime maandsalaris bedraagt, afhankelijk van je kennis en ervaring, tussen de € 3025,- en € 4629,-. Dit is gebaseerd op een 36-urige werkweek en wordt aangevuld met vakantiegeld (8%) en een eindejaarsuitkering van 8%. Het havenbedrijf kent flexibele werktijden, de mogelijkheid om hybride te werken, aan- en verkoop van verlofuren en opbouw van een goed pensioen (ABP). Daarnaast investeren wij graag in de persoonlijke ontwikkeling van onze medewerkers met volop ruimte voor eigen initiatief.In eerste instantie is er sprake van een tijdelijk dienstverband voor de duur van één jaar. Bij goed functioneren en gelijkblijvende omstandigheden is er de intentie om het dienstverband daarna te verlengen.Op www.portofmoerdijk.nlvind je meer informatie over onze organisatie.Reageer nu!Twijfel jij niet langer en denk jij bij ons het verschil te kunnen maken?Presenteer jezelf aan ons en overtuig ons ervan dat jij die enthousiaste collega bent die ons team komt versterken. Stuur je motivatiebrief en CV naar Marieke Hommel.Wil je meer weten over werken bij het havenbedrijf?Kijk dan hier: www.portofmoerdijk.nl/havenbedrijf/Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld.Soort dienstverband: Parttime, Vaste baanParttime uren: 32 per weekSalaris: Tot €4.629,00 per maandRooster:DagdienstFlexibel werkroosterma-vrSecundaire arbeidsvoorwaarden:Budget voor professionele ontwikkelingPensioenReiskostenvergoedingZorgverzekeringSoorten aanvullende vergoedingen:13e maandVakantiegeldWerklocatie: Fysiek",nan,Dordrecht,€4K - €5K (Employer est.),Trifleet Leasing (the Netherlands) B.V.
Assistent Accountant,"Ben jij financieel en analytisch sterk onderlegd? Heb jij ervaring binnen een internationale omgeving? Voor onze afdeling Finance zijn we op zoek naar een gedreven en ervaren Assistent Controller. Trifleet is een groeiende organisatie, volop in ontwikkeling en constant op zoek naar verbeteringen. Denk hierbij aan de implementatie van een nieuw ERP pakket (SAP) en Power BI. Wil jij meebouwen? Dan is dit de juiste plek voor jou!Wat ga je doen?Samen met het team zorg je voor het voeren van een juiste, complete en tijdige administratie van alle entiteiten binnen Trifleet. Je werkt nauw samen met de Manager Finance.In deze rol ben jij verantwoordelijk voorHet verzorgen van maand- en jaarafsluiting;Assisteren bij het voorbereiden van de PBC lijst voor externe auditors;Voorbereiden en opstellen van periodieke (management) rapportages en analyses (cashflow);Proactief fouten en inconsistenties opsporen (o.a. correcties journaalposten);Support Finance team en ad-hoc informatieverzoeken van organisatieOptimaliseren van processen en actieve bijdrage in verschillende projecten (SAP implementatie)Wie ben jij?Jij bent een ambitieuze professional en je herkent je in onderstaande kenmerken:Opleiding: relevante financiële opleiding op het gebied van Accountancy, Bedrijfsadministratie of een vergelijkbare studie;Minimaal 3-5 jaar ervaring in een vergelijkbare positie of bij een accountantskantoor;Ervaring met geautomatiseerde financiële systemen en/of ERP systemen, Microsoft Dynamics AX, SAP FICO EN zeer goede Excel skills;Goede beheersing van de Nederlandse en Engelse taal in woord en geschrift;Oog voor detail, hands-on mentaliteit, analytisch en accuraat;Wat bieden wij jou?Werken bij Trifleet betekent werken in een gepassioneerd team in een vriendelijke en cultureel diverse omgeving. Onze filosofie is ""Committed to Sustainable Excellence"", we zijn toegewijd aan wat we doen. Het duurzame kantoor in Dordrecht is modern met behoud van een warme en gastvrije sfeer en is centraal gelegen nabij openbaar vervoer. Wij bieden een uitdagende en afwisselende baan in een hecht en groeiend team in een internationale omgeving.Over Trifleet!Trifleet Leasing behoort tot de top van de leasemaatschappijen van gas- en tankvloeistofcontainers en biedt een eersteklas verhuurvloot die de hele wereld omspant. Trifleet richt zich op het leveren van betrouwbare tankcontainers van topkwaliteit, deskundig advies en professionele service voor de leasing van diverse soorten tankcontainers. Trifleet heeft kantoren in Dordrecht, Houston, Singapore en Shanghai. In totaal werkt een team van zo'n 50 enthousiaste en gemotiveerde medewerkers aan het groeiende succes van het bedrijf.Sinds december 2020 maakt Trifleet deel uit van GATX. GATX streeft ernaar om door haar klanten, aandeelhouders, werknemers en de gemeenschappen waarin ze actief zijn erkend te worden als de beste leasemaatschappij voor treinwagons ter wereld. Als de toonaangevende wereldwijde verhuurder van treinwagons, levert GATX al meer dan 122 jaar hoogwaardige treinwagons en diensten aan haar klanten. GATX is opgericht in 1898 en heeft haar hoofdkantoor in Chicago, Illinois.Soort dienstverband: Fulltime, ParttimeParttime uren: 32-40 per weekSalaris: €4.000,00 - €5.000,00 per maandRooster:Flexibele werkurenma-vrSecundaire arbeidsvoorwaarden:Budget voor professionele ontwikkelingDienstreizen vergoedingFlexibele werkurenKosteloos parkerenPensioenReiskostenvergoedingTelefoonplanTelefoon van de zaakVrijdagmiddagborrelWerk vanuit huisSoorten aanvullende vergoedingen:13e maandVakantiegeldMogelijkheid om te reizen/verhuizen:3311 KJ Dordrecht: kunnen pendelen of van plan zijn te verhuizen voordat het contract ingaat (Vereist)Opleiding:HBO (Gewenst)Taal:Nederlands (Vereist)Werklocatie: Fysiek",nan,Netherlands,nan,"accountenz, breda"
