,company
0,"['Solid Professionals · Contract', 'Van Lanschot Kempen · Contract', 'Full-time · 2 yrs 5 mos', 'Jheronimus Academy of Data Science', 'Wilderness Safaris']"
1,"['UWC International · Full-time', 'Rivers International School Arnhem · Part-time', 'Radboud University', 'Lorentzlyceum', 'Stebo']"
2,"['Double Degree in Economics and Tax Law', ""Bachelor's degree, Economics and Business Economics"", ""Bachelor's degree, Tax Law""]"
3,"['de Volksbank · Full-time', 'KVL  · Full-time', 'Arriva Nederland · Full-time', 'University of Twente', 'Lyceo']"
4,"['University of Twente · Internship', 'Freelance', 'Gezelschap Leeghwater', 'ACTA · Internship', 'Amsterdam University College']"
5,"['TU Delft · Full-time', 'Universiteit Utrecht', 'Technische Universiteit Delft', 'TU Delft · Contract', 'TBA Netherlands · Internship']"
6,"[""Master's degree, Quantitative Finance"", 'Exchange Program, Business', ""Bachelor's degree, Econometrics and Operational Research""]"
7,['Roni Games · Internship']
8,['Marina’s recent posts and comments will be displayed here.']
9,"['Kinderpretpark Julianatoren · Contract', 'University of Twente · Contract']"
10,['Erasmus MC · Full-time']
11,"['Doctor of Philosophy - PhD, Applied Mathematics', 'Master of Science - MS, Statistics', 'Applied Mathematics']"
12,"['IB.Academy · Part-time', 'Lanterna Education · Part-time', 'EFR · Part-time', 'Quion · Part-time', 'Pro English · Part-time']"
13,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
14,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
15,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
16,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
17,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
18,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
19,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
20,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
21,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
