,degree_study
0,"['SSI', 'SSI', 'Anglia']"
1,"['ABN AMRO Bank N.V.', 'Universiteit Leiden']"
2,"[""Master's degree, Applied Physics"", 'Bridging minor , Applied Mathematics', ""Bachelor's degree, Physics and Astronomy""]"
3,"[""Master's degree, Embedded Systems"", ""Bachelor's degree, Advanced Technology"", ""Bachelor's degree, Engineering""]"
4,"[""Bachelor's degree, Mathematics"", 'Textile Technology and Design Engineering', 'Textile Engineering & Management, Ciencia e ingeniería textil']"
5,"['Doctor of Philosophy - PhD, Mathematics of Information', 'Master of Advanced Study, Mathematical Statistics', ""Bachelor's degree, Mathematics""]"
6,[]
7,"['ORTEC - Optimize Your World · Full-time', 'De Kleine Consultant · Part-time', 'Stichting Studiebegeleiding Leiden', 'Schlumberger · Full-time', 'Stichting International Research Projects Delft (IRP Delft) · Part-time']"
8,"['Master, Computer Science: Artificial Intelligence', 'Exchange, MSc Computer Science - Data Science', 'Master of Science - MS, Mathematical Modelling and Computation']"
9,"['Doctor of Philosophy (Ph.D.), Applied Mathematics', 'Master of Science (M.Sc.), Applied Mathematics', 'Bachelor of Science (S.Si.), Mathematics']"
10,"[""Bachelor's degree, ICT & Software engineering"", 'High School Diploma, Mathematics and Computer Science']"
11,"[""Bachelor's degree, Applied Mathematics""]"
12,['Cambridge University Press & Assessment English']
13,"['Master of Science - MSc, Mathematics, Mathematics', 'Master of Science - MS, Mathematics', 'ALGANT Diploma supplement']"
14,"[""Master's degree, Applied Mathematics"", ""Master's degree, Computer Science"", 'Bridging Programme, Computer Science']"
15,"[""Bachelor's degree, Applied Mathematics"", ""Bachelor's degree, Electrical Engineering"", 'Primary to High School Education']"
16,"[""Master's degree, Chemical Engineering"", ""Bachelor's degree, Chemical Science & Engineering"", 'Minor, Science & Technology']"
17,"['PhD, Mathematics and Computer Science', ""Master's degree, Physics"", ""Bachelor's degree, Physics and Mathematics""]"
18,"['LVSA: Landelijke Vereniging van Studieadviseurs', 'LVSA: Landelijke Vereniging van Studieadviseurs', 'Tijdwinst.com']"
19,"['MSc, Climate Physics', 'BSc, Physics and Astronomy', 'VWO']"
20,"['New Story · Full-time', 'JamgoTech B.V. · Self-employed', 'UvA', 'Self-Employed', 'Leiden University']"
21,"['Doctor of Philosophy (Ph.D.), Mathematics Education', ""Master's Degree, Didactics and Methodology of Mathematics"", ""Bachelor's Degree, Mathematics""]"
22,"['Master of Science - MS, Mathematics', 'Bachelor of Science - BS, Mathematics']"
23,"[""Master's degree, Wiskunde"", ""Bachelor's degree, Wiskunde""]"
24,"[""Master's degree, Health Economics, Policy and Law"", 'Bachelor of Arts - BA, Economics - Quantitative Emphasis', 'Minor, History of Science Technology and Medicine']"
25,"['Bachelor of Science - BS, Mathematics and Computer Science', ""Bachelor's degree, Mathematics and Computer Science"", 'High School Diploma']"
26,"['Spanish Red Cross', 'Spanish Red Cross']"
27,[]
28,"['Master of Science (M.Sc.) in Mathematics, General and Applied Curriculum', 'Summer School', 'Bachelor of Science (BSc) , Mathematics']"
29,"['Master, Aerospace Engineering, Master Track Control and Simulation', 'Minor Programme, Nuclear- and Quantum Engineering', ""Bachelor's degree , Aerospace Engineering""]"
30,"['Schülerzeitung ""contra dictum""', 'CdE - Club der Ehemaligen der Deutschen SchülerAkademien e.V.', 'CdE - Club der Ehemaligen der Deutschen SchülerAkademien e.V.']"
31,"['Udemy', 'Udemy', 'Udemy']"
32,"[""Master's degree, Computing Science"", ""Bachelor's degree, Computerwetenschappen""]"
33,"[""Bachelor's degree, Natuurkunde"", 'Minor, Space Missions', 'Secondary School (VWO/TTO)']"
34,"['Strategy& · Full-time', 'Full-time · 4 yrs 1 mo', 'Bain & Company · Apprenticeship', 'Theoretical and Mathematical Physics · Full-time', 'Ecole normale supérieure · Internship']"
35,"[""Master's degree , Teaching English as a Second or Foreign Language/ESL Language Instructor(TESOL)"", ""Master's degree, Measurement and evaluation in education"", 'Diploma of Education, English Language and Literature']"
36,"[""Bachelor's degree, Economics and Business Economics"", 'Minor, Global Poverty and Local Solutions', 'High School Diploma, Science']"
37,"['Doctor of Philosophy (PhD), Algebraic  Geometry', 'Master of Mathematics, Algebra and Number Theory', ""Bachelor's degree, Pure Mathematics""]"
38,"['University of Groningen · Full-time', 'University of Groningen', 'University of Groningen', 'University of Groningen']"
39,['De Regenboog Groep']
40,"['Doctor of Philosophy - PhD, Mathematics', ""Master's degree, Applied Mathematics"", ""Bachelor's degree, Mathematics""]"
41,"['PhD, Mathematics', 'Master, Mathematical Sciences', 'Bachelor, Cognitive Artificial Intelligence']"
42,"['Tilburg University', 'Tilburg University', 'Tilburg University']"
43,"['Master of Science - MS, Data Science', 'Bachelor of Science - BS, Mathematics and Statistics']"
44,"['Master of Science - MSc, Applied Physics', 'Master of Science - MSc, Science and Technology of Nuclear Fusion', 'Second degree teacher physics secondary education']"
45,"[""Bachelor's degree (Minor), Internatinal Business Administration"", ""Bachelor's degree, Computer Science"", 'Honours Programme (Bachelor), Mathematics']"
46,"[""Master's degree, Mathematics"", ""Bachelor's degree, Mathematics"", 'Science and Mathematics']"
47,"['1 yr', 'Part-time', 'Part-time', 'Internship', '1 yr 1 mo', 'Part-time', 'Internship', 'Synopsys Inc · Internship', 'Internshala', 'Excel 2015 · Part-time']"
48,"['Master of Science (M.Sc.), Artificial intelligence', 'Bachelor of Science (B.Sc.), Mathematics, Programming, Physics, Chemistry']"
