,job_type
0,[]
1,"[""Andrea hasn't posted lately""]"
2,"['Conductor', 'Teaching Assistant', 'Homework Assistant']"
3,"['Intern Embedded Systems Xsens/Movella', 'Bartender and waiter', 'Catering industry employee']"
4,"['Market Data Analyst', 'Fashion Advisor', 'Sales Assistant', 'Production Manager']"
5,"['Teaching Assistant', 'Assistant Teacher Mathematics']"
6,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
7,"[""Jan hasn't posted lately""]"
8,"['Data Scientist', 'Research and Development Programmer', 'Student Analyst', 'Examtrainer, Tutor']"
9,"['Data Scientist', 'PhD Candidate', 'Import Administrator', 'Lecturer Assistant']"
10,"['Software Developer', 'Software Developer', 'System Administrator']"
11,"['Quality Assurance Engineer', 'Quality Assurance Engineer', 'Software Engineer Intern']"
12,[]
13,"['PHD Student', 'Graduate Teaching Assistant', 'Assistant']"
14,"['Freelance Programmer', 'Treasurer', 'Student Council Member', 'Teaching Assistant', 'Commissioner of Lay-Out']"
15,"['Student Assistant', 'Student Intern', 'Co-Founder', 'Founding Board Member and Social Media & Promotions Manager']"
16,"['Practical supervisor', 'Intern Process Design & Optimization', 'Content Marketeer']"
17,"['Systems Engineering Consultant', 'PhD candidate']"
18,[]
19,"['Research Internship', 'Tutor', 'Counter Assistant']"
20,"[""Maurizio hasn't posted lately""]"
21,"['Assistant Professor', 'Postdoctoral Research Fellow', 'University Teacher', 'Mathematics Tutor']"
22,"['Software Developer', 'Lecturer', 'PhD Student', 'Teaching assistant', 'Assistant teacher at exam trainings in mathematics']"
23,"['Gastvrouw', 'Studentvoorlichter', 'Treasurer', 'Examentrainer', 'Persoonlijk assistent leraar']"
24,"['Wait Assistant', 'Host', 'Summer Intern', 'Operations Team Member', 'Warehouse Specialist']"
25,"['Data Specialist', 'Data Research Analyst Intern', 'Sales Associate']"
26,[]
27,[]
28,"['Junior Quantitative Analyst', 'Quantitative Risk Analyst', 'Business Intelligence Analyst', 'Project/Master Thesis Intern', 'Mathematics Tutor']"
29,"['Trainee Techniek', 'Propulsion & Aerodynamics Engineer', 'Intern Truck Platooning']"
30,[]
31,[]
32,"['PHD Student', 'Freelance Software Engineer', 'Software and Web Developer', 'Workinggroup assistent']"
33,"['Tutor in Physics, Mathematics & Chemistry', 'Employee', 'Tutor']"
34,[]
35,"['Sworn Interpreter (REMOTE)', 'Social Media Specialist , Copy Writer,Sales Consultant (REMOTE)', 'English Language Teacher And Language Coach (REMOTE)', 'Education Coordinator']"
36,"['Advisory Associate - Capital Projects & Infrastructure', 'Finance Accounting Intern', 'Teacher Assistant']"
37,"['Quantitative Financial Analyst', 'Lecturer', 'Undergraduate Research Assistant', 'Undergraduate Research Assistant']"
38,"[""Eric J. hasn't posted lately""]"
39,[]
40,"['Junior Research Scientist', 'Phd Researcher', 'Teaching Assistant', 'Summer Intern']"
41,"['Researcher', 'Senior Software Developer', 'PhD student in Mathematics', 'Teaching Assistant']"
42,[]
43,"['R&D Data Analyst', 'Social Media Marketing Analyst', 'Statistician', 'Statistical Assistant', 'Consultant of Monto Carlo simulation']"
44,"['Intern teacher Physics TTO havo/vwo 2 en 3', 'Supplemental teacher Physics and Mathematics']"
45,"['Valuation, Modelling & Analytics Intern']"
46,"['Private teacher in science, mathematics, statistics, econometrics, programming and AI', 'Stagair Docent Wiskunde', 'Data Analytics Engineer', 'Studiebegeleider']"
47,[]
48,"['Student-assistent', 'Promoteamer']"
