,job_type
0,"['Summer Intern', 'Summer Intern', 'Summer Intern']"
1,"['Mathematics Physics Teacher', 'Delivery Driver', 'Mechanical Engineering Student', 'Business and Management Student - IB Proyect']"
2,[]
3,"['Teaching Assistant Frequentist Statistics', 'Teaching Assistant Calculus & Linear Algebra']"
4,"['Event Assistant', 'Dock assistant', 'Tennis Coach', 'Volunteer', 'Head Soccer Coach']"
5,[]
6,[]
7,['Associate | Advocaat']
8,[]
9,"['Information Communication Technology Teacher', 'Visual Basic Developer']"
10,[]
11,"['Artificial Intelligence Intern', 'Student Tutor', 'Nutritionist', 'Field Tester']"
12,"[""Giacomo hasn't posted lately""]"
13,[]
14,"['Advisor', 'Tutor', 'Data Science Public Relations', 'Machine Learning Trainee']"
15,"['Software Engineer', 'Software Engineering Intern', 'Software Engineering Intern']"
16,"['PhD Radiotherapy', 'Data Scientist', 'Researcher Data Analytics (Urban Technology department)', 'Data Scientist (Data & Analytics department)', 'Teaching Assistant (Faculty of Science and Engineering)']"
17,"['Teaching Assistant (TA)', 'Deliverer', 'Supervisor', 'Deliverer']"
18,"['Bar Manager', 'Bar person / Supervisor', 'Retail Assistant']"
19,"['Senior Banker', 'University Lecturer', 'Lecturer In Mathematics', 'Lecturer In Mathematics']"
20,"['Applied Scientist Intern', 'Research Intern', 'Junior Data Scientist']"
21,[]
22,[]
23,['Student Assistant']
24,"['Teacher | Biology | Mathematics', 'Teaching Intern', 'Private Tutor', 'Research Intern', 'Research Intern']"
25,['Physics Tutor']
26,"['Bondsscheidsrechter', 'Intern', 'Penningmeester']"
27,['Graduate Intern']
28,[]
29,"['Researcher', 'Laboratory Manager', 'Student Assistant', 'Student Assistant', 'Quality Control Operator']"
30,"['Mathematics Teacher', 'Teacher of Mathematics', 'Teacher of Mathematics', 'Teacher of Mathematics']"
31,"['Full Professor', 'Part time Full Professor', 'Postdoc']"
32,"['PHD Candidate', 'Treasurer', 'Student Assistent']"
33,"['Docent/Coach Open-ICT', 'Teacher Software Development', 'Developer new technologies', 'Analyst ERP']"
34,"['Junior Implementation Consultant', 'Business Developer Intern', 'Event Manager', 'Mathematics Tutor']"
35,"['Web Developer', 'Web Developer', 'Food Service Worker', 'Logistics Assistant']"
36,"['Intern Data Science', 'Teacher assistent', 'Internship physics teacher', 'Board member']"
37,"['Intern Data Analytics & Statistics', 'Tutor', 'Graphic Designer']"
38,"['Secretary', 'Math/english Tutor', 'Rider']"
39,"['PHD Candidate, Mathematical Institute', 'Mathematical Modelling Lecturer', 'PHD Student', 'Lecturer']"
40,"['SERI-MATS Program', 'Teaching Assistant', 'Intern', 'Software Assistant', 'Teaching Assistant']"
41,"['Scientist-innovator', 'Mathematics teacher', 'Intern']"
42,"['Co-Founder', 'Master Thesis Intern', 'Student Consultant', 'Research Intern', 'Assistant Manager and Mountain Bike Guide']"
43,[]
44,"['Adviseur Smart Mobility', 'Bijles geven aan middelbare scholieren / studenten', 'Bijles geven aan middelbare scholieren', 'Keukenmedewerker']"
45,"['PHD Student', 'Data-analist']"
46,"['Kandidaat statenlid Volt Gelderland (lijst 18 #3)', 'Medior adviseur ANNE Adviseurs voor Noordoost-Nederland', 'PhD Student', 'Research Assistant', 'Internship at Verslavingszorg Noord Nederland (VNN)']"
47,"['Mede-oprichter', 'Honors Student - Competitive Programming and Problem Solving', 'Teacher Assistant', 'Chairwoman LH investment group', 'IMC Female Talent Trading Program']"
48,[]
49,[]
