,links,,,,,,,,,,University,,,,company
0,https://nl.linkedin.com/in/victorreijnders,,,,,,,,,,ffffffffffffffffffffffffffffffffffffffff,,,,companiessssssssssss
1,https://nl.linkedin.com/in/andrea-roccaverde-phd-6174bb15a/en,,,,,,,,,,,,,,
2,https://nl.linkedin.com/in/daniel-van-bemmelen-a104ba171/en,,,,,,,,,,,,,,
3,https://nl.linkedin.com/in/martijn-vd-linden/en,,,,,,,,,,,,,,
4,https://nl.linkedin.com/in/kenialopez93/en,,,,,,,,,,,,,,
5,https://nl.linkedin.com/in/maarten-markering-5941ba157,,,,,,,,,,,,,,
6,https://nl.linkedin.com/in/max-clement-890556205/en?trk=people-guest_people_search-card,,,,,,,,,,,,,,
7,https://nl.linkedin.com/in/jan-bosma-b294a2183,,,,,,,,,,,,,,
8,https://nl.linkedin.com/in/elin-b-dijkstra/en,,,,,,,,,,,,,,
9,https://nl.linkedin.com/in/panagia-kousiou-394ba9177,,,,,,,,,,,,,,
10,https://nl.linkedin.com/in/aureliuszilko,,,,,,,,,,,,,,
11,https://nl.linkedin.com/in/hristomakarestov,,,,,,,,,,,,,,
12,https://nl.linkedin.com/in/shabatar/en,,,,,,,,,,,,,,
13,https://nl.linkedin.com/in/berend-mintjes-b39927103/en,,,,,,,,,,,,,,
14,https://nl.linkedin.com/in/giacomo-santato,,,,,,,,,,,,,,
15,https://nl.linkedin.com/in/arian-joyandeh-759079178,,,,,,,,,,,,,,
16,https://nl.linkedin.com/in/dhwani-swami,,,,,,,,,,,,,,
17,https://nl.linkedin.com/in/jellewhvisser/en,,,,,,,,,,,,,,
18,https://nl.linkedin.com/in/alvaro-piedrafita/en,,,,,,,,,,,,,,
19,https://nl.linkedin.com/in/ambioosterhout,,,,,,,,,,,,,,
20,https://nl.linkedin.com/in/frankajesse/en-us,,,,,,,,,,,,,,
21,https://nl.linkedin.com/in/mauriziomoreschi/en,,,,,,,,,,,,,,
22,https://nl.linkedin.com/in/angeliki-mali-64534b49,,,,,,,,,,,,,,
23,https://nl.linkedin.com/in/stefan-van-der-lugt/en?trk=public_profile_locale-url,,,,,,,,,,,,,,
24,https://nl.linkedin.com/in/yvette-van-nek-97b439a8,,,,,,,,,,,,,,
25,https://nl.linkedin.com/in/owen-pixler,,,,,,,,,,,,,,
26,https://nl.linkedin.com/in/jasmine-ngo-759777223?trk=org-employees,,,,,,,,,,,,,,
27,https://nl.linkedin.com/in/marta-pita-vidal,,,,,,,,,,,,,,
28,https://nl.linkedin.com/in/stacey-elshove-47a198220,,,,,,,,,,,,,,
29,https://nl.linkedin.com/in/dominga-sicolo-5a6a84172/en,,,,,,,,,,,,,,
30,https://nl.linkedin.com/in/daan-van-aken-480a5716b/en,,,,,,,,,,,,,,
31,https://nl.linkedin.com/in/saskiatympel/en,,,,,,,,,,,,,,
32,https://nl.linkedin.com/in/vasileios-tzatziou-8a4b1b1b3,,,,,,,,,,,,,,
33,https://nl.linkedin.com/in/ivogabe,,,,,,,,,,,,,,
34,https://nl.linkedin.com/in/ingmar-stolk-7b615b185,,,,,,,,,,,,,,
35,https://nl.linkedin.com/in/arzhakova,,,,,,,,,,,,,,
36,https://nl.linkedin.com/in/irmaktok,,,,,,,,,,,,,,
37,https://nl.linkedin.com/in/natasha-sahira/en-us,,,,,,,,,,,,,,
38,https://nl.linkedin.com/in/garnet-akeyr-17383883,,,,,,,,,,,,,,
39,https://nl.linkedin.com/in/eric-j-pap-303a7027/de?trk=people-guest_people_search-card,,,,,,,,,,,,,,
40,https://nl.linkedin.com/in/simon-stuij-2806,,,,,,,,,,,,,,
41,https://nl.linkedin.com/in/mia-jukic,,,,,,,,,,,,,,
42,https://nl.linkedin.com/in/bodesther,,,,,,,,,,,,,,
