,locations
0,"The Randstad, Netherlands"
1,"Maastricht, Limburg, Netherlands"
2,"London, England, United Kingdom"
3,Netherlands
4,"Rotterdam, South Holland, Netherlands"
5,"Baexem, Limburg, Netherlands"
6,"Groningen, Groningen, Netherlands"
7,"Leiden, South Holland, Netherlands"
8,"Rotterdam, South Holland, Netherlands"
9,"Rotterdam, South Holland, Netherlands"
10,Arnhem-Nijmegen Region
11,"The Hague, South Holland, Netherlands"
12,"Uithoorn, North Holland, Netherlands"
13,"Amsterdam, North Holland, Netherlands"
14,Greater Groningen Area
15,Netherlands
16,Netherlands
17,"Utrecht, Utrecht, Netherlands"
18,Netherlands
19,"Amsterdam, North Holland, Netherlands"
20,"Enschede, Overijssel, Netherlands"
21,Greater Lyon Area
22,"Amsterdam, North Holland, Netherlands"
23,"Breda, North Brabant, Netherlands"
24,Greater Groningen Area
25,"Enschede, Overijssel, Netherlands"
26,"Leeuwarden, Friesland, Netherlands"
27,"Nijmegen, Gelderland, Netherlands"
28,"Wijk bij Duurstede, Utrecht, Netherlands"
29,"Eindhoven, North Brabant, Netherlands"
30,"Hilversum, North Holland, Netherlands"
31,"Leiden, South Holland, Netherlands"
32,"Amsterdam, North Holland, Netherlands"
33,"Amsterdam, North Holland, Netherlands"
34,"Rotterdam, South Holland, Netherlands"
35,Netherlands
36,"Amstelveen, North Holland, Netherlands"
37,"Rotterdam, South Holland, Netherlands"
38,"Amsterdam, North Holland, Netherlands"
39,"The Randstad, Netherlands"
40,"Amsterdam, North Holland, Netherlands"
41,"The Randstad, Netherlands"
42,"Groningen, Groningen, Netherlands"
43,"Delft, South Holland, Netherlands"
44,"Dordrecht, South Holland, Netherlands"
45,"Almere, Flevoland, Netherlands"
46,"Eindhoven, North Brabant, Netherlands"
47,"The Hague, South Holland, Netherlands"
48,"Leiden, South Holland, Netherlands"
49,"Delft, South Holland, Netherlands"
