,locations
0,"Enschede, Overijssel, Netherlands"
1,"Leiden, South Holland, Netherlands"
2,"Amsterdam, North Holland, Netherlands"
3,"Enschede, Overijssel, Netherlands"
4,Netherlands
5,United Kingdom
6,"Deurne, North Brabant, Netherlands"
7,"The Hague, South Holland, Netherlands"
8,"The Hague, South Holland, Netherlands"
9,"Amsterdam, North Holland, Netherlands"
10,"Sofia, Sofia City, Bulgaria"
11,"The Randstad, Netherlands"
12,"Utrecht, Utrecht, Netherlands"
13,"Saarbrücken, Saarland, Germany"
14,"The Hague, South Holland, Netherlands"
15,"Eindhoven, North Brabant, Netherlands"
16,"Enschede, Overijssel, Netherlands"
17,"Amsterdam, North Holland, Netherlands"
18,"Hilversum, North Holland, Netherlands"
19,"Utrecht, Utrecht, Netherlands"
20,"Leiden, South Holland, Netherlands"
21,"Groningen, Groningen, Netherlands"
22,"The Randstad, Netherlands"
23,"Amsterdam, North Holland, Netherlands"
24,"The Randstad, Netherlands"
25,Greater Boston
26,Netherlands
27,"Eindhoven, North Brabant, Netherlands"
28,"Amsterdam, North Holland, Netherlands"
29,
30,"Rijswijk, South Holland, Netherlands"
31,"Maastricht, Limburg, Netherlands"
32,"The Randstad, Netherlands"
33,"Leiden, South Holland, Netherlands"
34,"Amsterdam, North Holland, Netherlands"
35,Netherlands
36,"Jakarta, Indonesia"
37,"Leiden, South Holland, Netherlands"
38,"Groningen, Groningen, Netherlands"
39,"Amsterdam, North Holland, Netherlands"
40,"Leiden, South Holland, Netherlands"
41,"The Randstad, Netherlands"
42,"Tilburg, North Brabant, Netherlands"
43,"Voorschoten, South Holland, Netherlands"
44,"Eindhoven, North Brabant, Netherlands"
45,"Enschede, Overijssel, Netherlands"
46,"Utrecht, Utrecht, Netherlands"
47,"Enschede, Overijssel, Netherlands"
48,"Eindhoven, North Brabant, Netherlands"
