,University
0,"['Delhi University', 'Delhi University', 'KGSKV']"
1,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
2,[]
3,"['Physics', 'LaTeX', 'Mathematics']"
4,"['Fayetteville State University', 'Fayetteville Technical Community College']"
5,"['University of Amsterdam', 'Boston University']"
6,"['Engels', 'Nederlands', 'SAS-programmering']"
7,[]
8,[]
9,"['Delhi University', 'Delhi University', 'KGSKV']"
10,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
11,[]
12,"['Physics', 'LaTeX', 'Mathematics']"
13,"['Fayetteville State University', 'Fayetteville Technical Community College']"
14,"['University of Amsterdam', 'Boston University']"
15,"['Engels', 'Nederlands', 'SAS-programmering']"
16,[]
17,"['Leiden University', 'Leiden University', 'Leiden University']"
18,"['Delhi University', 'Delhi University', 'KGSKV']"
19,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
20,[]
21,"['Physics', 'LaTeX', 'Mathematics']"
22,"['Fayetteville State University', 'Fayetteville Technical Community College']"
23,"['University of Amsterdam', 'Boston University']"
24,"['Engels', 'Nederlands', 'SAS-programmering']"
25,[]
26,"['Leiden University', 'Leiden University', 'Leiden University']"
27,"['Delhi University', 'Delhi University', 'KGSKV']"
28,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
29,[]
30,"['Physics', 'LaTeX', 'Mathematics']"
31,"['Fayetteville State University', 'Fayetteville Technical Community College']"
32,"['University of Amsterdam', 'Boston University']"
33,"['Engels', 'Nederlands', 'SAS-programmering']"
34,[]
35,"['Leiden University', 'Leiden University', 'Leiden University']"
36,"['Delhi University', 'Delhi University', 'KGSKV']"
37,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
38,[]
39,"['Physics', 'LaTeX', 'Mathematics']"
40,"['Fayetteville State University', 'Fayetteville Technical Community College']"
41,"['University of Amsterdam', 'Boston University']"
42,"['Engels', 'Nederlands', 'SAS-programmering']"
43,[]
44,"['Leiden University', 'Leiden University', 'Leiden University']"
45,"['Delhi University', 'Delhi University', 'KGSKV']"
46,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
47,[]
48,"['Physics', 'LaTeX', 'Mathematics']"
49,"['Fayetteville State University', 'Fayetteville Technical Community College']"
50,"['University of Amsterdam', 'Boston University']"
51,"['Engels', 'Nederlands', 'SAS-programmering']"
52,[]
53,"['Leiden University', 'Leiden University', 'Leiden University']"
54,"['Delhi University', 'Delhi University', 'KGSKV']"
55,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
56,[]
