job_titles,job_description,images,locations,salaries,companies
Clinical Lead Statistician,"Tasks

Position: Senior Business Analyst - Data and Analytics (Medical Device Domain)

Location: Amsterdam, Netherlands

Contract: 12 Months + Possible extension

Overview: We are seeking a highly experienced Senior Business Analyst with a strong background in Data and Analytics, preferably within the Medical Device domain. The ideal candidate will be responsible for driving data-driven insights to support the strategic decision-making process of the organization.

Responsibilities:

Partner with cross-functional teams to understand business requirements and objectives related to data and analytics.
Analyze existing business processes and systems to identify areas for improvement in the healthcare industry.
Identify opportunities for data-driven insights to drive business decisions.
Analyze existing business processes and systems to identify areas for improvement.
Develop business cases and feasibility studies to support proposed solutions.
Facilitate workshops and meetings to gather requirements and obtain stakeholder buy-in.
Work closely with development teams to ensure proposed solutions align with business requirements.
Develop and maintain business metrics and KPIs that provide insight into business performance.
Analyze and interpret complex data sets to derive actionable insights.
Present findings and recommendations to stakeholders at all levels of the organization.
Collaborate with IT and other stakeholders to ensure data quality and integrity.

Requirements

Requirements:

Bachelor's degree in Business Administration, Computer Science, Healthcare or a related field.
Minimum of 12 years of experience in a Business Analyst role, with at least 5 years of experience in the Medical Domain.
Minimum of 12-15 years of experience in data and analytics, preferably within the Medical Device domain or Pharma domain
Strong analytical skills with the ability to analyze complex data sets and derive insights.
Excellent communication skills with the ability to present complex information in a clear and concise manner.
Proficiency in data visualization tools such as Power BI
Experience with Azure landscape will be plus.
Strong collaborative skills with the ability to manage multiple projects and priorities simultaneously.
Ability to work independently and as part of a team in a fast-paced, dynamic environment.

",https://media.glassdoor.com/sql/3471/danone-squarelogo-1500467362205.png,Utrecht,nan,Danone3.7 ★
Azure Data Engineer,"About the job
Clinical Lead Statistician

(Utrecht, full-time)


Danone's mission is to bring health through food to as many people as possible. Are you passionate about life sciences research and life sciences data, ranging from pre-clinical biological data through to human early phase clinical trials through to food technology formulation? Do you get excited about working on the statistical aspects of the design and execution of clinical studies?

Your Mission: apply your statistical expertise within the Danone Nutricia Research & Innovation (R&I) Center by providing advice and support in the design, execution and interpretation of the statistical analysis of clinical research.
You will be a member of the Human Evidence Insight Generation team within the Advanced Health & Science division. This dynamic department is responsible for the statistical expertise in early-phase clinical studies. The Clinical Lead Statistician works in close collaboration with Data Management and Statistical Programming, as well as with clinical study team members and other stakeholders within Clinical Research, but also with stakeholders of other science centres within R&I. The teams work according to high scientific and operational standards.


About the job

Your primary responsibility will be to drive statistical expertise by providing state-of-the-art statistical advice and support in the design, execution, analysis, and interpretation of large-scale multidimensional clinical trial data.
Provide expert statistical input and advice into the key documents for clinical trials, specifically, but not limited to, statistical analysis plans and study protocols.
Conduct hands-on statistical analyses of clinical trial data, in close collaboration with statistical programmers.
Evaluate and improve internal statistical tools, methodologies and processes, based on the most recent developments in the scientific field.
Responsible for project management of the statistical part incl. timelines, deliverables and stakeholder management.
In addition, there is the opportunity to collaborate with and provide technical support to (pre)clinical and life science researchers, to deliver biostatistics analyses of datasets, validate key findings and suggest further experiments.
About you
About you

Master's degree (PhD would be a plus) in Statistics, Biostatistics or a related field with strong statistical content.
At least 5 years of experience with statistical models.
Programming experience with SAS or R/Python
An ability to translate scientific information into business insights.
A good understanding and ability to implement statistical techniques used in large-scale multidimensional and hierarchical data (e.g. linear/ logistic regression, high-throughput data analysis with univariate and multivariate models taking into account the complex correlation structure of the data, etc.)
Independent ability to maintain state-of-the-art statistics skills and implement and adapt new techniques for statistical analysis.
An active interest in undertaking scientific research and the ability to learn new techniques and apply them to a high standard.
Enthusiasm for and a desire to make a career in biostatistics.
Excellent communication skills (in English) to interact with a multidisciplinary project team at Danone Nutricia Research and with other parties involved, such as CROs.
Ability to explain statistics orally as well as in writing to non-statisticians.
Ability to work on various projects simultaneously.
Ability to work independently, efficiently, and precisely and take initiative.


Desirable

A solid understanding of biomedical research, clinical trials, and good clinical practice (GCP), drug/product development would be an advantage.
Pragmatic attitude and be adaptable to the changing needs of the business being agile and flexible.
About us
About us

Working here you’ll need to enjoy a fast-pace, complexity and it can get a little challenging. But it’s packed with opportunities. You’ll work with some of the best-known brands in the world, such as Evian, Nutricia, Activia and Nutrilon and we absolutely guarantee that you can just be yourself. Be innovative and entrepreneurial and the impact you could make might just amaze you. Join our movement for a healthier world. One Planet One Health BY YOU.


We are proud to be an equal employer. We are convinced our differences make the difference and that an inclusive working environment will drive our growth as a business, as teams and as individuals. We will therefore consider all applicants for employment* fostering an inclusive working culture that is accessible for all.


Did you know that as a B-Corp certified company, Danone Benelux meets the highest verified standards of social and environmental performance, transparency, and accountability?


We Offer

At Danone, we offer a complete package of benefits, with a competitive primary salary and yearly bonus, but also benefits like a premium free pension, 30 days annual leave and several discounts on a collective health insurance and even on some of our products. In the Netherlands we also offer a hybrid working environment which enables each team to meet our people's desire for flexibility. Across our 3 office hubs in Hoofddorp, Zoetermeer and Utrecht this helps us create better opportunities for connection & synergies across our entities, teams, functions and categories.

What’s next?

Hit the “apply now” button. After your application deadline first feedback will follow within 2 weeks. In case you are invited to the selection process you should expect to receive feedback 2 weeks after each step of the process

To comply with GDPR regulations, we cannot process your personal data without given consent. Therefore, we strongly recommend applying directly via our website.


Need more information? Please contact Valerija Usova, Talent Manager via valerija.usova@danone.com.

all applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

#LI-NL",https://media.glassdoor.com/sql/811571/ilionx-squarelogo-1571386775208.png,Utrecht,nan,ilionx3.7 ★
Data Engineer (DevOps),"Als Azure Data Engineer ontwikkel jij samen met collega’s veilige dataplatformen in de Azure cloud. Uiteraard weet jij als geen ander inzicht te krijgen in data en weet daar bruikbare informatie van te maken voor analytische doeleinden van onze klanten.

Utrecht Medior 32 - 40 uur
Delen

Wat bieden wij jou:
Interessante projecten binnen verschillende sectoren
Samenwerken met ervaren ilionx data engineers, maar ook met cloud & security specialisten
Ruimte om te innoveren en te experimenteren
Betrokken bij het hele traject: van projectdefinitie tot doorontwikkeling
Veel gelegenheid om met collega’s kennis en ervaringen te delen
Toegang tot de ilionx Academy om je kennis door te ontwikkelen

Wat vragen wij van jou:
Dat je voor het resultaat gaat bij jouw klanten door out of the box te denken
Je bent gefascineerd door de mogelijkheden van data in Microsoft Azure
Zeer nieuwsgierig naar de mogelijkheden van innovatieve technologie
Dat je een leuke, slimme, hardwerkende collega bent met een teamspirit-mentaliteit
Jouw functie als Azure Data Engineer

Als Azure Data Engineer werk je met jouw Data Enginering team nauw samen met onze Cloud & /Security collega’s. Jij transformeert en verwerkt data en weet hierbij precies de juiste Azure tooling te gebruiken. Iedere behoefte en vraag naar data van onze klanten zijn verschillend waardoor geen project hetzelfde is.

Verder heb je:
een afgeronde hbo/wo opleiding;
+/- 3 jaar relevante ervaring met dataoplossingen in Azure of andere cloud-omgeving;
Gedegen kennis van minimaal 2 van de volgende Azure onderdelen: Azure Synapse, Azure Data Factory, Azure DataBricks, Azure Data Lake, Azure DevOps en Data Pipelines
Het team

Bij ilionx werken ruim 200 BI- en Data Professionals die dagelijks gave projecten uitvoeren. Dit gebeurt bij onze klanten op locatie, op kantoor in samenwerking met de klant of natuurlijk thuis achter je eigen bureau. Kom je bij vestiging Utrecht werken, dan werk je samen met toonaangevende collega’s op dit vakgebied. Persoonlijke groei en kennisontwikkeling zijn binnen ons team essentieel. Benieuwd naar je teamleden? Lees het verhaal van Almar Overgaauw & Anna Kroeze!

Wij snappen dat een dataplatform wendbaar moet zijn, want de ontwikkelingen gaan snel. Daarom zijn onze gedreven collega’s niet alleen kundig in data enginering, maar weten we ook hoe we werken aan rapportages en dashboards, Predictive Analytics, machine learning en, Data Science.

Wat krijg je ervoor terug
Uitdagende werkomgeving
Agenda vol evenementen en borrels
Reiskostenvergoeding of lease auto
Ruimte om jezelf te ontwikkelen
Tijd voor ontspanning
Goede arbeidsvoorwaarden
Werk hybride, thuis of op kantoor
Thuiswerkvergoeding
Aantrekkelijke bonusregeling
Een contract voor onbepaalde tijd
Goede pensioensregeling",https://media.glassdoor.com/sql/3977/rabobank-squarelogo.png,Utrecht,€18.75 Per Hour (Employer est.),Rabobank4.2 ★
Senior Azure Data Engineer,"You will get the opportunity to work in beating heart of data within the Rabobank. You will work together with people who have an insatiable curiosity in technology, data, and self-development. You will heavily invest in your career. You will make memories.
As a Data Engineer you can make a difference
Within the Tribe Data & Analytics you will work in the centre of the data driven enterprise. The tribe contains 6 area’s:
Global Data Platform
Analytics Platform
Data & Factory Services
Data Science
Business Intelligence
Customer Analytics
For about 40 squads are divided over these areas. In all areas we data engineers play an important role. We need your help to design, build and run ground breaking solutions that are as valuable to our 7 million customers.
You will be responsible for
 As a Data Engineer you will your main purpose is to make sure that data can be used for operational and analytical purposes.
Experience
Above all we are looking for new colleagues with an insatiable curiosity in data, technology and self-development on a medior/senior level. You get excited by building and deploying big data pipelines in the cloud. In the Squad you work on Azure, where you use cloud native components and value the separation between storage and computing. Data frames are not a new concept to you and you write code in either PySpark or use Azure Data Flow for your ETL needs. Your deployments are automated and you are able to quickly prototype your solutions.
You have a couple of years of experience in using the concepts/components in a production environment.
As a Data Engineer within the tribe D&A it would be great if you have experience with the following technologies (if you don’t thick all of the boxes we still would love to meet you):
Azure DevOps (knock out)
Experience with Data Ingestion (knock out)
Azure Data Factory
Azure Databricks using Python/SQL
Data modelling and SQL
Airflow
Azure Synapse
API Development on Azure (preferably with python)
Scripting either PowerShell or bash
Azure Data Lake Storage
Azure Functions
Build and deploy with Azure DevOps
Set up data quality and monitoring
Develop unit tests (TDD)
The competences we would like you to have:
Eager to learn new techniques
Enjoy to teach and share knowledge
Good communication skills
Strong collaboration with other roles in the Scrum team
Drive to continuously improve
Take ownership of the build, run and change process
Curiosity
What do we offer?
We would love to help you achieve this by focusing firmly on your growth, development, and investing in an environment where you keep learning every day. We give you the space to innovate and initiate. In this way, we offer you numerous opportunities to grow and help you exceed your expectations, to do the right thing exceptionally well, and to therefore grow as a professional. In addition, with us (on the basis of a 36-or 40 hour working week), you can also expect:
Based on your experience: up to € 5655,- gross per month (scale 9) or up to €6741,- gross per month (scale 10)
Thirteenth month's salary and 8% holiday allowance
an extra budget of 11% of your gross salary to be used at your discretion. Buy extra holiday hours, add more to your pension savings or ask for part of the extra budget to be paid out.
a budget of € 750- to set up your home working space and a monthly home working allowance of up to € 40-
a personal development budget of € 1,400-
a combination of working from home and at the office
100% reimbursement of commuting costs if you travel by public transport
A pension scheme to which you contribute 3.5%
151.2 hours holiday per year + 1 Diversity Day per year
This is a selection of the terms of employment for a Data Engineer based on a 36-hour working week. You can find all terms of employment on rabobank.jobs/en/conditions-of-employment.
You and the job application process
Reply to the vacancy for Data Engineer at Rabobank.
Any questions about working at Rabobank and the process? Oscar van Dijk, IT Recruiter, oscar.van.dijk@rabobank.nl
We will hold the interviews through a video call.
You can find answers to the most frequently asked questions on rabobank.jobs/nl/veelgestelde-vragen.
A security check is part of the process.
We respect your privacy.
Growing a better world together
You are already aware that Rabobank is a financial services provider for millions of customers in 40 countries. But did you know that we aim to contribute to real change with our “Growing a better world together” mission? We do so in countless ways, such as:
A third of all the food we purchase is thrown away. Together with Nature & Environment, we’re working to increase awareness among consumers of how to reduce food waste.
As part of a project with Humanitas, we are helping people who are experiencing financial difficulties to get their household finances in order.
Together with Vluchtelingenwerk Nederland (the Dutch Council for Refugees), we are helping 1,500 refugees find a suitable job.
Interested? Please contact us.
#LI-OV1",https://media.glassdoor.com/sql/987318/jumbo-groep-holding-squarelogo-1430892003380.png,Veghel,nan,Jumbo Supermarkten3.6 ★
Data Engineer Big Data & Streaming,"We are the fastest growing Omni channel supermarket in the Netherlands. To keep up with our tremendous ambitions we are continuously improving and professionalizing our data & analytical capabilities. So, if you feel that you can help drive this improvement, then we are looking for you.
You will work within the Analytics department of Jumbo Tech Campus. Our ambition is developing a futureproof and robust data platform using state of the art technologies in empowering self-service BI & analytics, Mobile BI and support of modern machine learning and data science use cases.
As a Data Engineer you will design and set up our Azure data platform by creating end-to-end solutions for ingesting, processing, analyzing and presenting data to enable a data driven mindset. Together with your team, you manage the flow of structured and unstructured (big) data, coming from various sources, in Azure as well as work on a centralized cloud data platform (Data Core). Data Core is being developed and used across the entire Jumbo organization to create business value by delivering actionable insights. In close collaboration with the (internal) customer you will gather their needs and requirements to maximize business value. Goal of the scrum team is to enable Jumbo to become a more data driven organization.
We are strengthening the relation between businesses and the analytics teams and aim to extend intelligence at Jumbo. Every day again.
In the role of Senior Azure Data Engineer, you contribute to the most enjoyable shopping experience by:
Design, implement and standardize end-to-end CRM data solutions to facilitate advanced customer journey orchestration data solutions within the Data Core Platform;
Ingest, transform, validate data from multiple sources;
Facilitate and challenge business to provide the necessary data/solutions to support and optimize customer journeys;
Proactively collaborate with business stakeholders on the area’s of CRM, Marketing and other data domains;
Make sure that data pipelines and data products are high-performing, automated and monitored, following the CI/CD practice and the DevOps approach;
Team up with the scrum team(s) on solutions and developments;
Collaborate and align with complementary (external) teams to accelerate the engineering process;
Act as a bridge to other teams, actively participate in the Data guild and engage on strategic topics.
As a data Engineer at Jumbo, you are part of an enthusiastic scrum team which usually consists of 6-7 people with different skills (analysis, development, test, ops), a scrum master and a product owner.
have the Jumbo DNA: togetherness, entrepreneurship and winning? And do you also have:
Bachelor or master Computer Science, Computer Engineering, a related technical field or equivalent practical experience;
5 to 10 years of relevant experience in a similar role;
Knowledge of (and ideally certification in) Azure or cloud-based applications and pipelines;
Strong knowledge of data engineer languages (.Net, Python. PySpark, SQL, Java, T-SQL, U-SQL)
Solid experience with data engineer technologies (, MS SQL, SQL Pool, Synapse analytics, Data factory, Azure data lake, Logic apps, Azure functions, Azure event grid, Databricks)
Strong stakeholder management capabilities;
Experience with the CRM and Marketing domain is a plus, but not a hard requirement.
An opportunity to be part of the most customer-friendly company in the world. This means responding to the wishes of our customers and colleagues. As a Senior Azure Data Engineer, you can also expect something from us in return. Because we ensure that you feel good about yourself, with job satisfaction and career growth. You also get:
A salary between € 4.550 and € 5.850, based on your education, knowledge and experience.
An annual bonus of up to 7,5% of your annual salary.
A personal development budget and training opportunities through Jumbo Academy.
The possibility to work partly from home and a work-from-home allowance.
A cycle to work plan.
The option to participate in our collective health insurance.
30 days of paid holiday per year and 8% holiday pay.
Fresh fruit waiting for you in our food café and the tastiest coffee with fresh milk.
The possibility to work from home.
Access to the Jumbo Gym for only €7 per month to help you stay fit.
10% discount on your groceries, which we pay out with your salary.
Do you live outside of the Netherlands? Then we will take care of your relocation process! Moving for a job to another country or to the other side of the world might feel like moving a mountain. That is where our specialized relocation service comes in. We want you to arrive in the Netherlands fresh and ready for a new adventure, so our team helps with every step of relocating. Read more about this here.
#LI-VN1",https://media.glassdoor.com/sql/312799/alliander-squarelogo-1426666932124.png,Arnhem,€6K (Employer est.),Alliander4.3 ★
Azure MLOps Data Engineer - Banking,"Jouw energie
Alliander zal radicaal anders te werk moeten gaan om in de komende paar jaar de productie te vervijfvoudigen. Hier hebben we jouw expertise bij nodig.
De teams hebben de geprefereerde technologieën binnen Alliander omarmd: AWS met bijbehorende native tools (o.a. Lambda, API gateway, RDS en S3) en Python voor de data integratie en Data Science. Ook hebben we automation opgezet met CI/CD, Github Actions en CDK. De eerste API’s zijn al opgeleverd en je werkt samen met front-end collega's die werken in Angular en TypeScript.
Wij zoeken een senior data engineer om het team te versterken, het liefst met infrastructuur ervaring.
Jouw werkgever
Wij zijn Alliander, een groep waarin verschillende bedrijven actief zijn waaronder Liander, Qirion en Kenter. Voor miljoenen Nederlanders ontwikkelen én beheren we het energienet. Dat is hard werken, zeker nu de energietransitie in volle gang is. We zijn dan ook blij dat we kunnen rekenen op de kennis en kunde van onze 7.000 vakmensen. Met elkaar bedenken en realiseren we technisch slimme oplossingen die het energienet klaarmaken voor de toekomst.
Wij geloven in een inclusieve en diverse organisatie waarin iedereen vanuit zijn eigen kracht en talent een kans krijgt. Dus wat je verhaal ook is, je bent van harte welkom.
De scrumteams van Alliander worden vanuit de chapters bemenst. Wat is een chapter dan precies? Een chapter kun je zien als een groep vakgenoten die samen het vakgebied verder professionaliseren. Hierbij ligt de focus op kwaliteit, nieuwe technologieën en praktische toepassingen. De chapterlead helpt jou in jouw ontwikkeling en carrière, je staat zelf aan het roer. Het chapter voor deze vacature is data engineering waarbij je onderdeel wordt van een groep van +/- 70 data engineers.
Jouw arbeidsvoorwaarden
Jij hebt de energie, wij bieden je de ruimte. Ruimte om het beste uit jezelf te halen, daar worden we immers allemaal beter van. Jij, Alliander en vooral onze klanten. En er is meer. Voor deze vacature kan je rekenen op (o.b.v. een 38-urige werkweek): een salaris tot €6.242,- bruto per maand (schaal 9 of 10). Afhankelijk van kennis en ervaring vindt de inschaling plaats. Verder ontvang je een set aan secundaire voorwaarden die je zelf kunt samenstellen. Denk bijvoorbeeld aan het aanschaffen van extra vrije dagen of mogelijkheden voor ouderschapsverlof. Ook zijn er ruime vergoedingen voor opleidingen & trainingen. We hebben alle voorwaarden hier een rij gezet: https://werkenbij.alliander.com/over-Alliander/arbeidsvoorwaarden/
Jouw achtergrond
Met jouw energie blink je uit als data engineer. Belangrijk voor ons is dat je het leuk vindt om nieuwe dingen te leren. Niemand is te ervaren om te leren. We vinden het belangrijk dat je affiniteit hebt met data en het gebruik van data.
Kennis van datamodellering is hierbij essentieel. Uiteraard kan SQL als taal hier niet ontbreken.
We vragen ook:
Ervaring met open source programmeertalen (o.a. Python)
Dat je eerder gewerkt hebt op een cloud platform (voorkeur AWS)
Oog voor data-management en data-governance
Je kan data integreren vanuit verschillende bronnen en met verschillende technieken.
Ervaring- en of affiniteit met het ontwikkelen van data pipelines, API's en CI/CD
Voldoe je niet aan alle bovenstaande eisen en wensen, maar wil je toch eens vrijblijvend van gedachten wisselen? Stuur gerust een korte reactie via het sollicitatieformulier of onze recruiter.
Jouw actie
We hebben ruimte voor jouw energie! Meer informatie over de vacature? Schakel met Jaap Menting, corporate recruiter, via jaap.menting@alliander.com.
Goed van start gaan
Wij screenen alle sollicitanten vanuit goed werkgeverschap. Zo weten we zeker dat we op alle fronten een match zijn en een langdurige werkperiode tegemoet kunnen gaan. Want een goed begin is het halve werk, toch? Hoe zo’n screening er precies uitziet, kan variëren per vacature. Om je er een duidelijk beeld bij te geven, verwijs ik je graag naar https://werkenbij.alliander.com/arbeidsvoorwaarden/informatie-screening/ Hier kan je er alles over lezen.
Recruiter
Jaap Menting
Telefoonnummer:
+31 (6) 24672228",https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png,Utrecht,nan,CGI Nederland3.9 ★
Master Data Analyst a.i.,"Position Description:
To strengthen our Azure Data Lake team we are currently looking for Azure MLOps Data Engineers.

As an MLops engineer leveraging your passion for data by supporting our customers' data driven ambitions to fruition that includes supporting all business initiatives with a need for data and machine learning models (global data platform, Analytics platform in the Cloud, ...).

Your day-to-day activities?

As a software developer you will be responsible for providing the data for reports, applications and departments of our clients. You will develop complete and scalable solutions to deliver data as quickly as possible in a secure, compliant and automated manner.

You get excited by building and deploying big data pipelines in the cloud and running Machine Learning models in production. You use cloud native components and value the separation between storage and computing. Data frames are not a new concept to you and you write code in either PySpark or use Azure Data Flow for your ETL needs. Your deployments are automated and you are able to quickly prototype your solutions. You know Azure network and security components by heart. You love setting up Monitoring and Logging.

The Azure MLOps Data Engineer is responsible for:
The development of scalable, high-performance solutions based on open source technologies;Developing and maintaining Streaming flows and data pipelines;
Setting up and maintaining CI/CD pipelines in Azure DevOps;Setting up data quality and monitoring;Develop unit tests (TDD);Advising on and involved in the realization of the Data Lake;Working in a multidisciplinary Scrum team as a 'T-shaped' team member;Staying up to date with the latest developments in the market.

What you need to be succesful in this role?
Demonstratable experience in MLOps on Azure, Azure Infra and Security, Azure Logging and Monitoring, Airflow Scheduling, building and deploying with Azure DevOps is a must;In addition: extensive experience with Azure Data Factory, Databricks using Python/PySpark, Azure Data Lake Storage, Azure Functions and Data modelling & SQL is highly preferred;Eagerness to learn, open to new techniques and the ability to teach and share your knowledge;You can work well together, show entrepreneurship and flexibility;You are able to advise and communicate about new solutions;Knowledge and experience in the financial sector is preferred;Bachelor or Master Degree in Information Science or a similar discipline;Residence in the EU.

Your working environment
As Azure MLOps Data Engineer you will be working for the business unit Banking within our Financial Services domain. Retail and Corporate Banking are rapidly changing. New regulations, increased competition and innovation in the field of Open Banking, stimulate the banks to adapt and constantly invest in their application landscape. This, while top priority remains keeping client satisfied and their data safe from all possible intrusions. This is the vibrant environment you will be working in. Together with a team of experts you will - in an Agile way - be working on these new and changing solutions at our clients in the financial services sector. Since its establishment CGI has always run at the forefront of changes in the financial world. CGI serves all large and midsize Dutch banks and helps them to get programs and processes in line with the requirements. As a partner we focus on innovation, technology and secure solutions that enable CGI to add value and to keep our customers ahead of their competitors.

Our offer
We offer you a permanent contract, so that you immediately have job security. Part-time work, for example 32 or 36 hours per week, is negotiable, we are happy to offer you that flexibility. In addition, we feel it is important that everyone at CGI feels like the owner of their own work. Literally owner, because at CGI you get the opportunity to become a shareholder and thus share in our successes.


We also believe it's important that you stay inspired, do the things you enjoy and continue to develop. Our CGI Academy offers a wide range of relevant training courses. What else we have to offer: a place in a close-knit team of professionals where we share responsibility for the development of our clients and employees. A team with which we can exceed customer expectations and put ourselves on the map within and outside of CGI. A role in our CGI story!

Are you ready to be part of our story?
Apply now! We will contact you as soon as possible. Questions about the position? Ask them to Yvette van Esch, Director Consulting Services at +31(0)6 1216 2907 or yvette.van.esch@cgi.com.

Vragen over de sollicitatieprocedure? Neem contact op met recruiter Lisa van der Kooij via +31657613848 of via lisa.vander.kooij@cgi.com.

We do not cooperate with external recruitment parties.

Acquisition due to our vacancies is therefore not appreciated.
What you can expect from us:
Insights you can act on

While technology is at the heart of our clients’ digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees “members” because they are CGI shareholders and owners, and, as owners, we enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today—one of the world’s largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where everyone belongs, and we collaborate with clients in building more inclusive communities. As an equal opportunity employer, we empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI—where your ideas and actions make a difference.",https://media.glassdoor.com/sql/583359/page-group-squarelogo-1392152631880.png,Venlo,nan,Michael Page4.3 ★
Data Scientist / engineer,"Master Data|International
About Our Client
Healthcare

Job Description
Key Responsibilities:

Manage and maintain the company's master data, ensuring accuracy, completeness, and consistency across all systems and departments.
Collaborate with various teams to identify data requirements and ensure data is captured and recorded accurately.
Develop and implement data quality checks, ensuring the integrity of the data and identifying any data discrepancies.
Analyze and interpret complex data sets to identify trends, patterns, and insights to support business decision-making.
Develop and maintain data governance policies and procedures to ensure compliance with regulatory requirements and data privacy laws.
Work closely with the IT department to support the implementation of data-related projects and initiatives.
Provide training and support to end-users on data-related topics, including data entry, data maintenance, and data governance.

The Successful Applicant
Bachelor's degree in Computer Science, Information Systems, or a related field.
3+ years of experience in data management, data analysis, or a related field.
Strong analytical and problem-solving skills, with the ability to interpret complex data sets.
Excellent attention to detail and ability to manage large volumes of data.
Experience with data governance frameworks and data privacy regulations.
Knowledge of database management systems, SQL, and data visualization tools such as Tableau.
Strong communication skills and ability to collaborate with cross-functional teams.
Ability to work independently and manage multiple projects simultaneously.

What's on Offer
12 months contract",https://media.glassdoor.com/sql/674266/yacht-technology-squarelogo-1426663499297.png,Amsterdam,nan,Yacht3.8 ★
Medior Developer | .NET | Azure | Data Driven,"Functieomschrijving
Ben jij een academisch geschoolde IT professional met een passie voor wiskunde, natuurkunde of computer science? Heb je een uitstekend analytisch vermogen en ervaring met programmeren, bij voorkeur in Javascript/Typescript? Ben je bekend met grafen (graphs) en heb je ervaring met het visualiseren hiervan? Dan hebben we een boeiende uitdaging voor jou!

Als Grafen (graphs) Visualisatie Expert kom je te werken in een uitdagende project dat zich richt op het visualiseren van complexe grafen. Het concept van grafen, bestaande uit nodes en edges, is je niet vreemd. Je begrijpt hoe verschillende lay-outs kunnen worden toegepast om grafen op een duidelijke en overzichtelijke manier te presenteren.

In deze rol ga je je bezighouden met het ontwikkelen van lay-outs die grote grafen (10k+ nodes/edges) op een efficiënte en snelle manier in de browser kunnen weergeven. Jouw doel is om niet alleen de prestaties te verbeteren, maar ook om ervoor te zorgen dat de grafen op een informatieve en overzichtelijke manier worden gepresenteerd aan gebruikers. Hierbij kan het aggregatie van data op verschillende niveaus in een graaf een belangrijke rol spelen, zoals het groeperen van nodes en het presenteren ervan als een enkele node die in/uitgeklapt kan worden.

Wij bieden een stimulerende en innovatieve werkomgeving waarin je jouw expertise kunt inzetten om complexe problemen op te lossen. Je komt te werken in een enthousiast en dynamisch team van professionals die allemaal gedreven zijn om de beste grafen visualisatie-ervaring te creëren.
Functie-eisen

Om succesvol te zijn in deze rol, is ervaring met React en kennis van GoJS een vereiste. Daarnaast is het belangrijk dat je bekend bent met het schrijven van unit tests en dat je comfortabel werkt in een agile (scrum) teamomgeving. Enige kennis van tools zoals Git, Jenkins en Docker is ook wenselijk.

Higher education, master degree

3 - 5 years",https://media.glassdoor.com/sql/3059350/cloud-solutions-squarelogo-1630498840821.png,Delft,€4K - €6K (Employer est.),Cloud Solutions5.0 ★
Data Integration specialist,"Our partner is a flat and agile organization with a startup culture that aims to help data-rich organizations access their potential and capitalize on its intrinsic value. They offer dedicated software development and specialized advice to enable a decision-making process based on a data-driven culture.They are looking for a Senior .NET Engineer with full-stack development experience to join their team. The challenges include designing and building REST APIs with .NET Core (C#), designing and building web applications with .NET and Javascript frameworks, applying object-oriented design principles and patterns, and communicating designs within the scrum team using UML diagrams. Ensuring that other developers have met development standards and are following procedures, and for bringing junior developers to the next level.Qualifications:Bachelor's degree or equivalent in Computer Science or related field.Minimum 5 years of experience in ASP.NET (Core) MVC, C#, Entity Framework (Core), Node.js, Angular, MS SQL Server, T-SQL, and other related technologies.Fluent in English (professional).Strong advisor.Nice to haves:Azure DevOpsAzure Cloud DevelopmentAzure DevOps CI/CDDocker/KubernetesReactBenefits:Development programs to help you pursue your ambitions.Company car or travel expenses reimbursement.Laptop, pension scheme, expense allowance, and 28+ vacation days.Profit sharing*.We invite both experienced and less experienced candidates to apply. If you have the necessary skills and qualifications and want to work in an innovative and fast-growing environment, we would love to hear from you!Soort dienstverband: Fulltime, Vaste baanSalaris: €3.500,00 - €5.500,00 per maandFlexibele taalvereiste:Nederlands niet vereistRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:Auto van de zaakBedrijfsfeestenBudget voor professionele ontwikkelingDienstreizen vergoedingExtra vakantiedagenKerstpakketMogelijkheid tot promotiePensioenReiskostenvergoedingTelefoonplanVrijdagmiddagborrelWerk vanuit huisZorgverzekeringWerklocatie:Hybride werkenOpleiding:Bachelor (Gewenst)Werklocatie: Hybride werken in 2614 VC Delft",https://media.glassdoor.com/sql/4320665/hnm-solutions-squarelogo-1636629524337.png,Leeuwarden,nan,HNM Solutions4.0 ★
