job_titles,job_description,images,locations,salaries,companies,pros,cons
SOCIAL MEDIA SPECIALIST / CREATOR,"JOB DESCRIPTION
X
LOCATION
Amsterdam, Netherlands
FULL TIME/PART TIME
Full time
Current LS&Co Employees, apply via your Workday account.",nan,Rotterdam,€3K - €3K (Employer est.),PixelX,NG,NG
Influencer & Social Media Lead,"PixelX bedenkt en realiseert dagelijks de tofste campagnes, ideeën en merken. The sky is the limit, en dat betekent ook dat ons team blijft groeien. Daarom zoeken wij een Social media specialist / Creator. Denk jij dat je goed past binnen onze groep creatieven in hartje Rotterdam? Lees dan verder!
PARTTIME

24 - 32 UUR
ONBEPERKT STUDIEBUDGET
SOCIAL MEDIA

MARKETING
HARTJE ROTTERDAM
DIT BEN JIJ .
Jouw hart klopt voor social media. Je volgt trends op de voet, snapt alle features en maakt thumb stopping video's. Een skill die je maar al te graag inzet voor mooie merken. Zo adviseer je over het gebruik van TikTok en Instagram, vertaal je onderzoeksinzichten naar contentstrategieën en bouw je mee aan creatieve campagnes. Sessie bij de klant? Jij pitcht ons concept met overgave en beantwoordt zonder moeite elke vraag. Als sociale speler kun je met alle designers, videomakers en conceptontwikkelaars goed door één deur en sta je te popelen om team Social verder op de kaart te zetten.
Alles op een rijtje
Jouw voorliefde voor social media is grenzeloos;

Je wilt de volgende stap zetten als Creator in een creatieve omgeving;

Je bewaart het overzicht tussen verschillende klanten, strategieën planningen;

Je verdiept je continu in de nieuwste trends en ontwikkelingen binnen social media;

Je durft de leiding te nemen;

Net als social media, sta jij nooit stil;

Op jouw cv staat +/- 2 jaar aantoonbare werkervaring bij een bureau.

WIJ BIEDEN JOU .
Een parttime job (24-32 uur/week) waar je de ruimte krijgt om jezelf te ontwikkelen;

Een onbeperkt studiebudget. Zo hebben collega’s onder andere cursussen gevolgd in Design Sprints en Adobe After Effects;

Een salaris dat aansluit bij jouw leeftijd ervaring, tussen de € 2500 en € 3100 bruto/maand exclusief 8% vakantiegeld;

Een goede pensioenregeling;

Dagelijks healthy lunch op de meest inspirerende plek van Rotterdam;

Een zonovergoten balkon voor de gezelligste vrijmibo’s;

De leukste collega’s waar je mee kunt boksen of trainen (als je durft). Iedere dinsdag om 17:00 bootcampen we;

Reiskostenvergoeding en eventueel een parkeervergunning.
WIL JE MEER WETEN OVER DEZE VACATURE?
Spreekt dit jou allemaal aan en wil je meer weten over deze vacature? Solliciteer dan direct of neem contact met mij op. Ik vertel je graag meer over deze vacature.

Of neem contact op met: 010 307 4592
LISA .
Recruitment & Office manager",https://media.glassdoor.com/sql/2872/levi-strauss-squarelogo-1568066622274.png,Amsterdam,nan,Levi Strauss & Co.,NG,NG
Aquaculture Research Editor (Fulltime / 40 hours,"We develop online portals that help people save money. We aggregate tens of thousands of discount codes and promotions to make it easy for our visitors to get a better deal while shopping online. With portals like RadarCupon in Spain, GuteGutscheine in Germany and LaReduction in France we're present in more than 28 countries and are growing fast.
We are currently looking for a committed and motivated part-time Content Editor for our English speaking websites. You will work in a small team and be responsible for all aspects of the content on the website. You will add to and update our discount code and savings database, communicate with our partner agencies / merchants and take ownership.
Your Responsibilities
Processing incoming emails and data
Maintaining our discount code and savings database
Achieving high quality and accuracy of the information in the database
Reviewing quality and revenue metrics and implementation of strategies for improving them
Improving internal processes to gather data and database quality
Your qualifications
You are a native-level English speaker and have impeccable writing skills
You reside in the Netherlands
You are flexible, resilient, conscientious and very reliable
You are accurate and enjoy working with databases
You're tech-savvy and adept at using the Internet
You are analytical and focused on achieving (business) results
What we offer
An exciting work environment in a fast growing startup with an international and friendly team
An office near the UvA in Amsterdam accessible by public transport
Flexible working days and hours
Option to work remotely
Flexible holidays
Competitive compensation
Pension benefit
Personal responsibility for tasks
We look forward to receiving your application!",https://media.glassdoor.com/sql/644462/aqua-spark-squareLogo-1653658271768.png,Utrecht,nan,Aqua Spark,NG,NG
"Content Editor English speaking markets (part-time 20 - 24h/week, remote-friendly)","Als Adviseur Social Media bij CBR ben je onze digital community expert. Jouw doel? De behoefte van de community, ofwel klanten van het CBR, inventariseren door te helpen bij het beantwoorden van vragen en klanten breed te informeren. Met jouw inlevingsvermogen in de verschillende doelgroepen draag je bij aan het bouwen van een klantgericht CBR!
Jouw uitdaging

Je voert de regie op alle relevante social media kanalen en je weet wat de verschillende doelgroepen bezighoudt. Je bent op de hoogte van de laatste trends op het gebied van social en je weet op welk kanalen je onze verschillende doelgroepen bereikt. In samenwerking met de content specialist en de designer bedenk je passende content, werk je kortlopende online campagnes uit en houd je regie over de posts in Coosto.
Wat ga je nog meer doen?
het opzetten, monitoren en aanscherpen van de social media strategie;
social media campagnes inzetten en optimaliseren;
doelgroepen onderzoek en per kanaal de doelgroep identificeren;
monitoren van berichtgeving en de online dialoog;
kansen spotten en meenemen in het redactieoverleg;
bewaken van de social media kalender op basis van de social media strategie;
doorvertalen merkverhaal naar social richtlijnen;
strategie doorvertalen naar een plan van aanpak voor social media;
je neemt je teamgenoten mee in de laatste trends op het gebied van social media en je zorgt dat het hele team social media savvy wordt :-)
Wie ben jij?

Je bent...
creatief en vaardig met korte tekst en beeld;
bekend met de meetbaarheid (algoritmes en statistieken) van social media;
in staat om snel te schakelen als het gaat om ad hoc werkzaamheden;
niet bang te experimenteren met kanalen, content en campagnes;
goed in het schrijven van heldere briefings voor collega’s of externe bureaus;
op zoek naar een vaste baan en beschikbaar voor minimaal 30 uur per week.
Je hebt...
minimaal een afgeronde hbo-opleiding;
relevante ervaring als social media specialist of online content specialist.
Waarom het CBR?

Je krijgt een betekenisvolle en uitdagende baan bij een organisatie waar verandering en vernieuwing hoog op de agenda staat. Daar horen dan ook nog goede arbeidsvoorwaarden bij:
een jaarcontract voor 37,5 uur per week met uitzicht op een vast dienstverband;
een bruto maandsalaris van maximaal € 4.656,03 op basis van een 37,5-urige werkweek (inschaling afhankelijk van ervaring);
8% vakantietoeslag + 8.33% eindejaarsuitkering;
circa zes weken vakantie bij een fulltime dienstverband;
een uitstekende werk/privébalans en dus heb je bij het CBR de mogelijkheid om ook thuis te werken;
een vergoeding van € 40,- bruto per maand op je zorgverzekering;
volop trainings-, opleidings- en ontwikkelingsmogelijkheden in een mensgerichte organisatiecultuur met een mooi maatschappelijk doel;
goede secundaire arbeidsvoorwaarden zoals een goede verlofregeling en pensioenopbouw via het ABP.
Over het CBR

CBR staat als publieke dienstverlener op het gebied van verkeersveiligheid en mobiliteit middenin de samenleving. En die rol nemen wij serieus. Zo vormen de belangen en behoeftes van onze klanten - bij de wijze waarop wij invulling geven aan onze dienstverlening - altijd het startpunt in alles wat wij doen. Ook als het gaat om onze klantcommunicatie.
In dat kader heeft het communicatieteam in 2021 het team Newsroom en Creatie opgezet. Via de Newsroom voorzien wij klanten dagelijks in hun behoefte aan informatie en advies, passend in de fase waarin zij zich bevinden. De Newsroom is de plek waar CBR de regie neemt in de dialoog. Hier halen we de informatie binnen, coördineren, maken en analyseren we de content die we delen.
Het team Newsroom en Creatie is een multidisciplinair team dat dagelijks samenwerkt met collega’s van webcare, kennismanagement, woordvoering, communicatie en digitaal advies. Samen brengen wij het verhaal van CBR via de weg van storytelling naar buiten en bereiken, binden en betrekken wij iedereen die in aanraking komt met onze dienstverlening.

Vragen over werken in deze functie bij het CBR?
Onze Recruiter Mariska Klop kan je er alles over vertellen. Je bereikt Mariska door een app te sturen naar: 06 - 14 30 90 29.

Iedereen is welkom om bij het CBR te werken, welke achtergrond, beperking of uitdaging je ook met je meebrengt. Wij kijken naar talent en geloven dat iedereen kan bijdragen aan het CBR.
Daarom nodigen wij jou graag uit, als jij je herkent in deze vacature, om te solliciteren.

(Beste bureaus: gebruik deze vacature alsjeblieft niet om acquisitie te doen. Dat is niet waar we naar op zoek zijn. Bedankt alvast!)",https://media.glassdoor.com/sql/4255768/oberst-squarelogo-1634289141843.png,Amsterdam,nan,Oberst,NG,NG
(Web-)redacteur/communicatiemedewerker,"Ben jij een Social Media Creative en goed in het bedenken van leuke Social Media concepten tot het uitwerken in daadwerkelijke posts. Je bent niet van het internet af te slaan en met een schermtijd van 5 uur plus ben jij op de hoogte van alle trends op het gebied van Social Media. Van TikTok tot LinkedIn en van Twitch tot Pinterest.

Wat ga je doen?
Bedenken van leuke social media concepten tot het uitwerken in daadwerkelijke posts. In deze rol krijg je veel creatieve vrijheid en ben je verantwoordelijk voor je eigen klanten portefeuille.

Beschrijving bedrijf
Online marketingbureau wat nu 2,5 jaar bestaat enorm aan het groeien is. Bestaande uit een dynamisch jong team van 10. Daardoor biedt deze baan je enorm veel kansen om door te groeien en jezelf te ontwikkelen.

Wie zoeken wij?
Je hebt minimaal 1 tot 2 jaar werkervaring in het vak, maar persoonlijkheid en talent zijn minstens zo belangrijk.
Je bent ondernemend, proactief en zelfstandig
Weet als geen ander wat de trends zijn op social media
Zit bomvol creatieve ideeën en tovert deze moeiteloos om tot gave designs
Kunt goed overweg met Photoshop, InDesign, Illustrator en Première Pro
Het is een pre als je Nederlands pakkende copy uit je mouw kunt schudden",https://media.glassdoor.com/sql/5660579/rijksdienst-voor-het-cultureel-erfgoed-squarelogo-1649841006703.png,Amersfoort,nan,Rijksdienst voor het Cultureel Erfgoed,NG,NG
Nieuwsbrief redacteur,"Sollicitatieformulier: https://werkenbij.kro-ncrv.nl/social-media-creative/nl/apply?&step=1Scroll jij het liefst daaaagenlang door je tijdlijn? Weet jij hoe je op o.a. Instragram, TikTok en Facebook zoveel mogelijk mensen bereikt en altijd op de hoogte van de nieuwste social media apps? En heb je ook nog eens de creatiefste ideeën hoe je met televisieprogramma’s zoals Boer zoekt vrouw, De slimste mens en Keuringsdienst van waarde op social de interactie aangaat? Klik dan direct op die ‘solliciteren’ knop hieronder!Full-time · KRO-NCRVOver de rolAls Social Media Creative bij KRO-NCRV beheer je de corporate social kanalen en voer je inhoudelijk redactie over diverse titels. Je werkt samen met Online Content Specialisten en de Teamleider Online Content aan de contentstrategie en zorgt dat de social kanalen elke dag gevuld zijn met creatieve content rondom de thema’s van KRO-NCRV en onze programma’s.Dit worden jouw taken:Jij maakt content in diverse vormen en bedenkt nieuwe vertelvormen (tekst, beeld, video, audio) en voert redactie over diverse digitale kanalen (Instagram, Facebook, LinkedIn, Twitter, TikTok en YouTube) van KRO-NCRV;De social planning is voor jou heilig en jij weet precies wanneer jij wat online plaatst d.m.v. een contentstrategie;Jij haalt proactief nieuws en weetjes bij de radio- en televisieredacties, waarna je na verwerking ervan de content op een creatieve en logische manier publiceert;Jij vindt het leuk te zien hoe jouw posts het doen qua succes en weet dit over te brengen aan collega’s;Je bent verantwoordelijk voor de inzet van online marketing bij je titels;Je stuurt een stagiaire operationeel aan.Over jouJe hebt affiniteit met de uitgangspunten van KRO-NCRV: een inclusieve samenleving, waarin ruimte is voor iedereen en omgezien wordt naar de ander;Jij bent een creatieve en strategische online creator;Jij bent een flexibel, stressbestendig persoon die energiek met collega’s of zelfstandig werkt;Jij hebt oog voor resultaat en bent niet vies van een planning;Jij hebt verantwoordelijkheidsgevoel en bent communicatief vaardig;Je bent conceptueel, creatief en volgt nieuwe trends op de voet;Je hebt ervaring met werken in Adobe Première Pro en Adobe Photoshop.Over de afdeling Digitaal & MarketingWij zijn de pioniers van KRO-NCRV, een inclusieve groep creatieve en eigenzinnige collega’s. Onze afdeling bestaat uit drie teams: team onderzoek & concept, team online content en team data & development. We zijn steeds op zoek naar nieuwe manieren om verhalen te vertellen, ons publiek te betrekken, te bereiken en impact te maken. Dit doen we omdat we de wereld graag mooier maken, maar ook omdat we stuiteren van alle kansen die de vele platformen en technologieën ons daarvoor bieden. Hierbij speelt data, distributie, onderzoek en online een steeds essentiëlere rol.Wat wij biedenWij bieden een arbeidsovereenkomst voor 36 uur per week. De functie is conform de CAO voor het Omroeppersoneel ingedeeld in schaal G. Het salaris ligt tussen € 2.869,55 en € 4.377,65 per maand bij een fulltime dienstverband van 36 uur en is afhankelijk van opleiding en ervaring.Overige arbeidsvoorwaarden:8% vakantietoeslag6% eindejaarstoeslagtegemoetkoming in je reiskostende mogelijkheid om feestdagen uit te ruilenruim 5 weken vakantie naar rato dienstverbandeen laptoptelefoonvergoedingzeer gunstige pensioenregelingruimte voor kennisoverdracht, scholing en trainingMeer informatie voordat je solliciteert?Indien je meer informatie wilt over deze functie, dan kun je contact opnemen met Marloes Noga, Teamleider Online Content team.Soort dienstverband: Fulltime, ParttimeSalaris: €2.869,55 - €4.377,65 per maandRooster:ma-vrWerklocatie: Eén locatie",nan,Utrecht,nan,Utrecht in Dialoog,NG,NG
Medewerker Verslag en Redactie in opleiding (5x),"We zijn op zoek naar een communicatiemedewerker die gespecialiseerd is in (web-)redactie. Het gaat om een functie van 1 fte voor de periode van twee jaar.
Wat staat je te doen?
Als webredacteur zorg je samen met je collega’s van de webredactie voor de content op cultureelerfgoed.nl, onze kennisbank, intranet, social media en de andere online uitingen van de RCE. Je schrijft, stemt af, redigeert en plaatst content. Ook help je je collega’s met online advies en ondersteuning. Daarnaast heb je een duidelijke visie op de inzet van social media.

Naast je werkzaamheden als webredacteur ben je als communicatiemedewerker onderdeel van het domeinteam gebouwd erfgoed. In nauwe samenwerking met de communicatieadviseur zorg je voor het creëren en beheren van de content voor dit domein. Je schrijft nieuwsbrieven en blogs, beheert de jaarplanning en helpt bij het oppakken van adviesverzoeken.
Functie-eisen
Wat vragen we van je?
Je hebt HBO/WO-denk- en werkniveau
Je hebt aantoonbare interesse in het erfgoedveld
Je hebt aantoonbare cms-ervaring, bij voorkeur met Platform Rijksoverheid Online (PRO)/Hippo
Je hebt aantoonbare ervaring met social media management en webcare
Je kan uitstekend schrijven en redigeren
Je bent creatief, flexibel, klantgericht, een teamspeler en je kunt goed plannen en organiseren.
Naast talenten, ervaring en motivatie maken aspecten van identiteit onze organisatie rijker, innovatiever én leuker. Wij werken voor Nederland en willen daarom ook graag een afspiegeling zijn van onze diverse inwoners. Door verschillende achtergronden, perspectieven en inzichten toe te voegen aan onze organisatie, versterken wij onze denkkracht én ons werk voor de samenleving. Een ieder wordt daarom uitgenodigd te solliciteren.
Arbeidsvoorwaarden
Salarisniveau
schaal 10
Maandsalaris
Min €2.957 – Max. €4.707 (bruto)
Dienstverband
Arbeidsovereenkomst voor bepaalde tijd
Contractduur
twee jaar
Minimaal aantal uren per week
36
Maximaal aantal uren per week
36
Overige arbeidsvoorwaarden
Naast het salaris ontvang je een Individueel Keuzebudget (IKB). Het IKB bestaat uit geld (16,37% van je bruto jaarsalaris) en tijd. Met het IKB maak jij de keuzes die bij jou passen en kun je een deel van je arbeidsvoorwaarden zelf samenstellen. Je kunt er bijvoorbeeld voor kiezen om een deel van je maandinkomen te laten uitbetalen wanneer jij dat wenst. Ook kun je dit budget omzetten in verlof en andersom of besteden aan fiscaal vriendelijke doelen. De Rijksoverheid hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden. Tot de secundaire arbeidsvoorwaarden behoren onder meer verschillende studiefaciliteiten, bedrijfsfitness, volledige vergoeding van je OV-reiskosten woon-werkverkeer en gedeeltelijk betaald ouderschapsverlof.
Bijzonderheden
Werving vindt tegelijkertijd Interdepartementaal als extern plaats, waarbij rijksbrede kandidaten bij geschiktheid voorrang hebben op externe kandidaten.
Planning gesprekken week 12/13.
Het ministerie van Onderwijs, Cultuur en Wetenschap is een inclusieve organisatie die ruimte biedt aan iedereen en die de kracht van de diversiteit van medewerkers inzet om onze doelen te realiseren. Talent als basis, diversiteit als kracht. Naast je kwaliteiten, talenten en motivatie breng je ook jouw leeftijd, geaardheid, culturele achtergrond of arbeidsbeperking mee. Je bent van harte welkom!
Na sluitingsdatum zal de vacaturetekst en de gegevens van de vacaturehouder online niet meer zichtbaar zijn. Om te voorkomen dat je deze moet opvragen, verzoeken wij je de vacaturetekst te downloaden en te bewaren.
Meer over de functiegroep Adviseur Bedrijfsvoering
Door het Functiegebouw Rijk worden medewerkers en leidinggevenden geholpen bij het maken van resultaat- en ontwikkelafspraken in functioneringsgesprekken en krijgt men inzicht in de loopbaanmogelijkheden binnen de Rijksoverheid.
Meer informatie op Functiegebouw Rijksoverheid
Meer over jouw toekomstige afdeling
Je maakt onderdeel uit van de afdeling Communicatie. De afdeling bestaat uit bijna 30 medewerkers, verdeeld over een team Adviseurs en programmamedewerkers, een webteam, een congresbureau, team Publicaties, team Infodesk en een tijdschriftredacteur.
Rijksdienst voor het Cultureel Erfgoed
Onze opdracht is de erfgoedzorg in Nederland goed te laten functioneren, zodat cultureel erfgoed doorgegeven wordt aan volgende generaties. Om de toekomst een verleden te geven en het verleden een toekomst.
De RCE is een kennisinstituut en uitvoeringsorganisatie van de minister van OCW. We voeren de wet- en regelgeving van de rijksoverheid uit voor monumenten, archeologie, roerend erfgoed en landschap. Ook verstrekken we subsidies aan eigenaren.
Onze grote en specialistische erfgoedkennis ontwikkelen we op het snijvlak van beleid, praktijk en wetenschap. Deze kennis ontsluiten we voor toepassing in de praktijk en voor het publiek. We adviseren overheden en eigenaren van (rijks)monumenten, musea en collectiebeherende instellingen en we werken samen met het brede erfgoedveld van marktpartijen tot vrijwilligersorganisaties.
De RCE is een professionele organisatie met een interessant werkveld, bevlogen collega's en een informele werksfeer.
Rijksdienst voor het Cultureel Erfgoed",https://media.glassdoor.com/sql/1076097/tweede-kamer-der-staten-generaal-squarelogo-1481766160359.png,The Hague,nan,Tweede Kamer der Staten Generaal,NG,NG
Webredacteur / socialmediaredacteur,"Is editen jouw tweede natuur, je grote passie en is je droom om te werken voor de grootste (online) merken? Zou je graag in een jong, creatief en enthousiast team willen werken en breng jij iedere opname en montage tot een visueel sterk eindresultaat? Dan willen we heel graag kennis met je maken!
StukTV is namelijk op zoek naar een enthousiaste, talentvolle en gedreven Editor.

Full-time · Hilversum

Wat ga je als Editor bij ons doen?

Je monteert grote online & socials producties van StukTV;
Je denkt creatief en inhoudelijk mee over de montages en opnames waarbij je het format en de wensen van de regisseur moeiteloos kan vertalen naar een toffe edit. Maar waarbij jij jouw eigen inbreng, initiatief en smaak ook in de montage weet te brengen;
Je gaat altijd voor het best haalbare eindresultaat en levert je eigen video’s af;
Je werkt nauw samen met het productie, redactie- en camerateam in het gehele post-traject.",https://media.glassdoor.com/sql/1671807/koninklijke-bibliotheek-van-belgië-squarelogo-1535542826809.png,The Hague,€3K - €4K (Employer est.),Koninklijke Bibliotheek,NG,NG
"Redacteur BOVAG (0,8 -1 fte)","Ben jij een kampioen in social, commercieel denkend en creatief? Bezit jij de capaciteiten om renderende Social mediacampagnes te bedenken, analyseren en te optimaliseren. Jelba is jouw kans om je talenten te laten zien. Geen dag hetzelfde, geen klant gelijk. Oh, ja; wij hebben geen werkgroepen, vergaderen zo min mogelijk en leveren altijd resultaat voor onze klanten. Daar krijg je ook veel voor terug; zelfstandigheid, verantwoordelijkheid, lol en een inspirerende werkomgeving in Utrecht. Jelba, de beste investering in jezelf.

Wat ga jij doen?
Helpen ontwikkelen van effectieve B2B Social Media campagnes voor prachtige bedrijven
Met klanten en collega’s sparren over gave social campagnes
(Mede) bedenken, coördineren van opzet, doelgroep, runnen van de campagnes en kanalen (inhoud, planning en content)
Je kent de producten van onze klanten en het boeit je ook echt!
Samenwerkingen opzetten met influencers (wij hebben een netwerk) om creative campagnes te bedenken en uit te rollen
Performance controle en ontwikkeling van effectieve maatregelen voor het verbeteren van de campagnes
Niet overtuigen met aannames, maar met data! En gewoon doen. Daar zijn wij gek op.
Adviseren en geven van management rapportages
Pro actief meedenken bij de commerciële en strategische ontwikkeling op het gebied van betaalde en gratis Social campagnes
Wat ga jij leren?

Een dag niet geleerd is een dag niet geleefd. Alles staat bij ons in het teken van experimenteren, kennis delen en mogen falen. Vanaf dag één krijg jij een buddy die jou meeneemt in onze aanpak en met wie jij ongegeneerd over het vak kunt sparren. Tijdens de klantteams meeting en kennisbijeenkomsten deel je jouw ervaringen en inzichten met je Jelba collega’s.

Je werkomgeving

Vanuit ons kantoor in Utrecht werk jij samen met verschillende specialisten in het team aan meerdere projecten tegelijk. Voor de mooiste B2B klanten van Nederland. Ons kantoor is goed bereikbaar met de auto en ligt op loopafstand van het centraal station. En het kantoor ziet er gewoon te gek uit.

Het team

Jelba is een optelsom van geweldige mensen die elkaar versterken. Allemaal met hun eigen specialisme en karakter. Iedereen is 100% zichzelf, gedreven en professioneel. We kunnen heel hard werken en heel hard lachen. Fouten maken is niet erg. Dat hoort bij ons beroep. Er van leren is essentieel. We worden iedere dag een beetje beter, slimmer en sneller. Wij werken nauw samen met onze collega’s bij de klant en met onze collega’s in Duitsland en België.

Wij vragen
Je hebt beginnende ervaring, maar vooral veel affiniteit met social marketing.
Je bent bereid om hard te werken voor resultaten en wil heel graag heel veel leren. Elke dag!
Je werkt graag in een teamverband en communiceert op een manier, zodat collega’s en klanten altijd verder kunnen bouwen op hetgeen je doet. Er zit een duidelijke structuur en planning in je werkzaamheden.
Je Nederlands is uitstekend. Engels beheers je op een goed niveau. Duits is een pre.
Je hebt affiniteit met technologie en software, en je volgt de ontwikkelingen in jouw vakgebied op de voet
Je kiest bewust voor Jelba en denkt en werkt mee aan de strategische ontwikkeling van ons snelgroeiende Europese bedrijf.
Je DOET: Je wordt tenslotte en Jelba rups.
Je bent optimistisch en staat vrolijk in het leven.
Over Jelba

Jelba creëert omzet voor B2B bedrijven door de bouw, implementatie en de uitvoering van online verkoopkanalen. Dit doen wij internationaal. Instappen is voor onze klanten tegen een laag risico want wij durven ons mede af te laten rekenen op het resultaat. Onze extreme specialisatie in B2B Online Marketing maakt ons volgens Emerce één van de beste E-business bedrijven van Nederland. Wij vinden het belangrijk dat onze klanten dat ook zo ervaren. En dat doen ze. Het zijn stuk voor stuk onze ambassadeurs. Wij zijn trots om hun collega’s te zijn. Ons DNA: Wij doen. Digitaal verandert iedere markt en ieder verdienmodel. Wij zijn rupsen en het zit in ons instinct om mee te veranderen. Wij zijn gulzig naar business voor onze klanten.",https://media.glassdoor.com/sql/2989842/bovag-squarelogo-1637824221179.png,Bunnik,€3K - €5K (Employer est.),Bovag,NG,NG
Social Media Creative,"Als redacteur draag je bij aan een zo goed mogelijke online dienstverlening voor de mensen in onze stad. Daarnaast werk je mee aan het onderhouden en doorontwikkelen van het social intranet en verschillende websites. Je adviseert over de inzet van online en offline media en redigeert content hiervoor. Ben jij een ervaren en enthousiaste redacteur met goede adviesvaardigheden? Weet je alle ins- en outs van communicatie en online media? Dan is dit jouw nieuwe baan! Lees snel verder voor meer informatie en solliciteer.

Met wie ga je werken?

Je gaat aan de slag binnen ons redactieteam en werkt veel samen met grafische vormgevers, woordvoerders en communicatieadviseurs. Ook werk je samen met externe partners, bijvoorbeeld met de leveranciers van ons intranet en onze website of met de vormgever van de gemeentepagina’s in het huis-aan-huisblad.

De redactie valt onder de afdeling Services, oftewel dienstverlening. Op deze afdeling werken zo’n 60 collega’s samen om de mensen in de stad zo goed mogelijk te helpen. Dat doen we aan de balies, online of aan de telefoon. De afdeling bestaat naast de redactie uit het Klant Contact Centrum (KCC), team burgerdiensten, team kwaliteit en ontwikkeling, het omgevingsloket en grafische vormgeving.

Wat ga je doen?

Je draagt bij aan de doorontwikkeling van onze communicatiekanalen en hebt een duidelijke visie op online dienstverlening;

Je houdt je samen met collega’s bezig met de doorontwikkeling en uitrol van de eisen op het gebied van digitale toegankelijkheid;

Je adviseert collega’s over de inzet van communicatiemiddelen;

Je verbetert content op het intranet en de website en houdt deze actueel.

Wat heb jij in huis?

Je hebt een afgeronde opleiding op hbo-niveau, bij voorkeur richting Communicatie of een soortgelijke opleiding;

Je hebt minimaal 5 jaar aantoonbare ervaring als redacteur of vergelijkbaar;

Je bent op de hoogte van de nieuwste ontwikkelingen op het gebied van online dienstverlening, de Web Content Accessibility Guidelines (WCAG) en hebt kennis van de verplichte richtlijnen voor overheidswebsites;

Je kunt goed plannen, organiseren en verbinden;

Je bent stressbestendig, flexibel, oplossingsgericht en hebt politieke en bestuurlijke sensitiviteit;

Je hebt goede redactionele vaardigheden en schrijft heldere, toegankelijke teksten op B1 niveau;

Je werkt graag in teamverband, waarbij je oog hebt voor de relaties met andere afdelingen en externe leveranciers.

Wat zegt je collega?

“Als redacteur lever je een belangrijke bijdrage aan de dienstverlening voor de mensen in Gouda. Het is een brede functie waarbij je met alle afdelingen van de gemeente te maken krijgt. Dat maakt het werk zo leuk en afwisselend. Houd je ook nog eens van woordgrappen? Dan voel je je zeker thuis in ons ambitieuze, gedreven team!”

Dit bieden wij

Werken bij de meest smaakvolle stad van Nederland

Gouda is van oudsher de stad van kaas en stroopwafels. Smaakvol en divers! Een leuke, middelgrote stad met grootstedelijke uitdagingen; want Gouda ontwikkelt zich volop. De komende jaren staat er nog veel te gebeuren. Daarom zijn we ook zoek naar #smaakmakers, want jouw ideeën en kennis kunnen we goed gebruiken! Welke smaak voeg jij toe aan Gouda?

Wat bieden wij naast smaak?

Als jouw werk het toelaat behoort hybride werken tot de mogelijkheden, waarbij we een goede werk-privé balans centraal stellen;

Mooi modern, centraal gelegen, Huis van de Stad met een #smaakvol bedrijfsrestaurant;

Goede ICT-voorzieningen met onder andere een ruime keuze in smartphones die je voor werk en privé mag gebruiken;

Ruim aanbod secundaire arbeidsvoorwaarden;

Platte organisatie met veel ruimte voor eigen inbreng;

Individueel keuzebudget van 17,05 % wat je kunt inzetten voor verschillende doelen zoals bijvoorbeeld een opleiding, extra salaris of verlof;

Veel aandacht voor persoonlijke ontwikkeling met jouw eigen ontwikkelbudget;

Groot aanbod op het gebied van jouw ontwikkeling en vitaliteit via de GoudAcademie, zoals opleidingen, (online)trainingen, e-learnings, webinars, masterclasses en e-books;

< 35 jaar? Sluit je aan bij ‘Jong Goud’ voor persoonlijke ontwikkeling en netwerkborrels.

Wil je graag sfeerproeven? Kijk dan op

www.werkenvoorgouda.nl

.

Salaris en contract

Het gaat om een functie voor 32 uur, waarbij we altijd met een contract voor een jaar starten. Het salaris is afhankelijk van opleiding en ervaring en betreft maximaal € 4.671 ,-- bruto per maand (schaal 10).

Enthousiast?

Wil je ook als #smaakmaker bij ons aan de slag? Solliciteer dan meteen via de button dit kan tot en met 26 maart as. De eerste gesprekken zijn op 4 april.

Meer weten?

Meer informatie over de functie kun je opvragen bij Marloes Dettingmeijer, hoofd van de afdeling Services, telefoon: 06-48135558.

Voor vragen over de procedure kun je contact opnemen met Alexandra Snouck Hurgronje, recruiter afdeling HRM, via 06-43385523.

Sollicitatieprocedure:
Na de sluitingstermijn van de vacature krijg je zo snel mogelijk een reactie op jouw sollicitatie. Na een eerste selectie benaderen we de kandidaten voor een sollicitatiegesprek. We houden maximaal 3 sollicitatiegesprekken, de gesprekken zullen fysiek of via Zoom plaatsvinden. Eventueel maken we gebruik van een referentieonderzoek en/of (online) assessment. Ben jij onze #smaakmaker, dan krijg je nog een afrondend arbeidsvoorwaardengesprek. Van al onze nieuwe collega’s vragen we een verklaring omtrent gedrag (VOG).",https://media.glassdoor.com/sql/2176233/ruwer-squarelogo-1629478776075.png,Utrecht,nan,Ruwer,NG,NG
