job_titles,companies,images,locations,salaries
Java Software Engineer - #463,"Bullhorn, Inc.",https://media.glassdoor.com/sql/155930/bullhorn-squarelogo-1460382221741.png,Netherlands,nan
Backend Software Engineer - Personalization,IKEA,https://media.glassdoor.com/sql/3957/ikea-squareLogo-1675089333828.png,Amsterdam,nan
Software Engineer,KidsKonnect,https://media.glassdoor.com/sql/4175899/flexkids-squarelogo-1661343862306.png,Netherlands,nan
Junior IT Software Engineer (Starter position),NXP Semiconductors,https://media.glassdoor.com/sql/13528/nxp-squarelogo.png,Nijmegen,nan
Python Software Engineer,Cloud Technology Solutions,https://media.glassdoor.com/sql/1566077/cloud-technology-solutions-squareLogo-1624346999351.png,Netherlands,nan
Junior Software Engineer,Capgemini,https://media.glassdoor.com/sql/3803/capgemini-squareLogo-1674045611518.png,Utrecht,€3K (Employer est.)
Software Engineer (JavaScript/React),TomTom,https://media.glassdoor.com/sql/38808/tomtom-squareLogo-1667370768893.png,Amsterdam,nan
Junior Software Engineer,Kryha,https://media.glassdoor.com/sql/6822161/kryha-squarelogo-1652348781630.png,Amsterdam,nan
Junior Software Engineer,Cloudflight,https://media.glassdoor.com/sql/3263451/cloudflight-squarelogo-1581538381524.png,Amsterdam,nan
Software Engineer,VonWood B.V.,nan,Amsterdam,€5K - €6K (Employer est.)
Backend Software Engineer - Platform Services,HousingAnywhere,https://media.glassdoor.com/sql/711735/housinganywhere-squarelogo-1541501673290.png,Rotterdam,nan
Full-stack Software Engineer - Python,The Next Chapter W&S,nan,Amsterdam,€5K - €6K (Employer est.)
Software Engineer Intern (Frontend) - Purpose Driven Scale-Up,AgriPlace BV,https://media.glassdoor.com/sql/3551205/agriplace-squareLogo-1671633169427.png,Amsterdam,€600 (Employer est.)
Java Software Engineer,Sourcelabs,nan,Utrecht,€4K (Employer est.)
BACKEND SOFTWARE ENGINEER CONNECTED (M/F/D),Canyon Bicycles,https://media.glassdoor.com/sql/638959/canyon-bicycles-squarelogo-1474959014476.png,Amsterdam,nan
Junior Software Engineer,WorldLine,https://media.glassdoor.com/sql/2068593/worldline-global-squareLogo-1632152061779.png,Amsterdam,nan
Software engineer (English),Mul BV ontwerpers & adviseurs,https://media.glassdoor.com/sql/4724371/mul-squarelogo-1645703393184.png,Gouda,nan
Senior Software Engineer (Netherlands),Emburse,https://media.glassdoor.com/sql/2523581/emburse-squareLogo-1625768592716.png,Netherlands,nan
junior software engineer,Canon Production Printing,https://media.glassdoor.com/sql/3522/canon-squarelogo.png,Netherlands,nan
(Senior) Software Engineer - Java Development,Bosch Group,https://media.glassdoor.com/sql/4293/robert-bosch-llc-squarelogo-1479310824097.png,Breda,nan
Software Engineer (.NET),Ascom,https://media.glassdoor.com/sql/340141/ascom-squarelogo-1424767225709.png,Utrecht,nan
Software Engineer Python,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Amsterdam,nan
Senior Software Engineer (m/f/d),Flink,https://media.glassdoor.com/sql/4921496/flink-squareLogo-1665587631810.png,Netherlands,nan
Senior Software Engineer,wehkamp,https://media.glassdoor.com/sql/987737/wehkamp-squarelogo-1544606176641.png,Zwolle,nan
Software Engineer / Unity Developer (C#/C++),Simendo BV,nan,Netherlands,€3K - €4K (Employer est.)
"Staff Software Engineer - Frontend, Observability",Uber,https://media.glassdoor.com/sql/575263/uber-squarelogo-1537216184790.png,Amsterdam,nan
Software Engineer,KnoDTec Solutions,nan,Netherlands,nan
Software Engineer Fintech,Online Payment Platform,nan,Delft,nan
Backend PHP Software Engineer,Amsterdam Platform Creation,https://media.glassdoor.com/sql/4688494/amsterdam-platform-creation-squarelogo-1627648168629.png,Amsterdam,nan
