job_titles,companies,images,locations,salaries
Data Analyst Level 3,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Schiphol,nan
Software Engineer Python,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Amsterdam,nan
Data Scientist bij Transavia,Transavia,https://media.glassdoor.com/sql/33289/transavia-squarelogo-1426743145078.png,Schiphol,€4K - €7K (Employer est.)
Python Software Engineer,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Amstelveen,nan
Data Analyst (Passenger & Consumer Insights) bij Transavia,Transavia,https://media.glassdoor.com/sql/33289/transavia-squarelogo-1426743145078.png,Schiphol,€3K - €5K (Employer est.)
Data Engineer,Royal FloraHolland,https://media.glassdoor.com/sql/2467896/royal-floraholland-squareLogo-1615471854120.png,North Holland,nan
Senior Back-end Developer Python/PHP,Brenger,https://media.glassdoor.com/sql/2928108/brenger-squareLogo-1617042356998.png,Netherlands,nan
Senior data engineer 'Advanced Analytics' - Utrecht,NS,https://media.glassdoor.com/sql/10491/nederlandse-spoorwegen-squarelogo.png,Utrecht,nan
Senior Machine Learning Engineer,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Schiphol,nan
Senior Software Engineer,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Schiphol,nan
