job_titles,job_description,images,locations,salaries,companies
Cost Engineer,"Heerema Marine Contractors
Cost Engineer
Do you have what it takes to prepare cost estimates for tenders ?
Cost Engineering
Leiden
Master
Starter
A unique maritime adventure
At Heerema Marine Contractors, we do something new every day. We operate the world’s largest crane vessels and with them we transport, install, and remove offshore structures for the offshore energy markets. Our projects range from installing wind turbines, removing retired offshore oil and gas platforms, and installing platforms up to 50,000 metric tons. By joining us, you will play an important part in our unique maritime adventure.
Your role in the story
As Cost Engineer, you are responsible for the preparation of tender cost estimates. The complexity and size of the tenders combined with the number of stakeholders and time pressure will challenge you in this role.
Who will you work with?
Your team will consist of Diederik, Santiago and many others. You will work closely with the Tender Manager and Tender Coordinator. It will be your job to prepare cost estimates for complex tenders.
Daily activities:
You make sure that tender cost estimates are available within the required timeframe;
Support Business development efforts;
Maintain consistency between tender cost estimates and maintain existing and develop new cost models;
Cost database management and maintenance;
Cash flow and risk analyses.
Is this the job for you?
A minimum of a Higher Vocational or Bachelor degree in (Offshore) Engineering/Business or a related field;
A minimum of 2 years of experience in (offshore) construction, marine contracting or another relevant field;
Flexible attitude and thrive on deadlines;
The ability to understand how our cost engineering software (Cleopatra) works and the capability to interface with the supplier on required maintenance or upgrades;
Excellent communication skills, fluent in English both written and spoken;
Experience with Cleopatra;
Experience with cost estimating and/or project controlling is a plus;
Experience with Java and/or Groovy language is a plus.
Here is what it takes to be a real Heerema colleague
Learning mindset, which means being open to feedback, curious, and eager to learn;
Personal leadership which means you are an entrepreneur at heart, have the mindset of a founder and take control of your own work and development.
Working at Heerema Marine Contractors
Making the impossible possible offshore, this is what drives us at Heerema! To execute our offshore projects we must innovate, engineer and develop to find solutions for our clients’ challenges. We are passionate about sustainability and are guided by our Sustainability Roadmap to reduce our impact on the planet. Working with Heerema means working in an international, informal, and friendly environment where you will meet likeminded and passionate colleagues.
Here's why people love working with us
Working on challenging projects;
Extensive onboarding process and opportunities to develop;
A development program to allow your talents to flourish;
Fun Friday-afternoon get together with colleagues;
Excellent perks and benefits, including a personal performance bonus, travel allowance, and contributions to your pension and insurance;
Free exercise facilities;
A social safety net with committed colleagues around you;
Plenty of digital and real-world activities to get to know colleagues outside your team;
30 days off to fully recharge;
A modern and easily accessible office in Leiden.
Is this your dream job? Put in your application now!
We are looking forward to hearing from you. We are interested in your CV, but we mainly want to find out more about your ambitions, your personality, and what is your motivation to succeed. So be sure to include a brief cover letter explaining why you are the perfect fit for this position.
 So hit the button, apply, and make the impossible possible with Heerema. We’d love to meet you!
The application process
The application process will consist of an online assessment, two interviews and contract negotiations. At the end of the process, we will cordially welcome you aboard.",https://media.glassdoor.com/sql/655284/heerema-marine-contractors-squarelogo-1426660598609.png,Leiden,nan,Heerema Marine Contractors
Project Engineer,"Description
General information:As a result of dynamic growth of our organization we are currently looking for candidates for the position SCADA Project Engineer. Open-minded, customer oriented & innovative are key-factors for success in our working environment. You should be a team player who collaborates across organizational levels in an intercultural environment.Responsibilities:Build station control systems (SCADA) for high and medium voltage switchgears according to the newest technology standard IEC 61850. Integrate the systems including the parametrization of the Ethernet-based communication structure. Implement the project specific functions as well as software applications, take care of tests, and coordinate the interfaces. Support the project manager in technical matters and coordinate both customers and internal partners. Prepare operation manuals that are based on our customer's requirements. Support the local sales team in tendering phase of projects. Provide customer support by means of curative and preventive maintenance tasks. Living Hitachi energy's core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.Your background:Degree in power engineering, electrical engineering or information technology. Experience in station automation, SCADA or process automation will be an asset. Knowledge of PC technology, in networks (LAN) and peripheral devices. Very good knowledge of MS Windows environment (MS Visio, MS Office). Strong communication skills. Work in an independent manner. Good knowledge of Dutch and English is required. Driving license min cat B.",https://media.glassdoor.com/sql/3507483/hitachi-abb-power-grids-squareLogo-1634136174704.png,Rotterdam,nan,Hitachi Energy The Netherlands B.V.
Tender Coordinator,"Organisation
Position
Tender Coordinator
Vacancy ref
81635
Based in
Zoetermeer
Business area
Renewables
Contract type
Staff
Closing date
09/04/2023
Vacancy information
WHAT IS THE ROLE?

Seaway7 is looking for a Tender Coordinator on a full time, staff basis, situated within our Zoetermeer office.

As a Tender Coordinator you will be responsible for the preparation of proposals in response to client ITT’s and RFI’s, including coordination with other departments as and when required.


WHAT WILL YOUR RESPONSIBILITIES INVOLVE?

Interpretation of client’s ITT documents to understand all aspects of the project
Liaise with other departments to prepare optimum and cost-effective solutions, in line with Company strategy and with a focus on risk & opportunities
Responsible for the day to day coordination of tender activities under supervision of Tender Manager
Coordinate tender deliverables and input from all functions for inclusion into the tender
Ensure adherence to the sales & marketing process during the tender phase
Assist the tender manager during negotiations with clients to clarify and follow- up the proposal submission


WHAT EXPERIENCE DOES THE ROLE REQUIRE?

Good knowledge of oral and written English
Sound communication skills, oral, written and electronic.
Degree in Engineering or Business/Commercial management
Good time management skills and ability to set and meet tight deadlines.


Seaway7 is a global leader in the delivery of fixed offshore wind projects, committed to contributing to an efficient and sustainable energy supply for the future.

We are headquartered in Oslo - Norway with five further main offices in Aberdeen – UK, Leer – Germany, Vejle - Denmark, Taipei - Taiwan and Zoetermeer - the Netherlands, and have a local presence in all key offshore wind regions around the world. We employ more than 500 people onshore, and have an offshore workforce of around 500.

Seaway7 is committed to creating a diverse workforce and offer excellent career opportunities, supporting you to develop your skills and aspirations.

#LI-JS2",https://media.glassdoor.com/sql/15168/subsea-7-squarelogo-1432302919463.png,Zoetermeer,nan,Subsea 7
Operations Coordinator 1,"Operations Coordinator 1
Location:
Amsterdam, NL
Country/Region: NL
Job Area: Logistics
Business Unit: RP Logistics & Operations
Are you a motivated and business savvy talent with a passion for logistics, operations, data entry, analytics and continual improvement? Are you interested in an opportunity to collaborate and be an enabler for excellent daily terminal operations in a growing international environment?

We are looking for a permanent Operations Coordinator to join our committed and high performing regional operations, vendor settlement, logistics planning and terminal coordination team.

The team is responsible for sales, supply, vendor settlement, logistics planning & terminal coordination end-to-end activities and contributes together with all our stakeholders to enable the highest business impact and support to strategic objectives.

Your part in Neste’s journey

In your role you will work closely with trading, supply and/or sales managers, Operations Coordinators globally , Shipping Operations, Land Logistics Managers, Logistics Planners, Terminals and other internal and external stakeholders. Manage day to day operative matters in renewable, petroleum product and raw material deliveries. You will execute raw material operations associated with shipments by vessels, barges, trucks, rail and/or containers. This position requires accuracy in daily activities, passion for cooperation, problem solving, solution oriented mindset and working with numbers. One of the key targets in this role is to manage daily operations in your designated area and the related data entries to our systems, focusing on operational efficiency, executed in line with the commercial contracts, digitalization, and automation initiatives.

In your role you also act as a subject matter expert and help our organisation to build, from operations coordination perspective, seamless process, clear roles & responsibilities and tools for future non bulk excellence.
Our work combines accountability, cooperation, and the desire to develop and renew.

The main responsibilities in this role:

Responsibility for daily transaction data of supply shipments by vessel, barge, truck, rail and containers for Supply and/or Sales contracts, as well as other complexities of the operations role (for example; STS operations, blending, optimization, transfers etc). The main purpose is to independently coordinate and manage daily operations and data transactions, as well as daily reconciliation between various system
Responsible for operating and executing the commercial contracts in the most accurate and efficient manner for your assigned area
Working closely with relevant stakeholders to ensure the timely and correctness of the daily data for efficient supplier / customer reporting and invoicing. The role may also include tasks in the areas of sustainability documentation, quality tracking, internal and external reporting and also helping in other daily operational tasks
Solving different issues such as terminal, customer and supplier related matters promptly
Helping to find ways to improve and automate the processes as well as managing, analysing and reporting the transaction data

Keys to success in this role

The best combination of experiences, skills and background is:

Degree in business or similar studies or minimum 5 years of relevant experience
Experience and/or relevant understanding of oil industry and/or terminal operations workflow, experience with vessel, barge, truck, container and/or rail deliveries. Operating Renewable Diesel or fossil middle distillates is a strong asset
Hands on with different IT-systems; experience with ERP systems (especially with SAP, TMS), knowledge of Google tools (GMail, Sheets, Slides, Docs) and MS Excel
Fluent in English, both written and spoken, other languages are an asset
Strong technology, analytical and communication skills
Independent and energetic approach to work
Pays attention to details; accuracy in daily operations is a must, the candidate also must enjoy working with numbers
Behaviour according to company values in all situations and understanding common goals
Stress-resistant personality, self leading and good problem solving skills
Ability to effectively prioritise tasks to meet deadlines, which may require flexibility to work past normal business hours
This position requires excellent cooperation skills, ability to interact and work in an international environment (different cultures, values and time zones) as well as an open mind (attitude) towards work tasks and work environment

We also value

Understanding of chemical knowledge, operations workflow and efficient ways of carrying out daily duties
Our success is based on our people who are the driving force behind Neste’s transformation to become a global leader in renewable and circular solutions. The passion that we have for creating a healthier planet for our children is what makes us unique. We believe everyone is a leader and share a natural desire for collaboration. Our three values “We care, We have courage and We cooperate” are embedded in our everyday work. Working safely and responsibly at all times is essential to all of us.

If this resonates with you, we look forward to receiving your application.",https://media.glassdoor.com/sql/42576/nestle-oil-squarelogo-1427196621822.png,Amsterdam,nan,Neste
Stagiair(e) Bedrijfskunde,"De afdeling Engineering is verantwoordelijk voor ontwerp-, engineering- en bouwprojecten rondom nieuwbouw, modificaties, uitbreidingen en onderhoud van de UNL-verrijkingsinstallaties, aanverwante systemen en gebouwen en gebouw gebonden installaties. De design- en engineeringprocessen zijn verplicht tijdens de volledige levenscyclus van een project, vanaf de opstartfase van het project tot de uiteindelijke overdracht aan de afdeling Operations. In deze functie werk je samen met alle UNL faciliteiten, zoals de verrijkingsplanten, stabiele isotopen, het recyclingcentrum, cilinderverwerking, etc. Voor de afdeling Engineering zijn we op zoek naar een

Stagiaire Bedrijfskunde

Wat ga je doen?
Je gaat tijdens je stage aan de slag met het optimaliseren van de processen binnen onze afdeling engineering. Je kunt hierbij denken aan een analyse van de huidige processen, faalkosten, risico’s en kwaliteit. Aan de hand van je analyse bepaal je verbeterpunten en schrijf je een rapport met daarin jouw advies voor een procesoptimalisatie.

Wat vragen we?
Je bent bezig met de HBO opleiding Bedrijfskunde;
Je bent nieuwsgierig en leergierig;
Je hebt een frisse kijk op dingen;
Je wilt de kennis die jij hebt opgedaan tijdens je opleiding graag delen met anderen.

We zijn op zoek naar die stagiair(e) die vol enthousiasme en met 100% inzet aan de slag gaan en het verschil wil maken.

Waar kom je te werken?
Urenco is de spil in een wereldwijd netwerk voor schone energieopwekking. Met ons product, verrijkt uranium, maken kerncentrales CO2-vrije elektriciteit voor 100 miljoen gezinnen, bedrijven en scholen. Urenco heeft zorg voor mens en milieu hoog in het vaandel staan. Onze mensen krijgen energie van hun werk en geven dat door aan anderen. Zij bepalen het succes van de organisatie. Wij doen er daarom alles aan om een diverse en inclusieve organisatie te zijn, waar iedereen zich welkom en gewaardeerd voelt. De huidige situatie in de wereld heeft geleid tot ontwikkelingen op de verrijkingsmarkt: kerncentrales zoeken naar leveringszekerheid en dat heeft geleid tot een grote toename in de vraag naar ons verrijkt uranium. Als onderdeel daarvan, zetten we in op capaciteitsuitbreiding, onder meer door twee nieuwe verrijkingshallen in Almelo. En daar kunnen we jouw kennis en ambitie goed bij gebruiken!
How to Apply
Voor meer informatie over de inhoud van deze vacature kun je contact opnemen met Brendan McElroy, Manager Engineering, tel: 0546-548134.
Is je interesse gewekt? Dan nodigen we je uit om te solliciteren door je CV en motivatie te sturen naar [email protected]",https://media.glassdoor.com/sql/385752/urenco-squarelogo-1571963173842.png,Netherlands,nan,Urenco
Strategy and Development Internship,"ACT

ACT is the world's leading provider of market-based sustainability solutions. Working at the center of the global energy transition, ACT helps organizations hit their climate action targets, no matter how ambitious. Since 2009, ACT has become a trusted brand in high-impact climate projects, renewable energy markets, energy efficiency, renewable fuels, and carbon credits. ACT delivers tailor-made solutions from offices in Amsterdam, New York, Singapore, Shanghai, and Paris, enabling its partners to join the environmental revolution and pursue more sustainable futures.


The team

The Strategy team evolves around ACT Group's corporate strategy; exploring ways how ACT can grow into its next phase. We analyze the markets in which we operate: what drives them, how they are built, and who the key actors are. We find companies that match these needs and identify buy, build, or partnership opportunities for ACT.


What you'll do

For this internship, we are looking for someone who will analyze the renewable energy market. You'll analyze the market drivers, pricing, trends, and other factors that influence these markets. Following this, you will be required to provide advice on where ACT can position itself in the market and provide strategic recommendations for ACT's growth. You will contribute to designing how ACT can stay impactful in the coming years, thereby working closely alongside the R&D team.


Who you are


We are looking for someone with professionalism at their core; experience isn't required but helpful. It is important that you are self-motivated and able to take initiative, that you're eager to learn, and you're not afraid to fail and try again. In a nutshell you:

Are fluent in English;
Are available for at least 3 days per week over a 6-month period OR 5days a week for 3 months;
Have recently completed a Master's degree or currently in a Master's degree program. Preferably in either Business, Economics, or a renewable energy related degree with a business angle;
0-2 years of working/internship experience in and affinity with management/strategy consulting (MBB, big 4), environmental commodities or investment banking;
Are an excellent communicator with great interpersonal skills;
Have a knack for analytical thinking
Are not afraid to cold call and approach people;
Are Energetic, intellectually curious, autonomous and ambitious;


What we offer

Internship remuneration;
Comprehensive training;
Quarterly target incentive gifts;
In-house life coach;
And more!",https://media.glassdoor.com/sql/1028585/act-commodities-squareLogo-1661858485216.png,Amsterdam,nan,ACT Commodities
Chief of Staff,"Eneco - Amsterdam
Senior
40 uur
Take a leading role to actively drive sustainability in the energy sector
Co-lead the digital transition for a 200-employee CDO organization, high impact
Grow your career as an experienced professional with potential for advancement
Why choose for Eneco?
What you’ll do

As Chief of Staff, you will support the CDO and his organization of ~200 employees in all the strategic initiatives. Work as the day-to-day, right hand to the CDO and you will attend meetings on behalf of the CDO and lead strategic planning processes across the organisation. You will play a key role overseeing various aspects of CDO activities, including presentations, interactions with colleagues and the leadership team, interactions with the board and other stakeholders. You will partner with him and his Leadership Team to define and drive the strategic CDO agenda and drive ambitious strategic initiatives across all areas of the business. You will act as an extension of the CDO in appropriate settings to oversee meetings or activities

This is not an administrative position-it is a highly strategic and facilitative role that requires a combination of focus and flexibility. You must enjoy working and collaborating with cross-functional teams and stakeholders to achieve buy-in and drive organization-wide impact.

Is this about you?
7+ years in investment banking, consulting, or similar, ideally in a growth start-up environment
Strong stakeholder management and interpersonal skills with exposure to senior partners
Hands-on experience with strategic projects in a complex stakeholder landscape
Demonstrated strong record of problem-solving and analytical skills in challenging situations
Master's degree in economics/business or computer science/engineering, PhD is a plus
You’ll be responsible for
Participate in engagements with senior stakeholders
Engage with the PMO to define and ensure project management standards
Provide administrative, financial, and operational support to the CDO
Lead the preparation process for various analyses and presentations
Build strong relationships with other departments to support cross-functional partnerships
This is where you’ll work

At Eneco, you will find a unique combination of time, place, and opportunity. We are on a mission to be climate neutral before 2035 and work hard to keep global warming under 1.5 °C. Our employees are motivated to reduce carbon, together with our large base of customers. And technology is ready to bring climate neutral, scalable energy solutions to homes and businesses. This is extremely fertile ground for digital innovation. Do you want to apply your digital skills and talent to help build a zero-emission future?

Our Digital team is vital to making our One Planet Plan and the accelerated energy transition a reality. Working closely with the business and ICT, our Product, Data Science, and Data Engineering community bring the skills and mindset to make Eneco Europe's leading digital first and climate neutral energy company.

What we have to offer
Gross year salary of
between and
Including 8% holiday allowance, a good pension and parental leave.
FlexBudget on top of
your gross salary
Have it paid out, use it to buy extra holiday days or save it up for something nice - it's up to you.
Personal and professional growth
Eneco is fully committed to help you in your personal and professional development.
Hybrid working, at home or in the office
You work 40% at the office and 40% at home. The other day you decide what works best for you.
Working at Eneco is for everyone

Our customers are diverse, and so are we. More than 3,000 Eneco-talents ensure an open, pleasant culture in which everyone can grow and thrive. In this way we create the ideal situation for creative insights and innovative solutions. And we can use that to achieve our ambitious mission: to be climate neutral by 2035. You know what the fun is? We can never have enough talent at Eneco. So get in touch and apply.

Together towards climate neutrality

Ask a colleague about our joint mission and you will hear it again and again: Eneco wants to be climate neutral by 2035. Everyone works together to realize this ambition. We help customers switch to sustainable energy with good advice and smart, affordable products. We develop wind farms, install large solar roofs and invest in heat networks. We see opportunities everywhere. Are you in?

This is how the application procedure goes
Stap 1
Your application
Stap 2
We carefully review your application
Stap 3
We invite you for a 1st (online) interview
Stap 4
Sometimes we want to get to know you even better, then there will be an online assessment and a 2nd interview
Stap 5
Yes! If it’s a match and if you agree, the recruiter will happily discuss your job offer
Want to know more about this job function?

For more information about the application procedure, call our Recruiter Olivier, via +31623488668

Apply immediately? That is also possible, through our recruitment system. Click on the button below and send your resume with English motivation. You will receive a response as soon as possible.

An employment screening is part of the selection procedure.",https://media.glassdoor.com/sql/39340/eneco-holding-squarelogo-1426664326383.png,Amsterdam,nan,Eneco
Project Engineer,"Location:
Rotterdam, South Holland, Netherlands
Job ID:
NL54429593
Date Posted:
2023-03-29
Company Name:
Hitachi Energy The Netherlands B.V.
Profession (Job Category):
Engineering & Science
Job Schedule:
Full time
Remote:
No
Job Description:
General information:
As a result of dynamic growth of our organization we are currently looking for candidates for the position SCADA Project Engineer. Open-minded, customer oriented & innovative are key-factors for success in our working environment. You should be a team player who collaborates across organizational levels in an intercultural environment.
Responsibilities:
Build station control systems (SCADA) for high and medium voltage switchgears according to the newest technology standard IEC 61850. Integrate the systems including the parametrization of the Ethernet-based communication structure. Implement the project specific functions as well as software applications, take care of tests, and coordinate the interfaces. Support the project manager in technical matters and coordinate both customers and internal partners. Prepare operation manuals that are based on our customer's requirements. Support the local sales team in tendering phase of projects. Provide customer support by means of curative and preventive maintenance tasks. Living Hitachi energy's core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background:
Degree in power engineering, electrical engineering or information technology. Experience in station automation, SCADA or process automation will be an asset. Knowledge of PC technology, in networks (LAN) and peripheral devices. Very good knowledge of MS Windows environment (MS Visio, MS Office). Strong communication skills. Work in an independent manner. Good knowledge of Dutch and English is required. Driving license min cat B.",https://media.glassdoor.com/sql/3507483/hitachi-abb-power-grids-squareLogo-1634136174704.png,Rotterdam,nan,Hitachi Energy The Netherlands B.V.
Chief of Staff - Maternity Cover,"Become part of a European leader in fast charging and play a fundamental role in shaping our future towards sustainable mobility! Together with more than 170 colleagues from 35 nationalities, we enable electric vehicle drivers around Europe to fast-charge their vehicle with 100% renewable energy and lead the way in making mobility sustainable. We have recently been voted best charging network in the UK, in France and the Netherlands, which is a testimony to our drive to offer the best charging experience to EV drivers. Fastned is a fast growing, Euronext listed scaleup company.
This role can be either a maternity cover for around 7 months - a great stepping stone for other functions within Fastned - or an indefinite role right away as Internal Management Consultant (see our career page for other role).
We are looking for a Chief of Staff, who will serve as the right-hand to the CEO. As a strategist, consultant, and doer, you will ensure streamlined activities within Fastned based on the priorities of our CEO. As a member of our leadership team, you will be actively driving important projects, be an important element to our strategy development and enable effective communication between all stakeholders, such as the Supervisory Board, the Board of Directors, the Executive Team and management.

As our Chief of Staff you keep a pulse on the business and help connect the dots. You will handle portions of the day-to-day tasks that rest with the Board of the company and will keep the CEO on track. You make sure that strategic decisions are being executed by channeling, analysing and assimilating input from different stakeholders into effective business plans. You will support overseeing large, often cross-functional & organisation-wide projects, while monitoring and improving the information flow with key stakeholders. Sometimes you will act as a gatekeeper, ensuring our CEOs involvement in a project or decision-making process at the right moment.
In order to be effective in this high impact role you are a skilled relationship manager who can quickly integrate into our organization and build strong working relationships with those reporting to the CEO and others across the organisation. This diverse and fast-paced job requires excellent communication, strong analytical skills, a tolerance for ambiguity, high levels of organisation, and a can-do attitude, in which tasks both big and small are taken on with enthusiasm. You are willing to engage in high-level strategic discussions one day and to prepare presentation materials and other documentation the next. If you are looking for a challenging and rewarding opportunity to make a meaningful impact in a fast-growing organization, we encourage you to apply for this position.

Job requirements

We are looking for someone with curiosity and brains to very quickly gain a deep understanding of our business and who is able to combine this with diplomacy to communicate about findings and improvements in an effective manner. You know how to define strategies and put them into action while being in an advisory role. Furthermore, you have the ability to think on your own feet - you feel comfortable taking ownership.
Additionally, you tick the following boxes:

Able to start beginning of May 2023 at the latest;
4-6 years of previous experience in strategy consulting or a similar role within a scale-up or fast-paced business environment;
Masters degree in business (e.g., MBA) or from a technical university;
Outstanding organisational skills and a proven track-record of successful project management;
Excellent document drafting skills and advanced knowledge of Powerpoint/Keynote and Microsoft Excel;
Outstanding spoken and written language skills in English (Dutch is a plus not a must);
You are highly motivated by accelerating the energy transition.
Join us in building a better future

We work hard to change the world, but we don't forget to celebrate our successes, big and small. Our benefits include a pension plan (fully covered by Fastned) and participation in the company stock options program. We provide daily vegetarian lunches & the best coffee at our Amsterdam headquarters close to the Amstel station. In order to feel & enjoy the EV life you get access to our fully electric vehicle fleet (all charging expenses covered). Next to fun company events year-round, we organise an amazing yearly trip abroad. Other perks include flexible working hours, full travel compensation and the gear of your choice (MacBook vs Dell XPS, iPhone vs Android).

Fastned currently operates in six countries (Netherlands, Germany, UK, Switzerland, France and Belgium) and is growing fast. As a young, independent company with a flat organization structure, we give a lot of responsibility to our new hires and expect you to think for yourself.

Interested?

We would love to have a conversation with you! Apply now, send us your CV and explain in your motivation letter why you’re excited about joining our mission.
The recruitment process consists of 3 stages:

A first video call with one of our recruiters to find out more about Fastned & our company culture;
An interview with our Chief of Staff to deep dive into the role;
A case-assignment and on-site presentation to the CEO, Head of Legal and Location Design Director.
Fastned stands for equity and inclusion. We welcome applications from people of all backgrounds, gender identities, sexual orientations, religions, neurodiversity, disabilities, parental status or any other protected characteristic that makes you unique.",https://media.glassdoor.com/sql/3073766/fastned-squarelogo-1604068814841.png,Netherlands,nan,Fastned Charging
Asset Management Data Steward,"Asset Management Data Steward
Rotterdam
Maintenance & Engineering
40 uur
Beschrijving van
deze vacature

Asset Management Data Steward
As an Asset Management Data Steward, you will be responsible for optimizing, expanding and creating new practices that will improve the quality of the Asset Management Data in the digital landscape across functional areas. You will implement data governance policies including master data management, data quality processes, data standards; and subsequently monitor data availability/consistency and compliance against these policies. When deviations from policy are detected, and not resolved through automated means, you will be the focal point for issue resolution.
You will become part of the Asset Management team and work together with key stakeholders across terminals and regions, and also with global data architects, BPAs, peer data stewards, data engineers.
About Vopak
Vopak is well underway to become a digital and data driven organization. We have been standardizing the business processes across our terminal network and modernizing our application landscape. For this purpose, we have invested significantly in the data infrastructure foundation and data management program to utilize the value added digital information to help improve our customer service; make our operations more efficient; reduce our costs, energy consumption and greenhouse gas emissions; and share our data with partners in the logical supply chain.
Do you want to accept the challenge and join us in the journey through the energy transition and making our organization more data driven? If you believe this can be done with high quality data and if you are ready to take up the challenge to improve the quality of data, then this role is for you!
Key Responsibilities/Accountabilities
Manage data quality requirements
Assess the current state of data quality, security, privacy and retention
Set target goals for data quality and adherence with all other types of data governance policies
Monitor and track ongoing data quality levels and other metrics that assess the adherence of data and people to data governance policies.
Identify and implement optimal approaches for resolving data quality issues to achieve targets
Pro-actively analyze and correct data quality issues that cannot be addressed fully by automated means.
Report periodically to the data owner and data governance board about data quality, and provide input for improvements in the work of data quality, governance and stewardship
Participate in regular stewards council meetings
Responsibilities
Preferably 3+ years of experience in a data stewardship and governance, data analysis techniques, data quality tooling and data catalogs
Preferably experience in “asset management” domain and “maintain to operate” business process
Understanding of how data is used across business processes and its impact on desired business results
Awareness of the quality, security, and privacy requirements related to asset management & other overlapping business functions
Bachelor’s degree
Hands on SQL knowledge, strong written and verbal English communication skills
Skills related to data analytics, problem solving and conflict resolution working in a multicultural environment
We Offer
Every career at Vopak is given the opportunity to shine. When you join Vopak, you can count on:
A challenging position with a high degree of responsibility in a 400 years old Dutch multinational
Highly motivated colleagues
Growth through personal development opportunities at national and international level
Participation in private pension fund Vopak and collective health
Are you the Asset Management Data Steward we are Looking for?
If yes, then start your journey at Vopak and click on the ‘apply’ button below. For more information about the vacancy, please contact Syed Atiquddin Qadri (Director Asset Management).",https://media.glassdoor.com/sql/10494/royal-vopak-squarelogo.png,Rotterdam,nan,Vopak
