job_titles,job_description,images,locations,salaries,companies
Global Master Data Specialist,"Are you experienced in Master Data and would you like to work within an international high paced, dynamic environment that is all about making things happen? Then this is your chance!

Functie

For Perfetti Van Melle, YER would like to get in touch with a Global Master Data Specialist. In this position, you are responsible that a solid view on the specific Master Data domain of knowledge is available in the organization with clear guiding principles. You will be a sparring partner for the MDM SSC Manager.
Main tasks and responsibilities:
Contribute with day-to-day mitigated actions required to bring the Insight projects at a sustainable level (DQ > 99%)
Ensure that a change request for Group MD is processed timely, accurately and completely
Inform the relevant parties and check whether actions are done complete and timely
Ensure the Group Master Data processes are described, updated, maintained and stored in the MD Management System environment
Contribute to establish the GMDM RACI Matrix and ensure that it has been updated for his/her role
Participate in training to GMDM community if and when required
Advise relevant performance KPI’s, implement them and ensure these KPI’s are updated available (e.g. Dashboard)
Check requests on key master data business rules, determine impact (e.g. on other systems) of the request and approve requests when requirements are met and verifies this with GMDSS
Ensure Continuous Improvement for the relevant MD processes
Bedrijf

Perfetti Van Melle is a privately owned company that manufactures and distributes candy and chewing gum in over 150 countries worldwide. Today, Perfetti Van Melle is ranked as the third largest sugar confectionery/chewing gum company in the world, second in Europe, with strong brands like Mentos, Chupa Chups, Fruittella, Frisk and Smint. The ability to develop products, varieties and flavours that meet the different demands and opportunities of markets is one Perfetti Van Melle’s keys to success.

Aanbod
Excellent remuneration package
Bonus opportunity
Personal development opportunities
Great atmosphere
Profiel
Master or Bachelor degree
Approx. 10 years of experience within Master Data Management (MM preferred)
Significant SAP master data domain- process and ERP system specific knowledge (HANA and ERP)
Focus on Excellence
Strives for delivering quality in his/her work
Attention to detail (analytical skilled)
Team player
Problem solver
Continuous Improvement skills (Lean/Six Sigma experience)
Good communicator and listener
Fluent in English",https://media.glassdoor.com/sql/414902/yer-squarelogo-1520331483682.png,Breda,nan,YER
Data Science Team Lead,"Data Science Team Lead – AI Innovation team in Amsterdam

Our client is a large corporate business with a highly skilled and very talented Innovation team comprising of 10 specialists Data Scientists within key knowledge and production experience across Computer Vision, NLP and Machine Learning.

They are currently looking for a Data Science Manager to provide hands-on support and strategic guidance to deliver highly innovative projects back to the business. Working closely with the Divisional head you will focus on projects such as predicting maintenance levels within housing using computer vision to look through photographs of the properties, predicting the country’s GDP based on newspaper articles and other news sources and assessing climate data for the valuation of house prices for the houses that can be affected by the climate change anticipated over the coming years.

Successful applicants should have:
– Senior profile coming from either a Lead or Management role, overseeing Data Science / Computer Vision / NLP based projects

– Someone that is comfortable managing up and down. Being hands-on with the team, engineering complex solutions to extremely interesting projects whilst being comfortable defending the value of AI & Data Science internally, reporting to key stakeholders and translating complex technical outcomes back to the wider business

– MSc or PhD in Artificial Intelligence, Data Science, Applied Mathematics or relevant field.

If you believe you are the best candidate for the job and would like the opportunity to interview for this amazing opportunity, please get in touch:

Daniel Jones
Specialist Consultant
E: daniel.jones@oxygendigital.net
M: +31 (0) 855 607 326

Oxygen Digital are a specialist Data Science & AI Consultancy working closely with some of the most interesting organisations across Europe.

#Team #Lead #Innovation #AI #DataScience #Amsterdam",https://media.glassdoor.com/sql/3187547/oxygen-digital-squarelogo-1630504122701.png,Amsterdam,nan,Oxygen Digital Recruitment
IT Risk and Compliance Analyst,"IT Risk and Compliance Analyst
As an IT Risk and Compliance Analyst(m/f/x), you will be part of the Data team within the Central Tech department and responsible for supporting IT process owners throughout the business to document, maintain & monitor internal controls in line with the risk appetite and to maintain the quality of the processes.
Your Responsibilities
Act as a single point of contact for all risk & compliance matters affecting on prem data infrastructure.
Operational ticket analysis and resolution related to IT controls
Support process and control owners to understand and identify technology risks applicable to (but not limited to) SOX, PCI or GDPR, business continuity etc. and assist them in determining optimal controls (sustainable and right-sized) to mitigate risks
Provide stakeholders with cybersecurity or regulatory IT compliance related risk expertise and knowledge.
Liaise with other risk and audit teams (TRAC, Risk and Controls, Internal Audit, external auditors, etc.) to support compliance and audit activities affecting the application data services organisation.
Provide audit support for SOX controls and PCI assessments with needed walkthroughs, documentation and follow ups.
Manage required coordination to close any audit deficiencies identified.
Coordinate with IT control owners regarding control documentation, testing, evaluation, and necessary remediation
Identify potential control weaknesses and support the Risk & Controls team to influence control owners to implement agreed changes in a timely and effective manner
Build knowledge of internal IT controls, systems and process landscape to enable clear understanding of impact and Lead Initiative affecting wider organizations.
Be a ""subject matter expert"" in different risk and cybersecurity related domains including familiarity with one or more industry-standard frameworks such as NIST, SOX, PCI-DSS with advanced knowledge of implementing business resilience
Support risk owners to design controls that mitigate any relevant risks all the way through to implementation and monitoring.
Provide advice on control design that is both sustainable and right sized (i.e. a simple solution for a simple problem, no overengineering).
Support with SOX audit evidence requests
Coordinate new requests from the business functions and units for support with controls.
Participate in sprint planning sessions from development teams to support risk identification, assessment and treatment during the development lifecycle.
Your skills include
5+ years of experience gained within IT risk, compliance, internal controls or audit.
Working knowledge of SOx regulation and familiarity/working experience of SOX IT.
Business or IT degree / certificates (CISA, CISM)
Hands on experience with large e-commerce or tech companies preferable
Familiarity with data governance principles and data systems is a plus
Enthusiastic, self-starting and enjoys change and a dynamic environment
Able to self-motivate, organise and take responsibility for own workload to ensure that deadlines
We offer
Freelance project for 6 months
Working fully remote/hybrid (HQ located in Amsterdam)
Interested?
Are you the IT Risk and Compliance Analyst(m/f/x) we are looking for? And are you living in, or nearby Amsterdam? Please click the ""apply now / solliciteer nu"" button and let us know!
Robert Half Nederland B.V. en Robert Half International B.V. verwerken de gegevens van sollicitanten die nodig zijn om de sollicitatieprocedure uit te voeren. Meer informatie over gegevensbescherming, in het bijzonder over uw rechten, vindt u op https://www.roberthalf.nl/nl/privacyverklaring. Indien u vragen heeft omtrent de verwerking van uw persoonsgegevens kan u steeds contact met ons opnemen via privacy-emea@roberthalf.net.",https://media.glassdoor.com/sql/1838/robert-half-squarelogo-1592327072305.png,Amsterdam,nan,Robert Half Netherlands
Global Innovation Manager,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 82,000+ employees based in 45 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner, they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

Drive Majorel Innovation Program globally across all sites for the account incl. continuous tool development, continuous Innovation framework development, selection of new campaigns according to strategic targets, optimize internal communication & reward processes, etc.

Main responsibilities

Drive Majorel Innovation Program globally across all sites for the account including continuous tool development, continuous Innovation framework development, selection of new campaigns according to strategic targets, optimize internal communication & reward processes, etc.
Work closely with the site-specific Innovation POC’s to support local campaigns
Share innovation ideas and best-practices within the Majorel innovation network
Present innovation ideas to the Client’s organization, including Senior Management
Review success and target achievement of the Innovation framework for the account
Analyze impact of innovation ideas in costs/benefits as baseline for implementation decisions
Coordinate pilots and implementation of innovations, together with internal stakeholders such as site POC’s and Global IT

Additional task can be assigned at any time

Competencies & professional background

Educational Background:

University degree in Business Administration, IT or similar areas as additional asset
Technical Skills: (knowledge, experiences, IT tools/software, languages)

Profound work experience in Customer Service organizations or in similar industries (e.g. leadership role in Operations, Project Management, Quality, Innovation Management)
Extensive experience in Project Management and ability to manage complexity (handle multiple innovation ideas at different stages in different sites simultaneously by prioritizing according to strategic targets)
International experience in working together with different cultures and regions
Very good tool skills (MS Office) and ability to work easily with new tools and systems (e.g. client tools, Innovation Management platform)

Soft Skills:

Excellent communication skills, both written and verbally
Energetic personality with drive, self-motivation and ability to motivate others in order to drive change
Strong analytical skills in quantifying impact and results
Very self-organized, reliable and following-up on tasks
Ability for international business travel for internal site visits as well as client visits or summits (LATAM & EMEA)

Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Amsterdam,nan,Majorel Corporate
Senior IT Project Manager,"Type Contract
Senior IT Project Manager (Freelance)

Start Date: Immediate
Location: The Netherlands, Germany, France or Spain
Duration: EOY + extensions

Next Ventures are looking for a highly skilled Project Manager for a Freelance role with our client in Europe. The Senior IT Project Manager plans, directs and coordinates activities and resources to ensure that goals or objectives of projects are accomplished within prearranged time frames and within funding parameters.

Responsibilities

Review project proposals to determine the timeframe, funding limitations, staffing requirements, and allotment of available resources to various phases of the project.
Utilize BI (Business Intelligence) tools to analyze resource metrics (actual and planned) and provide visibility of resource utilization and/or availability to IT management
Manage small to large-sized complex multi-market business processes or systems/application development projects within assigned areas from inception to successful implementation
Adhere to best project management practices and methodologies such as PMI (Project Management Institute) standards or similar

Education and Experience

Bachelor’s degree in information technology, Business (or Management), Computer Science, Engineering, or related discipline, or equivalent work experience
Prince 2 / Project Management Professional (PMP) certifications
At least 6 years of IT Project Management
Prior experience with MS Project or comparable resource scheduling tool is preferred
Experience in Tower, Operations, Leasing, Real Estate, or Telecommunications Industry
Proven track record of PM expertise, managing projects through various stages of software lifecycle
Fluency in English and/or French and/or German and/or Spanish is preferred
Authorized to work in The Netherlands, Germany, France, or Spain is required
Experience using MS Project, MS Planner, Jira is not required but is an advantage
Experience in Agile projects preferred

If you are available immediately and looking for a new challenge, please submit your CV and contact details to saiyan@next-ventures.com",https://media.glassdoor.com/sql/943572/next-ventures-squarelogo-1507543981020.png,Netherlands,nan,Next Ventures Limited
Project Manager Network Operations,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 63,000+ employees based in 31 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

The Project Manager Network Operations defines, implements and manages infrastructure projects with focus on network operations from conception to final delivery. This role is responsible for gathering business requirements, achieving optimal results, conforming to standards for quality, safety and sustainability and complying with defined scope, performance, costs and schedule.

Main responsibilities

Responsible for initiating/planning of technical IT solutions.
Independent planning exclusively for IT projects within the network operation scope.
Support Bid Management
Project management and consulting in IT technologies
Planning and execution of IT solutions through analysis and description of work processes, communication structures and tools
Preparation of technical and organizational concepts, documentation, and presentation
Creation of security and safety concepts
Coordination of Site Setups
Moderation of Crisis Situations

Competencies and professional background

Educational Background:

University degree or equivalent education in Business IT / Computer Studies
Certification ITIL V4 Foundation
Certification IPMA Level D or comparable certification

Technical Skills:
Good knowledge of Cisco routers and switches range
Good knowledge of network technologies
Knowledge of wireless access solutions
Knowledge of security environments

Soft Skills:

Social competence and pronounced communication skills
Independent working style and high commitment
High resilience, time flexibility and willingness to travel
Structured, process-oriented working method
Strong organizational and analytical skills
Good analytical skills, process understanding
Strong time management
Strong communication skills


Do you want to know more about working at Majorel?
Please visit our website: www.majorel.com",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Amsterdam,nan,Majorel Corporate
Planning and Scheduling Officer (ESA-ESTEC),"Job Introduction

We have an exciting (and challenging) opening for a Planning and Scheduling Officer in Noordwijk.
Dynamic, Energetic, Entrepreneurial, Highly Motivated, Resilient … If this describes you then we would love to hear from you :)
Discover the offer below and click on ‘Apply’ if you know that your skillset and talents are a suitable match for this opportunity.
Serco – The employer of choice for a career within the Space Sector.

Serco are a trusted provider of services to National Space Agencies and the European Space Agency (ESA), we have over 40 years’ experience supporting the space sector and providing services for all stages of our customer’s space missions.
Join our community of space specialists across Europe

We are proud to support the European institutional Space landscape: Serco boasts an extensive network of Space professionals located at our offices in Darmstadt, Noordwijk, Frascati, Paris and Madrid, all within close proximity of our two largest space sector customers, European Space Agency/European Space Operations Centre (ESA/ESOC) and European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT).
Supporting Women in Aerospace

Diversity and Inclusion is extremely important to us. Supporting women's opportunities, development and visibility in the space sector is key and that is why we are proud members and supporters of Women in Aerospace Europe, a dynamic and global network supporting women's careers in Aerospace.
Women in Aerospace Europe (WIA-E) – Supporting women in STEM (wia-europe.org)
Main Responsibilities

As Planning and Scheduling Officer you will concentrate your activities on the following:
Provide schedule support in major tender evaluations of the projects.
Provide support to, and/or participate in, contractual and technical negotiations for schedule aspects.
Provide schedule support to the major technical reviews of the main projects in the Directorate to ensure schedule objectives are met.
Support the projects in their scheduled interactions with our international partners.
Assist the projects in the day to day schedule monitoring and control of its industrial consortium against the baseline schedule.
Conduct specific ad hoc schedule analysis of project activities as needed.
Support the schedule and risk management process of the projects.
Assist the HRE Project Control section in the design and implementation of new schedule control / progress monitoring techniques.
Scheduler tasks will bring the candidate in contact with our project’s industrial consortia and with the international partner organizations.
Successful Candidate

Do you think you are the person we are looking for? See below what experience or knowledge you should bring:
Master’s degree in engineering or equivalent University degree from a recognized institution of secondary studies or equivalent qualification in Business Administration, with relevant experience.
4 years of relevant work experience.
Demonstrated expertise with the use of modern schedule software tools (at least both MS Project, Primavera).
Expertise with the techniques that allow the use of such software tools to provide active schedule management and best scheduling practice.
Experience with the schedule peculiarities of spacecraft development is an asset.
Proactivity, good communication skills and attention to detail.
Ability to interact effectively with the technical personnel in our projects and colleagues of different backgrounds (engineering, management, legal).
Capability to summarize and present complex information to colleagues and senior management in a concise and clear manner.
Capability to work autonomously and at the same time be able to work effectively as part of a team.
Comfortable with working in a diverse and multinational team environment.
Excellent interpersonal skills are needed, together with a high degree organizational and communication abilities.
Proficient in the English language, both written and spoken.
Knowledge of another EU member state language is an asset.
Candidates must be eligible to work in the EU.

-
Important:
Any offer of employment is contingent upon you providing documents to verify your identity and employment eligibility, as required by law.
Applicants are reminded that they will be requested to produce such documentation during the recruitment process.
Please contact a member of the recruitment team if you require further details of acceptable types of documentation required for verification of identity and work authorization.
Data Protection:
When creating a profile on the Serco Career Centre you agreed to the Data Protection policy, a copy is available upon request.You may submit a written request revoking your consent to this agreement at any time.
About The Company

Why should you join Serco ?
At Serco not only is the nature of the work we do important, everyone has an important role to play.
Meaningful and vital work - You’ll contribute to methodologically intercepting challenges whilst achievements will also be recognised and celebrated.
A world of opportunity - You’ll be wholeheartedly supported with development and career progression
Great people - You’ll become an integral member of a well-defined and supportive team who believe passionately in the value of our work.
What we offer
Chance to contribute to innovation in the public services sector
A company passionate about diversity and inclusion
Permanent employment with comprehensive Serco Benefits package.

About Serco
At Serco, not only is the nature of the work we do important, everyone has an important role to play when managing complex public services.
We are a team of 60,000 people responsible for delivering essential public services around the world, we are innovators, committed to redesigning and improving public services for the benefit of everyone.
By joining Serco you will have unlimited access to our Global Employee Networks – SercoInspire (Gender), SercoEmbrace (Multicultural), SercoUnlimited (Disability) and In@Serco (LGBT & Networks). Serco Employee Networks, led by colleagues who are passionate about diversity, inclusion and belonging.
Apply
Please click on the apply button to be taken to our careers website
Serco is a Disability Confident Employer committed to employing and retaining people with disabilities. Disabled applicants who meet the minimum criteria for the job will be given the opportunity to demonstrate their abilities at an interview.
More at:
https://www.serco.com/eu/sector-expertise/space
https://www.serco.com/eu/careers/careers-in-space

Package Description

What we offer if you join our amazing team:
Competitive Salary
Corporate Benefits Package
Support provided to EU Nationals requiring relocation – Information available upon request
Company events",https://media.glassdoor.com/sql/10228/serco-group-squarelogo-1494955478343.png,Noordwijk,nan,Serco Europe
Global Bid Coordinator,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 82,000+ employees based in 45 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner, they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

The Global Bid Coordinator is a key supporter in the bid/proposal process, supporting business growth with new and existing clients. The Global Bid Coordinator is involved in nearly all stages of the proposal process and works seamlessly together with the Global Bid Manager and other SMEs and stakeholders within the global organization including, but not limited to, managers, directors, and executives across Sales, Operations, WFM, Human Resources, IT, Implementation. Key success in this role is the ability to coordinate stakeholders to deliver a competitive, tailored commercial offer for our clients and prospects.

Main responsibilities

Elaborate and/or Coordinate, Supervise and align on the assumptions considered for sizing calculations, IT Costs and commercial proposal.
Review and complete responses from regional bid teams into a competitive, tailored commercial proposal.
Ensure pricing processes are understood and guiding stakeholders to follow to achieve timely, high-quality delivery.
Maintain, make available and backup master document sets.
Deliver completed proposal responses against agreed RFP deadlines, escalating issues as required.
Proactively develop and manage a network of stakeholders in WFM, HR, IT, Implementation, Sales, Account Management and subject matter experts.
Identify and work on process optimizations together with the Bid Manager.

Additional task can be assigned at any time, based on the growing business requirements.

Competencies & professional background

Educational Background:

Bachelor's degree in business or related field
Certification in project management or bid management is a plus
Previous experience working in bid/project/ops management for a BPO CCO
Strong understanding of cost drivers in BPO CCO Operations

Technical Skills: (knowledge, experiences, IT tools/software, languages)

Project Management skills
Demonstrated ability to work as part of high demand, high expectation, dynamic team
Creative problem-solving, analytic and decision-making skills with minimal supervision
Demonstrate ability to work effectively through change
Excellent communication and presentation skills (verbal and written)
Experience working directly with clients is a benefit, but not a requirement
Advanced technical/computer skills with the ability to use several programs simultaneously
Advanced level MS Office skills (particularly MS Word, Excel, PowerPoint).
Strong work ethic with a professional, positive attitude
Ability to prioritize workload and thrive in a fast paced environment
An innovative, goal-oriented and results-driven approach. We embrace agile working.
High degree of intercultural affinity because we are a global company

Soft Skills:

Strong written English language skills
Communicate and influence at a senior level.
Excellent time management / prioritization skills.
Keen attention to detail and meticulous proof-reading skills.
Ensure on-time submission of compliant and commercially sound bids.
Co-ordinate and plan all client presentations required as part of the bid submission.
Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Netherlands,nan,Majorel Corporate
Senior Strategy Associate voor veelbelovende FinTech start-up,"""Nederlanders zijn steenrijk maar straatarm"". Deze start-up wil wendbaarheid voor alle huiseigenaren creëren. Senior team met mensen die zich eerder hebben bewezen binnen een start-up. Mooie rol, voor een senior associate binnen een strategiehuis die op zoek is naar een uitdaging binnen een start-up waarbij het product binnenkort gelanceerd moet worden.
Over de opdrachtgever
Deze start-up bouwt een nieuw FinTech platform waarbij ze de toekomst van woningeigenaarschap opnieuw willen definiëren: van het flexibel vrijmaken, besteden en beheren van overwaarde tot financiële oplossingen voor starters die nu geen mogelijkheid hebben op de woningmarkt. Missie: wendbaarheid voor alle (toekomstige) huiseigenaren. Dit alles doen ze in samenwerking met de financiële instellingen. Het product wordt mid 2023 naar de markt gebracht!
Over de functie
Als Senior Strategy Associate ben jij de rechterhand van de Chief Strategist. Samen met de Chief Strategist ben je medeverantwoordelijk voor de strategische koers van deze start-up. Je gebruikt op dagelijkse basis je analytische vaardigheden en business sense om je kwalitatieve en kwantitatieve analyses te vertalen naar duidelijke aanbevelingen voor het executive team. Vraagstukken waar je je op richt: brainstormsessies over hoe het nieuwe financiële product moet werken, prioritering van landen voor de lancering, output van prijs of risicomodellen testen en voor de lancering de laatste strategische problemen op lossen.
Onderscheidend aan deze start-up is het level van senior bestuurders en adviseurs. Geen jonge jongens, maar bestuurders die zich bij andere start-up zich al bewezen hebben.
Belangrijkste criteria
Je hebt ongeveer 3 jaar ervaring bij een bekend strategiehuis.
Affiniteit en ervaring met de financiële sector.
Een beta of financiële opleiding (bachelor + master).
Je hebt een sterke business sense in combinatie met uitstekende Excel kennis en modeleervaardigheden (Python is een pre).
Goede beheersing van Nederlands en Engels Taal.
De procedure
Na een gesprek bij Badenoch + Clark volgen er twee bij deze opdrachtgever. Een business case maakt onderdeel uit van de procedure.
Contact
Spreekt deze rol je aan en voldoe je aan de criteria? Mail je cv en korte motivatie naar Merel Fennema (merel.fennema@badenochandclark.nl). Of solliciteer via onze website.",https://media.glassdoor.com/sql/37477/badenoch-and-clark-squarelogo-1550138429944.png,Amsterdam,nan,Badenoch + Clark
Global IT Senior Vendor Manager,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 69,000+ employees based in 36 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.


Job summary

Global IT Senior Vendor Manager would be responsible for helping Majorel Holding get the best out of its current and future relationships with its partners and suppliers together with the stakeholders


Main responsibilities

Build effective relationships to understand the operational and reporting needs of the stakeholders with regards to the Vendor & Sourcing Strategy.
Work with Procurement team to identify and assess the full list of suppliers in the roadmap for 2022 for Global & regional IT.
Communicate with suppliers directly to obtain appropriate information to gain knowledge for the Global IT Strategy.
Work with Finance to set up, implement and manage Budgets reports vs. expenditure for Global IT
Work with Sourcing Leads to update key supplier risk profiles
Collect and organize risk information from every vendor prior the RFP’s concerning IT contract
Prepare materials for the Weekly, Monthly and Quarterly Business Reviews with supplier- and internal stakeholders
Assist in finalizing the complete risk profile for Sourcing & Vendor management.
Set up together with the responsible stakeholder a weekly monthly and quarterly meetings to manage the Contract Lifecyle.
Set up the “collaboration platform” between Regional and Global Sourcing & Procurement
Participate actively on setting up contract management governance to manage IT contracts
Report on a monthly basis on the progress on the Vendor activities to the Stakeholders
Align with the Global finance department to support the local regions for “procure to pay”
Work together with all disciplines involved to set up a framework to manage Vendors
Set up KPI’s for the vendors in conjunction with Procurement and the stakeholders.
Set up and lead Strategy Alignments between Vendors, Global IT and Regional IT
Set up Vendor Management KP’s in conjunction with Sourcing & Procurement
Help Procurement when need it in the vendor selection procedures.
Help Procurement to set up SLA’s and SLR’s.
Act as a back up when need it for Sourcing & Procurement

Additional task can be assigned at any time.


Competencies and professional background

Educational Background:

Bachelor or Master in Business studies or ICT, or equivalent experience
IT contract Management min 4 years experience


Technical Skills: (knowledge, experiences, IT tools/software, languages)

Experience in Sourcing & Vendor Management
Experience with External Contractor Sourcing.
Experience with Supplier Management and Engagement and contract LiveCycle management
Experience with Data Analysis to create actionable insights.
Experience working with Agile teams as a core/extended team member is a plus.
Strong stakeholder engagement skills.
Good understanding of different project delivery frameworks and methodologies in the IT industry
Highly organized, possessing strong analytical abilities
Good understanding and experience in working Agile.
Effective at issue resolution. Detail oriented yet able to look at big picture to understand broader impact.
Knowledge or understanding of Ariba, ServiceNow and Finance ERPs or equivalent knowledge in the field.


Soft Skills:.

Work with Suppliers (sales and account managers).
Handle commercially sensitive- and confidential data.
Work with complex data sets across different sources to create dashboards and actionable insights to manage vendors
Able to create documents and presentations for senior leadership up to Executive level.
Responsible for the execution and administration of continuous improvement while pro-actively looking for operational and tactical synergies across hubs, across the IT Global and Regional organizations and across suppliers.
Manage sourcing IT of 3rd party contracts together with Procurement department- contract labour, time & material, milestone based, fixed price or other types of contractual agreements.
Comfortable working in a multi-culti environment
Comfortable working in a fast-growing IT environment.


Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Amsterdam,nan,Majorel Corporate
