job_titles,job_description,images,locations,salaries,companies
Belastingadviseur,"Bedrijfsprofiel
Voor een middelgroot vooraanstaand accountants en belastingadvieskantoor zoeken wij voor de vacature Belastingadviseur gekwalificeerde kandidaten die aan het profiel voldoen. De onderneming heeft meerdere vestigingen en haar klantenkring bestaat uit voornamelijk familie ondernemingen (MKB+ tot middelgroot) in verschillende branches en gedeeltelijk not for profit. Door haar autonome groei biedt zij veel doorgroeimogelijkheden met persoonsgerichte opleidingen op maat. Innovatie en tax data management wordt belangrijker. Er heerst een informele en professionele cultuur waar kennisoverdracht, collegialiteit alsmede ook humor belangrijk wordt gevonden. Steile leercurve. Balans werk/privé, vrijheid, zelfontplooiing, flexibiliteit, waardering en uitdaging in een goede sfeer wordt geboden. U bepaalt zelf wat u het beste past.
U bent mede verantwoordelijk voor relatiebeheer van uw klantenkring
U ondersteunt en adviseert uw cliënten op fiscaal gebied, gevraagd en ongevraagd
U ondersteunt en adviseert mede in bijzondere fiscale opdrachten
U geeft leiding aan de junior belastingadviseurs
U heeft een mening over vaktechniek en het coachen van young professionals
U onderhoudt uw fiscale vaktechniek
De positie kan worden afgestemd op de kwaliteiten en ambities van de kandidaat
Profiel BELASTINGADVISEUR
Een afgeronde opleiding Fiscaal Recht (LLM) of Fiscale Economie (MSc)
Klant- en oplossingsgerichte instelling
Minimaal 6 jaar relevante werkervaring
Gesprekspartner op elk niveau met goede communicatieve vaardigheden
Inlevend, luistervaardig, leergierig en betrokken teamspeler

Arbeidsvoorwaarden
Salaris > € 60.000,- bruto per jaar exclusief marktconforme arbeidsvoorwaarden zoals auto vd zaak en pensioen
Contract
Voor onbepaalde tijd
Locatie
Regio Den Haag
Contactpersoon
Patrick Killaars: 06-22504050",https://media.glassdoor.com/sql/1018154/ingenius-squarelogo-1545215190353.png,The Hague,€60K (Employer est.),Ingenius
Fiscalist,"Bedrijfsprofiel
Voor een middelgroot vooraanstaand accountants en belastingadvieskantoor zoeken wij voor de vacature Fiscalist gekwalificeerde kandidaten die aan het profiel voldoen. De onderneming heeft meerdere vestigingen en haar klantenkring bestaat uit voornamelijk familie ondernemingen (MKB+ tot middelgroot) in verschillende branches en gedeeltelijk not for profit. Door haar autonome groei biedt zij veel doorgroeimogelijkheden met persoonsgerichte opleidingen op maat. Innovatie en tax data management wordt belangrijker. Er heerst een informele en professionele cultuur waar kennisoverdracht, collegialiteit alsmede ook humor belangrijk wordt gevonden. Steile leercurve. Balans werk/privé, vrijheid, zelfontplooiing, flexibiliteit, waardering en uitdaging in een goede sfeer wordt geboden. U bepaalt zelf wat u het beste past.
Vacature FISCALIST
U bent mede verantwoordelijk voor relatiebeheer van uw klantenkring
U ondersteunt en adviseert uw cliënten op fiscaal gebied, gevraagd en ongevraagd
U ondersteunt en adviseert mede in bijzondere fiscale opdrachten
U geeft leiding aan de junior belastingadviseurs
U heeft een mening over vaktechniek en het coachen van young professionals
U onderhoudt uw fiscale vaktechniek
De positie kan worden afgestemd op de kwaliteiten en ambities van de kandidaat
Profiel FISCALIST
Een afgeronde opleiding Fiscaal Recht (LLM) of Fiscale Economie (MSc)
Klant- en oplossingsgerichte instelling
Minimaal 6 jaar relevante werkervaring
Gesprekspartner op elk niveau met goede communicatieve vaardigheden
Inlevend, luistervaardig, leergierig en betrokken teamspeler

Arbeidsvoorwaarden
Salaris > € 60.000,- bruto per jaar exclusief marktconforme arbeidsvoorwaarden zoals auto vd zaak en pensioen
Contract
Voor onbepaalde tijd
Locatie
Regio Arnhem
Contactpersoon
Patrick Killaars: 06-22504050",https://media.glassdoor.com/sql/1018154/ingenius-squarelogo-1545215190353.png,Arnhem,€60K (Employer est.),Ingenius
Bedrijfsfiscalist,"Vacancy Deventer
Bedrijfsfiscalist
Wil jij de uitdaging aangaan om Witteveen+Bos fiscaal op koers te houden in een snel veranderende (internationale) context en veel impact te kunnen maken? Borg jij de naleving van fiscale wet- en regelgeving? Ga aan de slag als bedrijfsfiscalist bij Witteveen+Bos in Deventer!
Jij ondersteunt en adviseert Witteveen+Bos bij nationale én internationale vraagstukken op fiscaal gebied. Zo ben je betrokken bij de periodieke berekening van onze fiscale positie en houd je toezicht op diverse fiscale aangiften. Je adviseert (on)gevraagd over fiscale zaken op het gebied van de verschillende belastingmiddelen. In jouw rol signaleer je actief financiële risico’s en houd je mogelijke kansen goed in de gaten. Op deze manier draag jij zorg voor het fiscale geweten van onze organisatie.
Je werkt in teamverband aan projecten, waarbij je een bijdrage levert vanuit jouw specialiteit. Denk daarbij bijvoorbeeld aan het beheersen van fiscale risico’s bij (grensoverschrijdende) projecten en het implementeren en borgen van de juiste uitvoering van de transfer pricing policy. Samen met collega’s onderhoud je een netwerk van externe specialisten. Vanuit de groep Business Advice rapporteer je aan het hoofd van de afdeling Finance. Deze afdeling bestaat verder uit de groepen Accounting, Business Processes and IT, Analyse and Reporting en Corporate Control.
Wat wij vragen
je hebt een afgeronde hbo- of wo-opleiding in de richting van fiscaal recht, fiscale economie of soortgelijk;
je hebt enkele jaren werkervaring, bij voorkeur opgedaan in een functie van fiscaal adviseur of bedrijfsfiscalist;
je hebt affiniteit met meerdere belastingmiddelen;
je hebt uitstekende communicatieve vaardigheden, zowel in het Nederlands als in het Engels;
je bent bereid om op termijn voor je werkzaamheden naar het buitenland te reizen.
Wat wij bieden
een prettige informele werksfeer en multidisciplinaire projectteams;
een breed takenpakket in een dynamische internationale organisatie;
(in)formele uitjes en mogelijkheden om jezelf op zowel professioneel als persoonlijk vlak te ontwikkelen;
mogelijkheid om deel te nemen aan ons aandelenparticipatiesysteem.
Wie wij zijn
Witteveen+Bos is een advies- en ingenieursbureau, dat wereldwijd oplossingen biedt voor complexe, technische en maatschappelijke vraagstukken op het gebied van water, infrastructuur, milieu en bouw. Vanuit een inspirerende werkomgeving werken onze ruim 1.400 medewerkers in multidisciplinaire projectteams aan fascinerende projecten in binnen- en buitenland. Ons werk vraagt steeds om nieuwe kennis en verantwoordelijkheden, vandaar dat persoonlijke en vakinhoudelijke ontwikkeling essentieel is en gestimuleerd wordt. Onze medewerkers hebben de ambitie het beste uit zich zelf te halen en kwalitatief de beste resultaten te leveren. Er is ruimte voor eigen initiatief en ondernemerschap. De aandelen van ons bureau zijn in handen van onze eigen medewerkers.
Reageren?
Ben jij enthousiast over deze vacature en denk je dat je goed past binnen Witteveen+Bos en het team? Leuk! We nodigen je graag uit om te solliciteren. Wil je eerst nog meer informatie over de vacature? Neem contact op met Hendrik Heuker, afdelingshoofd Finance via 06 86 81 53 16. Hij staat je graag te woord. Digitaal of fysiek kennismaken met een kop koffie behoort natuurlijk ook tot de mogelijkheden.


Vacaturenummer: NL00730",https://media.glassdoor.com/sql/808095/witteveen-bos-squarelogo-1426667116623.png,Deventer,nan,Witteveen+Bos
Senior Belastingadviseur Agro,"Als Senior Belastingadviseur Agro kan jij aan de slag op onze vestiging in Roosendaal. Onder Agro vallen diverse richtingen die je terug kan vinden op ons kantoor in Roosendaal. Denk hierbij bijvoorbeeld aan akkerbouw, veehouderij, hard fruit en aspergeteelt. Wat kenmerkend is voor deze klanten is dat innovatie en productontwikkeling hoog op de agenda staan. Echter hoef je je niet te beperken tot klanten (voornamelijk familiebedrijven) in de agrarische sector. Je kan dit namelijk ook combineren met de reguliere MKB klanten, waardoor je een diverse klantenportefeuille hebt.

Weet jij onze klanten van het juiste fiscale advies te voorzien en zie je extra wetgeving als een uitdaging? Weet jij door jouw vakkennis en sociale vaardigheden direct het vertrouwen van de klant te winnen? Kom jij met onverwachte maar zeer passende oplossingen? Dan ben jij wellicht het ontbrekende puzzelstukje waar wij nog naar op zoek zijn!?

DIT HEB JE
Afgeronde universitaire studie Fiscaal Recht of Fiscale Economie
Afgeronde RB of NOB opleiding
Minimaal 7 jaar relevante werkervaring
Vaktechnische kennis binnen de agrarische sector is een pré

DIT KAN JE
Contact onderhouden met onze klanten en diverse instanties
Opbouwen van een goede relatie met je klanten
Uitwerken van fiscale structuren en reviewen van jaarrekeningen op fiscale aspecten
Signaleren van fiscale kansen en het advies hierop afstellen
Verzorgen van bezwaarschriften en belastingadviezen
Voeren van besprekingen en het onderhouden van contacten met klanten, de Belastingdienst en intermediairs
Zelfstandig fiscaal advies geven aan een eigen klantenportefeuille
Voeren van wekelijks overleg met fiscalisten en relatiebeheerders
Geven van presentaties of lezingen in zowel interne als externe vaktechnische bijeenkomsten

DIT KRIJG JE
Groei, zowel op vakinhoudelijk als persoonlijk vlak via de Van Oers University, ons eigen opleidingsinstituut
Vrijheid en ruimte om je eigen ideeën in te brengen en uit te voeren
Marktconform salaris en prima arbeidsvoorwaardenpakket
Verjaardagen én successen worden gezamenlijk gevierd
Vrijdagmiddagborrels om het weekend goed in te luiden
De deuren van onze directieleden staan altijd open. Zij helpen je waar ze kunnen
Werken in een persoonlijk, hecht team van (young) professionals
WORD JIJ ONZE NIEUWE SENIOR BELASTINGADVISEUR AGRO?

Bij van Oers Roosendaal bestaat het team Agro uit fijne en enthousiaste collega's, die er samen voor zorgen dat je warm wordt ontvangen. Je bent onderdeel van het team fiscalisten dat bestaat uit meer dan 20 collega's. Ook bestaat er een nauwe samenwerking met de collega's op de andere kantoren. Vind jij het fijn om te sparren met collega's en met korte lijnen te werken? Zie jij jezelf al werken bij Van Oers? Wacht dan niet te lang en stuur je sollicitatie in.

VAN OERS IN ÉÉN ZIN

""Kwaliteit, Samenwerken, Vooruitstrevend""

JEZELF BLIJVEN ONTWIKKELEN

Groei en ontwikkeling zit diep geworteld in onze bedrijfscultuur. Daarom bieden we je coaching en training op maat aan. Zo kun jij de juiste stappen zetten in jouw loopbaan en blijft onze dienstverlening op het hoogste niveau. Bij Van Oers krijg je alle kansen om jezelf te ontwikkelen tot een volwaardig professional. Vanuit onze eigen Van Oers University helpen wij jou hierin verder.
DRIE VRAGEN AAN LENNY BLAAKMAN

Hoe zou je de sfeer bij Van Oers beschrijven?
Een hele ontspannen sfeer, waar kwaliteit op nummer één staat, maar voldoende tijd is voor lol onderling.

Wanneer heb je voor het laatst iets voor het eerst gedaan? En wat?
Afgelopen zaterdag 15 december 2018. Het lopen van mijn eerste halve marathon.

Waarom heb je voor Van Oers gekozen?
Van Oers heeft een grote fiscale praktijk met een hoog kwaliteitsniveau en heel veel mooie klanten. Dit in combinatie met de fijne werksfeer zorgt ervoor dat ik sinds ik de overstap heb gemaakt blij ben met deze keuze.",https://media.glassdoor.com/sql/1145069/van-oers-squarelogo-1475556346817.png,Breda,nan,Van Oers Accountancy & Advies
Belastingadviseur,"Als Senior Belastingadviseur bij Van Oers ben je een echte netwerker die midden in de lokale omgeving staat. Jij tilt ondernemers vanuit persoonlijke interesse met het juiste fiscale advies naar een hoger plan. Door jouw vakkennis en sociale vaardigheden krijg jij direct het vertrouwen van de klant en kom je met onverwachte, maar doeltreffende oplossingen. Zo bouw je aan stabiele relaties met onze klanten en diverse instanties. Ook als collega kan jij motiveren en inspireren. Zo haal jij het beste uit het team én jouw dag. Klinkt dat goed? Dan maken we graag kennis met jou.

DIT HEB JE
Afgeronde universitaire studie Fiscaal Recht of Fiscale Economie
Afgeronde RB of NOB opleiding
Minimaal 5 jaar relevante werkervaring
Een netwerk in de omgeving West-Brabant, dat je actief onderhoudt

DIT KAN JE
Het contact onderhouden met ondernemers en diverse instanties
Uitwerken van fiscale structuren en beoordelen van jaarrekeningen op fiscale aspecten
Signaleren van fiscale kansen en het advies hierop afstellen
Het verzorgen van bezwaarschriften en (inter)nationale belastingadviezen
Het voeren van besprekingen en het onderhouden van contacten met klanten, de Belastingdienst en intermediairs
Zelfstandig fiscaal advies geven aan een eigen klantenportefeuille
Door actief relatiebeheer en acquisitie vergroot je jouw netwerk en creëer je nieuwe kansen voor Van Oers

DIT KRIJG JE
Marktconform salaris en prima arbeidsvoorwaardenpakket
Ruimte om jouw lokale netwerk en betrokkenheid verder te vergroten
Een afwisselende klantenportefeuille van bedrijven in de regio
Groei zowel op vakinhoudelijk als persoonlijk vlak via de Van Oers University
Verjaardagen én successen worden gezamenlijk gevierd
Vrijdagmiddagborrels om het weekend goed in te luiden
Werken in een persoonlijk, hecht team van professionals
WORD JIJ ONZE NIEUWE BELASTINGADVISEUR?

Jij draagt graag bij aan het uitbouwen van onze adviespraktijk. Je bent onderdeel van een team van 60 belastingadviseurs. Als belastingadviseur bij Van Oers sta je naast de accountants en werk je samen aan optimale financiële dienstverlening voor onze MKB-klanten. Dat is de belastingadviseur die we zoeken voor onze vestigingen in Breda, Oosterhout, Roosendaal en Zundert.

Van Oers is één van de grootste accountancy & advies kantoren in West-Brabant. We zijn gespecialiseerd in accountancy, belastingadvies, loonadvies, corporate finance, administratieve en juridische dienstverlening. We kiezen bewust voor het werken vanuit lokale kantoren, zodat we dicht bij onze klanten staan.
Als adviseur bij Van Oers ervaar je elke dag weer wat jouw dienstverlening betekent voor ondernemers, de lokale economie en de samenleving. Door echte verbondenheid, zakelijk én maatschappelijk, maakt Van Oers daarin het verschil. Iedere klant bij Van Oers heeft een eigen contactpersoon. Iemand die de dagelijkse cijfers en de lange termijn kent.

VAN OERS IN ÉÉN ZIN

""Bourgondisch, Brabants, Vooruitstrevend""

JEZELF BLIJVEN ONTWIKKELEN

Blijven ontwikkelen vinden we erg belangrijk. Daarom bieden we je coaching en training op maat aan. Zo kun jij de juiste stappen zetten in jouw loopbaan en blijft onze dienstverlening op het hoogste niveau. Groei en ontwikkeling zit diep geworteld in onze bedrijfscultuur en leertrajecten worden gefaciliteerd door onze eigen Van Oers University.
DRIE VRAGEN AAN LENNY BLAAKMAN
Hoe zou je de sfeer bij Van Oers beschrijven?

Een hele ontspannen sfeer, waar kwaliteit op nummer één staat, maar voldoende tijd is voor lol onderling.

Wanneer heb je voor het laatst iets voor het eerst gedaan? En wat?

Afgelopen zaterdag 15 december 2018. Het lopen van mijn eerste halve marathon.

Waarom heb je voor Van Oers gekozen?

Van Oers heeft een grote fiscale praktijk met een hoog kwaliteitsniveau en heel veel mooie klanten. Dit in combinatie met de fijne werksfeer zorgt ervoor dat ik sinds ik de overstap heb gemaakt blij ben met deze keuze.",https://media.glassdoor.com/sql/1145069/van-oers-squarelogo-1475556346817.png,Breda,nan,Van Oers Accountancy & Advies
Junior Pensioen Consultant,"Junior Pensioenconsultant
Functieomschrijving
Wil je aan de slag als consultant binnen een dynamische omgeving waarin eigen ontwikkeling centraal staat? Wil jij samen met ons in teams werken aan oplossingen voor complexe financiële en maatschappelijke vraagstukken? Mercer is per direct op zoek naar een junior consultant binnen de Wealth business voor onze vestiging in Amstelveen, Rotterdam of Groningen.
Als junior consultant verleen je alle mogelijke ondersteuning van begin tot eind in het proces om uiteindelijk het advies op een zo efficiënt en effectief mogelijke manier en zo hoog mogelijke kwaliteit bij de klant te brengen. Naast jouw focus vakgebied heb je de kans om jezelf breder te ontwikkelen en zul je op verschillende projecten ingezet worden over verschillende afdelingen binnen Mercer.
Jouw verantwoordelijkheden:
Samen met jouw klantteam help je bij het uitwerken van een complex vraagstuk van onze klant naar een succesvol plan van aanpak.
Het zorgvuldig verwerken en analyseren van financiële data, documentatie en probleemstellingen het bijdragen aan het aanreiken va de juiste strategie of oplossing voor de klant.
Het zelfstandig uitvoeren van actuariële analyses en pensioenberekeningen.
Het voorbereiden van rapporten, presentaties en adviesmemo’s en het helpen van collega’s bij pensioen- en arbeidsvoorwaarden gerelateerde onderzoeken.
Het volgen van relevante ontwikkelingen en actualiteiten in jouw werkgebied en deze toepassen in je werk.
Het plannen van je eigen werkzaamheden en proactief bijdragen aan de teamdoelstellingen
Het ondersteunen in de communicatie met klanten en hun werknemers over hun arbeidsvoorwaarden in het algemeen en pensioen in het bijzonder.
Kwalificaties
Mercer zoekt een enthousiaste en getalenteerde Junior Consultant die meer uit zichzelf willen halen! Onze relaties komen uit de top van de markt van ondernemingspensioenfondsen, bedrijfstakpensioenfondsen, grootzakelijke ondernemingen, multinationals en het MKB. Hun succes is mede afhankelijk van jouw strategisch inzicht, jouw communicatieve kwaliteiten en jouw durf om vernieuwende ideeën aan te dragen.
Ben je in het bezit van een WO bachelor-diploma:
in econometrie, actuariaat of wiskunde;
in economie of financieel;
of fiscaal juridisch met pensioenkennis
dan maken we graag kennis met je.
Jouw overige kwalificaties:
Je hebt recent je opleiding afgerond en bent geinteresseerd in pensioen vraagstukken
Je beschikt over uitstekende analytische en communicatieve vaardigheden.
Je bent klantgericht, enthousiast, proactief, zelfstandig en een teamspeler.
Affiniteit met financiële vraagstukken, beleggen, moderne technologie en/of big data
Goede beheersing van de Nederlandse en Engelse taal in woord en geschrift.
Ons aanbod
Afwisselende en uitdagende opdrachten met relevantie voor de top uit het zakelijke segment en voor grote beleggers zoals pensioenfondsen.
Een competitief salaris.
Uitstekende doorgroeimogelijkheden.
Ruimte voor persoonlijke ontwikkelingen en training.
Goede concurrerende secundaire arbeidsvoorwaarden.
Platte hiërarchie, open deur cultuur en ruimte voor eigen initiatief
Aandacht voor work-life balans
Wie wij zijn
Mercer is een mondiale aanbieder van advies op het gebied van Health, Wealth en Career. Bij Mercer bevorderen we de gezondheid, welvaart en carrières van meer dan 110 miljoen mensen. Dit doen wij door werkgevers te faciliteren bij het maken van weloverwogen keuzes. De 20.000 Mercer consultants, verspreid over meer dan 170 kantoren in 43 landen, bieden de klant ondersteuning bij het oplossen van complexe vraagstukken ten aanzien van arbeidsvoorwaarden en menselijk kapitaal, en bij het ontwerpen en beheren van ziektekostenregelingen, sociale voorzieningen en pensioenen. Zo helpen wij onze relaties een goed werkgever te zijn en zorgen wij vandaag voor de dag van morgen.
Onze fundamentele waarden vind je terug door heel Mercer - in de verschillende kantoren en regio's, bedrijven en oplossingen, generaties en culturen. Meer dan 28.000 bedrijven en hun werknemers over de hele wereld werken samen met en groeien door Mercer, omdat wij geloven in:
Mensen zijn het hart van alles. Ze drijven onze innovatie, onze oplossingen, en onze passies.
De toekomst wordt gemaakt door de acties die we vandaag nemen. Samen hebben wij de kracht om morgen gezonder, gelukkiger en meer de moeite waard te maken.
Dit doel verenigt onze collega's over de hele wereld, en deze principes weerspiegelen onze inzet voor de individuen en gezinnen van wie wij het leven dagelijks beïnvloeden.
Meer weten over Mercer en onze arbeidsvoorwaarden? Kijk op www.werkenbijmercer.nl voor meer informatie. Of solliciteer direct via onze website.",https://media.glassdoor.com/sql/35818/mercer-squareLogo-1615817094152.png,Amstelveen,nan,Mercer
Partner / Director,"partner worden van een snelgroeiend advieskantoor|Verder uitbouwen van de onderneming
Over onze klant
Onze klant is een private-equity owned full service financieel advieskantoor in Amsterdam met een focus op klanten in alle lagen van het MKB en bestaat uit 17 medewerkers, waarvan 12 in Nederland en 5 in het service center in Servië. Het kantoor heeft ambitieuze groeiplannen en wil door middel acquisities gecombineerd met autonome groei, het concept opschalen.

Functieomschrijving
In jouw rol zul je (mede)verantwoordelijk zijn voor de day-to-day business en de groeiambities van de organisatie. Je onderhoudt relaties met klanten en adviseert ze waar nodig, geeft leiding en zet samen met de twee andere partners de strategie uit die je vervolgens ook zelf (mede) uitvoert. Jouw focus ligt naast de algemene leiding met name op DGA-vraagstukken, IA, 30%-regeling, WKR, Wet DBA en soms erf- en successierecht.

Profiel
Jij bent een bouwer en een netwerker. Een ervaren fiscalist met affiniteit met de samenstelpraktijk of een accountant met goede kennis van fiscaliteit.

Verder:

Heb je een ondernemende instelling
Heb je solide fiscale kennis (IB en VPB) en een commerciële drive;
Bij voorkeur een Master Fiscaal Recht, Fiscale Economie of Financiële equivalent;
Krijg energie van het bouwen van relaties en bent servicegericht;
Minimaal 5 - 7 jaar relevante werkervaring;
Hebt affiniteit met de samenstelpraktijk (is een plus, geen must).

Aanbod
Voor meer informatie neem contact op met Leonie Verheul, Manager Tax & Finance bij Michael Page, Leonieverheul at Michaelpage nl of bel/app naar +31 (0)6 83 19 68 92.",https://media.glassdoor.com/sql/583359/page-group-squarelogo-1392152631880.png,Amsterdam,nan,Michael Page
Salary Partner Belastingadvies,"Bedrijfsprofiel
Voor een vooraanstaand accountants en belastingadvieskantoor zoeken wij voor de vacature Salary Partner Belastingadvies gekwalificeerde kandidaten die aan het profiel voldoen. De onderneming heeft meerdere vestigingen en haar klantenkring bestaat uit middelgrote tot grote familie ondernemingen in verschillende branches en non profit. Het betreft voornamelijk de nationale en voor een kleiner gedeelte de internationale praktijk (dat kan overigens aangepast worden aan de wensen van de juiste kandidaat). Door haar autonome groei alsmede overnames biedt zij veel mogelijkheden voor intellectuele kruisbestuiving. Innovatie, tax technologie, tax transformatie en data management staan er hoog in het vaandel. Er heerst een informele en professionele cultuur waar kennisoverdracht, collegialiteit alsmede ook humor belangrijk wordt gevonden.
Vacature SALARY PARTNER BELASTINGADVIES
U bent eindverantwoordelijk voor relatiebeheer en uitbouw van uw klantenkring
U adviseert uw cliënten op fiscaal gebied als sparring partner, gevraagd en ongevraagd
U adviseert mede in bijzondere fiscale opdrachten
U geeft leiding aan de belastingadviseurs en het management
U bent mede eindverantwoordelijk voor het te voeren (fiscale) kantoorbeleid
U heeft een mening over vaktechniek, commercie, beleid en het coachen van professionals
U geeft interne/externe presentaties en onderhoudt uw vaktechniek
De positie kan worden afgestemd op de kwaliteiten en ambities van de kandidaat
Profiel SALARY PARTNER BELASTINGADVIES
Een afgeronde opleiding Fiscaal Recht (LLM) of Fiscale Economie (MSc)
Klant- en oplossingsgerichte instelling
Minimaal 10 jaar relevante werkervaring
Gesprekspartner op elk niveau met goede communicatieve vaardigheden
Inlevend, luistervaardig, leergierig en betrokken
Leidinggevende ervaring en kwaliteiten
Arbeidsvoorwaarden
Salaris > € 100.000,- bruto per jaar exclusief marktconforme arbeidsvoorwaarden zoals auto vd zaak en pensioen
Contract
Voor onbepaalde tijd
Locatie
Regio Amersfoort
Contactpersoon
Patrick Killaars: 06-22504050",https://media.glassdoor.com/sql/1018154/ingenius-squarelogo-1545215190353.png,Amersfoort,€100K (Employer est.),Ingenius
Fiscaal Partner,"Bedrijfsprofiel
Voor een vooraanstaand top 30 accountants en belastingadvieskantoor zoeken wij voor de vacature Fiscaal Partner gekwalificeerde kandidaten die aan het profiel voldoen. De onderneming heeft meerdere vestigingen en haar klantenkring bestaat uit middelgrote tot grote (familie) ondernemingen, non profit en private equity in verschillende branches. Het betreft de nationale en voor een kleiner gedeelte de internationale praktijk (dat kan overigens aangepast worden aan de wensen van de juiste kandidaat). Door haar autonome groei alsmede overnames biedt zij veel mogelijkheden voor intellectuele kruisbestuiving. Innovatie, tax technologie, transformatie en data management staan er hoog in het vaandel. Er heerst een informele en professionele cultuur waar kennisoverdracht, collegialiteit alsmede ook humor belangrijk wordt gevonden.
Vacature FISCAAL PARTNER
U bent eindverantwoordelijk voor relatiebeheer en uitbouw van uw klantenkring
U adviseert uw cliënten op fiscaal gebied als sparring partner, gevraagd en ongevraagd
U adviseert mede in bijzondere fiscale opdrachten
U geeft leiding aan de belastingadviseurs en het management
U bent mede eindverantwoordelijk voor het te voeren (fiscale) kantoorbeleid
U heeft een mening over vaktechniek, commercie, beleid en het coachen van professionals
U geeft interne/externe presentaties en onderhoudt uw vaktechniek
De positie kan worden afgestemd op de kwaliteiten en ambities van de kandidaat
Profiel FISCAAL PARTNER
Een afgeronde opleiding Fiscaal Recht (LLM) of Fiscale Economie (MSc)
Klant- en oplossingsgerichte instelling
Minimaal 10 jaar relevante werkervaring
Gesprekspartner op elk niveau met goede communicatieve vaardigheden
Inlevend, luistervaardig, leergierig en betrokken
Leidinggevende ervaring en kwaliteiten
Arbeidsvoorwaarden
Salaris > € 80.000,- bruto per jaar exclusief marktconforme arbeidsvoorwaarden zoals auto vd zaak en pensioen
Contract
Voor onbepaalde tijd
Locatie
Regio Den Haag
Contactpersoon
Patrick Killaars: 06-22504050",https://media.glassdoor.com/sql/1018154/ingenius-squarelogo-1545215190353.png,The Hague,€80K (Employer est.),Ingenius
Partner Belastingadvies,"Bedrijfsprofiel
Voor een vooraanstaand accountants en belastingadvieskantoor zoeken wij voor de vacature Partner Belastingadvies gekwalificeerde kandidaten die aan het profiel voldoen. De onderneming heeft meerdere vestigingen en haar klantenkring bestaat uit middelgrote tot grote familie ondernemingen in verschillende branches en non profit. Het betreft voornamelijk de nationale en voor een kleiner gedeelte de internationale praktijk (dat kan overigens aangepast worden aan de wensen van de juiste kandidaat). Door haar autonome groei alsmede overnames biedt zij veel mogelijkheden voor intellectuele kruisbestuiving. Innovatie, tax technologie, tax transformatie en data management staan er hoog in het vaandel. Er heerst een informele en professionele cultuur waar kennisoverdracht, collegialiteit alsmede ook humor belangrijk wordt gevonden.
Vacature PARTNER BELASTINGADVIES
U bent eindverantwoordelijk voor relatiebeheer en uitbouw van uw klantenkring
U adviseert uw cliënten op fiscaal gebied als sparring partner, gevraagd en ongevraagd
U adviseert mede in bijzondere fiscale opdrachten
U geeft leiding aan de belastingadviseurs en het management
U bent mede eindverantwoordelijk voor het te voeren (fiscale) kantoorbeleid
U heeft een mening over vaktechniek, commercie, beleid en het coachen van professionals
U geeft interne/externe presentaties en onderhoudt uw vaktechniek
De positie kan worden afgestemd op de kwaliteiten en ambities van de kandidaat
Profiel PARTNER BELASTINGADVIES
Een afgeronde opleiding Fiscaal Recht (LLM) of Fiscale Economie (MSc)
Klant- en oplossingsgerichte instelling
Minimaal 10 jaar relevante werkervaring
Gesprekspartner op elk niveau met goede communicatieve vaardigheden
Inlevend, luistervaardig, leergierig en betrokken
Leidinggevende ervaring en kwaliteiten
Arbeidsvoorwaarden
Salaris > € 100.000,- bruto per jaar exclusief marktconforme arbeidsvoorwaarden zoals auto vd zaak en pensioen
Contract
Voor onbepaalde tijd
Locatie
Regio Utrecht
Contactpersoon
Patrick Killaars: 06-22504050",https://media.glassdoor.com/sql/1018154/ingenius-squarelogo-1545215190353.png,Utrecht,€100K (Employer est.),Ingenius
