job_titles,job_description,images,locations,salaries,companies
Arts Verstandelijke Gehandicapten,"Over deze functie
Als arts kun jij binnen de zorg alle kanten op. Velen kiezen voor het ziekenhuis, de bedrijfszorg of de geestelijke gezondheidszorg. Minder artsen kiezen voor de gehandicaptenzorg, waar je ook een échte bijdrage kunt leveren aan het dagelijks leven van een brede groep cliënten met uiteenlopende klachten en problematieken. Of je nu mooie eerste ervaring wilt opdoen, voor een uitdaging gaat óf vanuit lange ervaring iets wilt toevoegen; de gehandicaptenzorg staat te springen om enthousiaste artsen die hun steentje willen bijdragen binnen deze mooie en gevarieerde doelgroep. Ben je geïnteresseerd in de mens achter de patiënt en wil je de levenskwaliteit van deze bijzondere doelgroep verbeteren: dan is de gehandicaptenzorg een ideale werkplek voor jou.
Wat hebben we jou te bieden?
Jij ontvangt een salaris conform CAO GHZ (5487 tot 8438)Jij krijgt een opleidingsbudget vanuit Samen ProfessionalsJij voert een gesprek met onze recruiter, waarin we jouw wensen en behoeften besprekenJij hebt de kans om binnen een afwisselend vakgebied mooie ervaring op te doen
Wat verwachten we van jou?
Jij hebt een afgeronde opleiding Geneeskunde of Basisarts afgerondJij hebt een actieve BIG-registratieJij hebt een affiniteit, ervaring of interesse in de gehandicaptenzorgJij ziet de mens achter de patiënt en neemt graag de tijd voor hun klachtenJij bent voor minimaal 12 uur, tot maximaal 36 uur beschikbaar
Over Samen Professionals
Deze locatie binnen de gehandicaptenzorg heeft meerdere terreinen waar cliënten wonen en werken. Je kunt dit daarom vergelijken met een grote wijk of een klein dorp. Hierdoor neem jij, samen met je collega-artsen, eigenlijk de rol van lokale huisarts in. De bewoners zijn cliënten met een verstandelijke handicap die varieert van een lichte tot een ernstige verstandelijke beperking. Naast de dagelijkse begeleiding en behandeling ontvangen zij ook medische zorg, wanneer dit nodig is. Jij speelt hier, als onderdeel van het artsenteam, een cruciale rol in. Benieuwd? Neem dan vrijblijvend contact met ons op!
Education : WO",https://media.glassdoor.com/sql/2539934/samen-professionals-squareLogo-1613668070219.png,Haarlem,€4K (Employer est.),Samen Professionals
ANIOS | Verzekeringsarts | UWV,"Over de functie
Voor het UWV ben ik op zoek naar een ANIOS (met of zonder ervaring). Je zal hierbij opgeleid worden tot verzekeringsarts, waarbij je onder supervisie van een ervaren verzekeringsarts staat.
Jouw werkzaamheden bestaan uit het helpen van mensen met een ziekte of beperking om ervoor te zorgen dat deze mensen zoveel mogelijk mee kunnen doen in de maatschappij, waar nodig ook met arbeid. Je richt je niet op de beperkingen van iemand, maar zal juist kijken naar wat iemand nog wél kan. Je kijkt als het ware verder dan de ziekte en ziet de hele breedte en diepte van het medische vak én je brengt mensen meer duidelijkheid en perspectief.
Je komt te werken in een multidisciplinair team, bestaande uit collega-artsen, arbeidsdeskundigen, re-integratiebegeleiders en sociaal-medisch verpleegkundigen. Daarnaast zal je reguliere werktijden (9:00 - 17:00) werken.
Na de opleiding tot verzekeringsarts werk je samen met een medisch secretaresse of een sociaal medisch verpleegkundige aan de hand van de werkvorm taakdelegatie.
Functie eisen
Je beschikt over:
Een afgeronde studie geneeskunde
Een bigregistratie
En verder:
Ben je voor minimaal 32 uur beschikbaar.
Over het bedrijf
Wat mag je van ons verwachten?
Een salaris conform CAO-UWV (€ 4.000 - € 5.000)
Je krijgt een mooie functie die ertoe doet
Je krijgt de mogelijkheid voor een (vast) dienstverband bij Maandag®
Je krijgt de mogelijkheid om gratis cursussen te volgen via de Maandag® Academy en interne trainingsmogelijkheden
Je krijgt reiskostenvergoeding, een pensioenregeling, vakantiedagen en vakantiegeld.
Ben je enthousiast geworden na het lezen van deze vacature en herken jij je in bovenstaand profiel? Solliciteer dan direct door op onderstaande button te klikken. Bij vragen kan je telefonisch contact opnemen met mij 06 10 85 57 74.
Solliciteer
Herken jij jezelf in dit profiel? En lijkt werken bij Maandag® je een mooie stap? Solliciteer dan meteen. Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons.",https://media.glassdoor.com/sql/987395/maandag-squareLogo-1667825379000.png,Rotterdam,nan,Maandag
(Huis)arts Verstandelijk Gehandicapten,"Functie omschrijving (Huis)arts Verstandelijk Gehandicapten

Voor een bevlogen organisatie in de regio Urecht zoeken wij een basisarts of huisarts, die zich gaat bezighouden met de doelgroep mensen met een verstandelijke beperking, en die zich het liefst gaat specialiseren.

Het betreft een (vast) dienstverband. De klachten en aandoeningen die u tegenkomt zijn op allerlei gezondheidsgebieden. Dit maakt het een afwisselende functie binnen een vooruitstrevende organisatie.

Kenmerkend voor deze organisatie is de integrale aanpak waarbij alle facetten van het leven van cliënten worden meegenomen in de begeleiding en behandeling.
Uw taken als arts:
Samen met de cliënt en de omgeving het verhelderen van de zorgvraag en daarop volgend datgene inzetten wat nodig is om ervoor zorgen dat zelfbeschikking een zo groot mogelijke rol krijgt;
Het meedenken aan de verdere ontwikkeling van uw functie en het vastleggen van de diverse verantwoordelijkheden.
Functie eisen (Huis)arts Verstandelijk Gehandicapten

Voor deze functie zijn wij op zoek naar een arts met passie voor de doelgroep mensen met een verstandelijk beperking. Daarnaast beschikt de juiste kandidaat over:
Uiteraard een afgeronde opleiding geneeskunde;
Goede contactuele en communicatieve eigenschappen;
Bij voorkeur een rijbewijs en eigen vervoer.
Bedrijfsprofiel

Bevlogen zorginstelling in de VG-sector.

Bedrijfscultuur
Tevreden medewerkers zorgen voor tevreden cliënten. Goed werkgeverschap is een belangrijk thema waarbij persoonlijke ontwikkelingen en welbehagen centraal staan.
Arbeidsvoorwaarden (Huis)arts Verstandelijk Gehandicapten
U ontvangt een salaris conform CAO Gehandicaptenzorg. Daarnaast kunt u rekenen op een uitstekend pakket aan secundaire arbeidsvoorwaarden en opleidingsmogelijkheden. Zowel parttime als fulltime mogelijkheden.
Wat vragen wij?
Arts met een mensgerichte visie in de benadering van cliënten
Affiniteit en liefst ervaring met mensen met een verstandelijke beperking
Betrokken en oplossingsgericht
Een open persoonlijkheid
Wat bieden wij?
Integrale aanpak behandeling en begeleiding
Client staat centraal en maatwerk wordt geboden
Prettige werksfeer met bevlogen collega's
Waarom Matchpartner?
Twintig jaar ervaring binnen de werving en selectie
Een breed netwerk met werkgevers
Wij bemiddelen, maar adviseren ook",https://media.glassdoor.com/sql/1648805/matchpartner-squarelogo-1499239444708.png,Woerden,nan,Matchpartner
Basisarts ouderenzorg,"Over deze functie
Heb jij affiniteit met ouderenzorg? Wil je intramuraal ingezet worden op de psychogeriatrie en geriatrische revalidatie afdelingen. Lees dan snel verder! Als basisarts kom je te werken bij een zorginstelling in regio Utrecht. Je komt in een ambitieuze organisatie die volop aan het groeien is. Die steeds verder aan het uitbreiden is met verschillende specifieke doelgroepen. Jij wordt de basisarts voor bij Behandeling & Expertise. Je bent collegiaal en hebt een goed teamgevoel.
Al nieuwsgierig geworden en heb je al wat vragen? App of bel mij (Imad) gerust op 06-11 35 99 27.
Wat hebben we jou te bieden?
Wij kennen de zorg als geen ander! We zijn dan ook benieuwd naar jouw drijfveren, passies en ambities, zodat we jou kunnen voorstellen als de perfecte kandidaat voor deze functie. Tijdens je dienstverband wordt je begeleidt en ondersteunt in jouw ontwikkeling als zorgprofessional door onze opleidingscoördinator. Zo halen we het maximale uit jouw carrière.

Zo kun je bij ons rekenen op:

Een tijdelijk dienstverband (in eerste instantie) wat uiteindelijk wordt omgezet naar onbepaalde tijd;
Een marktconform salaris volgens de CAO VVT (min. € 3818,87 – max. € 5752,21);
ORT conform CAO en reiskostenvergoeding (€ 0,19 per kilometer);
Ruim aanbod in trainingen, cursussen en opleiding via onze Aecademy.
Wat verwachten we van jou?
Je bent in het bezit van een WO Bachelor Geneeskunde diploma;
Je bent geregistreerd als basisarts;
Je hebt affiniteit met ouderen;
Je bent communicatief vaardig;
Je bent parttime of fulltime inzetbaar.
Over Samen Professionals
Al meer dan 10 jaar ontdekt en verbindt Samen Professionals vakkundige en gedreven professionals aan waardevol werk in de zorg, welzijn, bij de (Semi-)overheid, woningcorporaties en het onderwijs. We detacheren starters, trainees en ervaren professionals. Door te vragen en goed te luisteren helpen we professionals aan de baan die helemaal bij ze past. Wij geloven dat iemand die op de juiste plek zit het verschil maakt!
Education : WO",https://media.glassdoor.com/sql/2539934/samen-professionals-squareLogo-1613668070219.png,Utrecht,€5K (Employer est.),Samen Professionals
ANIOS huisartsengeneeskunde,"Over de functie
Jij bent (net) klaar met de studie geneeskunde! Met je BIG registratie op zak ben je klaar voor je eerste baan als ANIOS. Je denk dat je huisarts wil worden maar weet dit nog niet zeker. Wat moet je doen om daar achter te komen? Werken bij Maandag®
Bij Maandag® werken veel ANIOS met affiniteit voor de huisartsgeneeskunde. Door middel van een kennismakingsgesprek inventariseer ik jouw
wensen en ambities. Wij bieden je relevante werkplekken in de ouderengeneeskunde, GGZ of bijvoorbeeld jeugdgezondheidzorg. Daarnaast bieden we je een supervisie groep waar andere pas afgestudeerde ANIOS als jij met elkaar kunnen sparren over de uitdagingen die jij tegenkomt als startend ANIOS
Tijdens de opdrachten monitoren we hoe het gaat. Zit je op je plek? Hoe is je werk/privé balans? Waar wil je je in ontwikkelen?
Ben je voor je gevoel, na bijvoorbeeld na 1 tot 2 jaar werkervaring, klaar om te solliciteren voor de huisartsenopleiding dan heb je door je tijd bij Maandag® extra kans om een plek te bemachtigen.
Nieuwsgierig? Bel, app of mail: 06 12 99 79 20 tim.aalderink@maandag.nl
Functie eisen
Diploma Master Geneeskunde
BIG registratie
Bereid onregelmatige (oproep)diensten te werken
Flexibel om te reizen naar steden zoals bijvoorbeeld Amsterdam, Haarlem, Almere of Utrecht
Affiniteit met GGZ, ouderengeneeskunde of jeugdgezondheidzorg
Over het bedrijf
Werken bij Maandag® is goed voor je ontwikkeling als ANIOS. Ik blijf jou aanspreekpunt tijdens de opdracht en zorg voor goede begeleiding. Zijn er bepaalde cursussen die jij wilt volgen dan kijken we naar de mogelijkheden. Aan het eind van de opdracht bepalen we samen wat jouw volgende stap in je carrière wordt. Wil je na deze opdracht ervaring opdoen in bijvoorbeeld de GGZ of gehandicaptenzorg? Geen probleem! We kijken samen welke opdracht het beste aansluit bij jouw ontwikkeling. Verder bieden we je:
Goed salaris o.b.v. de betreffende CAO €4177,11 - €6371,11
€0,21 reiskostenvergoeding of mogelijkheid tot een (elektrische) Lease auto
Een werkgever met aandacht voor jouw groeipad als ANIOS
Solliciteer
Herken jij jezelf in dit profiel? En lijkt werken bij Maandag® je een mooie stap? Solliciteer dan meteen. Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons.",https://media.glassdoor.com/sql/987395/maandag-squareLogo-1667825379000.png,Amsterdam,nan,Maandag
Basisarts ouderenzorg junior,"Over de functie
Ben jij net afgestudeerde basisarts en wil je graag een kijkje nemen in de ouderenzorg. Of ben je een net afgestudeerde basisarts en weet je nog niet wat je wilt? De ouderenzorg is een hele mooie opstap voor je verdere carrière en ik help je daar graag bij.
Waarom kiezen voor Maandag?
Dertiende maand, onregelmatigheidstoeslag, reiskostenvergoeding €0,21 cent per kilometer (netto), 25 vakantiedagen o.b.v. 40 uur
Het volgen van cursussen via de Maandag® Academy zoals
Salaris tussen de €4177,78 tot €6797,03 afhankelijk van CAO/ervaring
Pensioenregeling via BeFrank.
Wij hebben verschillende organisaties waar wij mee samenwerken en kijken altijd naar welke organisatie het beste bij je past. Wel kan ik je alvast een inkijkje geven van wat dan ongeveer je werkzaamheden zullen zijn.
Samen met collega’s biedt je medische zorg en behandeling aan onze somatische en psychogeriatrische bewoners, voor hun optimaal lichamelijk en geestelijk welbevinden
Je neemt deel aan projecten gericht op kwaliteitsbevordering en innovatie
Je werkt onder andere nauw samen met het multidisciplinair team van o.a. de specialist ouderengeneeskunde, psycholoog, gedragsconsulente, ergotherapeute, fysiotherapeut en diëtiste.
Functie eisen
Afgeronde Master Geneeskunde met een BIG-registratie
Minimaal 24 uur beschikbaar
In het bezit van eigen vervoer (is een pré).
Over het bedrijf
Met meer dan 4.000 professionals is Maandag® dé detacheerder van de publieke sector. Bij Maandag® werken we elke dag hard om mensen met werk te verbinden waar ze zin in hebben en zin in houden. Dat is werk dat past bij hun capaciteiten, ambities en voorkeuren. Werk waarin ze hun talent kunnen benutten en ontwikkelen, dat voldoende uitdaging en afwisseling biedt. En in een omgeving die voldoende inclusief, divers en sociaal is. Want alleen dan brengen mensen elke dag weer frisse energie mee naar de werkvloer. Hebben ze zin om dingen aan te pakken. En krijgen ze dingen gedaan. Want: wie houdt van zijn of haar werk heeft altijd zin in maandag.
Solliciteer
Herken jij jezelf in dit profiel? En lijkt werken bij Maandag® je een mooie stap? Solliciteer dan meteen. Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons.",https://media.glassdoor.com/sql/987395/maandag-squareLogo-1667825379000.png,Rotterdam,€4K - €7K (Employer est.),Maandag
Parttime zorgondersteuner ziekenhuis,"Over deze functie
Ben jij een zorgstudent en heb je altijd al werkervaring op willen doen in het ziekenhuis? Wil jij graag jouw steentje bijdragen bij als zorgondersteuner op verschillende afdelingen in het ziekenhuis? Vanuit het Spaarne Gasthuis in Hoofddorp zijn wij opzoek naar parttime zorgondersteuners met een breed takenpakket. Heb jij ervaring binnen de zorg (mogen alle facetten zijn) en ben jij dé aangewezen persoon als het gaat om het ondersteunen van collega’s? Solliciteer dan nu!

Wat ga je doen?
Als zorgondersteuner houd je je bezig met verschillende taken. Denk hierbij bijvoorbeeld aan:
– Direct patiënten contact. Ondersteuning bieden samen met een verpleegkundige rondom ADL zorg; wassen, douchen, aankleding, persoonlijke verzorging.
Het bijvullen van materialen
Samen met een collega ondersteun je bij transport van patiënten
Administratieve baliewerkzaamheden
Medicatie ophalen bij de apotheek
Signaleren en rapporteren aan de verantwoordelijke verpleegkundige.
Je werkt onder supervisie van afdelingsverpleegkundige. Dit is nog maar een greep uit jouw takenpakket. Uiteraard vertel ik je er graag nog veel meer over!

Over het Spaarne Gasthuis
Het Spaarne Gasthuis is een modern ziekenhuis met locaties in Hoofddorp en Haarlem. Het Spaarne Gasthuis streeft er naar om de best mogelijke behandeling te bieden. Jij kunt hier als zorgondersteuner een steentje aan bijdragen. Het ziekenhuis is goed te bereiken met het OV vanuit Haarlem en Amsterdam.
Wat hebben we jou te bieden?
Een tijdelijk dienstverband
De mogelijkheid om zelf je diensten in te plannen. Lekker flexibel!
Een minimaal bruto uurloon vanaf €13-, (afhankelijk van ervaring)
Reiskostenvergoeding en onregelmatigheidstoeslag
Een eigen Poolmanager waar je terecht kunt met al jouw vragen
Wat verwachten we van jou?
Jij volgt een zorgstudie of hebt dit afgerond. Denk aan Geneeskunde, Verpleegkunde, Fysiotherapie, of Medische Hulpverlening
Bereid om in avonden en nachten te werken (in overleg)
Minimaal 16 uur per week beschikbaar
Flexibel inzetbaar
Over Samen Professionals
Aethon is één van de vier onsterfelijke, gevleugelde en vlammen snuivende paarden van Helios, de zonnegod uit de Griekse mythologie. Als verantwoordelijke voor zonsopgang en –ondergang bracht Helios de mensen licht, net zoals de flexibel inzetbare talenten van Aethon ‘verlichting’ brengen binnen de zorg, bij gemeenten, woningcorporaties en de kinderopvang. Het paard Aethon trekt de stralende zonnekar, zoals wij samen met onze opdrachtgevers de kar trekken voor een innovatief, modern en duurzaam personeelsbeleid.

Aethon verbindt al meer dan 17 jaar gedreven talenten aan betekenisvol werk in de zorg, het onderwijs, de kinderopvang, bij gemeenten en woningcorporaties. We werven niet alleen, maar investeren in onze talenten met relevante trainingsprogramma’s. Zo verzekeren wij opdrachtgevers van continuïteit in hun organisatie en begeleiden we talenten bij de start van hun carrière. Met frisse blikken dragen we bij aan de dienstverlening van zorginstellingen in de ouderenzorg, gehandicaptenzorg, revalidatie en ziekenhuizen, bij gemeenten, woningcorporaties, de kinderopvang en het onderwijs.

Aethon verbindt studerende talenten aan betekenisvol werk bij onze opdrachtgevers. We leiden ze op met praktijkgerichte en relevante trainingen zodat ze direct, met de juiste kennis, aan de slag kunnen.

Wij zijn Aethon, de werkgever van talent. Aanmoedigers van ontwikkeling.
Education : WO",https://media.glassdoor.com/sql/2539934/samen-professionals-squareLogo-1613668070219.png,Hoofddorp,€2K (Employer est.),Samen Professionals
ANIOS sociale geneeskunde,"Over de functie
Ben jij na je ervaring in zoal het ziekenhuis toe aan regelmaat qua werktijden? Wil je hierbij graag meer tijd hebben voor jouw cliënten? Dan heb ik een uitdagende baan voor je.
Voor een opdrachtgever in Haarlem zoek ik een ANIOS die zich wil richten op de sociale geneeskunde.
Hierbij gaat het om cliënten in de in de ziektewet of eventueel in de WIA zitten. Samen met het multidisciplinair team, bestaande uit collega-artsen, arbeidsdeskundigen, re-integratiebegeleiders en sociaal medisch verpleegkundigen, wil jij de cliënten zoveel mogelijk bijstaan. Wanneer je je gaat richten op de cliënten met een WIA ga je verder met het voeren van gesprekken waar de bedrijfsarts is gestopt. Zo ga je je verdiepen in de ziektebeelden van jouw cliënten en stel je samen met je team re-integratieplannen op. Hierbij kom je op deze werkplek allerlei ziektebeelden tegen en zal je kennis vergaren over wet- en regelgeving.
Wil je je verder ontwikkelen? Dan zijn volop specialisatie mogelijkheden.
✆ 06 82 04 57 04 en ✉ emma.brinkman@maandag.nl.
Functie eisen
BIG geregistreerd (of bijna) als basisarts.
Geïnteresseerd in sociale geneeskunde.
Minimaal 32 uur per week beschikbaar.
Over het bedrijf
Werken bij Maandag® is goed voor je ontwikkeling als ANIOS. Ik blijf jou aanspreekpunt tijdens de opdracht en zorg voor goede begeleiding. Zijn er bepaalde cursussen die jij wilt volgen dan kijken we naar de mogelijkheden. Aan het eind van de opdracht bepalen we samen wat jouw volgende stap in je carrière wordt. Wil je na deze opdracht ervaring opdoen in een ander vakgebied? Geen probleem! We kijken samen welke opdracht het beste aansluit bij jouw ontwikkeling. Verder bieden we je:
Startsalaris vanaf €4885,83 (op basis van 40 uur per week).
Eindejaarsuitkering volgens desbetreffende CAO.
Reiskostenvergoeding van €0,21 cent per kilometer.
Een werkgever met aandacht voor jouw groeipad als ANIOS, deelname aan intervisiegroep is mogelijk.
Solliciteer
Herken jij jezelf in dit profiel? En lijkt werken bij Maandag® je een mooie stap? Solliciteer dan meteen. Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons.",https://media.glassdoor.com/sql/987395/maandag-squareLogo-1667825379000.png,Amsterdam,€5K (Employer est.),Maandag
Bedrijfsarts interne Arbodienst,"Functie omschrijving Bedrijfsarts interne Arbodienst
Voor een vooruitstrevende grote zorginstelling in Rotterdam die beschikt over een eigen interne arbodienst zijn wij op zoek naar een intrinsiek gemotiveerde bedrijfsarts of een arts die in opleiding is tot bedrijfsarts.

Bij deze organisatie heb je ongeveer 7 spreekuren per dag en heb je dus meer tijd voor je cliënten in vergelijking tot commerciële arbodiensten. Ook heb je hierdoor meer ruimte voor overleg met het loopbaancentrum en voor preventie.

De medewerkers binnen deze organisatie zijn zowel ongeschoold al wetenschappelijk opgeleid en de werkzaamheden van deze medewerkers lopen ook behoorlijk uiteen.

Onze opdrachtgever is eigenrisicodrager voor de WW, ZW en WIA en heeft zich als doel gesteld medewerkers zo goed als het kan op de werkvloer te laten. Uitgangspunt is positieve gezondheid.
Functie eisen Bedrijfsarts interne Arbodienst

Voor deze functie zijn we opzoek naar artsen met de volgende kwaliteiten en kwalificaties:
een afgeronde studie geneeskunde;
een BIG registratie;
ervaring in de bedrijfsgezondheidzorg of verzekeringsgeneeskunde;
minimaal 24 upw beschikbaar zijn in loondienst.
Ben je nog in opleiding tot bedrijfsarts? Dan zien we je sollicitatie ook graag tegemoet. Onze opdrachtgever faciliteert dan graag het resterende gedeelte van je opleiding in overleg met jou.

Bedrijfsprofiel
Onze opdrachtgever is een grote aansprekende zorgverlener in Rotterdam.
Bedrijfscultuur
Je komt te werken in een grote, dynamische zorgorganisatie waar veel verschillende vraagstukken spelen omtrent verzuim. De spreekuren die je voert zijn dan ook zeer verschillend van aard, en de problematiek die je tegenkomt is zeer gevarieerd. ZO behoud je veel afwisseling in je werk.
Arbeidsvoorwaarden Bedrijfsarts interne Arbodienst

Onze opdrachtgever biedt:
een salaris van € 7537,- obv 36 upw, eventueel is een arbeidsmarkt toeslag mogelijk;
een zeer inhoudelijke baan als bedrijfsarts
volop ruimte om jezelf als bedrijfsarts te ontwikkelen.
Wat vragen wij?
Afgeronde studie geneeskunde
BIG registratie
24 u/pw beschikbaar (loondienst)
Wat bieden wij?
€7537 opbv 36 uur
Veelzijdige, inhoudelijk interessante baan
Dienstverband in loondienst
Waarom Matchpartner?
Ervaren arbeidsbemiddelaar
Oog voor jouw ontwikkeling
Breed netwerk van werkgevers",https://media.glassdoor.com/sql/1648805/matchpartner-squarelogo-1499239444708.png,Rotterdam,€8K (Employer est.),Matchpartner
Psychiater Eetstoornissen,"Functie omschrijving Psychiater Eetstoornissen

Voor een GGZ-instelling zoeken wij een psychiater, die zich met een specifieke doelgroep gaat bezighouden. Er wordt met ervaringsdeskundigen gewerkt bij deze organisatie.
De professional die wij zoeken is geïnteresseerd in de dienstverlening aan en behandeling van cliënten met eetstoornissen en hun omgeving, alsmede persoonlijkheidsstoornissen, angst en somatischsymptoomstoornissen
De Psychiater Eetstoornissen is verantwoordelijk voor:
Diagnostiek en indicatiestelling;
Het opstellen van begeleidings- en behandelplannen;
Advisering en consultatie;
Het helpen vormgeven en verbeteren van behandelbeleid en zorgprogramma's;
Intercollegiaal- en andere vormen van overleg;
Het beoordelen en interveniëren in crisissituaties van patiënten in zorg op verzoek van professionals
Functie eisen Psychiater Eetstoornissen
Voor de vacature van Psychiater Eetstoornisen is het het volgende vereist:
Opleiding geneeskunde en registratie psychiater;
Een passie voor zorg;
Gedrevenheid en resultaatgerichtheid;
Een betrokken, open en flexibele houding naar cliënten.
Bedrijfsprofiel
De opdrachtgever is een vooruitstrevende GGZ instelling met meerdere zorglijnen. Kernwoorden zijn: regionale functie, korte lijnen, volop ruimte voor ontwikkeling. Het therapeutisch milieu is ingericht volgens de herstelvisie.
Bedrijfscultuur
Mede door de verbinding met academische centra in de regio is er een sterk opleidingsklimaat en een cultuur gericht op verbetering en vernieuwing. Deze vernieuwing wordt deels ook ingegeven door veranderende organisatiestructuren.
Arbeidsvoorwaarden Psychiater Eetstoornissen
Inschaling van deze functie is conform CAO GGZ, afhankelijk van opleiding en ervaring. Daarnaast zijn er interessante doorgroei -en opleidingsmogelijkheden. De functie kan parttime en fulltime uitgevoerd worden.
Wat vragen wij?
Een psychiater die affiniteit heeft met de doelgroep mensen met eetstoornissen / een verstoord lichaamsbeeld
Bevlogen, communicatief, collegiaal
Wat bieden wij?
Een hecht, multidisciplinair team waarin u uw eigen professionaliteit kunt ontwikkelen;
Volop ontwikkelingsmogelijkheden;
De mogelijkheid als zelfstandige te werken.
Waarom Matchpartner?
Twintig jaar ervaring binnen de werving en selectie;
Gespecialiseerd in vacatures voor ervaren professionals;
Een breed netwerk met werkgevers.",https://media.glassdoor.com/sql/1648805/matchpartner-squarelogo-1499239444708.png,Leiden,nan,Matchpartner
