job_titles,job_description,images,locations,salaries,companies
Project Analyst/ Policy Advisor,"HunaTek is searching for a Project Analyst/Policy Advisor that will provide support services to a government client in Washington, DC. This position is contingent upon contract award.
Essential Job Functions:
Working with the Senior Advisors, Special Assistant, and other team members to ensure that the Special Envoy’s engagements and interventions are strategically balanced and aligned to leverage priorities and advance the Office’s various lines of efforts.
Assist the Special Envoy with the preparation of high-level public engagements and events, consulting with other team members when necessary
Accompany the Special Envoy and their team on trips domestically and internationally, when needed.
Support the Special Envoy’s Senior Advisors to coordinate policy formulation with other bureaus and offices across the Department as well as with interagency counterparts.
Track specific policy issues across the building, as tasked, to ensure the Special Envoy and their team are weighing in as appropriate.
Build and/or strengthen working relationships with key building or interagency stakeholders, as tasked.
Make recommendations to Senior Advisors for how SEA WGH can strategically collaborate with other Department and interagency offices that have equities.
Support timely and streamlined information-sharing across S/GWI, the building, and the interagency, including through the clearance process and regular touch-bases with assigned counterparts.
Integrate SEA WGH priorities and messaging into building paper, talking points, and reports, as tasked.
Support the Special Envoy’s Senior Advisor on the USACM, including operations, partnerships, communications, and coordination.
Make recommendations for iteratively aligning the USACM’s structure with stated priorities
Support USACM partner coordination, communication, and relationship-building.
Support the development of internal and public-facing communication materials and channels regarding the USACM.
Work closely with USACM partners to prep stakeholders and policy makers for engagements, as tasked.
Support information sharing on the USACM with other international consultative platforms.
Assist in circulating USACM outputs and recommendations across the Department, the interagency, and, as appropriate, with likeminded countries.
Serve as the primary lead for any public-facing USACM events, including high-level events involving USG leadership, in collaboration with the Senior Advisor.

Education and Qualifications Required:
MA or other advanced degree in international relations, political science, gender studies, economics, history, or another relevant area of study.
Experience advising and providing strategic support to senior leadership.
Experience working on women’s rights and/or human rights in Afghanistan.
Experience directing programs to advance human rights and women’s leadership.
Experience with developing and implementing management systems and processes.
Excellent interpersonal and communication, both written and oral, skills.
Experience in programming and event planning.
Ability to manage multiple tasks, coordinate activities in multiple locations, act decisively in daily work, and work well in a multicultural team environment.
About Us:

At HunaTek, we build teams of people from all backgrounds with varying levels of experience, knowing firsthand that diversity of thought will strengthen our ability to deliver for our customers. We work hand in hand with Federal civilian and military staff, pulling together to further the interests of our nation and home and abroad.
Whenever possible, we provide opportunities for our employees to learn new skills, obtain certifications, attend industry events, and have some fun together.
Our Benefits:
We offer a comprehensive benefits package designed to make sure our employees and their families have access to good health care, are insured against catastrophic health events, can put money aside for retirement and are able to maintain a healthy work-life balance. These benefits include:
Comprehensive medical, dental and vision
Long-term and short-term disability insurance and term life insurance
401(K) with safe harbor contribution
Paid time off and 11 paid holidays
Tuition and career development assistance
A selection of voluntary benefits

ADA: HunaTek will make reasonable accommodations in compliance with the Americans with Disabilities Act of 1990.
EEO/AA: HunaTek does not discriminate on the basis of race, color, national origin, sex, religion, age, disability, sexual orientation, gender identity, veteran status, height, weight, or marital status in employment or the provision of services and is an equal access/equal opportunity/affirmative action employer.",https://media.glassdoor.com/sql/4774881/hunatek-squareLogo-1615987179862.png,"Washington, DC",nan,HunaTek Government Solutions
Legal Assistant / Practice Assistant,"Job Description:Essential Duties and Responsibilities:Knowledgeable in California state and federal court procedures, and proficient with checking the rules and procedures of courts as needed to ensure filings conform to court standards. Arbitration experience (JAMS, AAA, FINRA, etc.)is also a plus.Prepare proofread, format and edit correspondence, pleadings, memoranda, agreements and other legal documents under time-sensitive deadlines; may assist with drafting of pleadings and other documents.Open new client and new matter files using Firm software.Maintain paper and electronic files for Professionals and clients; file emails using firm document management software (NetDocs).Provide deadlines to docketing; track litigation deadlines; confirm deadlines are docketed correctly; if applicable.Schedule appointments, depositions and meetings; make travel arrangements; set-up conference calls and video meetings.Prepare and submit expense/reimbursement reports.Open and route mail and email, attaching appropriate files and documents.Work as a team and in conjunction with cluster mates, colleagues and Professionals in specified practice area(s) and office/Firm wide.Liaise with document services for all document production projects.Effectively communicate with witnesses, clients, colleagues and opposing counsel, as directed.Conduct basic research/analysis, as directed.Other duties as assigned.Required Education/Experience:A minimum of three (3) years of law firm experience.High school diploma required. College degree, a plus.Must have knowledge of California state court rules, laws, court forms and filing procedures.Prior use of a document management system, a plus.Proficiency with MS Word, Outlook, Excel, and Adobe.Ability to organize/prioritize workload and work in a fast-paced environment.Excellent written/verbal communication skills and the ability to professionally interact with professionals, clients and staff.Proven work ethic.Ability to problem-solve and anticipate issues/problems.Ability to work overtime, as needed.Job Type: Full-timePay: $60,000.00 - $65,000.00 per yearBenefits:401(k)Dental insuranceHealth insuranceVision insuranceSchedule:10 hour shiftApplication Question(s):Do you have experience Preparing,  proofread, format and edit correspondence, pleadings, memoranda, agreements and other legal documents under time-sensitive deadlines; may assist with drafting of pleadings and other documents ?Do you have experience with a law firm ?Do you have a College Degree ?Are you a US Citizen or Green Card Holder ?Do you have knowledge practice-specific rules, laws, court forms and filing procedures?Do you have experience coordinating travel arrangements through corporate travel companion, Navan ?Do you have experience preparing and submitting expense reports?Experience:Litigation: 3 years (Required)MS Word, Outlook, Excel, and Adobe.: 3 years (Required)NetDocs: 3 years (Required)Work Location: Hybrid remote in Pittsburgh, PA 15219",https://media.glassdoor.com/sql/134601/systems-ltd-squarelogo-1571132565923.png,"Pittsburgh, PA",$60K - $65K (Employer est.),Systems Limited
"Director, Public Affairs – Government Relations","Position Summary
Every role at Samsung presents a new opportunity to make a lasting, global impact. We believe that innovation
and growth are driven by an inclusive culture and a diverse workforce. We’re seeking innovators to create a global team where everyone belongs and has equal opportunities, inspiring our talent to be their true selves. Together, we are building a better tomorrow for our customers, partners and communities.

Join the Samsung family and be part of the team that’s creating a better future.
Role and Responsibilities
The Director of Government Relations will continue to strengthen Samsung’s relationships with Congressional and White House Administration officials; help secure legislative and policy outcomes that align with Samsung’s business objectives; and build Samsung’s brand with key Washington stakeholders. Support Government Relations teams’ efforts to advance Samsung’s legislative initiatives that align with Samsung’s business interests. Participate in political events on behalf of Samsung’s political action committee.
Help develop legislative strategy in order to implement key policy issues of importance to Samsung’s business
Help block harmful legislation/policy measures
Organize and execute site visits to Samsung facilities with key federal, state and local elected officials
Develop strategies and programmatic activities in collaboration with Communications team to drive Members of Congress/Administration officials to Samsung Solutions Center in DC
Attend political events and help host fundraisers for Samsung America PAC
Help develop coalitions to advance Samsung’s policy objectives with other companies, trade associations and industry stakeholders engaging in legislative and administration advocacy
Represent the company before the White House, Congress, and federal agencies; strengthen existing relationships with Congressional Members and Administration officials and staff and build new ones to further build Samsung’s brand
Increase awareness among government officials on Samsung policy positions, presence in the US and position as a global leader of consumer electronics, device solutions and other businesses
Research and analyze legislation and Administration actions and regulator proposals. Prepare briefings and reports for internal stakeholders that identify opportunities or risks of those measures.
Attend congressional hearings; trade associations meetings and report on related activities.
Assist Government Relations team in formulating a disbursement plan to support federal Congressional candidates through the Samsung America PAC.
Provide written updates on legislative bills and activities. Track bills impacting the tech industry.
Attend political events and help host fundraisers for Samsung America PAC
Skills and Qualifications
Minimum Qualifications & Experience
Established relationships on Capitol Hill, particularly with the House Energy and Commerce, House Ways and Means, Senate Finance, Senate Commerce, and House and Senate Foreign Relations and Appropriations Committees, among others.
10+ years of experience working on Capitol Hill, the Administration, or lobbying in the private sector or for a trade association.
Willingness to register as a lobbyist.
Outstanding and persuasive communication skills, both verbal and written
Proficient knowledge of legislative processes and procedures.
Outstanding and persuasive communication skills, both verbal and written.
Ability to provide critical analysis and develop political strategies.
Outstanding people skills.
Ability to influence others and work across the aisle.
Available to attend events and meetings outside work hours.
Occasional domestic, international travel to Samsung facilities and industry events, conferences as appropriate
Juris Doctor or Masters Degree preferred
Knowledge of the congressional appropriations process, tax, science, and/or energy issues
Experience working with key Congressional caucuses, and coalitions
PowerPoint, Excel skills
#LI-PV1
Life @ Samsung - https://www.samsung.com/us/careers/life-at-samsung/
Benefits @ Samsung - https://www.samsung.com/us/careers/benefits/
At Samsung, we believe that innovation and growth are driven by an inclusive culture and a diverse workforce. We aim to create a global team where everyone belongs and has equal opportunities, inspiring our talent to be their true selves. Together, we are building a better tomorrow for our customers, partners, and communities.Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.
COVID-19 Vaccine Mandate
Samsung Electronics America requires all employees to be fully vaccinated against COVID-19, unless a medical or religious exemption, or an exemption required under state/local law, is approved. Offers of employment are contingent upon proof that a candidate is fully vaccinated or qualifies for an exemption. More details on how to apply for an exemption are provided after the application process is complete.
Reasonable Accommodations for Qualified Individuals with Disabilities During the Application Process
Samsung Electronics America is committed to providing reasonable accommodations for qualified individuals with disabilities in our job application process. If you have a disability and require a reasonable accommodation in order to participate in the application process, please contact our Reasonable Accommodation Team (855-557-3247) or SEA_Accommodations_Ext@sea.samsung.com for assistance. This number is for accommodation requests only and is not intended for general employment inquiries.",https://media.glassdoor.com/sql/4206/samsung-electronics-america-squarelogo-1542763337200.png,"Washington, DC",$105K - $162K (Glassdoor est.),Samsung Electronics
Employee/Labor Relations Generalist,"Employee grievance processingEmployee investigationsManage UAP-Hourly Attendance ProgramApply policies, rules and issue corrective action up-to and including termination of employment Administering Labor contractsProvide Labor Relations training, as well as providing advice and counsel on policies, procedures and contract interpretationBuild and maintain effective working relationships with management and employees to provide advice and counsel to both on employee-related and organizational mattersServe as an employee advocate and as a coach to employees and leadersLead all key HR processes including staffing, leadership development, compensation, talent development, performance management, and employee relationsLead identification, selection and retention of world-class talentMonitor performance management programs and providing support and guidance to managers and employees on performance issues and assessment toolsJob Type: ContractSalary: $35.00 per hourSchedule:8 hour shiftApplication Question(s):Role requires rotating shifts including nights, weekends and occasional holidays, Are you comfortable with this?Education:Bachelor's (Required)Experience:Labor Relations: 2 years (Required)Employee grievance processing: 2 years (Required)Work Location: One locationSpeak with the employer+91 9477772032",https://media.glassdoor.com/sql/274465/v2soft-squarelogo.png,"Toledo, OH",$35.00 Per Hour(Employer est.),V2Soft Pvt Ltd
Political SDR,"What We're Building + Who We Work With

Hustle enables organizations to run large-scale text messaging campaigns by empowering their team members and volunteers to efficiently have thousands of personal 1-to-1 conversations. Communication driven by our platform is geared towards driving measurable, meaningful outcomes such as voter turnout, event attendance, or dollars raised for clients including Planned Parenthood, NAACP, Sierra Club, many large non-profits, unions, and universities, as well as hundreds of political campaigns.
Details

Position Type: Full-time, salaried
Location: Remote in certain US states - CA, CT, DC, FL, GA, MA, MD, NC, NH, NY, VA
Reports to: SVP, Gov't Affairs & Political Partners
Salary Range: $65K Salary / $10K Commission ($75K OTE)

What you'll do
Uncover the path of least resistance to close new accounts in political, government and non profit markets
Work as a team with an SDR to prospect into target organizations via email outreach, cold calling, networking, email, social media, text messaging, and other digital marketing channels
Gain perspective on a variety of industries as you develop unique pitches for each stakeholder delivering unique insights to how Hustle's solution can impact business performance
As a product advocate, articulate Hustle's value proposition to key influencers and decision-makers across multiple industries to assess buying interest to both technical & economic buyers
Using your deft communication skills easily navigate across conversations with diplomacy and tact in all interactions
Record activities in CRM – Salesforce, tracking progress notes within key accounts
We are looking for someone with
1+ years of proven success in SaaS or comparable sales
Experience in legislative, political, government and non profit markets
Comprehensive technical knowledge is preferred
Demonstrated ability of performing daily demos, cold calling and leveraging web conferencing tools
Excellent verbal and written communication skills, as well as collaboration skills
Ability to work and learn in a fast-paced team environment
We hope you have
Eagerness to make an impact at Hustle. Thrive in a fast-moving, dynamic, hyper-growth environment
A track record of developing ways to genuinely understand customers, and using that information to help them
Exceptional collaboration and relationship-building skills – with the ability to develop relationships and influence functional groups at all levels of management, both inside and outside Hustle
Hustle's Benefits / Perks
Working with a mission-driven team that celebrates the diversity of its members
Top of market equity included in your compensation package
Full medical, dental, and vision insurance

Hustle is an excellent team because of the diverse backgrounds of our staff. This includes professional background, subject matter expertise, culture, race/ethnicity, sexual orientation, gender identity and expression, language, political beliefs, and hobbies. We sincerely encourage women, minorities, and people from underrepresented backgrounds to apply.

Hustle will consider for employment qualified applicants with arrest and conviction records, pursuant to laws applicable in Washington D.C. and the fair chance ordinance of San Francisco.",https://media.glassdoor.com/sql/1480692/hustle-squarelogo-1496949164366.png,"Washington, DC",$65K (Employer est.),Hustle
"Executive Assistant, Business & Legal Affairs, Animation","Burbank, California
Content Legal
The Opportunity:
Netflix is seeking an experienced Executive Assistant who will provide support to the head of its Animation Business & Legal Affairs group (focused on the development and production or licensing and acquisition of animation films and animation series for Netflix). A successful candidate will be self-motivated, quick-thinking, proactive, flexible, and able to juggle multiple and diverse responsibilities with a strong emphasis on organization and an unwavering attention to detail at all times. This is a demanding and fast-moving position that requires someone who is able to exercise good judgment, to respond quickly to changes, and show significant initiative.
Responsibilities include but are not limited to:
Supporting an executive who works out of multiple Netflix offices, with the primary location for this EA position being in Burbank, California;
Maintaining a high-volume, complex calendar, including scheduling meetings, internally and externally, with multiple parties across multiple time zones;
Maintaining agendas and task lists for a high volume of meetings and special projects;
Coordinating other Administrative Assistants on the team in order to support projects for the global group;
Creating and maintaining organizational charts and other trackers;
Drafting and circulating administrative updates for teams across multiple locations;
Coordinating travel arrangements (domestic and international), creating travel itineraries, and processing travel and expense reports;
Managing two separate team locations, including space planning and office moves;
Planning and coordinating team events (e.g., offsites and social events, including agenda planning, booking facilities and catering, and tracking budgets);
Managing a heavy volume of communication internally and externally;
Assisting with onboarding of new hires, along with maintaining teamwide onboarding processes and documentation; and
Handling frequent special projects, including creating presentation templates.
Required Qualifications:
BA/BS Degree preferred;
10+ years as an Executive Assistant (experience at a media/ entertainment company is a plus; experience as an office manager is a plus);
A team player who operates well in a fast-paced team-oriented setting;
Ability to be discrete and maintain confidential information;
Understanding how to prioritize and quickly respond to change;
Strong written and verbal communication skills, and the ability to multitask; and
Proficiency in Google Suite (Gmail, Drive, Calendar, Docs, Sheets, Slides, Calendar).",https://media.glassdoor.com/sql/11891/netflix-squarelogo-1508988775050.png,"Burbank, CA",$57K - $92K (Glassdoor est.),Netflix
Public Policy Analyst,"We are seeking a Public Policy Analyst to ensure the Department of Human Services (DHS) is equipped to navigate and respond to impactful policy and legislative changes. This role monitors actions taken by federal, state, and local government agencies/legislative bodies in order to identify and analyze implications for human services clients, programs, and funding. The position is highly visible within DHS, having responsibility for informing the Director, Deputies, and other leaders about public policy impacts and coordinating DHS’s response. Further, this position helps to manage DHS’s relationships with key government officials and staff.This is an exciting opportunity to support local leaders in designing effective ways of providing services and improving program quality, including enhancing clients’ experiences with programs and services. This position is based within Allegheny County Department of Human Services(DHS).Who Are We?Great Lakes Research (GL) is a leading provider of professional services and technology products designed specifically for the human service, education, and public and non-profit sectors.Our headquarters are located in Cranberry Township, PA with additional offices in Gateway Center, downtown Pittsburgh and other locations in the Pittsburgh area. Great Lakesprovides staffing services to multiple Allegheny County divisions in the following areas:IT SupportAdministrative SupportData Analysis, Evaluation and ResearchProject ManagersWho Are You?You are results-focused, highly-adaptable and collaborative. You have a rare set of skills, including the ability to plan, write, analyze, organize, and coordinate projects.Who is the Office of Analytics, Technology and Planning?The Office of Analytics, Technology and Planning(ATP) supports policy development, quality improvement, planning and decision-making through research, analysis and engagement to improve the delivery of human services to Allegheny County's most vulnerable residents.What Will You Be Responsible For?Establishing the systems and relationships needed to anticipate, analyze, and respond to administrative and legislative policy changes. This includes:-- Developing working relationships with officials and staff, affinity organizations and associations, other human services agencies, and DHS Deputies and other leaders; and-- Establishing mechanisms for quickly identifying, and organizing DHS’s response to, changes in federal/state policy and legislation impacting human services (e.g., Family First and IV-E waiver; privacy laws that affect data management; etc.).Organizing DHS’s response to administrative and legislative changes, by sharing information about their anticipated impact with DHS leaders and helping them plan for resultant impacts to practice, processes, and revenue.Presenting policy analyses to DHS leaders and other stakeholders.Representing DHS in communications with other County Departments and state (e.g., PA DHS) and federal agencies (e.g., HHS and HUD), as needed.Maintaining a current understanding of DHS’s revenue sources and supporting budgeting and accounting functions at DHS with information about relevant policy frameworks and funding rules and regulations.Contributing expertise and specialized skills (writing and analysis) to key Planning team deliverables, including proposal development and the preparation of state-required plans and budgets.What Background and Skills Does the Ideal Candidate Have?Bachelor’s degree in public policy, public administration, political science, or a related field, plus 2+ years of relevant experience.Knowledge of:-- State and federal policymaking processes as well as state and federal legislative authorities and funding mechanisms relevant to human services.-- Appropriations and authorization legislation.-- Relevant advocacy channels and organizations.-- Functions and operations of publicly-funded human services.-- The organization and structure of governments within Allegheny County (e.g., County, City, other municipal).·Ability to:-- Analyze, synthesize and translate complex information to inform decisions.o Conduct detailed policy research and prepare written summaries and reports.-- Create new processes and procedures to enable position objectives.-- Establish and maintain effective and collaborative working relationships with DHS leaders, staff and partners.-- Manage multiple projects and complete them accurately and on time.-- Publicly present and write with clarity.We know that many strong candidates will not have all the listed skills and that is ok. What else do you bring to the table?Job LocationThis is an onsite, office position based at the Allegheny County Department of Human Services in downtown Pittsburgh, PA.If hired, candidates would be employed by GL and assigned to Allegheny County Office of Analytics, Technology and Planning.BenefitsGL benefits include:Medical, dental and vision insuranceGenerous paid time off: vacation, sick, personal, and bereavementGroup term life and AD & D insuranceShort- and long-term disabilityEmployee Assistance Program401K/403B Matching PlanFlexible Spending Accounts (FSA)COVID RequirementsApplicants will have to be vaccinated from COVID-19 as a condition of employment, subject to federal and state laws. You will need to be fully vaccinated from COVID-19 before beginning work and will be required to provide proof of full vaccination.AN EQUAL OPPORTUNITY EMPLOYER - M/F/V/DJob Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programFlexible spending accountHealth insuranceLife insurancePaid time offVision insuranceSchedule:Monday to FridayAbility to commute/relocate:Pittsburgh, PA 15222: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Required)Work Location: One location",https://media.glassdoor.com/sql/884771/great-lakes-behavioral-research-institute-squarelogo-1497966720922.png,"Pittsburgh, PA",$48K - $70K (Glassdoor est.),Allegheny County Department of Human Services
Associate on Public Policy and Government Affairs - TSM,"Associate on Public Policy and Government Affairs
Guaynabo, PR
ABOUT US
At Grupo Triple S, we are committed to provide meaningful job experiences for Valuable People (Gente Valiosa). We encourage an environment of very high ethical standards, always excelling in service, collaboration among the company, agility to deliver timely, and embracing accountability for results.
When you join Grupo Triple S, you will be key to our efforts on delivering high-quality and affordable healthcare as well as contribute to our purpose to enable healthier lives. We serve more than 1 million consumers in Puerto Rico through our Medicare Advantage, Medicaid, Commercial, Life and Property & Casualty Businesses.
Let's build healthier communities together, join now!
ABOUT THE ROLE
The Associate on Public Policy and Government Affairs is primarily responsible for assisting the Legal Counsel Public Policy and Government Affairs (LGPGA) in the management of public policy and government affairs efforts, as well as other policy related operational matters. He/she provides support to the LGPPGA in strategic projects delegated by the Chief Legal Officer and the Chief Executive Officer and other top management leaders and assists with the coordination with outside government affairs consultants and advisors, both at the local and federal level.
WHAT YOU'LL DO
Serves as key staff support to the (LGPPGA).
Tracks government and policy-related news, publications, and other information from a variety of sources.
Assists in development of written materials to keep the organization informed about government and policy developments, identifying impact to the company.
Provides support in the preparation of testimonies and position papers related to public policy matters.
Provides support in the analysis and interpretation of proposed bills and regulation, laws, rulings, and regulations.
Represents the LGPGA in meetings of interest groups and trade organizations such as the Medicaid and Medicare Advantage Products Association (MMAPA).
Collaborates in the coordination of work and strategies to influence trade associations and other healthcare advocacy organizations including MMAPA, with the approval of the LGPGA.
Provides support in the coordination of efforts with outside government affairs consultants and advisors, both at the local and federal level.
Provides support in the development of policies and strategies to advance Company’s business goals and objectives.
Provides support in the coordination, development and execution of the company’s public policy and government affair efforts and agenda.
Works consistently with internal and external subject matters experts to develop deep knowledge of the Company’s public policy and government relations priorities and the potential policy implications to the Company.
Supports the coordination of internal and external meetings with stakeholders and government officials to help achieving the Company’s goals and objectives.
Provide project management and administrative support.
Perform other duties as assigned.
WHAT YOU'LL BRING
BA/BS degree in Political Science, Government, or a related field and a Juris Doctor from an accredited law school.Master’s Degree in Public Administration or Public Policy is desirable. At least 3 years of experience in legislative, political, administrative and government activities (State & Federal); or any combination of experience that would provide an equivalent background. Experience relating to healthcare policy, insurance and business is required. Knowledge on issues related to CMS, HHS, ASES, Medicaid & Medicare, OIC regulations, are preferred. Fully Bilingual.
CLOSING DATE: 3/31/2023
It is company policy to seek for the qualified applicants for positions throughout the company without distinction of race, color, national origin, religion, gender, gender identity, real or perceived sexual orientation, civil status, social condition, political ideologies, age, physical or mental disability, veteran status or any other characteristic protected by law. Drug-free company.
Equality Employment Opportunity/Affirmative Action for Minorities/Females/People with Disabilities/Veterans”. Employer with E-Verify to verify the eligibility of employment of all the new employees.
We encourage Females, Veterans and Disabled to Apply",https://media.glassdoor.com/sql/389413/triple-s-squarelogo-1532698395298.png,"Guaynabo, PR",$31K - $51K (Glassdoor est.),Triple S
Legal Executive Assistant,"DutiesProvide support to the General Counsel, including In-take, electronic filings to regulatory agencies; contract drafting/formatting; Support all other counsels in the department, if necessary. (40%)Adheres to and ensure compliance with document management protocols within the department. Produces information by transcribing, formatting, inputting, editing, retrieving, copying, and transmitting text, data, and graphics. Secures information by completing data base backups. Provides historical reference by developing and utilizing filing and retrieval systems; recording meeting discussions. Facilitates execution of contracts. (10%)Conserves executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information. Maintains executive's appointment schedule by planning and scheduling meetings, conferences, teleconferences, and travel. (10%)Welcomes guests and customers by greeting them, in person or on the telephone; answering or directing inquiries. Maintains office supplies inventory by checking stock to determine inventory level; anticipating needed supplies; evaluating new office products; placing and expediting orders for supplies; verifying receipt of supplies. (10%)Performs and completes other legal special projects. Prepares reports by collecting and analyzing information. (10%)Responsible for the administrative functions that includes supporting the General Counsel on Board matters and other related legal projects. (10%)Perform other duties as assigned. (10%)Education RequiredAssociate's DegreeIn lieu of degree, equivalent education and/or experience may be considered.Education PreferredBachelor's DegreeJob Type: Full-timeSchedule:8 hour shiftEducation:Associate (Preferred)Experience:Legal support: 4 years (Preferred)Executive Support: 4 years (Preferred)Heavy Calendaring: 4 years (Preferred)Work Location: On the road",https://media.glassdoor.com/sql/851288/plaxonic-technologies-squarelogo-1468207959066.png,"Los Angeles, CA",$50K - $73K (Glassdoor est.),plaxonic
"Coordinator, Americas Public Policy","Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

We are looking for a highly motivated, collaborative and detail-oriented coordinator to join the TikTok public policy team. Our team supports the business in its legislative and regulatory matters. You will work across the North and South Americas public policy teams to help manage organization response to government and stakeholder inquiries and support the subject matter expert teams. We are looking for a self-starter with excellent project management skills who is ready to learn and capable of coordinating multiple stakeholders and different functions across cultures and time zones.

Responsibilities:

Develop and maintain accurate project timelines, master project calendar, work-back schedules, meetings notes, tracking documents, and other documentation as needed; foresee and triage blockers and issues before they arise.
Build and maintain relationships with teams across the company.
Serve as a point of contact for select external stakeholders.
Help coordinate written responses to external inquiries to the company and to prepare internal stakeholders for meetings or events.
Provide administrative, logistical, and organizational support for the subject matter expert team, including handling scheduling, presentations, team related procedures and objectives.

Qualifications

The ideal candidate is a humble, curious, and skilled listener, communicator and relationship-builder.
Comfort in a fast-paced, dynamic environment.
Prepared to work with minimal guidance, take action on urgent priorities, and act with a high level of discretion when handling confidential information.
Capable of quickly shifting and changing course based on new information or high-priority requests.
2+ years of professional experience.
A problem-solver experienced at remaining focused and calm when problems come your way.
Exceptional written and verbal communication skills

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Recruiting.Corp@tiktok.com",https://media.glassdoor.com/sql/2230881/tiktok-squarelogo-1539940701771.png,"Washington, DC",$68K - $106K (Glassdoor est.),TikTok
