job_titles,job_description,images,locations,salaries,companies
Global Bid Coordinator,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 82,000+ employees based in 45 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner, they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

The Global Bid Coordinator is a key supporter in the bid/proposal process, supporting business growth with new and existing clients. The Global Bid Coordinator is involved in nearly all stages of the proposal process and works seamlessly together with the Global Bid Manager and other SMEs and stakeholders within the global organization including, but not limited to, managers, directors, and executives across Sales, Operations, WFM, Human Resources, IT, Implementation. Key success in this role is the ability to coordinate stakeholders to deliver a competitive, tailored commercial offer for our clients and prospects.

Main responsibilities

Elaborate and/or Coordinate, Supervise and align on the assumptions considered for sizing calculations, IT Costs and commercial proposal.
Review and complete responses from regional bid teams into a competitive, tailored commercial proposal.
Ensure pricing processes are understood and guiding stakeholders to follow to achieve timely, high-quality delivery.
Maintain, make available and backup master document sets.
Deliver completed proposal responses against agreed RFP deadlines, escalating issues as required.
Proactively develop and manage a network of stakeholders in WFM, HR, IT, Implementation, Sales, Account Management and subject matter experts.
Identify and work on process optimizations together with the Bid Manager.

Additional task can be assigned at any time, based on the growing business requirements.

Competencies & professional background

Educational Background:

Bachelor's degree in business or related field
Certification in project management or bid management is a plus
Previous experience working in bid/project/ops management for a BPO CCO
Strong understanding of cost drivers in BPO CCO Operations

Technical Skills: (knowledge, experiences, IT tools/software, languages)

Project Management skills
Demonstrated ability to work as part of high demand, high expectation, dynamic team
Creative problem-solving, analytic and decision-making skills with minimal supervision
Demonstrate ability to work effectively through change
Excellent communication and presentation skills (verbal and written)
Experience working directly with clients is a benefit, but not a requirement
Advanced technical/computer skills with the ability to use several programs simultaneously
Advanced level MS Office skills (particularly MS Word, Excel, PowerPoint).
Strong work ethic with a professional, positive attitude
Ability to prioritize workload and thrive in a fast paced environment
An innovative, goal-oriented and results-driven approach. We embrace agile working.
High degree of intercultural affinity because we are a global company

Soft Skills:

Strong written English language skills
Communicate and influence at a senior level.
Excellent time management / prioritization skills.
Keen attention to detail and meticulous proof-reading skills.
Ensure on-time submission of compliant and commercially sound bids.
Co-ordinate and plan all client presentations required as part of the bid submission.
Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Netherlands,nan,Majorel Corporate
Global Innovation Manager,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 82,000+ employees based in 45 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner, they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

Drive Majorel Innovation Program globally across all sites for the account incl. continuous tool development, continuous Innovation framework development, selection of new campaigns according to strategic targets, optimize internal communication & reward processes, etc.

Main responsibilities

Drive Majorel Innovation Program globally across all sites for the account including continuous tool development, continuous Innovation framework development, selection of new campaigns according to strategic targets, optimize internal communication & reward processes, etc.
Work closely with the site-specific Innovation POC’s to support local campaigns
Share innovation ideas and best-practices within the Majorel innovation network
Present innovation ideas to the Client’s organization, including Senior Management
Review success and target achievement of the Innovation framework for the account
Analyze impact of innovation ideas in costs/benefits as baseline for implementation decisions
Coordinate pilots and implementation of innovations, together with internal stakeholders such as site POC’s and Global IT

Additional task can be assigned at any time

Competencies & professional background

Educational Background:

University degree in Business Administration, IT or similar areas as additional asset
Technical Skills: (knowledge, experiences, IT tools/software, languages)

Profound work experience in Customer Service organizations or in similar industries (e.g. leadership role in Operations, Project Management, Quality, Innovation Management)
Extensive experience in Project Management and ability to manage complexity (handle multiple innovation ideas at different stages in different sites simultaneously by prioritizing according to strategic targets)
International experience in working together with different cultures and regions
Very good tool skills (MS Office) and ability to work easily with new tools and systems (e.g. client tools, Innovation Management platform)

Soft Skills:

Excellent communication skills, both written and verbally
Energetic personality with drive, self-motivation and ability to motivate others in order to drive change
Strong analytical skills in quantifying impact and results
Very self-organized, reliable and following-up on tasks
Ability for international business travel for internal site visits as well as client visits or summits (LATAM & EMEA)

Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Amsterdam,nan,Majorel Corporate
Global Sales Director - We are hiring at all our locations at global level,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 69,000+ employees based in 35 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

The New Logo Sales Director is tasked with finding new logos (predominantly within the Global Internet Vertical) with Headquarters in the United States and will help these potential clients get introduced to the complete global solution portfolio that Majorel offers. Using knowledge of company products or services and existing knowledge of the BPO industry the Global Sales Director aims to establish relationships with new customers and secure contracts with new customers to achieve assigned sales quotas and targets. Duties include developing sales pitches to sell products or services, making cold calls to sales leads, designing account plans for these prospects or taking calls from prospective customers. Additionally, the Global Sales Director cooperates very closely with the Sales Support teams in designing the way to win for each opportunity.

Main responsibilities

Establish relationships with new customers and secure contracts with new customers that achieve assigned sales quotas and targets

Drive the entire sales cycle from initial customer engagement to closed sales
Prospect for potential customers using various direct methods such as calling, online prospecting and face to face meetings, and indirect methods such as networking
Qualify prospects against company criteria for ideal customers and sales
Consult with prospect about business challenges and requirements, as well as the range of options and cost benefits of each.
Maintain a high level of relevant domain knowledge in order to have meaningful conversations with prospects.
Give presentations to senior managers and decision makers
Support in drafting and delivering proposals
Work with technical staff and product specialists where required to address customer requirements
Develop and maintain territory plans which outline how sales targets will be met on an ongoing basis
Develop and maintain key account plans that identify opportunities for company to deliver value, strategic motivators, main stakeholders, buying processes and forecasted sales
Report on sales activity
Keep detailed notes on prospect and customer interactions
Provide forecasts on best case and most likely sales volumes over relevant time periods
Work with delivery teams to proactively address problems
Cultivate strong relationships with third party and partner companies that may be required to deliver full solutions to customers
Work with marketing to plan and execute lead generation campaigns
Provide feedback to sales management on ways to decrease the sales cycle, enhance sales, and improve company brand and reputation
Provide feedback to company management on market trends, competitive threats, unmet needs, and opportunities to deliver greater value to customers by extending company offerings
Identify sales support requirements and work with marketing to develop improve sales tools
Be a positive representative of the company and its brand in the marketplace
Conduct all sales activities with the highest degree of professionalism and integrity

Additional task can be assigned at any time, based on the growing business requirements

Competencies and professional background

Educational Background:

At least 7-10 years of experience in selling the full spectrum of contact center services
4-year degree preferred

Technical Skills: (knowledge, experiences, IT tools/software, languages)

Strong hunter profile with a proven track record of success in selling outsourcing, internet and digital services across industries, but preferably within Global Internet/Fintech Industries.
Strong contact base and access to alumni, local associations, industry associations

Soft Skills:

Excellent presentation skills
Excellent computer skills
Deadline-focused and results-driven
Respected for strong people skills and commitment to world-class service
Anxious to play an active role within a dynamic, competitive team
Skilled at overcoming objections and asking for the sale


Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Netherlands,nan,Majorel Corporate
Global Operations Senior Lead,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 82,000+ employees based in 45 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner, they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.

Job summary

Global Operations Senior Lead will be supporting 4 locations globally to drive alignment, excellence and innovation in our operations. Developing close working relationships with the client and key internal stakeholders.

Main responsibilities:

Managing operational initiatives and projects across multiple lines of business for a high-profile global brand
Driving operational alignment and best practices resulting in consistent over delivery of operational KPIs across all LOBs and locations
Developing and leading innovation and operational excellence initiatives
Effectively communicating with and engaging client POCs and key internal stakeholders
Problem solving and development of recovery or performance plans
Effectively working across diverse cultures and locations

Educational Background:
Bachelor's Degree or equivalent professional degrees/certifications

Technical Skills: (knowledge, experiences, IT tools/software, languages)
At least 8 years of relevant experience
Experience of working and leading in the content moderation industry is a key asset
Excel, PPT, Word, Project Management
Minimum C1 level of English
Soft Skills:
Independent working style and high commitment. Ability to lead a project.
Excellent problem solving, judgment and decision-making skills.
Strong organizational, influencing and analytical skills. Strong attention to detail.
Good analytical skills, process understanding
Good understanding and awareness of the commercial environment and market trends
Strong verbal and written communication skills and very good interpersonal skills
Proactive, agile, self-starter
Strong communicator and negotiator
Able to interact with and influence senior stakeholders both internal and external (client)
Ability to work across diverse cultures

 The individual will need to be flexible to travel.

Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Amsterdam,nan,Majorel Corporate
Cell Therapy Specialist/Lab Technician,"Published

17-Mar-2023

Salary

Up to €3281 per month + Negotiable depending on experience

Location

Hoofddorp

Category

Temporary

Sector

Science

Reference

BBBH596489

Description

Our client is a biopharmaceutical company and they are looking for a highly motivated individual with cell culture experience to work on innovative a T cell therapy for cancer treatment. The Cell Therapy Specialist/Lab Technician will be responsible for cell processing and cell expansion in a cGMP manufacturing facility. In this role you will be working a shift schedule Monday-Sunday (mornings, evenings but no nights) (40 hours) in Hoofddorp.

All applicants MUST have full legal authorization to work in the EU region independently and be fluent in both spoken and written English language.

The role
In this role, you will work with other Cell Therapy Specialists utilizing GMP and Aseptic practices to manufacture and assemble blood-derived components in a cleanroom environment. Due to the nature of the starting material (patient cells), this role requires a high level of proficiency and ownership of the process, with the highest skill level of aseptic and sterile techniques.

Responsibilities (include but not limited to):
To perform all tasks associated with the manufacturing of clinical and commercial products
To work as part of a dedicated and committed team to execute GMP runs in close collaboration with all other departments
Draft new and revise existing manufacturing Batch records / SOP’s / WI’s
To strictly comply with SOPs and cGMP regulations; accurately complete documentation associated with clinical and commercial manufacturing;
To continuously look for improvements to the processes to increase quality and efficiency;

Your profile
The ideal candidates for this position, in combination with skills and knowledge, should have a ‘hands-on, can-do’ mentality. You must also be comfortable with working in full gowning requirements in a completely aseptic environment.

MBO diploma, Bachelor’s degree (HBO or university) or comparable degree
GMP experience in preferably a pharmaceutical / biotechnology or similar manufacturing environment
Cell culture processing experience
Previous experience with cell therapy products is a plus
Demonstrated knowledge of pharmaceutical manufacturing of biotechnology products, aseptic processing, cell culture products
Strict adherence to SOPs and cGMP regulations, the ability to accurately complete documentation associated with clinical manufacturing
Excellent aseptic/sterile techniques and prior experience with cell culture, cell culture equipment including Wave bioreactors
Experience with handling and propagation of human primary cells, including T cells
Excellent skill in Microsoft word, Excel and data analysis
Comfortable in a fast-paced small company environment with minimal direction and able to adjust workload based upon changing priorities

What do we offer

Temporary agency contract for 12 months via Kelly for 40 hours with possible extension via Kelly or conversion to client’s contract ; there will be a conversion bonus of € 4.000,- gross if converted successfully to a FTE client contract
Start date: 1 May 2023
Salary: € 3.281,- gross per month based on 40 hours (excluding 8,33% holiday allowance, excluding shift allowance of 26,72%)
Travel reimbursement based on OV or € 0,21 per KM with a max. 100KM per day up to a max. € 375,- per month
Working for a dynamic, fast-paced international environment

Enquiries
Please do contact Marcella Henryati, Recruitment Consultant
M: 06-58811958
When interested please apply with your English resume on our website: www.kellyservices.nl

About Kelly
It's more than a job. It's passion. Our vision is to provide the world’s best workforce solutions. We are authentic, the industry founder. We believe in relationships, not transactions. We value teamwork, realizing that we are stronger together than as individuals. We take seriously the promises we make. We are passionate, dedicated and driven to excel. With us it has never been about being the biggest. It has always been about being the best and doing the right thing.

At our core, we are a community. Each day we welcome into our community the varied talents of all people who embrace our culture of service, teamwork and integrity. We offer the opportunity to work with the best companies in the world, and to make a difference in the communities in which we live and work.

Met betrekking tot deze functie fungeert Kelly Services als uitzendorganisatie. Wanneer je de beslissing maakt om op deze functie te solliciteren zullen jouw gegevens in overeenstemming met Kelly's Privacy Statement worden verwerkt.

Met oog op de AWGB (Algemene Wet Gelijke Behandeling) verwelkomt Kelly Services sollicitaties van iedere geschikte kandidaat, ongeacht etniciteit, geslacht, beperking, religieuze overtuiging, seksuele geaardheid of leeftijd.

-

Regarding this role, Kelly Services acts as the official temporary employment agency. When you decide to apply to this role your personal information will be processed in accordance with Kelly's Privacy Statement

In keeping with the AWGB (Algemene Wet Gelijke Behandeling) Kelly Services welcomes applications from any and all eligible candidates regardless of ethnicity, gender, disability, religion, sexual orientation or age.",https://media.glassdoor.com/sql/1564/kelly-services-squarelogo-1584409346713.png,Hoofddorp,€3K (Employer est.),Kelly Services
Senior Clinical Research Associate - Remote,"Overview:

***This is a work from home position that requires travel. Senior level is also available depending on experience***
A Clinical Research Associate is acting as the primary contact and responsible for conducting monitoring activities at a clinical site(s) for a clinical trial(s) and will be assigned clinical monitoring activities in a single country or in several countries ensuring quality service and appropriate clinical study conduct, ensure subject safety and verify diligence in protecting the confidentiality of each subject.
Advanced Clinical is a clinical development and strategic resourcing organization committed to providing a better clinical experience across the drug development journey. Our goal is to improve the lives of all those touched by clinical research – approaching each opportunity with foresight, character, resilience and innovation. Based on decades of experience, we help our clients achieve better outcomes by conducting candid conversations and anticipating potential issues through our customized solutions.
Responsibilities:
Follow Protocol(s)/Amendment(s), Standard Operating Procedures (Advanced Clinical or Sponsor SOPs), Good Clinical Practice (ICH GCP), and local regulations per country
Guarantee the adequacy, the reliability and quality of the data collected from sites and shall participate in the quality control processes to ensure the study is in compliance with the currently approved protocol/amendment(s), with ICH GCP, SOPs and with any applicable regulatory requirements in the assigned countries.
Complete project-specific and other job-related trainings and attend client meetings as needed for the clinical trial
Perform source document verification, source data review, review regulatory documents and investigational product, and prepare monitoring visit reports, including confirmation and follow-up letter, as outlined in the Monitoring Plan
Ensures training compliance of site staff
Reconciliation between the Investigator Site File (ISF) and the Trial Master File (TMF) to ensure audit readiness
Support the submission to the Independent Ethics Committees (central and local) and when applicable to Competent/Regulatory Authorities
Participates to Investigators selection/feasibility process
Conduct different types of monitoring visits (pre-study visits, site initiation visits, interim monitoring visits & close out visits)
Develop and maintain site and investigator relationships to ensure clinical trials are managed efficiently
Adhere to monitoring metrics
Qualifications:
1+ years of monitoring experience or combination of on-site monitoring and clinical research experience or education
The ideal candidate should have as a minimum a bachelor’s degree; a Registered Nurse (RN) or equivalent may also be considered
Experience in multiple therapeutic experiences
The ability to perform travel up to an average of 80%, depending on project needs
Must be able to communicate in the English language
At Advanced Clinical, our commitment to diversity and inclusion in every part of our organization is crucial to fulfilling our mission and demonstrating our REAL values. A diverse staff allows us to effectively draw on different perspectives and enhance our efficiency and effectiveness. Diversity thereby strengthens the legitimacy and relevance of Advanced Clinical in delivering services to our clients. We seek talented, creative individuals from a variety of backgrounds and cultures to work with us. It is our priority that our workplace be inclusive, welcoming of diverse ideas and appreciative of valuable experience.
Equal Employment Opportunity
It is Advanced Clinical’s practice not to discriminate against any Employee or applicant because of sex, race, color, age, national origin, religion, gender, gender identity or expression, sexual orientation or sexual preference, pregnancy or maternity, genetic information, marital status, physical or mental disability, medical condition, military or veteran status, or any other basis protected by applicable federal, state, or local law.
This practice applies to all terms and conditions of employment including, but not limited to, hiring, training, compensation, benefits, promotions, transfers, layoff, Company-sponsored education, social and recreational programs, and treatment on the job. If you have a disability or handicap and would like us to accommodate you in any reasonable way, please inform your Recruiter so that we can meet to discuss the appropriate alternatives available.",https://media.glassdoor.com/sql/244760/advanced-clinical-services-squarelogo-1431930279295.png,Amsterdam,nan,Advanced Clinical Global
RF Engineer - Space,"AKKA ranks as the European leader in engineering consulting and R&D services in the mobility sector. As an innovation accelerator for its clients, AKKA supports leading industry players in the automotive, telco&media, industrial, aerospace, rail and life-sciences sectors throughout the life cycle of their products with cutting edge digital technologies (AI, ADAS, IoT, Big Data, robotics, embedded computing, machine learning, etc.).
With a view to strengthening our team, we are looking for:
RF Engineer - Space
The candidate will support the consolidation of the RF interfaces of a space system, namely S-Band, C-Band and Ka-Band interfaces. The activity will be placed in Netherlands.
Activities:
To provide a support for the consolidation of the RF interfaces of the System,
To contribute to the maintenance of the S-Band, C-Band and Ka-Band link budgets
To contribute to the consolidation of the Interface Control Document of the System, namely S-Band, C-Band and Ka-Band
To contribute to the definition of the validation strategy for these RF interfaces

The ideal candidate has a Master’s Degree in Telecommunication Engineering, and at least 3 years of experience in RF Engineering. Good listener and communicator, convincing and pro-active, autonomous personality who can manage his/her own priorities, team player, good with initiative and motivation. Geographical mobility and knowledge of the English language are also required.
Requirements
The candidate presents the following characteristics:
 Fluency in Italian and English (both written and spoken).
 Expertise in RF
 Experience with S-Band, C- Band and Ka-band
 Experience in link budget calculator
 Knowledge of ECSS Standards
Job Offer
Permanent contract
Location
The Netherlands
Founded 1984, AKKA has a strong entrepreneurial culture and is pursuing fast-paced growth and international development in line with its strategic plan CLEAR 2022. The Group continues to recruit at a steady pace to support its strong business growth. As of 31 December 2019, the Group had 20,930 employees (15,500 at the end of 2017). Driven by its expertise in future mobility, digital and industry 4.0 technologies, the Group’s 2019 revenue rose by 20% to €1,505.3 million and has surpassed the €1.8B cap.",https://media.glassdoor.com/sql/18712/modis-squarelogo-1627548152544.png,Netherlands,nan,Akkodis
Ads Quality Rater - Dutch,"As a trusted global transformation partner, Welocalize accelerates the global business journey by enabling brands and companies to reach, engage, and grow international audiences. Welocalize delivers multilingual content transformation services in translation, localization, and adaptation for over 250 languages with a growing network of over 400,000 in-country linguistic resources. Driving innovation in language services, Welocalize delivers high-quality training data transformation solutions for NLP-enabled machine learning by blending technology and human intelligence to collect, annotate, and evaluate all content types. Our team works across locations in North America, Europe, and Asia serving our global clients in the markets that matter to them. www.welocalize.comTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.*MAIN PURPOSE OF THE ROLE*Are you a search engine guru? Can you find what you're looking for with just a few keywords?We have a unique opportunity for you to put your skills to the test!Welocalize needs Dutch speakers in the Netherlands to help support our client's project as an Ads Quality Rater.*You will use a unique, web-based tool to evaluate search engine advertisements based on project guidelines.*JOB REQUIREMENTS*Fluency in Dutch*Strong understanding of EnglishMust be located in the NetherlandsStrong understanding of popular culture in the United StatesWeb-savvy and able to work in a fast-paced environmentExcellent online research skillsReliable computer system and internet connectionReliable anti-virus software (as you will be surfing the web as part of the work)Ability to follow instructions in English and comply with the project conventions and rules expected by the clientMust sign a Non-Disclosure Agreement to protect client confidentialityMust pass a learning program and a rigorous quality test designed by our client before starting work*Project Details**Location: Remote (Must be based in the Netherlands*)Hours: Minimum 5 hours per week, up to 20 hours per week; set your own schedule (Expect occasional peaks and dips in work)Pay Rate: Paid per task (Approximately $16/hr)Start date: ASAPEmployment Type: Freelance_Please note that this work is based on project needs. Due to this, weekly hours may vary and flexibility with change is expected. You must legally be able to work freelance projects in the Netherlands._Job Type: SubcontractPay: €15.00 per hourApplication Question(s):Do you speak Dutch at a native proficiency level?How long have you lived in the Netherlands?",https://media.glassdoor.com/sql/105833/welocalize-squareLogo-1618920312239.png,Amsterdam,€15.00 Per Hour(Employer est.),Welocalize
Global IT Procurement Administrative - Amsterdam,"About Majorel

At Majorel we design, deliver and differentiate customer experience on behalf of some of the world’s most respected brands. We create amazing customer experiences that people value and we are proud of. By combining talent, data and technology we deliver real impact for our partners.

We serve customers across the world through our 78,000+ employees based in 41 countries in Europe, the Middle East, Africa, Americas and Asia in 60 languages. We support customers at any time, through every device and in the manner they expect of their brands. We speak their language wherever they are and whatever their culture.

Majorel employees are differentiated by a particular kind of drive – we are always driven to go further to do the best we can every single day. We are relentless, resourceful, resilient, agile, energetic and focused and if you are too, we’ll provide you with an environment that will let you thrive.


Job summary

IT Procurement administrative is the support position in the administrative management of the Sourcing and procurement department.


Main responsibilities

Perform administrative and support tasks on the day to day
Help and organize the contract inventory
Assist on ad-hoc duties when needed
Assist the procurement and sourcing specialist when required
Manage, organize, plan, attend to and perform administrative, support and support tasks for the organization.
Additional task can be assigned at any time


Competencies and professional background

Educational Background:

Minimum education
Intermediate Degree - Administration


Technical Skills: (knowledge, experiences, IT tools/software, languages)

Years´ experience at least 2 years
English - Advanced level
Experience in Sourcing & Vendor Management
Strong administrative and clerical skills


Soft Skills:.

Work with Suppliers (sales and account managers).
Self-motivated, positive attitude, proactive
Excellent organizational and communication skills
Strong attention to detail
Good track record on managing multiple activities
Comfortable working in a multi-culti environment
Comfortable working in a fast-growing IT environment


Does the profile match your CV and are you interested? Please press the apply button below!

At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Amsterdam,nan,Majorel Corporate
Performance & Support Manager,"Are you a driven, customer-focused and experienced professional with a great passion for building customer loyalty? Then you might be the new Manager Performance & Support we are looking for at Cygnific!
The P&S Manager is a key player in establishing, building and maintaining relationships between Cygnific and our client (Air France KLM). You will be responsible for the operational performance of products, account management of AF/KL, and implementation of (new) products. Additionally, the P&S Manager provides the Customer Service Departments with accurate and efficient systems, that allows ongoing reporting, measurement and timely advice on key performance indicators and operational targets.
As Manager P&S, you will have the following responsibilities:
Strategy development and implementation
You will establish and bring across a clear departmental strategy, in line with the company’s overall mission, vision and purpose. Furthermore, you are responsible for developing a structure that is fit to handle current and new products in a cost-, service- and sales-competitive way.
AF/KL Account Management
You are end-responsible for key account management and maintaining good and productive relationships with key clients and stakeholders. You are knowledgeable/aware of the client’s needs and can translate this to the context of Cygnific. Besides that, the P&S Manager oversees to the realisation of Service Level Agreements to secure a profitable collaboration between clients and Cygnific.
Product Performance & Knowledge management
The P&S manager is end-responsible for product performance and achievement of KPI’s and ensures that KPI’s are well-defined, measurable, and clearly communicated in the organization. Furthermore, the P&S manager designs and maintains a structure that ensures insight and analysis regarding the actual performance in comparison with the expected performance. Discussing operational performance with relevant internal and external stakeholders and overseeing that knowledge management information is up to date, timely available, useable and meeting quality standards is another important task of the P&S manager.
Leadership & Culture
You will be responsible for creating a high-performance team and culture. To do so, you establish an engaging work culture and set the example for leadership behaviour. The P&S Manager practices Cygnific’s core values and makes them lead in how decisions are made, and actions carried out. You foster an open, transparent and collaborative work environment, where employees can voice questions or concerns and are acknowledged for their efforts and accomplishments.
What you need for this position
A Bachelor’s degree is required, a University degree is preferred;
Extensive experience of managing operational customer service teams;
Strong strategic/customer focus with a clear understanding of the wider issues impacting the relevant products;
Proven senior (relationship) management experience;
Established track record of exceeding targets, KPI’s SLA’s, in a fast-paced and quality led environment;
Fluency in English, both spoken and written. Fluency in Dutch is preferred;
You are a team player that can provide direction and inspire others around you. Besides that, you are customer and result-oriented and you have strong judgement and problem resolution skills;
Where you will land

Cygnific is a proud daughter company of KLM. And we have sky-high ambitions: we want to become the most personal customer service team in the world. Our 1,500 high-flyers from 34 different countries contribute to this every day. In 11 different languages they offer 24/7 service with a smile to passengers and travel agencies via email, telephone, live chat, and social media. Not only in Amsterdam and Enschede; their wings are also spreading abroad, we have offices in Wembley, Manila and Curacao.
Our offer
A salary between EUR5000 – EUR6900 gross per month based on 40 hours a week;
A one-year contract with the prospect of permanent employment;
Position for 32 to 40 hours a week;
A challenging, innovative and international work environment;
25 vacation days based on full time employment, pension plan, travel allowance;
A vibrant and multicultural office near Westerpark in Amsterdam;
A well-balanced and flexible hybrid working model;
Start date: 01-04
Interested? Apply using the button below and we will contact you soon. For questions please reach out to recruitment@cygnific.com",https://media.glassdoor.com/sql/228885/cygnific-bv-squarelogo-1395922881695.png,Amsterdam,€5K - €7K (Employer est.),Cygnific
