job_titles,job_description,images,locations,salaries,companies
Field Engineer Precision Farming Research,"Kubota has been a leading manufacturer of agricultural, turf and construction equipment and Industrial Engines since 1890. With world Headquarters in Osaka Japan, and offices in more than 120 countries, and with over 50,532 employees throughout North America, Europe and Asia, Kubota achieved revenues in 2022 of $20.4 billion. Although machinery equipment is Kubota’s primary line of products, Kubota also produces a diverse portfolio of other products including city wide water filtration systems, irrigation, piping, roofing, housing and large underground valves.
For more information on Kubota, please visit www.kubota.com

It has been 49 years since the first establishment of Kubota Europe in France. Over the last decades the Kubota Corporation has shown a significant growth in the European region; particularly through the acquisition of the Norwegian agricultural implements manufacturer Kverneland Group. With around 5,000 employees and a revenue of €2.7 billion (2022) in the European region alone, our mission is to make the Kubota Group compete for the #1 position in our markets; not only in sales and revenue, but also in winning the trust and respect of our customers. The European headquarters are located in Nieuw-Vennep, the Netherlands.
Kubota Technology Innovation Europe department
The KTI-EU organization is a newly established department focusing on technology development for digital solutions and systems in agriculture from both a fundamental and applied research perspective. The department bridges the gap between the market research, collaborations and technology mapping (driven by our Innovation Center Europe) and product development as done by our R&D centers, like Kubota Research and Development Europe and Kverneland Group. The KTI department primary focus is on the European market, but in collaboration with the global organization and other regional offices e.g., KTI-SV (Silicon Valley, USA) to align and coordinate global initiatives.

In this context and in order to strengthen our team, we are looking to recruit a Field Engineer Precision Farming Research. This role contributes to the development of precision agriculture solutions such as new sensing systems, AI algorithms, etc., working with all Kubota Group machineries including tractors and agricultural implements. This is a critical role for the success of our technology advancements pushing the boundaries of productivity and sustainability.

Responsibilities:
 Develop and support field trials in agriculture in Europe:
Develop, organize and conduct entire field measurement activities

o Develop a plan for field measurement
 o Selection of agricultural test field and contact with farmers
 o Procure measuring equipment
 o Visit test sites in Europe
 o Preprocess the crops to be measured if it's necessary
 o Collect and measure crops or directly measure crops to obtain data by sensors, lab analysis, or other tools
Preprocess and analyze the measurement data
Set-up and maintain Proof of Concept sensing systems
Provide improvement suggestions of sensing systems and field measurements
Gather information on relevant studies or competitor activities/products
Conducting research and studies on site, and reporting on project status

Requirements:
Educational background in agricultural engineering, mechatronics or equivalent (mechanical, electronics and software - Msc or PhD preferred)
Previous experience/exposure to data collection and analysis from, for example, sensor and monitoring systems preferred
Hands-on working experience with Farming Machines is preferred
Well-versed in technical aspects of field projects, including machinery and equipment",https://media.glassdoor.com/sql/3747/kubota-squarelogo-1429628025621.png,Netherlands,nan,Kubota Europe SAS
R&D Testing & Laboratory Specialist,"R&D Testing & Laboratory Specialist
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.
Based in Ede, you will work under the banner of the Smart Buildings business line within the Global Product Group Energy Distribution. As an R&D Testing & Laboratory Specialist, you are attached to the research and development center in the Netherlands. This is set up to develop new and innovative products. You exchange information (remotely) with ABB colleagues worldwide. ABB has several R&D centers, including in Belgium, Germany, Egypt and Italy. The R&D Testing & Laboratory Specialist mainly focuses on product verification and validation during the product development and product lifecycle phase. He/she also works together with R&D colleagues and production in Ede and Gent to optimize product reliability and has a broad national and international network to represent ABB in the applicable standard committees. Your team ABB's R&D Center in the Netherlands has 9 colleagues and expansion is underway to meet market demand. The connection with the organization is therefore high. Characteristic of the team is the quiet atmosphere, where everyone can do their work with concentration. Within the team, each individual has a different personality. And that is also the strength of the group; we stimulate each other in every possible way. It is an open department where it is easy to knock on someone else's door if you need help.
Your responsibilities
The Test & Laboratory Specialist is responsible for autonomously testing the product quality of junction- and outlet boxes, consumer units and Smart Energy Management Systems using a complete knowledge of standard references, test methodologies and requested requirements. In addition, the Test & Laboratory Specialist is able to support and guide the Test Engineer(s) in performing mechanical and/or electrical tests, evaluating and documenting test results appropriately.
Additionally: The R&D team in Ede is expanding and are working are in process of setting-up new test lab to be future proof. Together with another Test and Laboratory Specialist, you will have an important role in defining and setting up this test lab.
Your background
Relevant Bachelor or MBO level 4 degree (electrical engineering, mechatronic engineering or similar).
Five years of experience in a Test Manager or Test Engineering role.
Competent in interpreting standards and guidelines.
Familiar with multiple testing methods such as D.o.E., acceleration life testing etc.
Autonomous and independent mindset.
Able to commission new test equipment and test setups for non-standard testing.
Ability to troubleshoot and advise product engineers.
Focus on quality and accurate documentation.
Fluent in English and Dutch.
More about us
ABB is a global company. A leader in the areas of transmission and distribution of electricity, process and production automation and electrical, electronic and plant engineering products and systems. We are at the forefront of innovations, following trends and thinking along with our customers. We have brought together 150,000 people who work together in more than 100 countries worldwide. What does ABB have to offer you? A versatile and varied full-time job of 40 hours within an international concern. ABB likes to invest in your development. We offer you education, training and growth opportunities. Furthermore, we offer you: - salary based on your education and experience. - good pension scheme - thirteenth month. - travel allowance. - laptop. Are you interested in this vacancy? Then don't wait any longer and apply immediately. Register your resume and apply online at www.abb.nl by clicking on 'Working at ABB'. The application process consists of 2 rounds of interviews. For questions, please contact Jacqueline Pereboom, corporate recruiter, at 010 - 407 82 14 or soll@nl.abb.com.",https://media.glassdoor.com/sql/3076/abb-squarelogo-1511427157874.png,Ede,nan,ABB
Open Job Application ASML,"Vacature details
Vakgebied: (Hightech) Industrie

Opleiding: Starter

Werklocatie: Veldhoven

Vacature ID: 13069
Introductie
Are you looking for the right career-move? Trinamics will help you!
We have a lot of openings at ASML in a high-tech environment (Vocational Degree, Bachelor, Master, PHD, mechanical engineering, mechatronics, electrical, aviation, aerospace, physics, mathematics, optics, software, computer science, logistics, automotive, embedded engineering )
Functieomschrijving
With its roots in the Netherlands, ASML has grown to become an international high-tech organization, with over 15,000 employees of 87 different nationalities all working closely together. They work with each other, with clients, with suppliers, and with knowledge institutes. Their staff includes some of the most creative thinkers in the world today; 44% of them possess a master’s degree, 33% a bachelor’s degree, including some 600 PhD’s. Employees work together in tightly-knit multidisciplinary teams, challenging each other, listening to each other, learning from each other, and exchanging ideas.
The feeling of pride is a strong and tangible internal motivation at ASML. They are proud of who they are, of their achievements, how they accomplish these achievements, and of the fact that they are the worldwide market leader in the chip market. The employees of ASML share the passion for technology with a customer focus. At ASML one works ongoing for the further development and implementation of complex and high-quality technological systems. Working at ASML is therefore challenging and extremely dynamic.
Would you like to work in the ‘smartest region of the world’ in a high tech-environment, at a company working an enormous R&D budget? Do you want to be part of a team that is trying out new ideas every day and is constantly looking for better, more accurate and faster working methods? Trinamics is always looking for technical talent for ASML. The rich technology variation, the broad R&D budget and the joint pursuit of the development and perfection of groundbreaking new technologies provide an ideal base for professional development and personal growth.
Wat verwachten we van jou?
Do you have a background (Vocational degree / Bachelor / Master / PhD) in mechanical engineering, mechatronics, electrical engineering, aviation engineering, physics, mathematics, chemistry, optics, software, computer science or engineering business?
We expect you to be a good communicator, team player, self-starter, to take initiative and to be result oriented. You have a good command of the English language, both in writing and in speech and are willing to learn the Dutch language.
Wat kun jij van ons verwachten?
The right candidate will be provided a challenging and varied position in a professional, high-tech environment.
An appropriate salary based on your experience and education.
Future prospects and excellent benefits are evident.
After a period of secondment and functioning properly, you can be contracted by our client.
Good secondary conditions such as a minimum of 25 holidays and 8,33% holiday allowance.
Courses to develop yourself professionally and personally via Trinamics Academy.
Discount on your healthcare and referral bonusses and fun activities.
Certain pre-employment screening checks may be part of this vacancy procedure.
Voordelen van solliciteren via Trinamics
Keuze uit meer dan 500+ technische vacatures.
Je profiteert van ons grote netwerk aan bedrijven.
Eenmaal aan het werk, blijven we met je in contact.
Altijd een persoonlijke consultant voor ál jouw vragen.",https://media.glassdoor.com/sql/1871746/trinamics-squarelogo-1522755875175.png,Veldhoven,nan,Trinamics
2023 Graduate Career Development Program - Mechanical Engineering,"APPLY BY EMAILING — recruitment.europe@westlake.com
Subject Line: 2023 Graduate Career Development Program - Mechanical Engineering
Please provide a resume and an introduction to yourself.
Position will Start September 2023, application deadline is March 31st, 2023
Job Objective:
The Graduate Career Development Program is your opportunity to start, develop and grow with us within the Westlake Epoxy Family.
You will apply your limitless imagination and drive to build innovative solutions into a comprehensive 2-year rotational program.
The program will introduce you to the diverse functions of a dynamic chemical manufacturing business through the completion of 4, 6-month projects in a number of functional areas. As you explore the different aspects of our business, you will receive thorough technical and soft skills training to continue to mold you into the leader that brings Westlake’s future to life. If you are looking for an opportunity where you can demonstrate your ingenuity by solving real world problems, in an environment focused on enhancing our lives every day, we encourage you to apply for the Westlake Epoxy’s Development Program.
Assignments can be in the following areas:
Production, Manufacturing
Process Technology & Development, Process Controls, Process Improvement
Projects & Engineering
Six Sigma/Continual Improvement
Health Safety Environment
Product Stewardship
Process Safety
Supply Chain
Job Responsibilities:
You will handle projects under the guidance of a Mentor, assigned to your designated area of focus. The project assignments are designed to empower you to challenge convention by engineering a creative solution to some of the most difficult programs we face in our business. Through high performance teamwork our engineers deliver solutions that continually expand the possible, propelling Westlake into the future of chemical manufacturing. Each assignment will help you gain insight into global business processes, while being immersed in local day to day production, further developing you as an individual and essential member of Westlake Epoxy’s tomorrow.Delivering breakthrough solutionsMonitoring and developing improvements to current processes to yield cost savings, quality improvement and/or overall increase efficiencyContinuously strive for highest level of performanceDoing everything with your personal safety mindset at the forefront of your workAdding value for our customers
Post program opportunities include: Process Engineer, Process Technologist, Production Engineer, Plant Engineer, Process Improvement Engineer, Maintenance Engineer, Reliability Engineer, and Project Engineer.
Education/QualificationsMaster of Science in Mechanical Engineering or similarA maximum of 2 years of working experience in the chemical industryVery good English language knowledge, Dutch is a plus.

Your Application:
Please apply via emailing recruitment.europe@westlake.com. For further information please visit our careers page at westlakeepoxy.com",https://media.glassdoor.com/sql/15202/westlake-chemical-squareLogo-1658932355054.png,Netherlands,nan,Westlake Epoxy
R&D Technologist Compounding,"Trinseo Netherlands B.V. is seeking for the R&D department in Terneuzen

R&D Technologist Compounding

The R&D Technologist - Compounding role is a function which is performed within the Technology and Innovation (T&I) lab under the R&D Department. The activities are in day shift (Fulltime/40hrs).

About Trinseo

Trinseo, a specialty material solutions provider, partners with companies to bring ideas to life in an imaginative, smart, and sustainability-focused manner by combining its premier expertise, forward-looking innovations and best-in-class materials to unlock value for companies and consumers. From design to manufacturing, Trinseo taps into decades of experience in diverse material solutions to address customers’ unique challenges in a wide range of industries, including: building and construction, consumer goods, medical and mobility.

Key responsibilities
· As an R&D technologist - Compounding you have operational responsibilities and will be working on making polymer-based formulations. This includes planning the requests you receive, collecting and pre-mixing raw materials, operating equipment, and accurately documenting operating conditions. This will allow Trinseo to provide unique material solutions to serve our customers in a diverse set of application areas;
· Depending on your experience, you perform minor maintenance tasks, and make modifications and improvements to the equipment;
· You will handle a diverse set of raw materials, and understand how to handle them in safe manner;
· You closely collaborate with your colleagues in the warehouse, the moulding lab, the mechanical testing lab, as well as our Technical Service & Development department . You will report to the T&I Compounding Laboratory Leader ;
· You perform all the work in accordance with our EHS rules and regulations.

Competencies

Innovative, team player, collaborative, decisive, analytical, communicational skills and problem-solving oriented.

Qualifications

Preferably a bachelor’s degree (e.g. HBO or professional bachelor) in a technical direction such as mechanical engineering, materials manufacturing and processing, polymer engineering, or equivalent field. MBO-level candidates with a drive for innovation are also encouraged to apply.
Preferably a few years of experience as R&D or industry technologist, but fresh graduates are also encouraged to apply.
Preferably knowledge and experience on manufacturing equipment and machinery for processing of plastics, and some experience with maintaining this equipment.
You are eager to learn, you have a hands-on mentality, you bring a can-do attitude to work, but all with a safety-first mindset.


Trinseo offers

A challenging and varied job with growth opportunities and excellent working conditions;
You will be working amongst professional and driven colleagues;
Competitive salary and comprehensive benefits.
An annual variable pay program that rewards team and individual performance and shares company, business or functional success.
You will have excellent secondary terms of employment and extra benefits such as a discount on the health insurance premium and company performance-based bonus structure.",https://media.glassdoor.com/sql/1064907/trinseo-squarelogo-1445492579481.png,Terneuzen,nan,Trinseo
Career Development Program (CDP) - Process Engineering,"Job Description and Qualifications
Air Products touches the lives of consumers around the globe in positive ways every day. Focused on serving energy, environment, and emerging markets, we provide essential industrial gases, related equipment, and applications expertise to customers in dozens of industries, including refining, chemical, metals, electronics, manufacturing, and food and beverage. We are also the global leader in the supply of liquefied natural gas process technology and equipment. Air Products develops, engineers, builds, owns, and operates some of the world's largest industrial gas projects, including gasification projects that sustainably convert abundant natural resources into syngas for the production of high-value power, fuels, and chemicals. We had fiscal sales of $10.3 billion from operations in more than 50 countries.

Sustainability is at the heart of our business – our higher purpose is to bring people together to collaborate and innovate solutions to the world’s most significant energy and environmental challenges. Guided by our Grow-Conserve-Care sustainability approach, we are driving sustainable growth by building, owning, and operating the world’s largest gasification, carbon capture and hydrogen projects. This includes our multi-billion project in NEOM, Saudi Arabia, to produce and deliver carbon-free hydrogen to power buses and heavy goods vehicles across the globe by 2026.

We offer the opportunity for you to join our Career Development (rotational) Program (CDP) with a 1st year assignment as a Process Engineer at our Rotterdam location.

About our Career Development Program (CDP)
Our CDP is structured to launch your career through three different assignments; there is also the possibility of one assignment being abroad. The rotational assignments are crafted to develop your technical and professional skills, accelerate your learning, test your creativity, critical thinking, and problem-solving skills, throughout your rotations and get a better understanding of your areas of interest, strengths, and career aspirations. The objective is, after three assignments, to have gathered a broad knowledge of our organisation and to further develop your career within Air Products on the long term.

What’s in it for you!
Learning and development opportunities by providing resources and tools you can use to help build skills and realise your potential as you drive your career forward.
A competitive salary – that recognizes the experience, skills, and abilities you bring to the company.
A committed approach to sustainability – giving you peace of mind that you are working for a business that cares deeply about the environment and has set related performance goals.
A positive and meaningful experience – from recruitment to onboarding, development, and career growth. You will know you belong and matter at every stage.
At Air Products, we work in an environment where diversity is essential, inclusion is our culture, and each person knows they belong and matter.

What are we looking for?
You are in your final year or graduated within last two (2) years from a university, with Strong academic performance
You hold or are obtaining a degree in Chemical or Mechanical Engineering (Master's degree preferred)
You have cultural sensitivity and great collaboration skills, as you may engage with various teams across Europe
Involvement in campus activities and demonstrated leadership
Flexible to relocate for each rotation, with the possibility of one being abroad; Flexibility to travel, if needed to successfully meet the responsibilities of each rotation
You have a healthy ambition, are adaptable, with a can-do attitude
Fluency in English and Dutch
Valid driver's license is a must
How to apply and how about next steps?
We look forward to receiving your application online. You can apply until Monday 6th of February 2023. Afterwards we we start with the recruitment process, which includes:
A short video interview presenting yourself and providing your line of thinking around a few technical questions. This will also give you a taste for the type of business questions you'll be working on.
A max. of two interviews will follow focusing in your motivation, ambitions as well as your technical knowledge
If successful, you will be offered the Process Engineer position in our CDP program starting as of October 2023.
Req No.
41535BR
Employment Status
Full Time
Organization
Global Industrial Gases
Business Sector / Division
Industrial Gases EMEA
Region
Europe
Country
Netherlands",https://media.glassdoor.com/sql/17/air-products-squarelogo.png,Rotterdam,nan,Air Products
Mars Engineering Leadership Trainee Program - Sept. 2023,"Mars Engineering Leadership Programme
Location: Veghel, Netherlands
Start date: 1 September 2023
The Mars Engineering Leadership Programme (part of Mars Supply Chain Leadership Experience) is an opportunity to join an International Graduate program that gives you the opportunity to develop and grow through three, 12-month placements responsible for different areas within Engineering at Mars. You’ll help grow Mars and develop our world-class brands, whilst receiving unparalleled support for your own professional and personal development.
The Engineering Leadership Experience program at Mars gives you the chance to develop new technical and leadership skills, innovate at Global scale, and build a career today, for a thriving tomorrow.
Each year we give you the opportunity to challenge yourself, increase your breadth of knowledge and develop yourself as a leader. We’ll tailor each project to you and your own development path, so you can be sure what you’re doing will help you build yourself as a future leader.
What will I do?
Year 1 is the Project Engineers’ role where you’ll focus on building your technical understanding and get to know more about the world of Mars, and our world-famous brands.
Year 2 gives you the opportunity to understand different cultures and develop your own leadership style whilst working abroad – all with excellent support from Mars, both personally and professionally.
Year 3 will see you managing your own team, and putting your knowledge from previous years into action, helping develop other Associates, and building on your future career within Mars.
What do we need from you?
You’ll need a Master’s degree in Chemical, Electrical or Mechanical Engineering, having graduated in 2022, or due to graduate in 2023.
You’ll be passionate about Engineering and Leadership and want to forge a career in the space.
You’re not afraid of new challenges, and you’re willing to step outside your comfort zone, and question the norm in the pursuit of efficiency
Ideally, you’ll have some experience managing a group or project, either within your degree, or from a previous internship or role.
You’ll be flexible, and willing to work abroad for at least one year, whilst holding the right to work in the Netherlands for the other two years.
You’re fluent in English and Dutch
What can Mars offer you?
We’ll offer you a competitive starting salary, in addition to several excellent benefits, including yearly company bonus.
We’ll invest in you for the long-term, with industry-leading development opportunities, and access to Mars University, we’ll support you personally and professionally as you grow with Mars.
We’ll give you the opportunity to take hold of your own career path, forging a career in Engineering leadership that fits you and your goals.
You’ll have the opportunity to impact the world around you, through our brands, and Mars Purpose; The world we want tomorrow, starts with how we do business Today.
You’ll have the opportunity to work with some of the world’s most talented people and build lasting friendships across your career.",https://media.glassdoor.com/sql/2886/mars-squarelogo-1552395291657.png,Veghel,nan,Mars
Project Management Officer,"Job ID: 5827
Location: - Netherlands
Functional Area: Research & Development
Position Type: Full-Time
Education Required: Masters Degree
Experience Required: At least 5 years

Position Description:

Are you enthusiastic about optimizing existing processes, do you recognize efficiencies quickly, and do you like to convince others of your visions? Get in touch with us!
Questions about this job?
Patrick Mevis, HR, +316 – 40802807 / Patrick.mevis.external@cpp.canon
Project Management Officer
40 hours per week, in Venlo (NL)
What You’ll Do
As a member of the Project Management team, you are supporting / consulting the R&D project leads and managers to deliver the projects and to ensure that the common project management methodology and documentation standards are adhered to.
You’ll be responsible for:
Establish and drive the sharing of best practice across the projects
Own and administer collaboration methods and tools like MSProject, Office 365 and Planta. used across all projects
Facilitate key program meetings including management of agendas & content, pre-briefing stakeholders and recording and management of actions as well as ensuring that escalations are followed through and resolved
Drive adherence of projects to the governance framework and report metrics to support this
Define and maintain the project documentation and archiving standards
Reporting of the overall program and project status including the quality, completeness and accuracy of content in various tools
Portfolio management regarding gathering and connecting numbers with HR
Who You’ll Work With
Our international organization has a flat hierarchy, so you’ll be working with lots of other people in an open, creative multidisciplinary environment. That includes our other departments, designers, developers, architects and management.
What You Bring
We’re looking for a team player who has:
a Bachelor’s degree in mechanical engineering or Industrial Engineering & Management.5-10 years of experience in the field.
skills in MS Project, Planta, SharePoint or similar Software packages
Project Management, Process Thinking, Structured and System affinity
an eye for detail and excellent problem-solving skills
fluent English skills, both spoken and written
What You’ll Get From Us
We provide an exciting, dynamic work environment with plenty of opportunity for you to develop personally and professionally. We offer excellent conditions to help you be who you want to be:
a competitive salary (Ligt aan de schaal, starter of ervaren man)
38 vacation days
extra 13th month pay (8,6%), holiday allowance (8%) and commuting allowance for a healthy work-life balance
a huge range of training and professional development opportunities
a laptop and smartphone
Career opportunities
Whitin the Project Management Officer role there is an entrance in several roles divisions in our organization, like Project Lead, Business Unit, Purchasing or Production.

About us:
We are a global leader in digital imaging, industrial printing and collaborative business services. Our mission is to accelerate new digital print technologies and transform them into local printing products and services for blue-chip multinationals around the globe and creative studios around the corner. We operate as a vast global network of R&D centres to connect emerging digital print technologies to future markets.",https://media.glassdoor.com/sql/3522/canon-squarelogo.png,Netherlands,nan,Canon Production Printing
Teamcenter Application Support Engineer,"We are Siemens
Siemens Digital Industries Software is a leading provider of solutions for the design, simulation, and manufacture of products across many different industries. Formula 1 cars, aircraft, ships, space exploration vehicles, and many of the objects we see in our daily lives are being conceived and manufactured using our Product Lifecycle Management (PLM) software.
The promise of a digital future…today. With the digital twin, Siemens Digital Industries Software blurs the boundaries between the virtual and physical, hardware and software, design and manufacturing worlds. For more information about us visit - https://www.youtube.com/watch?v=k6mVLaUyO4U
What we’re looking for
Do you have experience of Teamcenter deployments, upgrades, administration or support?
As our Application Support Engineer, you will focus on providing technical customer support to our Teamcenter (https://www.youtube.com/watch?v=kUbv4wz04VQ&list=PL1m1vu8_quoCzW2aQLPlfnqTe_QNj8x2I&index=1) customer base, solution partners, and internal professional service teams. You will collaborate with the customer (typically the Teamcenter system administrator) via Microsoft Teams, telephone, and/or email and provide regular updates on support tickets.
This opportunity can be based in any of the following locations; Netherlands, UK, Sweden and working from home in these locations is available. If you can picture yourself learning, growing, and succeeding in our team then we would love to hear from you!
What you’ll be doing
Under minimum direction, analyse Teamcenter problems and provide a solution or a workaround in a timely manner that meets the customer’s needs.

Provide technical assistance to team members on difficult customer problems.

Identify critical issues and take ownership for successful resolution.

Actively participate in product testing, Incident Report, Problem Report, and Improvement Request maintenance and staff meeting reviews.

Build re-usable KB articles: FAQs, Whitepapers, Solution articles, Videos

Contribute positively to PLMS Objectives.

What you’ll bring
Strong background in Teamcenter deployment, administration and or support, with strong trouble shooting skills

Ability to comprehend complex software concepts, database concepts, networking concepts, Microsoft Windows and Linux operating systems

Excellent communications (written and oral)

Happy to work remotely (virtual office)

Self-starter, motivated and able to work with a minimum of direct supervision

Nice if you have
Background in Microsoft SQL or Oracle

Experience in customer support or end-user support

Cloud experience, Teamcenter Deployment Centre experience, SSO and SSL

Mechanical Engineering, Mechanical Design, Computer Science degree or equivalent

Join our Digital World
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.
We offer a comprehensive reward package which includes a competitive basic salary, bonus scheme, generous holiday allowance, pension, private healthcare and actively support working from home.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
At Siemens, we are always challenging ourselves to build a better future. We have some of the smartest minds working across the world, re-imagining the future and doing extraordinary things. Join our Talent Community today and let's stay connected in areas that interest you: https://new.siemens.com/global/en/company/jobs/digital-minds.html
Siemens Software. Where today meets tomorrow!
#LI-MH1
#LI-PLM
#LI-Remote
#DISW
#SWSaaS
Additional Locations: , , Netherlands;Farnborough, Hampshire, United Kingdom; , , Sweden
Organization: Digital Industries
Company: Siemens Industry Software Limited
Experience Level: Experienced Professional
Full / Part time: Full-time
Job Family: Customer Services
Req ID: 356980",https://media.glassdoor.com/sql/3510/siemens-squareLogo-1676654067586.png,Netherlands,nan,Siemens Industry Software Limited
Engineering Technician Returns EMEA,"What to Expect
About Tesla Tesla’s goal is to accelerate the world’s transition to electric mobility with a full range of increasingly affordable electric cars. Tesla Motors is committed to hiring and developing top talent from across the world for any given discipline. Our world-class teams operate with a non-conventional automotive product development philosophy of high inter-disciplinary collaboration, flat organizational structure, and technical contribution at all levels. You will be expected to challenge and to be challenged, to create, and to innovate. These jobs are not for everyone, you must have a genuine passion for producing the best vehicles in the world. Without passion, you will find what we're trying to do too difficult. The Role The ‘Engineering Technician Returns EMEA will be responsible for determining root cause failure of all Tesla return parts. Other responsibilities include diligently adding this information and evidence into Tesla’s Root Cause Database, developing relationships with other functional departments to ensure the parts or information is transferred to the appropriate department. Preferred candidates will have knowledge of NDT procedures but be acutely aware of results that can be gleaned from performing pragmatic destructive test procedures. Planning, accuracy, intelligence, stamina and deduction, are qualities that are a must for this role.
What You’ll Do
Perform destructive and non-destructive Root Cause Analysis on Tesla products
Perform database transactions to manage the tracking, receiving, storing and moving of parts
Assist engineering in developing and implementing containment countermeasures from returned part analysis
Working closely with the engineering teams for test criteria and prioritization
Working closely with the team to assure data integrity, accuracy and efficiency in handling of returned parts
Assure cleanliness, organization and safety of the MRB receiving and storing area, making this process world class and on par with Tesla’s standards
Outline SOP’s when required for testing return parts
Creating test equipment and tools for custom Root Cause Analysis
Maintain a safe working environment, Help sustain LEAN process as directed
This position and the team is continuous evolving and the responsibilities may change over time -this role requires flexibility and the ability to adapt to the evolving needs of the team/organization

What You’ll Bring
2-3 Year's of experience in Failure Analysis/Root Cause Analysis/8D problem solving
A foundation degree in either mechanical, electrical or automotive field or the equivalent in experience and evidence of exceptional ability
Training in FMEA and Root Cause Analysis processes
Must be detail orientated, reliable, have good initiative, determination, and quality focused
English is required
Nice to have: Dutch language skills is a plus",https://media.glassdoor.com/sql/43129/tesla-squarelogo-1609189398200.png,Tilburg,nan,Tesla
