job_titles,job_description,images,locations,salaries,companies
French / English Technical Support Agent,"By sending your application, you understand that your data will be stored in our recruitment database. Your data will be held and used by 5CA primarily for the purposes of considering your application and your suitability for employment with us and will generally be kept for one year, unless we need to keep your data longer.
As a Customer Support Agent at 5CA, you'll provide technical support as part of a broader international team. You'll troubleshoot customers' technical issues with their PC hardware and connectivity issues. You'll be on the frontline, answering customer queries and tickets via email, live chat, social media, and phone. You'll be responsible for calmly troubleshooting their issues and helping them out when they need it the most. You'll also undergo assisted training to help you develop and improve your skills to provide the best technical support for our clients and their customers.

About you
You speak French and English at an advanced level
You have in-depth knowledge of PC hardware, tech, and connectivity issues
You’re a natural troubleshooter and problem-solver
You are a fast learner, take the initiative and excel at troubleshooting
You have a dedicated quiet workspace located within your residence
(Optional) Experience in a Customer service environment is a plus.
Technical requirements
A minimum internet speed of 4 Mb/s download and 4 Mb/s upload internationally.
A minimum of 4 GB RAM
A 64-bit version of Windows 10 or newer, or a recently released version of macOS
An Dual-Core Processor i5-6300U or better/similar.
An Intel HD 520 Graphics card or better/ similar.
A smartphone usable for two-factor authentication that runs at least:
Android 6.0 or newer
Apple iOS 13.0 or newer
We offer
The flexibility to work 100% remotely with no wasted commute time and travel costs
A position at a fast-paced international company with ambitious gaming, e-commerce, and tech clients
A casual, diverse, and inclusive culture with people from 80+ countries, speaking 25+ languages - where we celebrate everyone's uniqueness
Innovative digital tools and comprehensive training, with access to our library of online training courses
Various learning and career development initiatives throughout the year
Access to Open Up, an employee mental health platform offering access to certified psychologists, online resources, etc.
Fun employee engagement activities and participation in 5CA employee-lead communities such as 5CA Connect, Pride, 5CA Gamers, Women of 5CA, to name a few
About 5CA

We are a remote-first CX company working with passionate agents worldwide. Founded in 1998, we represent some of the biggest names in gaming and tech and level up their customer and player experience.

Our community is full of digital natives and gamers that troubleshoot with care for the brands they love, from home, in their languages. We work with people from all cultures and backgrounds and champion diversity and inclusion in all we do.

You have the right to withdraw your consent and request deletion of your personal data at any time. In that case, all processing operations that were based on your consent and took place before the withdrawal of consent remain valid.",https://media.glassdoor.com/sql/1023750/5ca-squarelogo-1587386488560.png,Netherlands,nan,5CA
"Spanish, Portuguese or German speaking Analytics Consultant - HH 23384","Our client active in marketing research and data analysis is on the look-out for multiple talented Analytics Consultants to start up with their new projects in the Netherlands. You will be the storyteller who can dive in to the insights of social behavior and consumer data and translate these into actions to improve businesses to develop.Your responsibilities will include: Utilising sources and tools to discover and analyse consumer data insightsTranslating data into suggestions of development according to the needs of the brand and businessPresenting insights to clients and stakeholdersProject management, coordination and collaboration across teams and clientsAbout you: You are excited to discover insights of behaviour, culture and consumer data and keen to learn the methods and tools to do so. You have worked with digital databases such as social media, Reviews, Google Search, Reddit and other online forums. You will join international award-winning team and work with global consumer brands. In this role you have the opportunity to work remotely and at the office based in Rotterdam.Profile: Required to be fluent in Spanish, Portuguese or German (C1-level or higher) and English (C1-level or higher), both written and spokenYou have experience in research and analytics and solid comprehension of statisticsSkilled in communication and creative story tellingAvailable to start as soon as possible for 40 hours per weekTo apply, please send your CV in English and in Word format to Henna. languagematters is acting as an employment agency in relation to this vacancy.Job Type: PermanentSalary: €39,000.00 - €47,000.00 per yearAbility to commute/relocate:Rotterdam: Reliably commute or planning to relocate before starting work (Required)Work Location: In person",https://media.glassdoor.com/sql/1657299/language-matters-recruitment-consultants-squarelogo-1550674407984.png,Rotterdam,€39K - €47K (Employer est.),language matters Recruitment Consultants B.V.
KLM Customer Service Agent Business to Trade - German and English/Dutch,"EUR 15,27 gross hourly wage* (including 1.50 EUR language allowance)
the gross hourly wage is calculated as follows EUR 13,77 base salary + 1,50 language allowance
** the gross hourly wage doesn’t include eventual irregularity allowances
What’s the first thing that comes to mind when you hear ""customer service""? Being put on hold for ages while you are forced to listen to James Blunt on repeat? Guess you’ve never met our customer service agents! They can’t wait to help travel agencies with questions about their journey with KLM. Are you also full of energy, wanderlust and customer friendliness? Become a travel troubleshooter at Cygnific!
Ready for take-off?
As a customer service representative, you are the ears and voice of KLM. You assist travel agencies on the phone with their questions about bookings, flights, luggage, upgrades, our Flying Blue loyalty program or special requests (""How many bowling balls can I check in?"" -> True story!). Finding a quick and suitable solution for every problem is your game. And if possible, you take that extra step to exceed passengers’ expectations.
Your onboarding
To help you get a flying start, you’ll begin with a six-week virtual training. You must be available full-time during this period. After training, you will be expected to work in the office at least three days a week. Of course you can always count on your colleagues for questions or help; our troubleshooters are also here for you!
Are you a travel troubleshooter?
You have at least a level 4 MBO (secondary vocational education) degree or work and think level.
You preferably have experience with working at a call center or in customer service.
German and either Dutch or English flows smoothly from your mouth and keyboard.
You understand how (complex) computer systems work.
You have a passion for travel, a talent for teamwork and an international mindset.
You are flexible, service-oriented, creative and have a sense of humor.
Cygnific: your next destination
Cygnific is a proud daughter company of KLM. And we have sky-high ambitions ourselves as well: we want to become the most personal customer service team in the world. Our 1,500 high-flyers from more than 30 different countries contribute to this every day. In 18 different languages they offer 24/7 service with a smile to passengers and travel agencies via e-mail, telephone, live chat, social media and WhatsApp. Not only in Amsterdam and Enschede; our wings also spread to England, Albania, India and the Philippines.
A job at Cygnific is more than just an office job. You will be part of an international team of positive, enthusiastic and ambitious people. Cygnificans work hard, but also like to have fun. We really want to help clients and colleagues move forward. But most importantly: we are inclusive and open to each other's opinions and cultures! Curious? Read more on our website.
Our offer
A salary of € 2.386,48 gross per month based on 40 hours per week.
A 7-month contract with the prospect of a long-term partnership.
An irregularity, language and travel allowance.
A monthly working from home contribution
The possibility to work from home two days a week.
A holiday allowance, pension plan and stand-by flights after one year of employment.
Social events such as our annual Christmas party, the famous Cygnific BBQs and ‘Friday Night Drinks XXL’.
A cozy, lively and international office at Westerpark in Amsterdam or Enschede.
Start date is the 11th of April
Check-in here
Are you ready for customer service at the highest level? Apply using the button and we will contact you soon!
For questions please contact one of our Recruiters, via recruitment@cygnific.com or by sending a Whatsapp message: +31 (0)651384581Cygnific will never ask applicants to send documents via social media nor to make a payment of any kind for a job or internship. Applicants should be suspicious for such requests and offers. Please, escalate these requests to recruitment@cygnific.com",https://media.glassdoor.com/sql/228885/cygnific-bv-squarelogo-1395922881695.png,Amsterdam,€15.27 Per Hour(Employer est.),Cygnific
G-Star Raw Ambassador French/German and English,"What’s the first thing that comes to mind when you hear ""customer service""? Being put on hold for ages while you are forced to listen to James Blunt on repeat? Guess you’ve never met our G-Star Raw Ambassadors! They can’t wait to help G-Star Raw customers with questions about products and their orders. Are you also full of energy, customer friendliness and do you have affinity with fashion? Become a G-Star Raw Ambassador at Cygnific!
As a G-Star Raw Ambassador you will be the first line of contact with the customers and you are responsible for insuring outstanding customer experience in pre-during-after sales. You answer questions through various channels, such as Social Media, telephone, mail and chat! You are aware of the internal processes and guidelines of G-Star RAW and use this information to help customers in the best possible way. We like to go the extra mile for our customers, so being customer-oriented is a must!
As an Ambassador for G-Star RAW you will have the following responsibilities:
Answering questions via social media, e-mail and telephone. Questions you can expect are about missing packages, tracking packages, refunds and quality issues
Handling complaints
Informing customers about procedures, answering questions and providing information regarding G-Star Raw products and services.

Your onboarding
To help you get a flying start, you’ll begin with a training. You must be available full-time during the first week of training. The training will be given in our office in Amsterdam. After the training you can start with working from home a few days a week.
Are you our next G-Star Ambassador?
You preferably have experience with working at a call center or in customer service.
French or German flow smoothly from your mouth and keyboard. Besides this you are fluent in English as well.
You have a passion for fashion, a talent for teamwork and an international mindset.
You are flexible, service-oriented and creative.
You are available to work for 32-40 hours a week.
The start date of the training will be 03-04-2023
Your working hours will vary between 8:00 – 21:00 and the department is opened from Monday until Saturday. Additionally, late shifts are a part of the job, that means that sometimes you work from 17:30 until 02:00. Lastly, it is a requirement that you are flexible in your schedule.
Cygnific: your next destination
Cygnific is a proud daughter company of KLM. And we have sky-high ambitions ourselves as well: we want to become the most personal customer service team in the world. Our 1,500 high-flyers from 36 different countries contribute to this every day. In 18 different languages they offer 24/7 service with a smile to passengers and travel agencies via e-mail, telephone, live chat, social media and WhatsApp. Not only in Amsterdam and Enschede; our wings also spread to England, Albania, India and the Philippines. We provide customer service for KLM, Air France and Delta Airlines, but also brands
A job at Cygnific is more than just an office job. You will be part of an international team of positive, enthusiastic and ambitious people. Cygnificans work hard, but also like to have fun. We really want to help clients and colleagues move forward. But most importantly: we are inclusive and open to each other's opinions and cultures! Curious? Read more on our website.
Our offer (you can’t refuse)
A competitive salary
A 7-month contract with the prospect of a long-term partnership.
An irregularity and commuting allowance.
The possibility to work from home a few days a week.
A holiday allowance, a discount on your health insurance policy, a pension plan and IPB flights after a one-year contract.
Social events such as our annual Christmas party, the famous Cygnific BBQs and ‘Friday Night Drinks XXL’ every three months.
A cozy, lively and international office at Westerpark in Amsterdam
Are you ready for customer service at the highest level? Apply using the button below and we will call you soon!",https://media.glassdoor.com/sql/228885/cygnific-bv-squarelogo-1395922881695.png,Amsterdam,nan,Cygnific
Digital Content Manager,"The vacancy: Digital Content Manager in Rotterdam Area

Do you?

Want a strategic and executive position in digital marketing with a lot of freedom?
Work in an international environment and the responsibility for 8 EU countries?
Work for an innovative market leader that sells a high-quality and impactful engine and is active in 150 countries!
And work in an informal team where you will make an impact to move towards sustainability?

Sounds interesting? Then read on, this is for you!

Your new employer: One of the most innovative employers changing the future with impactful products

The founder of this company made a name for himself early in his entrepreneurial career by improving and modernizing the first automobiles in the early 20th century.

His knowledge and expertise caught the attention of the White House and was asked by them to share that knowledge. Together with the military, engines and parts were developed for aircraft and tanks for World War I, which were also used in the liberation of the Netherlands in World War II.

Now 100 years on and with a 75% market share, this American tycoon is characterized by constantly striving to develop high-quality power trained technology and transmissions for, transport, agriculture and trucks used in the Dakar Rally.

There is a very pleasant and informal culture within this company. Because the team is mature and not too big, people fit well together, and the lines are short. Nice get-togethers are organized, and hybrid working is also an option.

With sustainability as a big topic, this company continuously works on innovative products in its own test center. With hybrid solutions, electric drives and hydrogen as a clean energy source, the company's future looks bright.

Bear in mind that 75% of all engines in 150 countries are theirs. You can imagine what an impact it would have if all of these products are environment friendly and the role you can play in this process.

Headquartered in America and operating in more than 150 countries, with thousands of employees, the company has several regional headquarters in nine countries. The European headquarters is located in the Netherlands and from here they serve eight countries.

In The Netherlands a total of fifty employees work in various departments such as Engineering, Finance, Sales. The Marketing team consists of six specialists, divided into two teams. Product Marketing and Marketing Communications.

You will join the Marketing Communications team with two specialists: a Marketing & Event Specialist and a Marketing Communications Specialist.

The vacancy: Digital Content Manager to get the message across throughout Europe.

You will tell the story of this company in Europe by using visuals and content. This will be communicated via social media on different channels, i.e. Facebook & LinkedIn. Maybe even other platforms if you can show their target audience is there. Also via e-mail and other platforms.

The main responsible person for content in writing and visuals will be you. You will be the regular liaison with the Global team in America who provides the content. You will assess the content and adapt it to the target audience in different countries. In addition, you will think along in different partnerships with influencers, agencies, etc.

You are free to share with your insights, deploy new tools and contribute to the story of the company to make its mark in Europe. So you have to be able to show that you have done this before. Furthermore, you will be responsible for testing, experimenting, and analyzing the data. You will share this information with stakeholders within the organization.

In your new job as the digital content manager, you will have a leading role. With a lot of freedom, you will have the unique opportunity to extend the company's vision to the European market. You will work together in a close team, with a marketing director who has over 20 years of international experience.

Are you looking for a job with impact, which also ensures your future as a digital marketer? Look no further

What do you bring?
Minimum 3-5 years of working experience in Digital Content Marketing;
Minimum holder of a Bachelor degree;
Experience in Customer Journey Mapping;
Demonstrable experience with creating visual content, launching and managing Social campaigns and distributing E-mail;
Hands-on experience with creating creative content;
Additionally, experience with Google Analytics, Facebook Ads and LinkedIn Ads;
Performance- and data-driven mindset;
What you'll get in return?
Base salary up to 66K based on 40 hours;
An attractive bonus system depending on results achieved;
Good secundaire benefits;
13th month;
Pension plan;
Flexible working hours;
Hybride work;
Regional responsibility;
Joint team outings;
Office in the Rotterdam area;
Does this sound like your new job?

Then apply now via the application button or send your resume to b.asante@finestpeople.nl!

Digital marketing Jobs

More digital marketing jobs? Check out our vacancy-page: https://finestpeople.com/en/digital-marketing-jobs/",https://media.glassdoor.com/sql/1626985/finest-people-squareLogo-1629798399978.png,Sliedrecht,€65K (Employer est.),Finest People
Performance & Support Manager,"Are you a driven, customer-focused and experienced professional with a great passion for building customer loyalty? Then you might be the new Manager Performance & Support we are looking for at Cygnific!
The P&S Manager is a key player in establishing, building and maintaining relationships between Cygnific and our client (Air France KLM). You will be responsible for the operational performance of products, account management of AF/KL, and implementation of (new) products. Additionally, the P&S Manager provides the Customer Service Departments with accurate and efficient systems, that allows ongoing reporting, measurement and timely advice on key performance indicators and operational targets.
As Manager P&S, you will have the following responsibilities:
Strategy development and implementation
You will establish and bring across a clear departmental strategy, in line with the company’s overall mission, vision and purpose. Furthermore, you are responsible for developing a structure that is fit to handle current and new products in a cost-, service- and sales-competitive way.
AF/KL Account Management
You are end-responsible for key account management and maintaining good and productive relationships with key clients and stakeholders. You are knowledgeable/aware of the client’s needs and can translate this to the context of Cygnific. Besides that, the P&S Manager oversees to the realisation of Service Level Agreements to secure a profitable collaboration between clients and Cygnific.
Product Performance & Knowledge management
The P&S manager is end-responsible for product performance and achievement of KPI’s and ensures that KPI’s are well-defined, measurable, and clearly communicated in the organization. Furthermore, the P&S manager designs and maintains a structure that ensures insight and analysis regarding the actual performance in comparison with the expected performance. Discussing operational performance with relevant internal and external stakeholders and overseeing that knowledge management information is up to date, timely available, useable and meeting quality standards is another important task of the P&S manager.
Leadership & Culture
You will be responsible for creating a high-performance team and culture. To do so, you establish an engaging work culture and set the example for leadership behaviour. The P&S Manager practices Cygnific’s core values and makes them lead in how decisions are made, and actions carried out. You foster an open, transparent and collaborative work environment, where employees can voice questions or concerns and are acknowledged for their efforts and accomplishments.
What you need for this position
A Bachelor’s degree is required, a University degree is preferred;
Extensive experience of managing operational customer service teams;
Strong strategic/customer focus with a clear understanding of the wider issues impacting the relevant products;
Proven senior (relationship) management experience;
Established track record of exceeding targets, KPI’s SLA’s, in a fast-paced and quality led environment;
Fluency in English, both spoken and written. Fluency in Dutch is preferred;
You are a team player that can provide direction and inspire others around you. Besides that, you are customer and result-oriented and you have strong judgement and problem resolution skills;
Where you will land

Cygnific is a proud daughter company of KLM. And we have sky-high ambitions: we want to become the most personal customer service team in the world. Our 1,500 high-flyers from 34 different countries contribute to this every day. In 11 different languages they offer 24/7 service with a smile to passengers and travel agencies via email, telephone, live chat, and social media. Not only in Amsterdam and Enschede; their wings are also spreading abroad, we have offices in Wembley, Manila and Curacao.
Our offer
A salary between EUR5000 – EUR6900 gross per month based on 40 hours a week;
A one-year contract with the prospect of permanent employment;
Position for 32 to 40 hours a week;
A challenging, innovative and international work environment;
25 vacation days based on full time employment, pension plan, travel allowance;
A vibrant and multicultural office near Westerpark in Amsterdam;
A well-balanced and flexible hybrid working model;
Start date: 01-04
Interested? Apply using the button below and we will contact you soon. For questions please reach out to recruitment@cygnific.com",https://media.glassdoor.com/sql/228885/cygnific-bv-squarelogo-1395922881695.png,Amsterdam,€5K - €7K (Employer est.),Cygnific
Programma maker,"Functieomschrijving
Ben jij een creatieve denker en verbindende programma maker met vakkennis van beeldende vorming, media en literatuur, muziek, dans en theater die weet in te spelen op trends en ontwikkelingen en heb je affiniteit met persoonlijke ontwikkeling? Lees dan snel door, dan is dit echt iets voor jou!
Wat bieden wij jou

Je gaat tussen de €17,08-€22,81 verdienen!
Delft
vanaf 1 april tot 31 Augustus
TU Delft
24-32 uur!
Programma maker/ Communicatie Medewerker
Wie ben jij
ben je communicatief vaardig, betrouwbaar, daadkrachtig, betrokken, flexibel, zelfstandig maar ook een echte teamplayer en voldoe je aan de volgende eisen:
Jij hebt minimaal HBO werk- en denkniveau;
Jij hebt ruime werkervaring op het gebied van beeldende vorming, media en literatuur;
Jij hebt aantoonbare werkervaring op het gebied van ontwikkeling van (online) programma-aanbod;
Jij hebt affiniteit met het werken met docenten en studenten;
Jij hebt een open houding en bent geïnteresseerd in andere culturen;
Jij hebt een goede beheersing van de Engelse taal, zowel mondeling als schriftelijk.
Wat ga je doen
Als Programme Maker Arts & Crafts vorm je de verbinding tussen, en met, verenigingen, (student)docenten en (student)medewerkers en geef je invulling aan het creëren van een betekenisvolle, informele relatie met de doelgroep. Je doet onderzoek naar ontwikkelingen binnen jouw vakgebied welke je, op basis van je vakkennis en relevante netwerk, weet te vertalen naar input voor programmabeleid, ontwikkeling van programmaconcepten, het aangaan van vruchtbare samenwerkingen en creëren van uiteindelijk aanbod op basis van de vraag van de doelgroep, binnen de beschikbare middelen.

Dit alles ten behoeve van de ontwikkeling van een uitgebalanceerd totaalprogramma van X, zowel op inhoud als de manier waarop het wordt aangeboden, met als specifiek doel de realisatie van de missie van X.

Het vakgebied van de Programme Maker waar wij naar op zoek zijn is beeldende vorming, literatuur en media (forogarfie & film).

Je bent inhoudelijk gesprekspartner van studenten en docenten en draagt zorg voor de ontwikkeling, uitvoering en evaluatie van het programma-aanbod zoals ticketuren, cursussen, trainingen, evenementen en andere initiatieven binnen jouw portefeuille. Je bent budget verantwoordelijk voor jouw portefeuilledeel binnen de begroting waar jouw programmabudget het kader vormt voor een goede afstemming van vraag en aanbod, zowel op kwantiteit als op kwaliteit.
Waar ga je werken
Het cluster Arts & Crafts,valt onder de pijler Products en is verantwoordelijk voor het programma-aanbod op het gebied van visual & performing arts: crafts, dance, art, music, media en theatre. Het team bestaat uit 2 vaste medewerkers, 2 studentmedewerkers en het team werkt nauw samen met circa 40 docenten, 6 verenigingsbesturen en 35 Open Studio assistenten. De werktijden zijn van 09:00-23:00.
Sollicitatie
Kun jij je helemaal vinden in deze vacature? Solliciteer dan snel!
Uiteraard staat deze vacature open voor iedereen die zich hierin herkent.
Sollicitatieprocedure
Je solliciteert via Tempo-Team, leuk! Om je sollicitatie af te ronden, maak je de eerste keer eenvoudig een account aan. Via je 'mijn Tempo-Team' account log je gemakkelijk in en solliciteer je de volgende keer nog eenvoudiger. Daarnaast vind je in je account de voortgang van je sollicitatie(s) en je persoonlijke gegevens. Dé manier dus om de best passende baan te vinden!",https://media.glassdoor.com/sql/39414/tempo-team-squarelogo-1436795608965.png,Delft,€22.81 Per Hour(Employer est.),Tempo-Team
Cell Culture Operator,"Cell Culture Operator
Location:
Boxmeer, Netherlands
Contact:
Anthony Poerwoatmodjo
Job type:
Permanent
Contact phone:
+31 (0)20 406 97 50
Industry:
Pharmaceutical , Life Sciences, Clinical Research
Contact email:
anthony_poerwoatmodjo@oxfordcorp.com
Are you looking for a exciting challenging position where you can really roll up your sleeves and where you can develop quickly in a international work environment? Then this position as an operator in Boxmeer may be the career step you are looking for!

Job description

As an operator bacteriological production in Boxmeer you are responsible for all activities necessary for the production of a high-quality and safe antigen. These antigens are then used to create vaccines that improve the quality of life for animals around the world. As an operator you will work in a fun and supportive team consisting of thirty colleagues. There are several opportunities for self-development. In addition to these training courses, a wide range of other training courses and personal development are possible.

Responsibilities
Versatile package taken from media preparation, growing to downstream production to processing of the GMP documentation.
Working with all new cultivation techniques available within the pharmaceutical industry, from small-scale cultivation to large-scale single-use cultivation techniques up to 1500L.
Ability to address improvement opportunities. Improvements can be realized by yourself in collaboration with your own team and/or other teams within the company
Working in a fast-growing network where you have international contact to keep the available quality and flexibility mixed.
Profile
Education in the field of biotechnology, process technology, biology, process automation or similar. At MBO level.
Affinity with biological processes, pharmaceutical production environment and the motivation to understand these processes.
Awareness of quality and safety during production.
Good communication skills in Dutch and English, both spoken and written.
Experience working in cleanrooms is an advantage
A will to keep learning and developing
Flexibility to run periodic shifts
Benefits
Salary between €2400,- to €3000,- based on experience, excluding surcharge
Employment through Oxford Global Resources, with prospect and intent of acquisition
Full-time
Region Boxmeer
Vacancy number 22440
Apply Now",https://media.glassdoor.com/sql/33499/oxford-global-resources-squareLogo-1625128989032.png,Boxmeer,€2K (Employer est.),Oxford Global Resources
Employer Branding Intern,"Are you looking for an internship in an international Marketing and Communications environment in Amsterdam?

Do you have a passion for communications, and would you like to do your internship at one of the biggest end-to-end customer service companies in the world?

We are looking for a motivated Marketing and Communications student that will focus on Employer Branding


Key responsibilities:

Develop impactful internal- and external communication campaigns;
Create a tactic and hands-on plan for employer branding;
Coordinate with regional offices across the globe and gather imagery, content, videos from the regions for repurposing and assist in creating a national depository;
Coordinate with responsible departments to gather information for project scope completion;
Create a competitor analysis and provide proactive advice;
Set up an inspirational program for the employer branding to establish employer engagement;
Support in external communications (managing the social media channels, preparing interview briefings, find PR opportunities);
…And many more interesting tasks & topics to give you the best possible learning experience!

What we offer

An internship allowance of € 300,- gross per month;
Practical experience with current communications techniques
Opportunity to participate in networking events and company meetings
An exciting internship program with your fellow interns
A flexible way of working (hybrid);
You are/Have

Available for 5 or 6 months (at least 32 hours a week);
Enrolled as a (3rd or 4th year) Bachelor student;
Strong analytical and research skills
Excellent Excel and PowerPoint skills
A student in the field of Communications;
Fluent in English and Dutch; both oral and written.
About us

We're Majorel. We design, deliver and differentiate customer experience on behalf of some of the world's most respected brands.

We are relentless, resourceful, resilient and agile. It's the only way to deliver the total reliability and digital transformation necessary in our constantly changing world.

We serve customers across the world through our 75000+ employees based in 41 countries in Europe, the Middle East, Africa, Americas and Asia in 60+ languages.

We support our customers at any time, through every device and in the manner they expect of their brands. We speak their language wherever they are and whatever their culture.


At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Nederland,nan,Majorel Benelux
.NET Software Engineer – Social Media Firm – Eindhoven,".NET Software Engineer - Fastest Growing Social Media Firm - Eindhoven, Netherlands

(Tech stack: .NET Software Engineer, .NET 7, C#, Web API 2, Entity Framework, Microservices, Azure, Programmer, Full Stack Developer, Architect, Ontwikkelaar, .NET Software Engineer)

Our client is on a quest to transform how people discover, view and share content by combining the beauty and ease of print with the power of social media. Their key management team comprises of former top performers from Google, Apple, MSFT, NetFlix, Yahoo, Facebook and Sony. Having raised over €300 million from well respected investors they have recently opened new offices in the Netherlands and are on the lookout for the very best .NET Software Engineer.

.NET Software Engineer applicants should be experienced in: .NET, .NET Core / ASP.NET MVC, C# and SQL Server. You should have a strong grasp of object orientated (OO) development principles. Our client can provide you with industry recognized training in: .NET 7, Web API 2, Entity Framework, Microservices, Azure, JavaScript, Angular 14, Bootstrap, Agile and SQL Server 2022.

Our client has a flat organization, which means that they believe great ideas can come from anywhere and anyone. From the beginning they've been uncompromising in creating a culture that inspires great work and values the health and balanced lives of their staff.

If you're as excited as they are about building the first social magazine and transforming the social media experience, then apply without delay!

Location: Eindhoven, Netherlands / Remote Working

Salary: €6.000 - €8.000 Per Month + Bonus + Benefits

Noir continues to be the leading Microsoft recruitment agency; we can help you make the right career decisions!

NOIRNETHERLANDSREC
NOIREUROPEREC

NC/BK/MUN7296",https://media.glassdoor.com/sql/795725/noir-squareLogo-1642955654702.png,Eindhoven,€6K - €8K (Employer est.),Noir Consulting
