job_titles,job_description,images,locations,salaries,companies
Digital Marketing Specialist,"Digital Marketing Specialist
Vacature referentie nr.: VN11708
Type vacature: Vast Dienstverband
Salaris: competitive EUR
Locatie: Amsterdam, Noord-Holland, Nederland

Does thinking about strategic content creation and online marketing make your heartbeat accelerate? Are you result-driven and do you believe content is key in increasing our brand awareness and business growth? So do we! SThree is excited to be hiring a Digital Marketing Specialist for our Dutch market.

Your scope and added value

As a Digital Marketing Specialist at SThree you will have exciting times ahead. You will run your own projects and build a solid cross-channel content strategy (B2B & B2C), with a strong focus on two of our bands: Huxley and Madison Black.

Your main responsibilities consist of increasing our brand visibility, awareness, and lead generation (both candidates and clients). You will engage in many activities to reach your goals, such as building a content calendar, creating unique content and campaigns (in any shape or form), create SEO-optimized landing pages and blogs, managing our social media accounts, enhance our websites and launch email marketing ideas. There are so many beautiful stories to tell!

You'll work closely with your regional and global content colleagues, from whom you will learn a lot about all aspects of your field. You will also spend time tracking trends and developments within the markets and target groups for Huxley and Madison Black. Knowledge is key. By reading, researching, talking, and listening you will make sure that you know what's top of mind at our clients and candidates.

Elevate expertise. Energise progress.

SThree is the global STEM-specialist staffing partner. We connect sought-after specialists in science, technology, engineering, and mathematics with dynamic organisations. A place full of energy, powered by its people. This is your place to supercharge your potential with a business that's constantly evolving and expanding. Spark your possibilities, feel the buzz and add your energy. By bringing skilled people together, we elevate expertise and energise progress for everyone. That's how we build the future.

Your team

You will be part of the regional marketing and communications team that supports our business and brands in the Netherlands, Spain, the Middle East, and Asia. The current team consists of 13 experts with different specialisms and scopes in different locations. The Dutch team comes together every Tuesday to work in our beautiful office at the Zuidas, the rest of the week you can work at any of our offices or at home. You'll report directly to our Director of Marketing and work closely with your colleagues in the region and your global peers.


Your talents

Just as SThree, and all her brands, you are driven, energetic and get things done. You are an optimistic and enthusiastic digital professional that is passionate about adding value by unique content and lead generation.
Strong communicator: you excel in Dutch and English (verbally and in writing) and you know how to adapt your communications to the receiver (candidate or client).
Project management: you are organised, always meet your deadlines and have the ability to manage multiple projects and stakeholders at the same time.
Creative: you are innovative in creating the right message and type of content for the right target group, varying from in-dept research and videos to blogs, news articles and interviews.
Analytic mindset: you know your way around Google Analytics and Google Data Studio and know how to translate the data into concrete optimizations and actions.
Education: you have completed a relevant study at HBO- or university level, preferably in (online) marketing, communications, or commercial economics.
Experience: you have 2 to 5 years of experience in digital and/or content marketing.

What do we have to offer?
Opportunities to develop your talents and on-the-job-coaching.
Excellent benefits, such as 25 vacation days, a laptop, mobile phone and a good pension scheme.
Access to digital marketing knowledge across the globe.
Hybrid working: combining working from the office with working from home.
Vibrant work environment with great colleagues.
Amazing social drinks and spectacular events.
Five paid volunteer days.
Is it your birthday? Time to celebrate! You'll get the day off.

Spark new possibilities

Are you interested in our role of Digital Marketing Specialist at SThree and ready to kickstart your career? Supercharge your potential and apply now! Check out our Instagram SThreeNL to see what it is like to work for SThree in The Netherlands.
We will contact you after your application to get acquainted. Do you need more information? Please reach out to our Corporate Recruitment Team through careers-holland @ sthree.com

Add your energy.",https://media.glassdoor.com/sql/37518/sthree-squareLogo-1651564982842.png,Amsterdam,nan,SThree Internal
G-Star Raw Ambassador French/German and English,"What’s the first thing that comes to mind when you hear ""customer service""? Being put on hold for ages while you are forced to listen to James Blunt on repeat? Guess you’ve never met our G-Star Raw Ambassadors! They can’t wait to help G-Star Raw customers with questions about products and their orders. Are you also full of energy, customer friendliness and do you have affinity with fashion? Become a G-Star Raw Ambassador at Cygnific!
As a G-Star Raw Ambassador you will be the first line of contact with the customers and you are responsible for insuring outstanding customer experience in pre-during-after sales. You answer questions through various channels, such as Social Media, telephone, mail and chat! You are aware of the internal processes and guidelines of G-Star RAW and use this information to help customers in the best possible way. We like to go the extra mile for our customers, so being customer-oriented is a must!
As an Ambassador for G-Star RAW you will have the following responsibilities:
Answering questions via social media, e-mail and telephone. Questions you can expect are about missing packages, tracking packages, refunds and quality issues
Handling complaints
Informing customers about procedures, answering questions and providing information regarding G-Star Raw products and services.

Your onboarding
To help you get a flying start, you’ll begin with a training. You must be available full-time during the first week of training. The training will be given in our office in Amsterdam. After the training you can start with working from home a few days a week.
Are you our next G-Star Ambassador?
You preferably have experience with working at a call center or in customer service.
French or German flow smoothly from your mouth and keyboard. Besides this you are fluent in English as well.
You have a passion for fashion, a talent for teamwork and an international mindset.
You are flexible, service-oriented and creative.
You are available to work for 32-40 hours a week.
The start date of the training will be 03-04-2023
Your working hours will vary between 8:00 – 21:00 and the department is opened from Monday until Saturday. Additionally, late shifts are a part of the job, that means that sometimes you work from 17:30 until 02:00. Lastly, it is a requirement that you are flexible in your schedule.
Cygnific: your next destination
Cygnific is a proud daughter company of KLM. And we have sky-high ambitions ourselves as well: we want to become the most personal customer service team in the world. Our 1,500 high-flyers from 36 different countries contribute to this every day. In 18 different languages they offer 24/7 service with a smile to passengers and travel agencies via e-mail, telephone, live chat, social media and WhatsApp. Not only in Amsterdam and Enschede; our wings also spread to England, Albania, India and the Philippines. We provide customer service for KLM, Air France and Delta Airlines, but also brands
A job at Cygnific is more than just an office job. You will be part of an international team of positive, enthusiastic and ambitious people. Cygnificans work hard, but also like to have fun. We really want to help clients and colleagues move forward. But most importantly: we are inclusive and open to each other's opinions and cultures! Curious? Read more on our website.
Our offer (you can’t refuse)
A competitive salary
A 7-month contract with the prospect of a long-term partnership.
An irregularity and commuting allowance.
The possibility to work from home a few days a week.
A holiday allowance, a discount on your health insurance policy, a pension plan and IPB flights after a one-year contract.
Social events such as our annual Christmas party, the famous Cygnific BBQs and ‘Friday Night Drinks XXL’ every three months.
A cozy, lively and international office at Westerpark in Amsterdam
Are you ready for customer service at the highest level? Apply using the button below and we will call you soon!",https://media.glassdoor.com/sql/228885/cygnific-bv-squarelogo-1395922881695.png,Amsterdam,nan,Cygnific
Digital Designer,"Digital Designer | Breda area| high-end| virtual reality | augmented reality | English

About the job
As a Digital Designer you will develop and implement the brand identity guidelines and translate our brand values/guidelines into ‘state of art’. You will come up with new initiatives related to digital content. You create digital design for product introductions, brand presentations etc and create brand content for all target audiences and all channels and various types of media. You make 3D animations, augmented reality, video- web content, UX design, artificial intelligence and a lot more. You will work in close cooperation with the Brand Identity Manager, a Content Creator and a Graphic Designer. You will report to the Marketing Manager.


Your Profile
You are a dedicated and creative team player with a lot of positive energy who loves design, aesthetics and high-end products. You have 3+ years of experience in digital/graphic design and have extraordinary design skills, and a portfolio that shows taste and detail across a wide diversity of work. You strongly understand current industry tools and have the ability to adapt to new technologies. You have functional knowledge about adobe CS – Creative Cloud, Cinema and Figma. You are able to oversee the development process of a project and give quality control on functionality and design. You are fluent in written and spoken English and preferably Dutch and are competent at communicating with both clients and the rest of the team. You are driven by curiosity, humility and a passion for doing great work. You dare to be unexpected, eclectic, rebellious and always on the edge of commercial reality and cultural interest. You give an extra touch of creativity and beauty to the brand that is so exquisitely welcome.

About the Company
The Company is an international Brand in High-end design products. Their office is situated in Breda Area.

What you'll get in return
You will work in a growing international company with high-end products in a passionate team. Besides a competitive salary you will have 28 leave days per year, a non-contributory pension plan, flexible work hours and the possibility to work from home. A good work-life equity with a yearly budget to spend on vitality and well-being related products/services. Of course you will get an interesting employee discount and their products.


What you'll need to do
Are you interested in this role as Digital Designer? We kindly request you to upload your CV. For questions and/or more information you can contact Femke Boogers: 06-46891582
#1045773",https://media.glassdoor.com/sql/10166/hays-squareLogo-1656914533819.png,Breda,nan,HAYS
Employer Branding Intern,"Are you looking for an internship in an international Marketing and Communications environment in Amsterdam?

Do you have a passion for communications, and would you like to do your internship at one of the biggest end-to-end customer service companies in the world?

We are looking for a motivated Marketing and Communications student that will focus on Employer Branding


Key responsibilities:

Develop impactful internal- and external communication campaigns;
Create a tactic and hands-on plan for employer branding;
Coordinate with regional offices across the globe and gather imagery, content, videos from the regions for repurposing and assist in creating a national depository;
Coordinate with responsible departments to gather information for project scope completion;
Create a competitor analysis and provide proactive advice;
Set up an inspirational program for the employer branding to establish employer engagement;
Support in external communications (managing the social media channels, preparing interview briefings, find PR opportunities);
…And many more interesting tasks & topics to give you the best possible learning experience!

What we offer

An internship allowance of € 300,- gross per month;
Practical experience with current communications techniques
Opportunity to participate in networking events and company meetings
An exciting internship program with your fellow interns
A flexible way of working (hybrid);
You are/Have

Available for 5 or 6 months (at least 32 hours a week);
Enrolled as a (3rd or 4th year) Bachelor student;
Strong analytical and research skills
Excellent Excel and PowerPoint skills
A student in the field of Communications;
Fluent in English and Dutch; both oral and written.
About us

We're Majorel. We design, deliver and differentiate customer experience on behalf of some of the world's most respected brands.

We are relentless, resourceful, resilient and agile. It's the only way to deliver the total reliability and digital transformation necessary in our constantly changing world.

We serve customers across the world through our 75000+ employees based in 41 countries in Europe, the Middle East, Africa, Americas and Asia in 60+ languages.

We support our customers at any time, through every device and in the manner they expect of their brands. We speak their language wherever they are and whatever their culture.


At Majorel, diversity is a part of our DNA. We are committed to providing equal employment opportunities and creating an inclusive environment for all candidates and employees. All qualified applicants will receive consideration for employment without regard to sex, race, color, creed, religion, national origin, age, disability status, marital status, pregnancy, sexual orientation, gender identity or expression.",https://media.glassdoor.com/sql/2539446/majorel-squarelogo-1572953552006.png,Nederland,nan,Majorel Benelux
Remote job: customer service medewerker German/English,"Bedrijfsomschrijving
You will put your customer service skills to good use for a subsidiary of KLM. Specifically, you will work on a project of one of their clients. We won’t reveal exactly which customer this is yet, but we are sure that you have heard of this company! What? You can’t wait to find out who we are talking about? Ok, a sneak peek just for you: this company and its products provide moments of joy and bliss for many people worldwide! Apply today to find out what company we are talking about!


Working hours

In this part-time or full-time position, you work from 24 to 40 hours a week, between Monday and Sunday. You must be available between 8.45 am and 21.00 pm and you work in shifts of at least three hours. One day a week you have to work at the office, every other day you're free to work wherever you want!

Keep the following in mind: per month you work at least one shift on Sunday, two shifts on Saturday and seven evening shifts. The rest of your working hours can be scheduled flexibly.
Functieomschrijving
The customers of this company are delighted with your services! Why, you ask? Weil du sowohl auf Deutsch helfen können and in English! In this role, you’ll help both English and Germen speaking customers. Do you want to know what makes this job even better? You provide this service almost completely from your own home. Speak of a win-win situation! Other than that, you’ll be rewarded with a gross salary of €15.- per hour and part-time as well as full-time opportunities. And to top it all off, you will go on a direct contract with this employee. Quickly read on and don’t forget to apply today!

Manpower is looking for multiple German speaking customer service employees for a company in the Amsterdam and Enschede area.

Please note: Manpower is recruiting nationwide for this vacancy. So regardless of whether you live in Amsterdam, Rotterdam, Eindhoven, Utrecht, Enschede or Zwolle, Manpower looks forward to receiving your application!

From customers with a question about the online store to a request to check an order: you provide customers with the best possible service via e-mail, telephone and social media!

What is in it for you?
Gross salary of €15,- per hour
Direct contract with this employee
Working almost completely remotely, with the option to work at the office in Amsterdam or Enschede
Part-time or full-time job from 24 to 40 hours per week
A company laptop
A fully paid in-depth training

Functie-eisen

At least a high school (havo) diploma
Availability of at least 24 hours per week
Good command of the English and German language, due to communicating with customers in both languages
Willing and able to occasional work weekends and evening shifts

Do you like what you just read and do you want to start rather sooner than later? Apply to this vacancy immediately, and Manpower will contact you within two working days.
Sollicitatieprocedure
For more information please contact Regina Ras via regina.ras@manpower.nl or call +31643212610.Contactgegevens
Regina Ras
Diemerhof 16
1112XN Diemen

Telefoon: +31643212610
Email: regina.ras@manpower.nl",https://media.glassdoor.com/sql/582741/manpowergroup-squarelogo.png,Amsterdam,€15.00 Per Hour(Employer est.),Manpower
Digital Content Manager,"The vacancy: Digital Content Manager in Rotterdam Area

Do you?

Want a strategic and executive position in digital marketing with a lot of freedom?
Work in an international environment and the responsibility for 8 EU countries?
Work for an innovative market leader that sells a high-quality and impactful engine and is active in 150 countries!
And work in an informal team where you will make an impact to move towards sustainability?

Sounds interesting? Then read on, this is for you!

Your new employer: One of the most innovative employers changing the future with impactful products

The founder of this company made a name for himself early in his entrepreneurial career by improving and modernizing the first automobiles in the early 20th century.

His knowledge and expertise caught the attention of the White House and was asked by them to share that knowledge. Together with the military, engines and parts were developed for aircraft and tanks for World War I, which were also used in the liberation of the Netherlands in World War II.

Now 100 years on and with a 75% market share, this American tycoon is characterized by constantly striving to develop high-quality power trained technology and transmissions for, transport, agriculture and trucks used in the Dakar Rally.

There is a very pleasant and informal culture within this company. Because the team is mature and not too big, people fit well together, and the lines are short. Nice get-togethers are organized, and hybrid working is also an option.

With sustainability as a big topic, this company continuously works on innovative products in its own test center. With hybrid solutions, electric drives and hydrogen as a clean energy source, the company's future looks bright.

Bear in mind that 75% of all engines in 150 countries are theirs. You can imagine what an impact it would have if all of these products are environment friendly and the role you can play in this process.

Headquartered in America and operating in more than 150 countries, with thousands of employees, the company has several regional headquarters in nine countries. The European headquarters is located in the Netherlands and from here they serve eight countries.

In The Netherlands a total of fifty employees work in various departments such as Engineering, Finance, Sales. The Marketing team consists of six specialists, divided into two teams. Product Marketing and Marketing Communications.

You will join the Marketing Communications team with two specialists: a Marketing & Event Specialist and a Marketing Communications Specialist.

The vacancy: Digital Content Manager to get the message across throughout Europe.

You will tell the story of this company in Europe by using visuals and content. This will be communicated via social media on different channels, i.e. Facebook & LinkedIn. Maybe even other platforms if you can show their target audience is there. Also via e-mail and other platforms.

The main responsible person for content in writing and visuals will be you. You will be the regular liaison with the Global team in America who provides the content. You will assess the content and adapt it to the target audience in different countries. In addition, you will think along in different partnerships with influencers, agencies, etc.

You are free to share with your insights, deploy new tools and contribute to the story of the company to make its mark in Europe. So you have to be able to show that you have done this before. Furthermore, you will be responsible for testing, experimenting, and analyzing the data. You will share this information with stakeholders within the organization.

In your new job as the digital content manager, you will have a leading role. With a lot of freedom, you will have the unique opportunity to extend the company's vision to the European market. You will work together in a close team, with a marketing director who has over 20 years of international experience.

Are you looking for a job with impact, which also ensures your future as a digital marketer? Look no further

What do you bring?
Minimum 3-5 years of working experience in Digital Content Marketing;
Minimum holder of a Bachelor degree;
Experience in Customer Journey Mapping;
Demonstrable experience with creating visual content, launching and managing Social campaigns and distributing E-mail;
Hands-on experience with creating creative content;
Additionally, experience with Google Analytics, Facebook Ads and LinkedIn Ads;
Performance- and data-driven mindset;
What you'll get in return?
Base salary up to 66K based on 40 hours;
An attractive bonus system depending on results achieved;
Good secundaire benefits;
13th month;
Pension plan;
Flexible working hours;
Hybride work;
Regional responsibility;
Joint team outings;
Office in the Rotterdam area;
Does this sound like your new job?

Then apply now via the application button or send your resume to b.asante@finestpeople.nl!

Digital marketing Jobs

More digital marketing jobs? Check out our vacancy-page: https://finestpeople.com/en/digital-marketing-jobs/",https://media.glassdoor.com/sql/1626985/finest-people-squareLogo-1629798399978.png,Sliedrecht,€65K (Employer est.),Finest People
Performance & Support Manager,"Are you a driven, customer-focused and experienced professional with a great passion for building customer loyalty? Then you might be the new Manager Performance & Support we are looking for at Cygnific!
The P&S Manager is a key player in establishing, building and maintaining relationships between Cygnific and our client (Air France KLM). You will be responsible for the operational performance of products, account management of AF/KL, and implementation of (new) products. Additionally, the P&S Manager provides the Customer Service Departments with accurate and efficient systems, that allows ongoing reporting, measurement and timely advice on key performance indicators and operational targets.
As Manager P&S, you will have the following responsibilities:
Strategy development and implementation
You will establish and bring across a clear departmental strategy, in line with the company’s overall mission, vision and purpose. Furthermore, you are responsible for developing a structure that is fit to handle current and new products in a cost-, service- and sales-competitive way.
AF/KL Account Management
You are end-responsible for key account management and maintaining good and productive relationships with key clients and stakeholders. You are knowledgeable/aware of the client’s needs and can translate this to the context of Cygnific. Besides that, the P&S Manager oversees to the realisation of Service Level Agreements to secure a profitable collaboration between clients and Cygnific.
Product Performance & Knowledge management
The P&S manager is end-responsible for product performance and achievement of KPI’s and ensures that KPI’s are well-defined, measurable, and clearly communicated in the organization. Furthermore, the P&S manager designs and maintains a structure that ensures insight and analysis regarding the actual performance in comparison with the expected performance. Discussing operational performance with relevant internal and external stakeholders and overseeing that knowledge management information is up to date, timely available, useable and meeting quality standards is another important task of the P&S manager.
Leadership & Culture
You will be responsible for creating a high-performance team and culture. To do so, you establish an engaging work culture and set the example for leadership behaviour. The P&S Manager practices Cygnific’s core values and makes them lead in how decisions are made, and actions carried out. You foster an open, transparent and collaborative work environment, where employees can voice questions or concerns and are acknowledged for their efforts and accomplishments.
What you need for this position
A Bachelor’s degree is required, a University degree is preferred;
Extensive experience of managing operational customer service teams;
Strong strategic/customer focus with a clear understanding of the wider issues impacting the relevant products;
Proven senior (relationship) management experience;
Established track record of exceeding targets, KPI’s SLA’s, in a fast-paced and quality led environment;
Fluency in English, both spoken and written. Fluency in Dutch is preferred;
You are a team player that can provide direction and inspire others around you. Besides that, you are customer and result-oriented and you have strong judgement and problem resolution skills;
Where you will land

Cygnific is a proud daughter company of KLM. And we have sky-high ambitions: we want to become the most personal customer service team in the world. Our 1,500 high-flyers from 34 different countries contribute to this every day. In 11 different languages they offer 24/7 service with a smile to passengers and travel agencies via email, telephone, live chat, and social media. Not only in Amsterdam and Enschede; their wings are also spreading abroad, we have offices in Wembley, Manila and Curacao.
Our offer
A salary between EUR5000 – EUR6900 gross per month based on 40 hours a week;
A one-year contract with the prospect of permanent employment;
Position for 32 to 40 hours a week;
A challenging, innovative and international work environment;
25 vacation days based on full time employment, pension plan, travel allowance;
A vibrant and multicultural office near Westerpark in Amsterdam;
A well-balanced and flexible hybrid working model;
Start date: 01-04
Interested? Apply using the button below and we will contact you soon. For questions please reach out to recruitment@cygnific.com",https://media.glassdoor.com/sql/228885/cygnific-bv-squarelogo-1395922881695.png,Amsterdam,€5K - €7K (Employer est.),Cygnific
Documentalist (ESA-ESTEC),"Job Introduction

We have an exciting (and challenging) opening for a Documentalist in Noordwijk.
Dynamic, Energetic, Entrepreneurial, Highly Motivated, Resilient … If this describes you then we would love to hear from you :)
Discover the offer below and click on ‘Apply’ if you know that your skillset and talents are a suitable match for this opportunity.
Serco – The employer of choice for a career within the Space Sector.

Serco are a trusted provider of services to National Space Agencies and the European Space Agency (ESA), we have over 40 years’ experience supporting the space sector and providing services for all stages of our customer’s space missions.
Join our community of space specialists across Europe

We are proud to support the European institutional Space landscape: Serco boasts an extensive network of Space professionals located at our offices in Darmstadt, Noordwijk, Frascati, Paris and Madrid, all within close proximity of our two largest space sector customers, European Space Agency/European Space Operations Centre (ESA/ESOC) and European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT).
Supporting Women in Aerospace

Diversity and Inclusion is extremely important to us. Supporting women's opportunities, development and visibility in the space sector is key and that is why we are proud members and supporters of Women in Aerospace Europe, a dynamic and global network supporting women's careers in Aerospace.
Women in Aerospace Europe (WIA-E) – Supporting women in STEM (wia-europe.org)
Main Responsibilities

As Documentalist you will concentrate your activities on the following:
The tasks cover the daily operation, maintenance and change control for records in the Navigation Directorate’s Documentation and Configuration Management System.
This includes the participation in and to support improvements of the processes related to the use of electronic documentation and configuration systems, management tools (e.g. for action tracking) and other relevant IT tools.
The documentation and configuration tasks are rendered by the CADM Office to given programmes, projects and specific organizational entities within the Navigation Directorate. It includes the following regular duties in particular:
Document registration, distribution and archiving, as well as provision of reproduction services of documents and media.
Regular review of the status of documents in the different archive and storage locations and align this information in the Documentation and Configuration Management System database.
Processing configuration-controlled document changes and official papers relevant to the activities of the unit.
Generation and maintenance of documentation and configuration tracking lists.
Support to the management of the User Account List to the Directorate‘s servers and services.
Support to users for entering and retrieving documents from various Documentation and Configuration Management related server systems (internally and externally).
Liaising with industrial partner’s CADM officers and documentalists for exchanging data and resolving documentation and configuration related issues.
Provision of paper copies of electronic documents on request, creation of electronic versions of documents and management of original files.
Support to all documentation and configuration related tasks for technical and non-technical reviews.
Support to the Directorate Document & Records Officer (DDRO) in discharging relevant functions.
The above tasks must be implemented in line with applicable Directorate’s Configuration Management processes and standards in close collaboration with relevant CM authorities.
Successful Candidate

Do you think you are the person we are looking for? See below what experience or knowledge you should bring:
A bachelor’s degree from a recognised Institution of secondary studies or equivalent qualification in Business Administration (or Communications as relevant).
At least 4 years of previous relevant work experience in a similar role.
The candidate should have a broad knowledge to navigate around and understand formal communication and be able to analyse a range of issues within the complex institutional environments of ESA, EU and the relevant industrial landscape.
Experience in documentation management and in the field of communication.
A good sense of organisation.
The work associated to this position can require handling of classified documentation.
The candidate shall confirm to be eligible and willing to apply to a Personal Security Clearance.
The previous possession of a Personal Security Clearance will be considered positively.
Be capable to execute activities with a high degree of autonomy.
Deliver qualitative output under time pressure.
Excellent interpersonal and communication skills as well as tact and discretion are required.
Proficiency in the use of the Agency’s information systems and tools is an asset.
Proficient in the English language, both written and spoken.
Knowledge of another ESA member-state language is an asset.
Candidates must be eligible to work in the EU.

-
Important:
Any offer of employment is contingent upon you providing documents to verify your identity and employment eligibility, as required by law.
Applicants are reminded that they will be requested to produce such documentation during the recruitment process.
Please contact a member of the recruitment team if you require further details of acceptable types of documentation required for verification of identity and work authorization.
Data Protection:
When creating a profile on the Serco Career Centre you agreed to the Data Protection policy, a copy is available upon request.You may submit a written request revoking your consent to this agreement at any time.
About The Company

Why should you join Serco ?
At Serco not only is the nature of the work we do important, everyone has an important role to play.
Meaningful and vital work - You’ll contribute to methodologically intercepting challenges whilst achievements will also be recognised and celebrated.
A world of opportunity - You’ll be wholeheartedly supported with development and career progression
Great people - You’ll become an integral member of a well-defined and supportive team who believe passionately in the value of our work.
What we offer
Chance to contribute to innovation in the public services sector
A company passionate about diversity and inclusion
Permanent employment with comprehensive Serco Benefits package.

About Serco
At Serco, not only is the nature of the work we do important, everyone has an important role to play when managing complex public services.
We are a team of 60,000 people responsible for delivering essential public services around the world, we are innovators, committed to redesigning and improving public services for the benefit of everyone.
By joining Serco you will have unlimited access to our Global Employee Networks – SercoInspire (Gender), SercoEmbrace (Multicultural), SercoUnlimited (Disability) and In@Serco (LGBT & Networks). Serco Employee Networks, led by colleagues who are passionate about diversity, inclusion and belonging.
Apply
Please click on the apply button to be taken to our careers website
Serco is a Disability Confident Employer committed to employing and retaining people with disabilities. Disabled applicants who meet the minimum criteria for the job will be given the opportunity to demonstrate their abilities at an interview.
More at:
https://www.serco.com/eu/sector-expertise/space
https://www.serco.com/eu/careers/careers-in-space

Package Description

What we offer if you join our amazing team:
Competitive Salary
Corporate Benefits Package
Support provided to EU Nationals requiring relocation – Information available upon request
Company events",https://media.glassdoor.com/sql/10228/serco-group-squarelogo-1494955478343.png,Noordwijk,nan,Serco Europe
marketing/content specialist- japan desk,"Do you have an excellent commercial insight into the Japanese market both in the Netherlands and Japan? Do you have knowledge and experience in the area of marketing? Are you a person with an entrepreneurial and creative mindset? If so, please read on and apply today!

Octagon Professionals is a full-service recruitment and HR services firm with 35 years of experience in the European and international markets. Octagon’s Japan Desk provides HR solutions tailored to the unique needs of Japanese companies.

As a marketing/content specialist-Japan Desk, you will be playing the leading role in the company’s marketing activities for the Japanese companies in the Netherlands and Japan. He/she is expected to increase the brand awareness for the Octagon Japan Desk and increase the number of sales leads from Japanese customers.

Responsibilities:
Planning and executing the best marketing strategies to promote Octagon Japan Desk to the target audience in Europe and Japan;Working together with the external marketing company to execute the digital marketing campaign for Japan Desk;Growing and maintaining Japan Desk’s social media channel;Translating and localizing English content for the Japanese audience;Write, proofread, and edit Japanese content;Creating graphics for social media posts and other Japanese marketing materials;Planning events for Japanese companies (e.g., HR webinars and seminars) to generate new sales leads;Collaborating with the internal sales team and external stakeholders to promote the service of the Octagon Japan Desk.

Qualifications:
A minimum of two years of experience in marketing and content creation;Fluency in Japanese and English;Skilled in writing and editing Japanese content with an attention to detail;Familiarity with graphic design tools such as Canva;An eye for layout and sound design;Good knowledge of online platforms such as LinkedIn and WordPress;Commercial insight into the Japanese business community in the Netherlands;Ability to work independently and take the initiative to make things happen;An experience in working in HR or recruitment is a great plus;Other standard business soft skills are required, including strong, analytical and project management skills.

What we offer:

Above market salary;Flexibility in working partly from home;Travel allowance (0,21 euro cent per km travelling by car, NS subscription, Swapfiets option);Company phone and laptop;Opportunities to network with professionals from all around the world;Entrepreneurial environment with room for your input;A chance to make an impact in our fast-growing international team;Regular social team events;24 vacation days per year plus public holidays.

Ready for this new challenge? Apply now and let’s get in touch!

Octagon Professionals International is a full-service recruitment and HR services firm with 35 years of experience in the European and international markets. Our large network of professionals across multiple functional areas, and multi-national teams provide flexible solutions customized to individual client needs.

Privacy Notice: In order to apply for this vacancy you must submit your personal information to Octagon Professionals. Octagon Professionals will collect, use and process your personal information as mentioned in our Privacy Policy. Our policy and processing of your personal information is compliant with the GDPR.",https://media.glassdoor.com/sql/1173572/octagon-professionals-squareLogo-1642775533986.png,The Hague,nan,Octagon Professionals
Online-Marketeer,"You speak fluent German and like to take responsibility? Then apply now as a Online-Marketeer at Holland Sail in Enkhuizen!
What are you going to do:
As an Online-Marketeer you will work in a small, close team and at the same time have a large area of responsibility. You are responsible for the online marketing of Holland Sail and contribute to convince the German-speaking prospective customers of the product. You will be able to act independently and will work together with other marketing partners.
Many of your tasks will include areas such as SEO, contact management or designing newsletters. This area of online marketing will make up the largest part of your work, so prior knowledge of SEO, Google Analytics, etc. Is particularly important here. On the other hand, there is also a small part of ""offline"" work, for example, you will be responsible for writing press releases or sending out print media. All in all, as an Online-Marketeer you will work in many areas of marketing and have the chance to develop yourself further.
Holland Sail offers trips on one of their 30 traditional sailing ships, the oldest dating back to 1876! The office is located in Enkhuizen and - how could it be otherwise - close to a harbor. But you also have the option to work from home.
Are you ready to pursue the next challenge and at the same time be part of a nice team? You're also available 32-39 hours per week? Then become the next Online-Marketeer at Holland Sail in Enkhuizen now!
What we offer:
A small and familiar team with a great atmosphere;
A large area of responsibility with varied tasks;
The opportunity to grow in the company in the long term;
Work from the office or from home;
An attractive salary;
The prospect of a permanent position.
What we ask:
Minimum hbo level or equivalent ability
Availability to work 32 to 39 hours per week;
Experience in online marketing;
Motivated and outgoing personality as well as independent and creative way of working;
You speak fluent German and English.
Extra information
#multilingual
Status
Open
Education Level
MBO, HBO, Universiteit
Location
Alkmaar
Working hours per week
32 - 39
Type of Contract
Fulltime (ervaren), Thuiswerk
Salary indication
Tussen €3.200 en €4.000 Per maand
Responsible for
Online-Marketing
Published at
06-03-2023
Apply
Are you the ideal candidate? Then apply now or send me your resume to r.kreymborg@youngcapital.nl and we'll get back to you as soon as possible!",https://media.glassdoor.com/sql/987761/youngcapital-squarelogo-1537256020436.png,Alkmaar,nan,YoungCapital
