job_titles,job_description,images,locations,salaries,companies
Junior Kandidaat-Notaris Estate Planning,"Heb jij affiniteit met het Estate Planning en lijkt het je leuk om bij een groot advocaten- en notariskantoor aan de slag te gaan? Dan is dit een mooie kans! Dit notariskantoor kent een bijzondere praktijk en een dynamisch team van ruim honderd medewerkers. Er heerst een prettige werksfeer en je krijgt de kans om zelfstandig te werken. Ben je nu al enthousiast? Dan ben jij de Junior Kandidaat-Notaris waar ik naar op zoek ben!
Over de organisatie
Onze opdrachtgever is een groot advocaten- en notariskantoor, gevestigd op een prettige locatie in hartje Den Haag. Dit kantoor staat uitstekend aangeschreven en kent een uitdagende praktijk met veel cliënten binnen het hogere segment. De specialisten ambiëren gezamenlijk het doel om de cliënten van het allerbeste juridische advies te voorzien. Hun expertise behoort tot de absolute top!
Wegens toenemende werkzaamheden is er behoefte aan versterking voor de lange termijn. Je komt in een team van kandidaat-notarissen, notarieel medewerkers en notarieel secretaresses terecht die hecht samenwerken. In de dagelijkse praktijk ga je aan uitdagende dossiers werken voor uiteenlopende cliënten. Er is ruimte om te sparren en te overleggen met collega's; dit wordt juist bevorderd binnen het kantoor. Bovendien is het kantoor uitstekend bereikbaar met het openbaar vervoer.
Wat ga je doen als Junior Kandidaat-Notaris?
Corresponderen met cliënten en andere betrokken partijen;
Het zelfstandig opstellen en controleren van aktes en juridische stukken;
Zakelijk advies geven aan cliënten en besprekingen (op den duur) zelfstandig voeren;
Het registreren en onderhouden zakelijke netwerken;
Ondersteuning van de notarissen op de sectie.
Wat zijn je kwaliteiten?
Een (bijna) afgeronde Master Notarieel recht;
Minimaal een jaar recente werkervaring in het notariaat;
Uitstekende beheersing van de Nederlandse taal uitstekend en de Engelse taal;
Bij voorkeur fulltime beschikbaar (minimaal 4 dagen per week).
Ons aanbod
Een unieke kans om bij een modern notariskantoor in Den Haag aan de slag te gaan. Je krijgt een contract met uitzicht op een vaste aanstelling en een marktconform salaris tussen de € 2.800,- en € 3.200,- bruto per maand op fulltime basis, afhankelijk van jouw ervaring en opleiding. Daarnaast kun je rekenen op uitstekende secundaire arbeidsvoorwaarden zoals vakantiedagen, vakantiegeld, een reiskostenvergoeding en een aantrekkelijke pensioenregeling. Bovendien krijg je de kans om jezelf te ontwikkelen door de opleidingen en cursussen die worden aangeboden.",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,The Hague,€3K - €3K (Employer est.),Extra Talent
Notarieel Paralegal Ondernemingsrecht,"Het notariaat en met name het Ondernemingsrecht zijn geen mysterie meer voor jou. Jij bent al enige jaren werkzaam als Paralegal, of Notarieel Medewerker en beschikt over een hbo-diploma Rechten. Ben jij op zoek naar een leuke baan bij een bruisend, internationaal en toonaangevend notaris- en advocatenkantoor? Lees dan gauw verder.
Over de organisatie
Dit prachtige notaris- en advocatenkantoor is opgericht in Amerika, en heeft locaties over de hele wereld. Het moederbedrijf zit in New York, maar zij hebben ook een vestiging in Amsterdam. Er wordt hard gewerkt maar er is veel ruimte voor gezelligheid. De mensen die er werken houden van hun werk en dat stralen ze uit. Op de locatie in Amsterdam werken op dit moment 90 mensen en wereldwijd werken er bij dit bedrijf meer dan 5.000 mensen. Zij specialiseren zich onder andere in corporate- en arbeidsrecht. Iedereen staat voor elkaar klaar en spreekt waardering naar elkaar uit. Daarnaast is het kantoor goed bereikbaar met het openbaar vervoer.
Wat ga je doen als Paralegal Ondernemingsrecht
Als Paralegal Ondernemingsrecht binnen dit kantoor zal jij zowel inhoudelijk als ondersteunend te werk gaan. Jouw werkzaamheden zullen dan ook bestaan uit:
Het zelfstandig aanmaken van dossiers ten behoeve van het Ondernemingsrecht;
Het opstellen en ontwerpen van juridische stukken en akten;
Legalisaties indienen;
Het ondersteunen van de Kandidaat-notaris bij verschillende werkzaamheden;
Contact onderhouden met cliënten en derden.
Wat zijn je kwaliteiten?
Jij hebt een juridische hbo-opleiding afgerond, óf brengt al enige jaren ervaring als Paralegal binnen het notariaat met je mee;
De Nederlandse en Engelse taal beheers jij uitstekend;
Je hebt ervaring en affiniteit met de sectie Ondernemingsrecht;
Je bent minimaal 32 uur per week beschikbaar.
Ons aanbod
Wij bieden jou:
Een fijn en passend salaris tussen de € 2.600,- en € 3.800,- bruto per maand op fulltime basis (afhankelijk van je kennis en ervaring);
25 vakantiedagen en 8,33% vakantiegeld;
Volledige reiskostenvergoeding;
Een jaarcontract met uitzicht op een vaste aanstelling;
Leuke collega’s en gezellige borrels!",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,Amsterdam,€3K - €4K (Employer est.),Extra Talent
Juridisch Secretaresse / Legal Assistant,"Ben jij een gedreven en enthousiaste persoon die hart heeft voor het advocatuur? Staat klantgerichtheid bij jou voorop en ben jij niet bang om de touwtjes in handen te nemen? Een prettige en collegiale werkomgeving waar jij ook nog de kans krijgt om jezelf verder te ontwikkelen als Juridisch Secretaresse. Zie jij jezelf hierin terug? Dan denk ik dat deze moderne en internationale advocatenkantoor in Amsterdam de perfecte match voor jou is! Lees snel verder over jouw toekomstige baan!

Over de organisatie
Dit moderne en internationale advocatenkantoor heeft vestigingen in meer dan 33 landen wereldwijd. Ze zijn gespecialiseerd in het ondernemingsgerecht, arbeidsrecht, financieel recht, procesrecht, privacy en vastgoed en notarieel recht. Jij komt terecht op het kantoor in Amsterdam, die makkelijk bereikbaar is met het openbaar vervoer! Geen fan van het openbaar vervoer? Dan bestaat er ook nog de mogelijkheid om met de auto te komen! Door het internationale karakter van het kantoor, wordt er een focus gelegd op grote, internationale zaken en wordt er dus veel gewerkt met internationale cliënten. Dit advocatenkantoor staat bekend om haar juridisch advies aan cliënten die op een hoogwaardig niveau wordt gegeven.

Naast dat er gemotiveerd en hard wordt gewerkt binnen het kantoor, bestaat er ook voldoende tijd voor sociale activiteiten tussen collega’s. Zo worden er regelmatig kantoorborrels en bedrijfsuitjes georganiseerd en bestaan er leuke gelegenheden zoals een zomer- en winterfeest.
Wat ga je doen als Juridisch Secretaresse?
Als ervaren Juridisch Secretaresse heb jij een veelzijdige functie, waarbij je met name een ondersteunende rol hebt. Je versterkt het team van advocaten en juridische medewerkers en voert hierbij diverse werkzaamheden uit. Jouw voornaamste taken bestaan uit:
Het beheren van de agenda van de advocaten;
Contact behouden met cliënten en derden en hen verwelkomen binnen het kantoor;
Het aanmaken van dossiers, processtukken en facturen;
Het zelfstandig voorbereiden van juridische documenten;
Het opnemen van de telefoon en bijhouden van ingaande- en uitgaande post;
Overige administratieve werkzaamheden, zoals het inplannen van afspraken, vergaderingen en kantoorborrels.
Wat zijn je kwaliteiten?
Je hebt een afgeronde mbo-opleiding in de juridische of secretariële richting;
Minimaal twee jaren werkervaring als Juridisch Secretaresse;
Je bent klantgericht en communicatief sterk;
Je bent fulltime beschikbaar (minimaal 36 uur in de week);
Je beheerst de Nederlandse en Engelse taal uitstekend in woord en geschrift.
Ons aanbod
Jouw toekomstige werkgever biedt jou een veelzijdige functie met verschillende werkzaamheden. Zo is geen dag hetzelfde! Je ontvangt aantrekkelijke arbeidsvoorwaarden met een marktconform salaris tussen de € 2.300,- en € 3.500,- bruto per maand op basis van een fulltime dienstverband. Dit is natuurlijk afhankelijk van jouw leeftijd, kennis en ervaring. Daarnaast ontvang je 25 vakantiedagen met 8,33% vakantiegeld, een goede pensioenopbouw en een volledige reiskostenvergoeding. Je komt te werken in een fijne en collegiale werkomgeving met gezellige collega’s die niet kunnen wachten om jou te verwelkomen binnen het team!",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,Amsterdam,€2K - €4K (Employer est.),Extra Talent
Notarieel Assistent,"Jouw toekomstige werkgever staat voor hoge kwaliteit, doordacht advies en een soepele dienstverlening. Als Notarieel Assistent binnen de afdeling Ondernemingsrecht neem jij enige werk- en of stage-ervaring met je mee. Mocht je net jouw opleiding Notarieel Recht hebben afgerond zonder ervaring, ben je ook van harte welkom om te solliciteren!
Over de organisatie
Dit is een dynamisch notariskantoor met grenzeloze ambities. Een van hun grootste specialisaties is Ondernemingsrecht. Dit kantoor heeft de charme en persoonlijke karakter van een middelgroot kantoor. Hier wordt je goed begeleid om ook uiteindelijk specialist te worden in jouw vakgebied. Er heerst een prettige werksfeer en is er goede werk- en privébalans. Naast het hard werken, plannen ze leuke tripjes naar het buitenland en wordt elke week afgesloten met een borrel waar je kunt genieten van de prachtige uitzicht van de grachten.
Wat ga je doen als Notarieel Assistent?
Als je de functie als Notarieel Assistent bekleed, is er geen dag hetzelfde. Je hebt een divers takenpakket maar je gaat graag een uitdaging aan! Onderstaand vindt je een voorbeeld van jouw werkzaamheden.
Werken aan diverse dossiers;
Aktes en andere documenten uitwerken;
Wijzigingen doorvoeren in verschillende registers;
Agenda- en mailbeheer;
Contacten onderhouden met cliënten;
Overige werkzaamheden ten behoeve van de sectie.
Wat zijn je kwaliteiten?
Hbo werk- en denkniveau;
Enige werk of stage-ervaring binnen de juridische dienstverlening;
Minimaal vier dagen per week beschikbaar;
Goede beheersing van de Engelse en Nederlandse taal;
Je bent stressbestendig, nauwkeurig en cliëntgericht.
Ons aanbod
Salarisindicatie tussen de € 2.600,- en € 4.000,- bruto op basis van een fulltime dienstverband;
Een jaarcontract;
25 vakantiedagen;
8,33% vakantiegeld;
Reiskostenvergoeding;
Pensioenopbouw naar rato;
Winstuitkering op basis van prestaties.",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,Amsterdam,€3K - €4K (Employer est.),Extra Talent
Senior Legal Services Lawyer Corporates,"Wat je gaat doen:

In je dagelijkse werkzaamheden werk je samen met een hecht team van juristen, die aan dezelfde portefeuille werken als jij. Je werkt tevens samen met toegewijde financials en relatiemanagers.
Met jouw collega's lever je een volledig scala aan zakelijke diensten en werk je samen aan een hoge klanttevredenheid en aan het oplossen van complexe vraagstukken. Je coördineert en houdt ook toezicht op de dagelijkse activiteiten van junior corporate lawyers en je fungeert als expert voor collega's en minder ervaren teamleden. Je rapporteert aan de Manager Legal Services.
Je kunt jouw kennis verder verbreden door te sparren met juridische teamleden die veel kennis van zaken hebben van andere portfolio's dan waar jij je mee bezighoudt.
Je bent verantwoordelijk voor het:Voorbereiden en/of beoordelen van de resoluties, overeenkomsten, volmachten en andere documenten met betrekking tot juridische transacties en coördinatie met externe dienstverleners;Coördineren, beoordelen en voorbereiden van de juridische documentatie voor goedkeuring en vaststelling van jaarrekeningen evenals coördinatie van de assistentie van de accountant;Identificeren van compliance risico's;Dagelijks beheer van entiteiten van cliënten en het afhandelen van bedrijfsjuridische zaken onder toezicht van een manager van Senior Legal Services Lawyer en in overeenstemming met de Nederlandse wet- en regelgeving op het gebied van ondernemingsrecht;Goed bijhouden van cliëntendossiers, door tijdig en nauwkeurig opgestelde, beoordeelde en herziene bedrijfsjuridische documentatie;Zorgen voor tijdige en accurate administratie en coördinatie van deadlines van bedrijfsjuridische zaken in samenwerking met Senior Legal Services Lawyer, of manager;Identificeren van de juridische en fiscale aspecten, vragen en problemen over klantstructuren en voorgestelde transacties & raadplegen van derden voor advies indien nodig;Proactief identificeren van mogelijke (bestuurders)aansprakelijkheid;Proactief en professioneel (mondeling en schriftelijk) communiceren met cliënten, aandeelhouders, adviseurs en andere relevante partijen betreffende juridische zaken;Opbouwen en beheren van professionele zakelijke relaties met cliënten;Coachen van Junior Legal Services Lawyers bij hun dagelijkse werkzaamheden.


Wat we vragen:

Je bent gestructureerd en je hebt oog voor details. Jouw focus ligt op kwaliteit en op klanttevredenheid. Daarnaast beheers je over uitstekende communicatievaardigheden in zowel het Nederlands als in het Engels. Ook heb je gedegen kennis van Microsoft Office(Excel, Word, Powerpoint).
Je herkent jezelf in het onderstaand profiel:Een afgeronde masterstudie Nederlands Recht (nadruk op vennootschapsrecht, notarieel recht of fiscaal recht);Minimaal 4 jaar relevante werkervaring;Je beschikt over gedegen kennis van Boek 2 Burgerlijk Wetboek en basis boekhoudkennis;Ervaring in het bieden van juridische ondersteuning in een zakelijke omgeving;Ervaring in het beheren en adviseren van (internationale) cliënten.


Wat we bieden:

Naast een uitdagende functie in een ambitieuze, dynamische en toekomstgerichte organisatie, biedt deze topspeler in de corporate services markt jou een omgeving met veel ontwikkelmogelijkheden. Je krijgt daarnaast de ruimte om jouw stempel te kunnen drukken op jouw werkzaamheden.
Denk bij de arbeidsvoorwaarden van deze organisatie aan:Jaarsalaris tussen de 55.000 en 75.000 euro inclusief vakantiegeld op basis van 40 uur;Een werklaptop26 vrije dagen per jaar + 1 flexibele feestdag. Je hebt ook de mogelijkheid om (maximaal 5) vakantiedagen te kopen;Premievrije pensioenregeling;Opleidingen en cursussen via het eigen online leerplatform;De mogelijkheid om deels vanuit huis te werken en een vergoeding voor het inrichten van je thuiswerkplek;Hele gezellige DoMiBo’s.
Ben je na het lezen van deze tekst enthousiast geworden over de rol van Senior Legal Services Lawyer Corporates? Neem dan contact op met Annemiek Huson via onze website of via annemiek.huson@dpa.nl dan wel via 0657051827.
Indien er concreet interesse is dan ontvangen we graag jouw motivatiebrief, met in de bijlage jouw CV, in één document. Vervolgens nemen wij contact met je op en informeren we je over het verdere vervolg.


Je werkomgeving:

Onze opdrachtgever is wereldwijd één van de topspelers in de corporate services markt.
Zij ondersteunt haar cliënten in zes sectoren: Private Equity, Real Estate, Capital Markets, Corporate, Company Formation en Private Wealth.
Deze topspeler heeft de onderstaande drie servicelijnen:
Governance, Risk and ComplianceAdvisory and Transaction SupportFinance, Accounting and Administration",https://media.glassdoor.com/sql/40902/dpa-professionals-squarelogo-1557303452678.png,The Hague,€4K - €6K (Employer est.),DPA Professionals
Notarieel Secretaresse,"Dit notariskantoor is op zoek naar een gemotiveerde en ervaren notarieel secretaresse die hun team komt versterken. Als notarieel secretaresse ben je verantwoordelijk voor de administratieve ondersteuning van de notarissen en het bieden van een uitstekende service aan de cliënten.
Over de organisatie
Het kantoorn is een notariskantoor dat gevestigd is in het centrum van Den Haag. Het kantoor bestaat uit een team van ervaren professionals die zich toeleggen op alle aspecten van het notariële recht, zoals onroerend goed, familierecht, erfrecht, ondernemingsrecht en vermogensplanning.

zij werken nauw samen met hun cliënten om op maat gemaakte oplossingen te bieden die aansluiten bij hun individuele behoeften en doelstellingen. Of het nu gaat om de aankoop van een woning, het opstellen van een testament, de oprichting van een bedrijf of het beheren van een nalatenschap, bij dit notariskantoor kunnen cliënten rekenen op deskundig advies en hoogwaardige dienstverlening.

Het hecht veel waarde aan professionaliteit, integriteit en persoonlijke betrokkenheid bij hun cliënten. Bij dit kantoor werken zij met een open en transparante communicatie en streven zij ernaar om op een prettige en efficiënte manier samen te werken met hun cliënten en elkaar.

Functieomschrijving:
Het voorbereiden en afhandelen van notariële akten en documenten;
Het onderhouden van contact met cliënten, advocaten en andere betrokken partijen;
Het beheren van de agenda's van onze notarissen en het plannen van afspraken;
Het archiveren van documenten en het bijhouden van dossiers;
Het uitvoeren van overige administratieve taken.
Functie-eisen:
MBO/HBO werk- en denkniveau.
Minimaal 2 jaar werkervaring als notarieel secretaresse.
Kennis van MS Office en notariële software.
Uitstekende communicatieve vaardigheden en een klantgerichte instelling.
Accuraat, flexibel en stressbestendig.
Goede beheersing van de Nederlandse en Engelse taal.


Wij bieden:
Een uitdagende functie binnen een professionele en collegiale werkomgeving.
Een marktconform salaris tussen de €2.300,- en €3.300,- ;
25 vakantiedagen;
8,33% vakantiegeld;
Volledige reiskostenvergoeding;
Ruimte voor persoonlijke ontwikkeling en groei.

Ben jij de notarieel secretaresse die wij zoeken? Stuur dan je CV en motivatiebrief naar ons op en wie weet nodigen wij jou uit voor een gesprek.",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,The Hague,€2K - €3K (Employer est.),Extra Talent
Notarieel Medewerker,"Wat is voor jou belangrijk aan een nieuwe werkgever?
Open communicatie cultuur?
Een goede werk en privé balans?
Werken met collega’s van je eigen expertise?

Als het antwoord ja is, nodig ik je graag uit om verder te lezen!
Over de organisatie
Dit is een dynamisch notariskantoor met grenzeloze ambities. Een van hun grootste specialisaties is Ondernemingsrecht. Dit kantoor heeft de charme en persoonlijke karakter van een middelgroot kantoor en staat begeleiding en aandacht hoog aan het vandaal. Hier bieden ze jou een prettige werkomgeving waar er een goede werk en privé balans heerst. Naast het hard werken, plannen ze leuke tripjes naar het buitenland en wordt elke week afgesloten met een borrel waar je kunt genieten van de prachtige uitzicht van de grachten.
Je job in het kort
Hetgeen wat jij gaat doen als Notarieel Medewerker vergt veel verantwoordelijkheid. Allereerst ben jij er om de notaris en andere medewerkers te ondersteunen met verschillende werkzaamheden. Daarnaast ga jij:
Meewerken aan allerlei dossiers waaronder herstructureringen, M&A-transacties, oprichtingen, statutenwijzigingen, splitsingen, certificeringstructuren en personenvennootschappen.
Binnenkomende aktes opstellen en voorbereiden;
Diverse registers aanpassen en wijzigingen doorgeven aan de KvK;
Ervoor zorgen dat het contact met de cliënten en andere partijen onderhouden wordt;
Overige werkzaamheden ten behoeve van de sectie.
Jouw profiel
Hbo-Rechten of Notarieel Recht afgestudeerd;
Minimaal een jaar ervaring als Notarieel Medewerker;
Fulltime beschikbaar (vier dagen is bespreekbaar);
Proactief, meedenkend en sociale skills is hier erg belangrijk;
Uitstekende beheersing in de Nederlandse en Engelse taal.
Hier krijg je wat je verdiend
Een mooie kans voor als Notarieel Medewerker. Je krijgt een contract met uitzicht op een vaste aanstelling bij goed functioneren. Uiteraard voor wat, hoort wat. Je ontvangt een bruto maansalaris tussen de € 2.600,- en € 4.200,- afhankelijk van jouw ervaring. Naast een mooie salaris, heb je 25 vakantiedagen, 8,33% vakantiegeld, verzorgen wij voor jou pensioenregeling en heb je reiskostenvergoeding. Sta je ook nog eens open op een cursus of opleiding te volgen? Dit wordt voor je geregeld door jouw nieuwe werkgever!
Enthousiast?
Druk dan op de sollicitatiebutton!",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,Amsterdam,€3K - €4K (Employer est.),Extra Talent
Medior Legal Services Lawyer Depositary,"Wat je gaat doen:

Als Medior Legal Services Lawyer Depositary bedien je uit de top Private Equity fondsen uit Nederland en in de hele wereld, indien zij een Nederlands Fonds beheren en voldoen aan de AIFMD-drempels. Het Depositary team heeft drie belangrijke taken die voortvloeien uit de AIFMD: (1) Kasstroom monitoren van alle bankrekeningen voor het Fonds, (2) Bewaarplichten: verificatie van eigendom / bijhouden van de activa van het Fonds en (3) Toezichthoudende taken.
Je werkt in een team van 6 tot 8 collega's met juridische en financiële achtergronden. Zij zijn zeer toegewijde professionals.
Je bent verantwoordelijk voor het:Beoordelen en doen overeenstemmen van kasstromen met betrekking tot investeringen, kapitaalsoproepen/ kapitaaluitkeringen, managementvergoedingen en andere fondsuitgaven;Beoordelen van kwartaalrapporten en het doen overeenstemmen van toegepaste waarderingsmethodologieën, waterfalls en andere belangrijke metrics;Bijhouden van een up-to-date activaregister om het eigendom van de fondsen te verifiëren;Identificeren van investeringen en desinvesteringen en beoordelen van alle documentatie gerelateerd aan een deal, zoals aandelenaankoopovereenkomsten, akten van overdracht/ uitgifte van aandelen, leningsovereenkomsten, notary letters en aandelenregisters;Hebben van inzicht in het concept van waardering, het subscription/redemption proces, uitkeringen, tijdige afwikkeling van transacties en naleving van beleggingslimieten;Samenwerken met teamleden voor elke klant - je bewaakt de voortgang en helpt waar mogelijk bij het monitoren van de kasstroom en voltooit samen de kwartaal- en jaarlijkse beoordelingen;Corresponderen met cliënten, fondsbeheerders en indien nodig met de toezichthouder (AFM). Daarnaast onderhoud je goede relaties met alle betrokken partijen;Helpen bij het onboarden van nieuwe prospects;Hebben van interactie met andere teams en de juridische, compliance en financiële afdeling;Toezicht houden op collega's met minder ervaring; dagelijkse training op de werkplek bieden aan collega's met minder ervaring.


Wat we vragen:

Je beheerst over uitstekende communicatievaardigheden in de Engelse (en bij voorkeur ook de Nederlandse) taal.
Je herkent jezelf in onderstaand profiel:Een afgeronde bachelor- of masterstudie Nederlands recht (met nadruk op vennootschapsrecht, notarieel recht of fiscaal recht)4+ jaar ervaring in de financiële of audit sector;Werkervaring met Alternatieve Beleggingsfondsen (Private Equity) en/of M&A is een pré,affiniteit is een must;


Wat we bieden:

Naast een uitdagende functie in een ambitieuze, dynamische en toekomstgerichte organisatie, biedt deze topspeler in de corporate services markt jou een omgeving met veel ontwikkelmogelijkheden. Je krijgt daarnaast de ruimte om jouw stempel te kunnen drukken op jouw werkzaamheden.
Denk bij de arbeidsvoorwaarden van deze organisatie aan:Jaarsalaris tussen de 45.000 en 55.000 euro inclusief 8% vakantiegeld op basis van 40 uur;Een werklaptop + een mobiele telefoon;26 vrije dagen per jaar + 1 flexibele feestdag. Je hebt ook de mogelijkheid om (maximaal 5) vakantiedagen te kopen;Premievrije pensioenregeling;Opleidingen en cursussen via het eigen online leerplatform;De mogelijkheid om deels vanuit huis te werken en een vergoeding voor het inrichten van je thuiswerkplek;Hele gezellige DoMiBo’s.
Ben je na het lezen van deze tekst enthousiast geworden over de rol van Medior Legal Services Lawyer Depositary? Neem dan contact op met Annemiek Huson via onze website of via annemiek.huson@dpa.nl dan wel via 0657051827.
Indien er concreet interesse is dan ontvangen we graag jouw motivatiebrief, met in de bijlage jouw CV, in één document. Vervolgens nemen wij contact met je op en informeren we je over het verdere vervolg.


Je werkomgeving:

Onze opdrachtgever is wereldwijd één van de topspelers in de corporate services markt.
Zij ondersteunt haar cliënten in zes sectoren: Private Equity, Real Estate, Capital Markets, Corporate, Company Formation en Private Wealth.
Deze topspeler heeft de onderstaande drie servicelijnen:Governance, Risk and ComplianceAdvisory and Transaction SupportFinance, Accounting and Administration
Depositary als service is een relatief jong product van onze opdrachtgever, dat voortkomt uit de Alternative Investment Fund Managers Directive (AIFMD, 2011). Deze Europese wetgeving heeft tot doel investeerders verder te beschermen na de financiële crisis van 2008.
Het Depositary team is de beste plek voor je als je alles wil weten over de discrete wereld van alternatieve beleggingsfondsen; hoe ze werken en superieure rendementen genereren voor hun investeerders. In deze positie richt je je op het bieden van de beste juridische ondersteuning aan jouw cliënten. Daarnaast focus je je op het leren, groeien en ondersteunen bij belasting- en boekhoudvragen.",https://media.glassdoor.com/sql/40902/dpa-professionals-squarelogo-1557303452678.png,The Hague,€4K - €4K (Employer est.),DPA Professionals
Jurist Grondzaken,"Over de functie
Voor een gemeente in Noord-Holland ben ik op zoek naar een jurist grondzaken, die in een hechte projectgroep kennis en ervaring wil delen.
Als jurist grondzaken bevind jij jezelf in een hechte projectgroep, waarin jouw juridisch kennis en ervaring bijdragen levert aan de realisatie van verschillende juridische grondzaken. Niet alleen ben jij een sparringpartner voor je collega’s, maar ook geef jij gevraagd of ongevraagd juridisch advies aan je collega’s. Als jurist grondzaken denk en kijk jij in kansen en mogelijkheden voor de inwoners en ondernemers binnen de gemeente.
Wat ook in je takenpakket valt is het opstellen van verschillende overeenkomsten. Je houdt je onder andere bezig met samenwerkingsovereenkomsten, intentie- en anterieure overeenkomsten, gronduitgifte- en grondaankoopovereenkomsten en planschade afwentelingsovereenkomsten.
Verdere werkzaamheden:
Deelname projectteams (gebiedsontwikkeling)
Adviseren bij vastgoedvraagstukken
Vestigen zakelijke rechten (opstalrecht)
Begeleiding notariële transacties
Begeleiding bij vestiging voorkeursrecht.
Herken jij jezelf in bovengenoemde profiel? Lijkt het je leuk om voor Maandag® te werken, wil je flexibiliteit maar ook vastigheid ? Laten we dan in contact komen, dan gaan we samen kijken naar de mogelijkheden binnen Maandag®
Functie eisen
Wat vragen wij:
Afgeronde hbo- of wo-opleiding, bij voorkeur in juridische/privaatrechtelijke richting
Je hebt meerdere jaren werkervaring als jurist grondzaken bij een overheidsorganisatie
Je hebt een uitstekend gevoel voor politiek bestuurlijke verhoudingen
Wat krijg je daarvoor terug?
Een salaris tussen €2500 en €4000 o.b.v. 36 uur
Eindejaarsuitkering, Vakantiegeld van 8,33% en reiskostenvergoeding van €0,21 per kilometer
Vanuit Maandag® hebben wij een groot netwerk aan o.a. gemeenten, provincies en waterschappen van wie wij regelmatig uitdagende opdrachten krijgen. De focus en uitdaging in deze opdrachten verschillen vaak en samen gaan we kijken welke projecten interessant zijn voor jou
Cursussen en trainingen op onze Academy, om je nog meer te specialiseren binnen je vak gebied
Over het bedrijf
Bij Maandag® werken we elke dag hard om mensen met werk te verbinden waar ze zin in hebben en zin in houden. Dat is werk dat past bij hun capaciteiten, ambities en voorkeuren. Werk waarin ze hun talent kunnen benutten en ontwikkelen, dat voldoende uitdaging en afwisseling biedt. En in een omgeving die voldoende inclusief, divers en sociaal is. Want alleen dan brengen mensen elke dag weer frisse energie mee naar de werkvloer. Hebben ze zin om dingen aan te pakken. En krijgen ze dingen gedaan. Want: wie houdt van zijn of haar werk heeft altijd zin in maandag.
Solliciteer
Herken jij jezelf in dit profiel? En lijkt werken bij Maandag® je een mooie stap? Solliciteer dan meteen. Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons.",https://media.glassdoor.com/sql/987395/maandag-squareLogo-1667825379000.png,Alkmaar,€3K - €4K (Employer est.),Maandag
Notarieel Jurist Personen- en Familierecht,"Nalatenschappen afwikkelen is wat jij het allerleukste vindt om te doen. Zelfstandig besprekingen houden en je helemaal vrij voelen in je werk is wat jouw energie geeft. Mooi, want dan ben jij de persoon die ik zoek. Voor een Notariskantoor in hartje Arnhem ben ik op zoek naar een Notarieel Jurist Personen- en Familierecht. Let op! Doorlezen neemt risico met zich mee!
Over de organisatie
Jouw nieuwe werkgever is een klein, maar fijn notariskantoor in Arnhem. Cliënten kennen hier geen drempelvrees en komen hier dan ook steeds weer terug op belangrijke momenten in hun leven. ‘’Kwaliteit boven kwantiteit’’ is het motto dat hier luidt. Iedere zaak wordt dan ook uitgebreid en met volle aandacht behandeld. Het betreft een interessante praktijk op het gebied van Personen- en Familierecht, Vastgoed en Ondernemingsrecht. Je komt in een betrokken team terecht, dat elkaar graag vooruithelpt. Tijdens het harde werken, wordt net zo hard gelachen. Daarnaast worden er regelmatig gezellige activiteiten met het hele team georganiseerd.

Wegens uitbreiding van het kantoor is er behoefte aan een zelfstandige Notarieel Jurist Personen- en Familierecht.
Wat ga je doen als Notarieel Jurist Personen- en Familierecht?
Als Jurist krijg je veel zelfstandigheid. Je krijgt de mogelijkheid om aan de meest interessante zaken te werken. Het is hierbij belangrijk dat jij je graag in (complexe) vraagstukken vastbijt. Jouw verantwoordelijkheden zullen voornamelijk bestaan uit:
Het werken aan juridische casussen;
Juridische stukken en akten opstellen op het gebied van nalatenschappen;
Corresponderen met cliënten en derden;
Besprekingen houden;
Fungeren als kritische sparringpartner voor collega’s en meedenken over het verbeteren van de werkprocessen.
Wat zijn je kwaliteiten?
Jij beschikt over een afgeronde WO-opleiding Notarieel Recht;
De Nederlandse taal beheers je uitstekend in woord en geschrift;
Bij voorkeur ben je vier dagen per week beschikbaar, meer of minder is bespreekbaar;
Minimaal drie jaar werk ervaring als Notarieel Jurist Personen- en Familierecht.
Ons aanbod
Naast een afwisselende baan binnen een interessante praktijk, krijg je een mooi bruto maandsalaris tussen de € 3.800,- en € 4.300,- op basis van een fulltime dienstverband. Daarnaast ontvang je nette secundaire arbeidsvoorwaarden. Je krijgt 25 vakantiedagen op basis van fulltime, 8,33% vakantiegeld, reiskostenvergoeding en een aantrekkelijke pensioenregeling. Het kantoor beschikt over eigen parkeerplaatsen, dus het is geen probleem om met de auto te komen. Het kantoor is hiernaast ook uitstekend met het openbaar vervoer bereikbaar. Je kunt erop rekenen dat verschillende opleidingen en cursussen worden aangeboden, jouw ontwikkeling staat hier namelijk hoog op de agenda.",https://media.glassdoor.com/sql/1000383/extra-talent-squarelogo-1493983000684.png,Arnhem,€4K - €4K (Employer est.),Extra Talent
