job_titles,job_description,images,locations,salaries,companies
Lab Analyst,"Company Description
SGS Nederland B.V. has grouped its services into 5 business lines, of which Natural Resources (Minerals), is concerned with: quantity and quality control of ores, concentrates, coal, coke, ferrous alloys, metals, fertilizers, and industrial minerals.

Job Description
SGS Spijkenisse has recently expanded its location with a brand-new state-of-the-art Minerals laboratory. As a result, we are looking to strengthen our team to maximize this new capacity. Our minerals laboratory consists of 6 different departments, namely:
Preparation, XRF and Fire Assay (Path 1)Copper, Spectrometry and Titration (Path 2)
To realize your potential, we offer you a clear, 3 year training pathway. This path that will allow you to develop within the three related departments in a way that best suits your personal character and competencies.
Each path looks at the individual in order to create an appropriate step-by-step plan. No matter which path your are on, we offer the right internal and external guidance and training to allow you to develop optimally.

Qualifications
You have at least an MBO/Associates or equivalent entree level chemical educationLaboratory training/experience is a plus but not mandatory. We offer you comprehensive internal and/or external trainingWorking proficiency in English.
Please note: In this role, you may be required to work in 2 shifts, depending on which path you follow.
Additional Information
Development and freedom to explore within your role is a core value of SGS. Through the development pathways and in-house growth opportunities, there is always something new to learn. We place great importance on our working environments and value the attitude of individual ownership of processes and work spaces.
We offer you an interesting full-time job in a dynamic work environment, within a listed company.
32 vacation daysCompetitive salary with an additional holiday allowance (8% of annual income)Participation in the sport and bicycle planBenefit from a shared pensionPossibility of following training and courses offered by SGS Learning & Development.
Need to know more? Please reachout to John Meijdam via 06 51 81 07 00 or john.meijdam@sgs.com",https://media.glassdoor.com/sql/10600/sgs-squarelogo-1617761618672.png,Spijkenisse,nan,SGS
Chemisch Analist - Chemie,"Bedrijfsomschrijving
SGS Environmental Analytics B.V. maakt deel uit van de businessline Industries & Environment. Op ons laboratorium in Hoogvliet voeren wij een groot aantal testen uit op bodem-, water-, en luchtmonsters. Denk hierbij bijvoorbeeld aan PFAS testen. Wij zetten ons continu in om nieuwe markten en uitdagingen te ontdekken. Deze ontwikkelingen zullen begeleid moeten worden en daarbij hebben wij jouw hulp nodig! Ben jij de Analist die een bijdrage wilt leveren aan de analyses van onze Chemische afdeling en vind je het leuk om een teamprestatie te leveren op het gebied van productie en continue verbetering? Lees dan verder en ontdek of dit de baan voor jou is.

Vacatureomschrijving

Je wordt ingewerkt op verschillende Analyses waardoor je flexibel inzetbaar wordt op de afdeling Chemie.
Je gaat te werk met diverse natchemische bepalingen.
Je bent zowel verantwooordelijk voor de voorbereidende werkzaamheden als de analyses.
Je hebt een verantwoordelijke functie waarin jij beslist of het resultaat aan alle kwaliteitscontroles voldoet en gerapporteerd mag worden.
Je controleert de instrumenten en wanneer aan alle eisen is voldaan rapporteer je deze in ons Laboratory Information Management System (LIMS).
Je werkt volgens een LEAN werkwijze waarbij efficiëntie en kwaliteit belangrijk zijn.

Functie-eisen

Je beschikt over een MBO-3 diploma in de richting van Allround Laborant of Chemisch Fysisch Analist.
Je bent gedreven om je werkzaamheden goed en secuur uit te voeren.
Je vindt het leuk om na te denken over verbeteringen.
Je bent graag onderdeel van een team en vindt het belangrijk om, samen met je collega's, het werk onder strenge kwalteitseisen en binnen de gestelde tijd uit te voeren.
Je schakelt op tijd hulp in wanneer je merkt dat je deadline in gevaar komt.
Je hebt een proactieve houding en bespreekt problemen of verbeterpunten met je leidinggevende en/of collega's.
Aanvullende informatie
Dit bieden wij:
Een uitdagende en flexibele baan in ons laboratorium te Rotterdam/Hoogvliet.
De kans om middels je werk bij te dragen aan een schonere leefomgeving.
Een marktconform salaris
De mogelijkheid tot persoonlijke groei en ontwikkeling.
Minimaal 32,5 vakantiedagen bij een fulltime dienstverband en recht op 8% vakantietoeslag.
Je ontvangt reiskostenvergoeding afhankelijk van de woon-werk afstand.
Een pensioensregeling op basis van beschikbaar premie.
De mogelijkheid om gebruik te maken van collectiviteitskorting m.b.t. verzekeringen.
Enthousiast geworden? Stuur jouw cv en motivatie naar chantal.devries@sgs.com",https://media.glassdoor.com/sql/10600/sgs-squarelogo-1617761618672.png,Rotterdam,nan,SGS
Sustainability Expert Consultant - Hydrogen,"Who You'll Work With
You will be based in one of our European offices as part of our Hydrogen team.
You will work with an international group of McKinsey partners and consultants to solve the most challenging questions on hydrogen.
McKinsey has the goal of helping all industry sectors transform to get to net zero by 2050 and to cut carbon emissions by half by 2030 – with this in mind, we have launched McKinsey Sustainability, our new client-service platform. To achieve net zero, the world needs technological innovation, deployment, and scale-up at unprecedented speed. We developed the McKinsey Platform for Climate Technologies (MPCT) to help clients plan, execute, and scale the implementation of these critical technologies. MPCT works with the world’s leading experts to anticipate the impact of new technologies and challenge conventional approaches to established ones. We focus on the most critical technologies: those with the potential to transform our sources of energy for every industry, region, and community.
What You'll Do
As a Sustainability Expert Consultant, you will join our Hydrogen team as part of McKinsey’s Sustainability Practice. You will work in or lead a team (depending on experience) of 3-5 consultants to identify and implement potential solutions for a specific client problem or challenge. Together, you will help clients develop lasting improvements to their performance and realize their most important goals.
You will have the opportunity to work across the whole hydrogen value chain (upstream production, green derivative or fuel conversion).
Depending on your experience, you might have the opportunity to lead the day-to-day execution of a client project while guiding and developing individual team members. In some cases, you will be asked to travel to your client site.
When you join McKinsey, you are joining a firm that will invest in your professional development. As an expert consultant, you will receive training and coaching on how to better:
Structure ambiguous problems and take action to solve them
Synthesize complex information into clear takeaways and recommendations using both qualitative and quantitative methods
Work effectively with diverse teams to come up with the best solution and move people and organizations to act
Establish trust-based relationships with clients to better serve their organizations
Communicate effectively with all audiences, including senior leaders, in a structured manner
Develop your leadership style, leveraging your own passions, strengths, and personal values
Lastly, you will play a key role in helping us to grow both our Sustainability Practice and our reputation as leaders in the market, so we can continue to fulfill our mission to help all industries get to net zero by 2050 and cut carbon emissions in half by 2030.
#LI-MP
Qualifications
Excellent academic record and master's degree or equivalent ideally in engineering, chemistry or environmental science
6+ years of professional experience in hydrogen, energy systems, renewables or decarbonization with ideally exposure to business consulting
Ambition to work in a fast-paced, result-oriented, multi-cultural, multi-disciplinary environment with steep learning curve
Strong people skills; ability to work collaboratively in a team environment and with people at all levels in an organization
Excellent problem-solving skills with comfort working with numbers/quantitative models and ability to interpret and communicate results to team members and clients.",https://media.glassdoor.com/sql/1508182/quantumblack-squarelogo-1532292925406.png,Amsterdam,nan,McKinsey & Company
Laboratorium QC Analist,"Help mee in het opzetten van het laboratorium op locatie|Groeiende organisatie binnen een farmaceutische keten
Over onze klant
Een groeiende maar kleinschalige farmaceutische organisatie met een zeer gezonde bedrijfsvoering en eigen grondstof productiefaciliteiten. Van grondstof tot gespecialiseerde medicatie voor de patiënt.

Functieomschrijving
Bedenken en afronden van grondstoffen analyses in het laboratorium (o.a. identiteitsbepalingen) die gebruikt worden voor individuele en voorraad bereidingen.
Analysemethodes opzetten, voor zowel intern als met externe laboratoria, om de huidige en nieuwe producten en grondstoffen op juiste wijze te kunnen analyseren
Het initiëren van verbeteringen in het QC proces, samen met QC, QA en Inkoop.
Opstellen en schrijven van werk procedures om het laboratorium te starten
Uitbreiding dagelijkse analyses van productgamma
Voorbereiden en klaarmaken van monsters voor analyse
Registratie en documentatie van gegevens van o.a. monsters, zoals afkomst, datum om te zorgen voor een afronding van de analyse.
Accurate uitvoering van testen, analyseren en rapporteren van de resultaten aan het operationele team van bereidingen (o.a. logistiek, QA).
voorraadbeheer in het laboratorium
Beheren van de apparatuur, zowel instellen, afstellen alsmede het onderhoud en benodigde investeringen (samen met de Technical Support Officer)

Profiel
Analytisch
Nauwkeurig
Onderzoekend
Proactief
Zelfstandig, maar ook een teamplayer
Gestructureerd
Affiniteit met Bereidingen (kennis van GMP)
Minimaal 3-5 jaar laboratorium ervaring
Diploma Laborant of equivalent

Aanbod
Salaris conform Cao Apotheken (36 uur)
Bonusregeling
25 vakantiedagen
Reiskostenvergoeding
vitaliteitsprogramma (sportcity)",https://media.glassdoor.com/sql/583359/page-group-squarelogo-1392152631880.png,Breda,nan,Michael Page
Lab Technician (Immunology/Virology),"Delft
Heb je ervaring in een lab omgeving, werken onder GLP-richtlijnen en ervaring met Art. 6 / Art. 12? Wil je onderdeel zijn van een essentieel proces in o.a. ontwikkeling van vaccinaties? Dan ga ik graag het gesprek met je aan!

| JOUW UITDAGINGEN

Als lab technician ben je verantwoordelijk voor het onderzoeken en het uitvoeren van experimenten op lab schaal of pilot schaal. Je hebt een ‘hands-on’ mentaliteit en draagt graag bij aan de onderzoeken en de resultaten van het team. Je bent bekend met werken op een lab en hebt bij voorkeur ervaring met downstream processing.

| WAT VERWACHTEN WE VAN JOU
HBO/Bsc in biochemie, life sciences of chemie met 2 jaar werkervaring in de farmaceutische industrie en/of biotechnologie
Ervaring met immunologie en virologie is een vereiste
Ervaring met Art.6 en Art. 12 is een vereiste
Ervaring op het lab en de ambitie om op het lab te blijven werken
Zorgvuldig en volledig in je werk
Je kan zelfstandig werken
| WAT HEEFT ONZE BUSINESS CEL TE BIEDEN?

Bij TMC Science en Technologie kunnen wij jou toegang geven tot een groot netwerk van chemici maar wordt ook de samenwerking opgezocht met andere deciplines. Naast dat we een groot intern netwerk hebben, wordt er ook samen gewerkt met grote spelers in de technische industrie. Bij TMC Science en Technologie zetten wij kwalitiet over kwantiteit en samenwerking boven zelfstandigheid.
| WAT MAG JE VAN TMC VERWACHTEN

TMC is een uniek gezelschap van technische professionals die ondernemingsgezind, vakbekwaam en bijna zelfstandig te werk gaan. Ons model voor Employeneurship is ongeëvenaard en biedt deskundigen met allerlei achtergronden zowel de voordelen van een dienstverband als de mogelijkheden van het ondernemerschap.
Mensen zijn de motor achter technologie. Zij brengen kennis in de praktijk en starten of versnellen innovatie. Omdat we ons bevinden in het hart van de internationale high-tech industrie, weten we wat tech bedrijven die aan kop willen blijven echt nodig hebben. We bieden je een uitdagende en stimulerende werkomgeving waarin je de regisseur van je eigen carrière kunt zijn.

Als Employeneur maak je deel uit van onze TMC-familie. Plezier en betrokkenheid zijn belangrijke onderdelen in onze cultuur. We zijn ons bewust van de impact die we hebben op de levens en carrières van onze Employeneurs en op de prestaties van onze klanten. We volgen, dragen bij aan en investeren in thema's die niet alleen op brancheniveau belangrijk zijn, maar ook op organisatie en persoonlijk niveau zoals vitaliteit en expats.
| WAAROM KIEZEN VOOR EMPLOYENEURSHIP?

De term Employeneurship klinkt misschien onbekend. Dat komt omdat wij de bedenkers zijn. Het is meer dan een woord, het is een werkwijze, een paradigma zelfs. Bij Employeneurship denk en handel je in principe als een ondernemer, maar vanuit de veilige positie van een werknemer. Het is echter in de eerste plaats een manier om voortdurend in ontwikkeling te blijven en het biedt je de kans om je carrière daadwerkelijk te sturen.

Employeneurship is gebaseerd op 5 basisprincipes:

Een duurzame werkrelatie met een vast dienstverband
Individuele winstdeling: je leert je marktwaarde kennen en hebt een aandeel in de winst die je werk genereert
YOUniversity: we zullen je ondersteunen met een-op-een coaching en trainingen
Businesscellen: voor een sterk en relevant netwerk
The Entrepreneurial Lab (TEL): een speeltuin voor nieuwe ideeën en een potentiële lancering voor start-ups

TMC is een werkgever die gelijke kansen biedt en waarde hecht aan diversiteit. We discrimineren niet op basis van ras, religie, kleur, nationale afkomst, geslacht, seksuele geaardheid, leeftijd, burgerlijke staat, veteranenstatus of handicapstatus.

Feel Free to Contact
Annelotte van Rossem
Business Manager Life Sciences, Netherlands
Tel: +31 (0)6 11 38 78 88",https://media.glassdoor.com/sql/773880/tmc-netherlands-squareLogo-1661351101892.png,Delft,nan,TMC
Chemisch Analist QC/R&D,"Functieomschrijving
Ben jij een enthousiaste analist en heb jij ervaring met werken in een GMP-omgeving? En ben jij op zoek naar een leuke werksfeer met veel uitdaging waar je jezelf verder kunt ontwikkelen? Ben jij al door deze intro geënthousiasmeerd? Lees dan vooral verder, want wellicht ben jij degene die wij zoeken!

Jouw werkzaamheden bestaan uit het uitvoeren van analyses met betrekking tot het QC laboratorium en daarnaast wisselende werkzaamheden voor het R&D laboratorium. Denk hierbij bijvoorbeeld aan de ontwikkeling van (nieuwe) analytische methodes en validaties ten behoeve van R&D projecten en bij nieuwe producten.

Ongeveer 80% van jouw tijd ben je werkzaam in het mooie open laboratorium en de overige 20% van jouw tijd verwerk je de analyseresultaten in de aangrenzende kantoortuin. Daarnaast draag je actief bij aan het naleven van de geldende GMP-regels. Denk hierbij aan het zorgdragen voor onder andere adequaat onderhoud, kalibratie en kwalificatie van laboratoriumapparatuur en adequate documentatie van analyseresultaten.
Functie-eisen
Wanneer ben je een aanvulling voor het team als QC analist?

Minimaal beschikt over een afgeronde MBO-4 richting laboratoriumtechniek/chemie;
Ervaring hebt met werken onder GMP;
Ervaring hebt met werken met HPLC/UPLC;
Fulltime beschikbaar bent;
Wij komen jou natuurlijk ook graag tegemoet! Dit kan je van ons verwachten:

Een maandsalaris tussen € 2.000 en € 2.800 bruto op basis van 38,75 uur per week. Dit is nog zonder reiskosten en toeslagen;
25 vrije dagen per jaar op basis van een fulltime dienstverband;
Vastigheid in de vorm van een jaarcontract. Is de opdrachtgever tevreden? Dan kan je na dat jaar bij hen in dienst.
Nog steeds enthousiast?
Mijn naam is Sander Kikkert en ik help jou graag verder in de procedure voor deze functie. Bij interesse, vragen of opmerkingen mag je mij bellen, appen of mailen via 06-82059850 of s.kikkert@xelvin.nl

Ik voorzie je graag van meer informatie over deze vacature. Ben jij overtuigd en zie jij jezelf hier al werken? Dan nodig ik je graag uit voor een (digitale) kennismaking gesprek om elkaar beter te leren kennen op één van onze Xelvin-kantoren door Nederland (of via Teams).
Vergoeding
€2.000 - €2.750 bruto per maand
Bedrijfsprofiel
Dit farmaceutische bedrijf richt zich volledig op de productie en het onderzoek van humane en voornamelijk de veterinaire markt. Zo maken ze onder andere tabletten, poeders en capsules. Het is een vooruitstrevend bedrijf wat mensen zoekt die mee willen denken met hun eigen groei en ondernemend zijn ingesteld. Dat betekend dat er altijd wordt gekeken naar je persoonlijke kwaliteiten en deze mag je dan ook volop inzetten. Er heerst een open cultuur, waar iedereen zichzelf kan zijn, met veel gezelligheid maar waar iedereen ook hard werkt. Je bent dan ook van harte welkom in dit team!
Locatie
Lelystad,",https://media.glassdoor.com/sql/681748/xelvin-squarelogo-1426581744892.png,Lelystad,€2K - €3K (Employer est.),Xelvin
Field Service Technician,"PAC is a leading global provider of advanced analytical instruments for laboratories and online process applications in industries such as refinery, petrochemical, biofuels, environmental, food & beverage, marine, offshore, subsea, and pharmaceutical. To provide its customers with cutting edge technology, PAC leverages significant R&D resources to support its core technologies, including chromatography, elemental analysis, physical properties, ultrasonic, fluorescence, spectroscopy, and microscopy/video imaging.

Summary:

The Field Service Technician is responsible for the installation, maintenance, repair, and training of the Chemical Analysis products. The Field Service Technician will work on GC and Elemental products in the scope of Chemical Analysis. In this role the Field Service Technician is also responsible for selling and maintaining Service Contracts to our customers. Additionally, the Field Service Technician is manning the helpdesk when not at customer site, answering phone calls and emails from customer and distributors with technical questions.


Responsibilities:

Performs installations, regular maintenance, calibration at customer sites
Provides telephone and email support as needed
Performs preventive and corrective maintenance of test apparatus and peripheral equipment both in-house and field.
Customer visits for maintaining and selling service contracts
Develop agreements, pricing, discounting (within limits)
Uses computerized equipment, test equipment, and software to perform testing functions.
Maintains knowledge of product specifications as assigned. Continues to expand product specification knowledge base.
Always promotes good customer relations.
Always observes safety policies and procedures within Company and at customer sites.
Perform customer training session at customer sites and in-house.
Assists with related special projects, as required.
Responds to change productively and handles other duties as required.
Must be able to manage inventory assigned for repairs to ensure accuracy of individual and main warehouse. To ensure inventory is properly documented for transfer before and after assigned service call.
Able to travel internationally.

Education & Experience:

Bachelor degree in Chemistry
Minimum of 3 years’ experience as a qualification engineer or similar position

Knowledge & Skills

Broad minded strategic thinker with proven integrity
Strong problem-solving skills
Previous ability to successfully interact with customers
Proficiency with computer tools, including ERP applications
Solid working knowledge of industrial service field
Excellent project management, analytical, and organizational skills
Dutch and English fluently
Experience in ERP (IFS) is a plus

Travel: 50% - 70% requirement.


Privacy

We are committed to the protection and promotion of your privacy. In connection with your application for employment with us at PAC, please click on this link to view our Applicant Privacy Notice. https://www.paclp.com/about-pac/careers/view",https://media.glassdoor.com/sql/241470/pac-squarelogo-1545130793614.png,Rotterdam,nan,PAC - Netherlands
Chemistry Analyst 2,"Company Description
SGS Hoogvliet is part of the Industries & Environment business line. In our laboratory we carry out a large number of tests on soil, water and air samples. Think, for example, of PFAS testing. We are continuously committed to discovering new markets and challenges. These developments will have to be supervised and we need your help! Are you the Analyst who wants to contribute to the analyses and do you like to make a team effort in the field of production and continuous improvement? Then read on and find out if this is the job for you.

Job Description

You will be trained on various Analyses, which will enable you to be flexibly deployed in the Chemistry department.
You work with various Natchemical determinations.
You are responsible for both the preparatory work and the analyses.
You have a responsible position in which you decide whether the result meets all quality controls and can be reported.
You check the instruments and when all requirements are met, you report them in our Laboratory Information Management System (LIMS).
You work according to a LEAN method in which efficiency and quality are important.

Qualifications

You have an MBO-4 diploma in the direction of Allround Laboratory Technician or Chemical Physical Analyst.
You are driven to carry out your work well and accurately.
You like to think about improvements.
You like to be part of a team and find it important, together with your colleagues, to carry out the work under strict quality requirements and within the set time.
You call for help in time when you notice that your deadline is in jeopardy.
You have a proactive attitude and discuss problems or points for improvement with your manager and/or colleagues.
Additional Information

A challenging and flexible job in our laboratory in Rotterdam/Hoogvliet.
The opportunity to contribute to a cleaner living environment through your work.
The opportunity for personal growth and development.
A minimum of 32.5 vacation days with full-time employment and entitlement to 8% holiday allowance.
You will receive travel allowance depending on the commuting distance.
A pension scheme based on available contributions.
The possibility to make use of a collective discount with regard to insurance.
Will you be working as Analyst 2 in the Chemistry department? Then apply immediately! For questions and/or information, please contact our Recruiter; Chantal de Vries 06-48409750 or chantal.devries@sgs.com",https://media.glassdoor.com/sql/10600/sgs-squarelogo-1617761618672.png,Rotterdam,nan,SGS
Adviseur vergunningen Gevaarlijke stoffen,"Vacancy The Hague, Deventer, Utrecht
Adviseur vergunningen Gevaarlijke stoffen
Beschik jij over het analytisch vermogen om complexe veiligheids- en milieurisico’s van gevaarlijke stoffen te vertalen naar milieuvergunningen? Ben jij in staat om industriële bedrijven te ondersteunen bij het opstellen van vergunningsaanvragen en milieueffectrapportages? Wil jij graag een baan waarin je nieuwe ontwikkelingen faciliteert en de vertaalslag maakt van regels naar de praktijk? Dan ben jij dé persoon voor deze functie.
Witteveen+Bos adviseert (internationale) opdrachtgevers uit de chemische industrie, zowel gevestigde als nieuwe, innovatieve bedrijven, op het gebied van milieu en veiligheid. Dit vakgebied levert steeds weer nieuwe vraagstukken op. Voor onze adviesgroep Gevaarlijke stoffen zijn we op zoek naar een enthousiaste collega, om de industriële advisering te versterken. Door je actieve, leergierige houding begrijp je snel nieuwe materie en weet je wat er speelt bij je klanten. Je wilt graag dat je opdrachtgevers veilig (kunnen) werken met gevaarlijke stoffen en daarbij zo min mogelijk ongewenste invloed hebben op hun omgeving. Door jouw risicobeoordelingen, je kennis van chemische processen en achterliggende regelgeving maak je dat mogelijk. Vanuit de rol van adviseur vergunningen kun je doorgroeien tot projectleider. Je eigen interesses en ambities zijn bepalend voor je ontwikkeling binnen het werkveld en onze organisatie. Binnen Witteveen+Bos is veel ruimte om jezelf en je werkveld verder te ontwikkelen.
De groep Gevaarlijke stoffen maakt onderdeel uit van de PMC (product-marktcombinatie) Milieu, gezondheid en leefomgeving binnen de sector Energie, water en milieu. De werkzaamheden worden vanuit het hoofdkantoor in Deventer uitgevoerd, waarbij thuiswerken mogelijk is. Standplaats Den Haag of Utrecht is bespreekbaar. Korte of langere uitzending naar het buitenland behoort tot de mogelijkheden.
Wat wij vragen
een afgeronde bèta-opleiding (hbo/wo), zoals bijv. chemie/chemische technologie, technische bedrijfskunde, milieuwetenschappen e.d.;
een enthousiaste, analytische geest, die in staat is hoofd- van bijzaken te scheiden; *kennis van (de risico’s van) gevaarlijke stoffen (chemicaliën, toxische/brandbare/explosieve stoffen);
affiniteit met bijbehorende regelgeving is een pre (Wabo, Omgevingswet, Activiteitenbesluit, BRZO, externe veiligheid, Zeer Zorgwekkende Stoffen, REACH);
we zoeken zowel een ervaren adviseur als een adviseur met geen of weinig ervaring; * zelfstandig kunnen werken en een proactieve, ondernemende instelling;
goede communicatieve vaardigheden (mondeling en schriftelijk), zowel in het Nederlands als in het Engels.
Wat wij bieden
uitdagende projecten in binnen- en buitenland;
samenwerken met jonge, enthousiaste collega's in multidisciplinaire projectteams;
zelfstandigheid en projectverantwoordelijkheid;
goede begeleiding en in- en externe opleidingsmogelijkheden;
een marktconform salaris en een goed pakket secundaire arbeidsvoorwaarden.
Wie wij zijn
Witteveen+Bos is een advies- en ingenieursbureau, dat wereldwijd oplossingen biedt voor complexe, technische en maatschappelijke vraagstukken op het gebied van water, infrastructuur, milieu en bouw. Vanuit een inspirerende werkomgeving werken onze ruim 1400 medewerkers in multidisciplinaire projectteams aan fascinerende projecten in binnen- en buitenland. Ons werk vraagt steeds om nieuwe kennis en verantwoordelijkheden, vandaar dat persoonlijke en vakinhoudelijke ontwikkeling essentieel is en gestimuleerd wordt. Onze medewerkers hebben de ambitie het beste uit zich zelf te halen en kwalitatief de beste resultaten te leveren. Er is ruimte voor eigen initiatief en ondernemerschap. De aandelen van ons bureau zijn in handen van onze eigen medewerkers.
Reageren?
Heb je belangstelling voor deze functie, solliciteer dan direct online. Voor inlichtingen over deze vacature kan contact opgenomen worden met de heer J.W. (Jan Willem) Slaa, groepshoofd Gevaarlijke stoffen, telefoon 06 86 82 27 08, of met mevrouw ir. J.L (Hannie) Dierx, PMC-leider Milieu, gezondheid en leefomgeving, telefoon 06 51 02 90 79.",https://media.glassdoor.com/sql/808095/witteveen-bos-squarelogo-1426667116623.png,The Hague,nan,Witteveen+Bos
Research Assistant,"Utrecht
Heb jij ervaring als chemisch analist en vind jij het interessant om bij te dragen aan een duurzame wereld? Heb jij een passie voor werken op het lab en wil jij je bijdrage leveren aan belangrijke onderzoeken? Dan is de functie Research Assistant wat voor jou!

| JOUW UITDAGINGEN

Als Research Assistant ben je verantwoordelijk voor het onderzoeken en uitvoeren van analyses op lab schaal. Je bent enthousiast, secuur en zelfstandig. Je krijgt energie van werken in een lab omgeving en werkt graag hands-on. Je werkt mee aan onze troubleshooting activiteiten voor diverse klanten, waarin wij op basis van geavanceerde microscopische technieken (o.a. SEM-EDX, FTIR) productvreemde deeltjes, vezels en omgeving gerelateerde aantasting van materialen onderzoeken.

| WAT VERWACHTEN WE VAN JOU
Je hebt minimaal een HBO opleiding in een richting waarin karakteristiek van vaste stoffen een essentieel onderdeel is, bijvoorbeeld chemie, materiaalkunde, experimentele fysica of levensmiddelentechnologie.
1 tot 2 jaar ervaring in een lab omgeving met analysetechnieken (microscopisch technieken, SEM – EDX, FTIR, STEM)
Je hebt ervaring in de volgende sectoren: chemie, voedingsmiddelenindustrie, materiaalkunde
Je kan goed zelfstandig werken en hebt een analitische mindset
Je komt uit regio Utrecht – Amsterdam – Rotterdam
| WAT HEEFT ONZE BUSINESS CEL TE BIEDEN?

Bij TMC Science en Technology kunnen wij jou toegang geven tot een groot netwerk van chemici maar wordt ook de samenwerking opgezocht met andere disciplines. Naast dat we een groot intern netwerk hebben, wordt er ook samen gewerkt met grote spelers in de technische industrie. Bij TMC Science en Technology zetten wij kwaliteit over kwantiteit en samenwerking boven zelfstandigheid.

| WAT MAG JE VAN TMC VERWACHTEN?

TMC is een uniek gezelschap van technische professionals die ondernemingsgezind, vakbekwaam en bijna zelfstandig te werk gaan. Ons model voor Employeneurship is ongeëvenaard en biedt deskundigen met allerlei achtergronden zowel de voordelen van een dienstverband als de mogelijkheden van het ondernemerschap.
Mensen zijn de motor achter technologie. Zij brengen kennis in de praktijk en starten of versnellen innovatie. Omdat we ons bevinden in het hart van de internationale high-tech industrie, weten we wat tech bedrijven die aan kop willen blijven echt nodig hebben. We bieden je een uitdagende en stimulerende werkomgeving waarin je de regisseur van je eigen carrière kunt zijn.

Als Employeneur maak je deel uit van onze TMC-familie. Plezier en betrokkenheid zijn belangrijke onderdelen in onze cultuur. We zijn ons bewust van de impact die we hebben op de levens en carrières van onze Employeneurs en op de prestaties van onze klanten. We volgen, dragen bij aan en investeren in thema's die niet alleen op brancheniveau belangrijk zijn, maar ook op organisatie en persoonlijk niveau zoals vitaliteit en expats.
| WAAROM KIEZEN VOOR EMPLOYENEURSHIP?

De term Employeneurship klinkt misschien onbekend. Dat komt omdat wij de bedenkers zijn. Het is meer dan een woord, het is een werkwijze, een paradigma zelfs. Bij Employeneurship denk en handel je in principe als een ondernemer, maar vanuit de veilige positie van een werknemer. Het is echter in de eerste plaats een manier om voortdurend in ontwikkeling te blijven en het biedt je de kans om je carrière daadwerkelijk te sturen.

Employeneurship is gebaseerd op 5 basisprincipes:
Een duurzame werkrelatie met een vast dienstverband
Individuele winstdeling: je leert je marktwaarde kennen en hebt een aandeel in de winst die je werk genereert
YOUniversity: we zullen je ondersteunen met een-op-een coaching en trainingen
Businesscellen: voor een sterk en relevant netwerk
The Entrepreneurial Lab (TEL): een speeltuin voor nieuwe ideeën en een potentiële lancering voor start-ups

TMC is een werkgever die gelijke kansen biedt en waarde hecht aan diversiteit. We discrimineren niet op basis van ras, religie, kleur, nationale afkomst, geslacht, seksuele geaardheid, leeftijd, burgerlijke staat, veteranenstatus of handicapstatus.

Feel Free to Contact
Matty Bosch
Business manager Chemical, Netherlands
Tel: +31622059476",https://media.glassdoor.com/sql/773880/tmc-netherlands-squareLogo-1661351101892.png,Utrecht,nan,TMC
