job_titles,job_description,images,locations,salaries,companies
Junior Assistent Accountant Samenstelpraktijk,"Voor onze vestiging te Emmeloord zijn wij per direct op zoek naar eenJunior assistent accountant (24-40 uur)Weet jij van aanpakken en ben jij op zoek naar een werkgever die klaar staat om jouw loopbaan vanaf de eerste dag een boost te geven? Lees dan snel verder.Wie zijn wij? Vivan accountants – adviseurs is een ambitieuze organisatie met circa 45 professionele medewerkers, verdeeld over drie vestigingen. We bieden op een professionele en prettige wijze hoogwaardige full-service dienstverlening op het gebied van accountancy, administratie, fiscaal, juridisch en HR-advies met een focus op de MKB-praktijk. Onze cultuur is te omschrijven als professioneel, betrokken, sociaal, open, gedreven en slagvaardig. Dit zie je terug in onze gemotiveerde en enthousiaste collega’s.Wat ga je doen? Als junior assistent, assisteer je bij het inboeken van administraties, het doen van belastingaangiften en het samenstellen van jaarrekeningen voor onze klanten. Je werkt daarbij veelal in teamverband. Ook ben je in veel gevallen het eerste aanspreekpunt voor klanten met administratieve vragen. Het kan bijvoorbeeld voorkomen dat jij hen op afstand of op locatie helpt bij het voeren van hun (online)administratie.Wie zoeken wij?· Je hebt een afgeronde MBO opleiding niveau 4 (of rondt deze binnenkort af);· Je bent van nature dienstverlenend ingesteld;· Je beschikt over een gezonde dosis doorzettingsvermogen en vindt kwaliteit belangrijk;· Je bent een echte teamplayer;· je hebt affiniteit met IT.Wat bieden wij? · Een veelzijdige en uitdagende functie met op termijn zicht op een vaste aanstelling;· Volop ruimte voor initiatief en ideeën en het dragen van verantwoordelijkheid;· Mogelijkheid tot het volgen van relevante cursussen en opleidingen;· Een goede werksfeer binnen een team van betrokken collega's die hun kennis graag delen;· Een goed pakket marktconforme arbeidsvoorwaarden.Hebben wij je nieuwsgierigheid al gewekt?Wil jij ons team komen versterken? Dan ontvangen wij graag voor 16 oktober a.s. je motivatie. Wij reageren binnen een week op je sollicitatie; zodat je snel weet waar je aan toe bent.Soort dienstverband: Onbepaalde tijdRooster:DagdienstSecundaire arbeidsvoorwaarden:Budget voor professionele ontwikkelingKerstpakketPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:VakantiegeldThuiswerken:Nee",nan,Amsterdam,€3K - €4K (Employer est.),RAJ Consult BV
Assistent Accountant RA,"BedrijfsomschrijvingWij verzorgen administratie en belastingaangiftes van kleine en middelgrote bedrijven.De belangrijkste taak van het kantoor is om de resultaten van een onderneming in een overzichtelijke rapportage op te leveren en daarbij de juiste fiscale aangifte in te dienen.De functie in het kortAls Junior Assistent word je onderdeel van het samenstelteam en leer je veel bedrijven en ondernemers kennen. Je pakt de diverse vraagstukken op en neemt deel aan belangrijke overleggen met het team en de klant. Jouw werkzaamheden richten zich voornamelijk op het verzorgen van samenstelwerkzaamheden, tussentijdse rapportages, administratieve dienstverlening en het opstellen van aangiften OB, IB en VPB.Profiel van kandidaatMbo 4/HBO opleiding in financiële richting;Beheersing Nederlandse taal;Enkele jaren ervaring in soortgelijke functie (Pré).AanbodWerken binnen een gezellig kantoor;Functie voor de lange termijn;Soort dienstverband: Fulltime, Parttime, Vaste baanSalaris: €2.500,00 - €3.500,00 per maandRooster:ma-vrSecundaire arbeidsvoorwaarden:ReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldSoort dienstverband: Fulltime, Parttime, Vaste baanSalaris: €2.500,00 - €3.500,00 per maandRooster:ma-vrSecundaire arbeidsvoorwaarden:ReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldErvaring:Boekhouding: 1 jaar (Gewenst)Werklocatie: Fysiek",https://media.glassdoor.com/sql/691963/rsm-squarelogo-1498047239127.png,Alkmaar,nan,RSM3.9 ★
Assistent Accountant 24-40 uur,"DIT GA JIJ DOENJe werkt voor verschillende opdrachtgevers in het grotere MKB. Vandaag werk je aan een controleopdracht en morgen voer je een samenstelwerkzaamheid uit. Je werkt als assistent accountant in een team met trainees en (senior) assistant accountants. Dit doe je grotendeels bij de opdrachtgever. Begeleiding en ondersteuning krijg je van de supervisor. Communicatie is daarom een belangrijk onderdeel van je werk.DIT BEN JIJJij bent doortastend en deskundig. Jij beschikt over een nauwkeurige en professioneel kritische instelling en hebt hierdoor inzicht in de problematiek van de ondernemer.Als Assistent Accountant herken je jezelf in het volgende profiel:Je bent startend of hebt maximaal 4 jaar werkervaring (Afgeronde HBO of WO opleiding in de richting van Accountancy) of volgt vanuit het VWO het RA traject;Bezig met de RA-opleiding of hebt ambitie om de RA-opleiding te volgen;Teamgeest, onafhankelijk en 'rechte rug;Je herkent jezelf in onze waarde: wij plaatsen kwaliteit boven kwantiteit en je bent maatschappelijk betrokken.DIT BIEDEN WIJBij RSM leer je snel, ontwikkel je je snel en geef je zelf richting aan je carrière. We bieden je een uitdagende, motiverende omgeving waarin je je optimaal kunt ontwikkelen. RSM beschikt over de dynamiek van een snel groeiend bedrijf, heeft de diversiteit en kwaliteit van eigen professionals hoog in het vaandel en kent een goede werksfeer. Daarnaast bieden we je goede arbeidsvoorwaarden, waaronder:Een goede werk-privé balans: Natuurlijk werken we hard, maar werken is niet het enige wat we belangrijk vinden. Samen werken we aan een goede werk-privé balans.Een goede studieregeling: Wij vinden het belangrijk dat jij je ontwikkelt. Daarom bieden wij een goede studieregeling en de mogelijkheid tot het volgen van vaktechnische opleidingen en soft skills-trainingen.Young RSM: Leer collega’s van jouw vestiging en andere vestigingen persoonlijk kennen en doe mee met leuke activiteiten met Young RSM.DIT ZIJN WIJRSM is wereldwijd het zesde netwerk van zelfstandige accountancy- en belastingadviesorganisatie met ruim 860 kantoren in meer dan 123 landen en ruim 51.000 professionals. Met 600 professionals verdeeld over 9 vestigingen in Nederland staat RSM midden in de maatschappij. De lokale betrokkenheid, gecombineerd met de regionale expertise en het internationale RSM-netwerk maakt RSM tot een uitstekende sparringpartner voor middelgrote organisaties. Daarnaast beschikt RSM over een eigen Vaktechniek- en Opleidingsbureau. Zo zorgen we er voor dat onze medewerkers kwalitatief hoogwaardige dienstverlening kunnen bieden, klanten spiegelen wanneer dat nodig is en altijd oog hebben voor de impact die we als RSM in de maatschappij willen hebben. Meer informatie over werken bij RSM vind je via Wij zijn RSM.JIJ X WIJSpreekt deze functie je aan of wil je meer informatie? Stuur je vraag via onderstaand WhatsApp nummer of neem contact op met:ContactpersoonJoris HemmesTelefoonnr. werk06 82 06 80 00ALS JE BIJ ONS SOLLICITEERTOm bij ons te solliciteren vragen wij allerlei informatie, zoals je geboortedatum, opleidingsniveau en werkervaring. Je zet deze gegevens bijvoorbeeld in een sollicitatiebrief of curriculum vitae. Als wij jou niet in dienst nemen, verwijderen wij al deze gegevens uiterlijk vier weken na afloop van de sollicitatieprocedure en bewaren we ze als je wel bij ons in dienst komt. Als we jou niet aannemen, kunnen we je vragen of we je gegevens langer mogen bewaren. Bijvoorbeeld omdat er op een later tijdstip misschien een andere baan voor jou vrij komt. Als je ons toestemming geeft, bewaren we jouw sollicitatiegegevens maximaal een jaar na afloop van de sollicitatieprocedure. Als onderdeel van de sollicitatieprocedure vragen wij, in het kader van onze kernwaarden onafhankelijk en integer, een ‘Verklaring Omtrent het Gedrag’ (VOG)*. De kosten van de VOG worden door ons vergoed. Bewaar daarvoor wel de originele bon. Meer informatie over de VOG kun je vinden op www.rijksoverheid.nl.Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.BEN JE GEÏNTERESSEERD?Solliciteren kun je doen via onderstaande button!Soort dienstverband: FulltimeRooster:Dagdienstma-vrWerklocatie: Hybride werken in 1812 RL Alkmaar",nan,The Hague,nan,Nuijten Accountants
Assistent accountant/Boekhoudheld,"Kwaliteit van ons advies is de sleutel tot ons succes. Deze kwaliteit blijkt onder andere uit het hoge opleidingsniveau van onze medewerkers. Door het aanbieden van een afwisselende en uitdagende werkomgeving en het volgen van cursussen en (praktijk)opleidingen, blijven onze medewerkers zich ontwikkelen. Onze dienstverlening is vooral gericht op middelgrote ondernemingen en hun aandeelhouders. Cliënten zijn zowel nationaal als internationaal actief.Ter uitbreiding van ons team zijn wij op zoek naar een Assistent Accountant.De volgende werkzaamheden zullen tot jouw takenpakket gaan horen:Het (incidenteel) verwerken en nalopen van (online) administraties op kantoor of op locatie bij onze klanten;Het opstellen van de BTW-aangiften;Het voorbereiden van het jaardossier;Het samenstellen van concept-jaarrekeningen;Het verzamelen van gegevens m.b.t. de aangiften inkomsten- en vennootschapsbelasting en het voorbereiden van deze aangiften;Diverse werkzaamheden ter ondersteuning van de Accountants.Wat heb je nodig om bij Nuijten Accountants aan de slag te gaan als Assistent Accountant?Een passie voor cijfers;Een afgeronde financiële opleiding. Je kunt hierbij denken aan de opleiding Moderne Bedrijfsadministratie (MBA) of een MBO opleiding op niveau 4. Als je studerende bent voor de opleiding SPD Bedrijfsadministratie, of een HBO opleiding (economische richting) of bereid bent dit te gaan doen, is dit een absolute pré. We nodigen ook studenten die de deeltijd HBO opleiding Accountancy volgen van harte uit om te solliciteren;HBO werk- en denkniveau;2-5 jaar werkervaring in een soortgelijke functie;Je bent beschikbaar voor 24-40 uur in de week;Je bent flexibel inzetbaar tijdens piekmomenten;Je beschikt over uitstekende communicatieve vaardigheden;Je hebt een goede beheersing van de Nederlandse taal in woord en geschrift;Bij voorkeur ervaring met Exact OnlineWoont in (omgeving) Den HaagEnthousiasme, klantgerichtheid, leergierigheid, humor en sociale vaardigheden vinden we minstens zo belangrijk!Wij bieden een op samenwerking gerichte en stimulerende werkomgeving. Naast een uitdagende en fijne werkomgeving is er tijd voor ontspanning (we organiseren geregeld activiteiten om elkaar beter te leren kennen) en is er oog voor een goede werk-privé balans.Naast uitstekende primaire en secundaire arbeidsvoorwaarden bieden wij de nodige uitdagingen in een samenwerking gerichte en stimulerende werkomgeving. Als jij op zoek bent naar een no-nonsense organisatie met dito collega’s, waar je jezelf kunt ontwikkelen als persoon en financieel professional ben je bij ons op de juiste plaats. Wij bieden je volop mogelijkheden om je persoonlijke ontwikkeling een impuls te geven door het aanbieden van interne en externe opleidingen.Wil je meer weten over de functie? Neem dan contact op met ons op telefoonnummer 070-416 29 99 of mail je motivatie en CV naar info@nuijtenaccountants.nlSoort dienstverband: Fulltime, ParttimeParttime uren: 24 per weekRooster:Flexibele werkurenma-vrSecundaire arbeidsvoorwaarden:Flexibele werkurenOpleiding:MBO (Gewenst)Werklocatie: Fysiek",nan,Rijswijk,€2K - €3K (Employer est.),Hoornwijck Groep
Assistent Accountant Administratiekantoor (24-40 uur),"Hoornwijck Groep Administratie- en belastingadviseurs is op zoek naar gemotiveerde financieel analisten die ons team komen versterken!Ben jij een financieel analist met passie voor cijfers en een scherp oog voor detail? Heb je affiniteit met automatisering en robotisering? Dan zijn wij op zoek naar jou! Hoornwijck Groep Administratie- en belastingadviseurs zoekt enthousiaste financieel analisten die ons team komen versterken.Als financieel analist bij Hoornwijck Groep ben je verantwoordelijk voor het uitvoeren van financiële administraties, -analyses en het opstellen van financiële tussentijdse rapportages voor onze diverse klanten.Bij Hoornwijck Groep bieden wij jou de mogelijkheid om jezelf verder te ontwikkelen binnen ons bedrijf. We bieden een uitstekend salaris en goede secundaire arbeidsvoorwaarden. Daarnaast is er veel ruimte voor persoonlijke groei en bieden we diverse trainingen en opleidingsmogelijkheden.Wij bieden:Een uitdagende werkomgeving waar verantwoordelijkheid nemen en mensen centraal staanRuimte voor nieuwe initiatieven, ideeën en persoonlijke ontwikkelingEen marktconform, transparant en modern arbeidsvoorwaardenpakketEen laptop van de zaakDe hoogte van je salaris is afhankelijk van opleiding, kennis en ervaringEen goede werksfeer, met gezellige borrels en de leukste personeelsuitjes.Ben jij die gedreven financieel analist die ons team komt versterken? Wie weet wordt jij onze nieuwe collega?Soort dienstverband: Fulltime, Parttime, Vaste baanParttime uren: 38 per weekSalaris: €2.000,00 - €3.000,00 per maandRooster:Flexibele werkurenSecundaire arbeidsvoorwaarden:BedrijfsfeestenDienstreizen vergoedingFlexibele werkurenKerstpakketMogelijkheid tot promotiePensioenReiskostenvergoedingVrijdagmiddagborrelWerk vanuit huisSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldTaal:Nederlands (Vereist)Werklocatie: Hybride werken in 2289 CZ Rijswijk",nan,North Brabant,€4K (Employer est.),Boekhouden.support
Assistent accountant / belastingadviseur,"Meegroeien met een jong ambitieus boekhoudkantoor, waar je het vak van A tot Z leert kennen?Hoe zou jij dit vinden?Meebouwen aan een ambitieus boekhoudkantoor. Je komt binnen bij een jong team dat gedreven is en snel groeit. Veel mogelijkheden om mee te groeien dus!Meer dan alleen maar achter een bureau zitten. Je communiceert zelf met de klant en ontdekt zo alle in en outs van hun business.Veel verantwoordelijkheid krijgen over klanten. Je begint niet als junior assistent accountant, maar meteen als accountmanager.Elke woensdag lekker lunchen op kosten van Peter (de eigenaar).Ondernemers ondersteunen zodat zij zich geen zorgen hoeven te maken over hun financiële administratie en ervoor zorgen dat ze nooit meer fiscale voordelen mislopen.Samenwerken in een klein ambitieus team. Als het ware run je meteen je eigen afdeling met je eigen klanten.Hard werken maar ook veel lachen.De rol van financieel administratief accountmanagerHet gaat er bij Boekhouden.support wat anders aan toe dan bij het gemiddelde boekhoudkantoor. Je komt niet binnen als junior assistent accountant. maar gaat meteen aan de slag als accountmanager. Jij staat zelf in direct contact met de klanten in jouw portefeuille. Je runt als het ware je eigen toko binnen een ambitieus team. Je werkt met veel verschillende klanten van zzp’ers tot middelgrote bedrijven. Dit zijn ondernemers die jij persoonlijk voorziet van het volledige pakket aan financiële administratie. We werken veelal via digitale systemen, dat is efficiënt en inzichtelijk voor de ondernemer. Daarnaast maak je de ondernemer bewust van de fiscale voordelen die hij of zij kan benutten. Wel of geen auto op naam van de zaak? Nu investeren of pas in het volgende boekjaar? Door het directe contact met de klant leer je ook steeds beter financieel en fiscaal advies te geven. Zo kun je bij ons uitgroeien tot financieel adviseur.Uren en SalarisAantal uur: minimaal 24 uur per weekStartdatum: 1 Januari 2022 / 1 Februari 2023Salaris: € 2.900- € 3.600 per maand obv 40 uurLocatie: Breda, eventueel een dag thuis na de inwerkperiodeContractduur: tijdelijk en daarna vast25 Vakantiedagen (als je er meer wil dan kan dat, dat wordt dan verrekend)8% vakantiegeldMarktconforme pensioenregeling2x per jaar salaris indexatieWat heb je nodig om te shinen in deze rol?HBO-achtergrond bedrijfseconomie of bedrijfsadministratie.2 jaar werkervaring op de financiële administratie.Een rijbewijs, een eigen auto is niet noodzakelijk.Sterke communicatieve vaardigheden en commercieel ingesteld.Sterk in je schoenen staan. Niet afwachten maar doorpakken, dan leer je het meest.Ambitie en humor, dan kom je er wel!Je taken zullen o.a. zijn:Opzetten, voeren en controleren van klantadministraties;Klanten te woord staan als ze vragen hebben over de administratie;Zorg dragen voor de juistheid en tijdigheid van btw-aangifteVoorbereiden van fiscale aangiftes en jaarrekeningenIs dit de volgende stap in jouw carrière? Ben je ambitieus en wil je onderdeel uitmaken van een snelgroeiend kantoor? Wil je gelijk veel verantwoordelijkheid? Ben je goed met cijfers en met klanten? Dan pas je perfect bij het Boekhouden.support!Kijk op www.WerkenbijBoekhouden.support voor nog meer informatie en een video waarin we je meer informatie geven over deze vacature.Soort dienstverband: Fulltime, Parttime, Vaste baan, TijdelijkContractduur 7 maandenParttime uren: 24-40 per weekSalaris: Tot €3.600,00 per maandRooster:Flexibele werkurenFlexibel werkroosterSecundaire arbeidsvoorwaarden:BedrijfsfeestenBedrijfsopleidingFlexibele werkurenKerstpakketMogelijkheid tot promotiePensioenReiskostenvergoedingTelefoonplanWerk vanuit huisSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldSollicitatievragen:Wat voor ervaring heb je met het voeren van financiële administraties?Met welke administratiepakketten ben je bekend?Werklocatie: Onderweg",nan,Delft,€3K - €5K (Employer est.),Rosier Bijl van Kan Administratie- & Belastingadviesbureau b.v.
(Junior) Business Controller,"Over de vacature:De enthousiaste assistent accountant / belastingadviseur die we zoeken is voor onze klanten een onmisbare steunpilaar en neemt zorgen uit handen op het gebied van financiën en belastingzaken van zowel de onderneming als privé. Tot de dagelijkse werkzaamheden behoren het onderhouden van eerstelijns contact met klanten, het verzorgen / begeleiden van (geautomatiseerde) administraties en het opstellen van jaarrekeningen en fiscale aangiften (IB, OB, Vpb). Hierbij wordt nauw samengewerkt met collega’s.Ter versterking van ons team zijn we op zoek naar een enthousiaste Assistent Accountant / Belastingadviseur, die past in deze rol.Parttime/fulltime: 28-40 uur per weekFunctie-eisenDe assistent-accountant / belastingadviseur die we zoeken:heeft makkelijk en met plezier contact met klanten.HBO-niveau (bijvoorbeeld opleiding HBO Accountancy of BE, SPD, RB) of is bezig met een dergelijke studie.ten minste 3 jaar recente relevante werkervaring.voelt zich thuis binnen het ‘kleinbedrijf’.interesse en bereidheid om zichzelf vakinhoudelijk en in het gebruik van up-to-date software te ontwikkelenwoont in de omgeving Delft, Leiden, Den Haag, Rotterdam en Gouda.Je spreekt (en schrijft) - ten minste ook - Nederlands.Over ons kantoor:Rosier Bijl van Kan is een administratiekantoor | belastingadviesbureau te Delft dat in 1987 is opgericht. We zijn gevestigd aan de Buitenwatersloot 253 in Delft. Thans zijn Evert Bijl (sinds 1993), Erik van Kan (sinds 2003), Jon Hulst (sinds 2014) en Eelco Epping (sinds 2020) de vennoten van het kantoor. Met een team van circa 20 mensen zijn we groot genoeg om een breed dienstenpakket te kunnen bieden en zijn we klein genoeg om dat op laagdrempelige wijze te kunnen doen. De sfeer is dan ook gemoedelijk.Wij adviseren en verzorgen diensten op het gebied van administratie, belastingen, jaarrekeningen, salarisadministratie en financiële planning aan ondernemers en hun onderneming binnen het ‘kleinbedrijf’. Daarnaast adviseren we over een breed scala van fiscale, financiële en bedrijfseconomische onderwerpen, over personeelsgerelateerde onderwerpen en financiële planning.Soort dienstverband: Fulltime, Parttime, Vaste baanParttime uren: 28-40 per weekSalaris: €2.500,00 - €4.500,00 per maandRooster:ma-vrSecundaire arbeidsvoorwaarden:Budget voor professionele ontwikkelingKerstpakketLevensverzekeringPensioenWerk vanuit huisSoorten aanvullende vergoedingen:BonusregelingVakantiegeldSollicitatievragen:Heb je recente relevante werkervaring?Werklocatie: Fysiek",nan,Schelluinen,nan,Metagro
Junior Assistent Accounting & Reporting,"Wie zijn wij?Metagro is een dynamische productie organisatie in de omgeving van Gorinchem en maakt onderdeel uit van de Dubbeldam Groep. Metagro produceert Cabines voor voertuigen, vaartuigen en kranen voor klanten wereldwijd.Wat ga je doen?Als (junior) Business Controller ben je de rechterhand van de Group Business Controller van de Dubbeldam Groep. Deze functie kenmerkt zich enerzijds door het beheersen en analyseren van projecten/orders en anderzijds door procesoptimalisaties, het genereren van stuurinformatie en het sparren mét en challengen van de business.Een geweldige kans voor iemand die zich wil gaan focussen op business control werkzaamheden in een projectenomgeving.Om voor deze functie in aanmerking te komen beschik je over een afgeronde HBO-opleiding richting (bedrijfs)economie of accountancy, een goede beheersing van Excel, leg je makkelijk contact en ben je gedreven. Als je hieraan voldoet, kun je doorgroeien in de rol. Het is dan ook een mooie volgende stap in je carrière.Wat ga je doen?Sparringpartner van o.a. Group Business Controller en afdelingsverantwoordelijken;Analyseren resultaten orders en projecten;Maandelijks positie onderhanden projecten opstellen;Opstellen en bewaken van KPI’s;Signaleren van te optimaliseren processen, het creëren van draagvlak voor optimalisaties en het daadwerkelijk doorvoeren van de verbeteringen;Genereren van (nieuwe) inzichten en stuurinformatie;Signaleren van trends en ontwikkelingen en hierop anticiperen;Opstellen en bewaken van budgetten;Opstellen van forecasts;Doorrekenen en analyseren van verkoop- en productieresultaten;Optimaliseren en automatiseren van diverse processen;Ondersteuning Group Business Controller in dagelijkse werkzaamheden.Wie ben jij?HBO werk- en denkniveau;Je gedijt goed in een dynamische omgeving;Je legt makkelijk contact en bent een teamplayer;Uitstekende beheersing van Excel;Analytisch denkvermogen;Affiniteit met data (ervaring met MS Power BI is een pré);Ervaring met Exact Globe en RidderIQ is een pré;Goede beheersing van de Nederlandse en Engelse taal;Proactief, oplossingsgericht / pragmatisch, stevige persoonlijkheid;Op gebied van financial control is inmiddels een basis gelegd.Wat bieden wij?Bij ons staat ‘de mens’ centraal. Niet alleen onze klanten, maar ook onze medewerkers. Dit kan je van ons verwachten:Een brede business control rol bij een dynamische project organisatie;Mooie 2e of 3e stap in je carrière (je mag groeien in je rol);Prima doorgroei- en ontwikkelmogelijkheden;Uitdagende werkzaamheden, eigen inbreng wordt op prijs gesteld;Een mooi salaris dat afhankelijk van je ervaring fors hoger kan zijn dan het gemiddelde cao-loon voor de CAO Metaal & Techniek voor het Metaalbewerkingsbedrijf;Bonusregeling;Wij investeren in jouw ontwikkeling d.m.v. opleidingen en trainingen;Leuke collega’s, teamuitjes en teambuilding-activiteiten dankzij onze Happy Box;Aandacht voor jouw gezondheid dankzij hulpmiddelen voor de juiste werkhouding en fruit in de kantine;Snel op de hoogte van nieuwtjes met jouw eigen Dubbeldam-app.Soort dienstverband: Fulltime, ParttimeRooster:ma-vrWerklocatie: Fysiek",https://media.glassdoor.com/sql/691963/rsm-squarelogo-1498047239127.png,Alkmaar,nan,RSM3.9 ★
"Assistent Controller (standplaats Oirschot, 40 uur)","DIT GA JE DOENSamen met jouw toekomstige collega’s bedien je verschillende opdrachtgevers in diverse branches in het MKB. Jouw werkzaamheden vinden voornamelijk plaats op ons moderne kantoor in Alkmaar en bestaan uit het verzorgen van administraties, voorbereiden van jaarrekeningen en fiscale aangiften onder begeleiding van een meer ervaren collega. Maandelijks praat je met jouw teamlead over het plezier en de uitdaging die jij ervaart bij het werken bij RSM.DIT BEN JIJJe hoeft nog geen echte werkervaring opgedaan te hebben, maar je affiniteit met administratieve werkzaamheden is zeker sterk en je ambieert daarbij een brede groei in die financiële kennis.Jij bent een efficiënte, harde werker. Als Junior Assistent Accounting & Reporting herken je jezelf daarbij in het volgende profiel:HBO werk en denkniveau, liefst opgeleid in een relevante richting;Affiniteit met cijfers en automatisering;Je kunt snel schakelen en neemt initiatief;Zorgvuldig, zelf toetsend en opzoek naar waardevolle feedback;Onafhankelijk en beschikkend over een ‘rechte rug’;Werkt graag voor verschillende ondernemers en denkt met hen mee;Je herkent jezelf in onze waarde: wij plaatsen kwaliteit boven kwantiteit en je bent maatschappelijk betrokken.DIT BIEDEN WIJBij RSM leer je snel, ontwikkel je je snel en geef je zelf richting aan je carrière. We bieden je een uitdagende, motiverende omgeving waarin je je optimaal kunt ontwikkelen. RSM beschikt over de dynamiek van een snel groeiend bedrijf, heeft de diversiteit en kwaliteit van eigen professionals hoog in het vaandel en kent een goede werksfeer. Daarnaast bieden we je goede arbeidsvoorwaarden, waaronder:Een goede werk-privé balans: Natuurlijk werken we hard, maar werken is niet het enige wat we belangrijk vinden. Samen werken we aan een goede werk-privé balans.Een goede studieregeling: Wij vinden het belangrijk dat jij je ontwikkelt. Daarom bieden wij een goede studieregeling en de mogelijkheid tot het volgen van vaktechnische opleidingen en soft skills-trainingen.Young RSM: Leer collega’s van jouw vestiging en andere vestigingen persoonlijk kennen en doe mee met leuke activiteiten met Young RSM.DIT ZIJN WIJRSM is wereldwijd het zesde netwerk van zelfstandige accountancy- en belastingadviesorganisatie met ruim 800 kantoren in meer dan 120 landen en ruim 57.000 professionals. Met 650 professionals verdeeld over 8 vestigingen in Nederland staat RSM midden in de maatschappij. De lokale betrokkenheid, gecombineerd met de regionale expertise en het internationale RSM-netwerk maakt RSM tot een uitstekende sparringpartner voor middelgrote organisaties. Daarnaast beschikt RSM over een eigen Vaktechniek- en Opleidingsbureau. Zo zorgen we er voor dat onze medewerkers kwalitatief hoogwaardige dienstverlening kunnen bieden, klanten spiegelen wanneer dat nodig is en altijd oog hebben voor de impact die we als RSM in de maatschappij willen hebben. Meer informatie over werken bij RSM vind je via Wij zijn RSM.HEBBEN WE JE AANDACHT?Spreekt deze functie je aan of wil je gewoon meer informatie? Stuur je vraag via onderstaand Whatsapp nummer of neem contact op met:ContactpersoonSophie LammersTelefoonnr. werk06 - 82 22 62 25ALS JE BIJ ONS SOLLICITEERTOm bij ons te solliciteren vragen wij allerlei informatie, zoals je geboortedatum, opleidingsniveau en werkervaring. Je zet deze gegevens bijvoorbeeld in een sollicitatiebrief of curriculum vitae. Als wij jou niet in dienst nemen, verwijderen wij al deze gegevens uiterlijk vier weken na afloop van de sollicitatieprocedure en bewaren we ze als je wel bij ons in dienst komt. Als we jou niet aannemen, kunnen we je vragen of we je gegevens langer mogen bewaren. Bijvoorbeeld omdat er op een later tijdstip misschien een andere baan voor jou vrij komt. Als je ons toestemming geeft, bewaren we jouw sollicitatiegegevens maximaal een jaar na afloop van de sollicitatieprocedure. Als onderdeel van de sollicitatieprocedure vragen wij, in het kader van onze kernwaarden onafhankelijk en integer, een ‘Verklaring Omtrent het Gedrag’ (VOG)*. De kosten van de VOG worden door ons vergoed. Bewaar daarvoor wel de originele bon. Meer informatie over de VOG kun je vinden op www.rijksoverheid.nl.Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.BEN JE GEÏNTERESSEERD?Solliciteren kun je doen via onderstaande button!Soort dienstverband: FulltimeRooster:DagdienstFlexibele werkurenma-vrOverwerkSecundaire arbeidsvoorwaarden:BedrijfsfeestenBudget voor professionele ontwikkelingCollectieve zorgverzekeringExtra vakantiedagenFietsplanFlexibele werkurenGezondheidsprogrammaKerstpakketKosteloos parkerenLunchkortingMogelijkheid tot promotiePensioenReiskostenvergoedingTelefoon van de zaakVrijdagmiddagborrelWerk vanuit huisWinstdelingSoorten aanvullende vergoedingen:BonusregelingOveruren uitbetaaldVakantiegeldTaal:Nederlands (Vereist)Werklocatie: Fysiek",https://media.glassdoor.com/sql/10476/porsche-squarelogo-1429692927601.png,Oirschot,nan,Porsche Centrum Eindhoven4.5 ★
Gevorderde assistent accountant/ fiscaal adviseur,"Vacature: Assistent Controller(standplaats Oirschot, 40 uur)Welkom bij PGZ, de officiële merkdealer op het gebied van premium mobiliteit in Noord-Brabant en Limburg. Met ruim 160 medewerkers en officiële dealerlocaties voor onder andere Porsche en Bentley hebben wij alles in huis voor liefhebbers van voertuigen in het hogere segment. Per direct zijn wij op zoek naar een Assistent Controller om ons administratieteam te versterken.Wij zoeken een administratieve duizendpoot met de volgende kwaliteiten:Analytisch ijzersterk en oplossingsgerichtEen positieve en proactieve instellingEen kwaliteitsgerichte en stressbestendige werkhoudingEen sociale teamspelerPassie voor het financiële vakEn die in bezit is van:Afgeronde HBO studie in een financiële richtingMinimaal drie jaar ervaring in een gelijksoortige functieUitstekende Excel-vaardighedenErvaring met Autoline is een préEen rijbewijs BJouw verantwoordelijkheden: Overzicht houden over een correcte debiteuren- en crediteurenadministratieControleren van de financiële administratie en verkoopadministratie (planning- en control cyclus) en bewaken van de financiële positie van de organisatieOndersteunen bij periodieke afsluitingen en opstellen jaarrekeningenOpstellen van diverse financiële rapportages periodiek en ad-hoc, voornamelijk in ExcelOverige administratieve werkzaamhedenWat bieden wij?Een afwisselende, uitdagende en belangrijke baan bij PGZ, met als standplaats Oirschot, in een gezellig team en bij een bedrijf waar inzet en mening worden gewaardeerd. Daarbij hoort een passend salaris met goede secundaire arbeidsvoorwaarden.Enthousiast?Ben jij na het lezen van deze vacature overtuigd dat jij onze nieuwe collega bent? Solliciteer dan direct door in ieder geval je CV met motivatie te mailen!Soort dienstverband: FulltimeRooster:Dagdienstma-vrSoorten aanvullende vergoedingen:VakantiegeldMogelijkheid om te reizen/verhuizen:5688 HP Oirschot: kunnen pendelen of van plan zijn te verhuizen voordat het contract ingaat (Vereist)Werklocatie: Fysiek",nan,Lienden,€3K - €4K (Employer est.),Van Blijderveen B.V. financiële & fiscale dienstverleners
