job_titles,job_description,images,locations,salaries,companies
Assembly Worker,"Do you enjoy tinkering with large machines? Do you know everything about putting parts together to form a whole? Great, then a job as an assembly worker at Hitachi in Amsterdam is definitely for you!
what we offer

A good salary between €2600 - €2700 gross p/m
Work in the day shift (7:00 - 15:30)
Gain more skills & experience in the tech field!
Guaranteed full time work
A well organized and clean working environment
Nice and energetic co-workers!
who are you
As an assembly worker, you enjoy working with your hands. You can work well both individually and as part of a team. Furthermore, you meet the following requirements:
You have good knowledge of the Dutch and/or English language
You are in possession of your own transport
You have experience in assembling large vehicles
what will you do
As an assembly worker, you assemble various parts on the excavators. Together with your team, you process the customer's additional requests. Here you can think of the following:
Fitting an additional mirror, window or cargo box
Mechanical work
Various quality checks
where will you work
Medium excavators ranging from 10 to 45 tons are manufactured at Hitachi in Amsterdam. These machines are shipped to places all over Europe. As an assembly worker, you will be a big part of this whole process!
job application
Would you like to start as an assembly worker at Hitachi? Apply now! Any questions? Feel free to contact 020 342 0942, or send an e-mail to tc.techniek@nl.randstad.com.
Uiteraard staat deze vacature open voor iedereen die zich hierin herkent.",https://media.glassdoor.com/sql/3071436/interieurbouwvacature-squarelogo-1580216141763.png,Aalsmeer,€3K - €4K (Employer est.),InterieurbouwVacature5.0 ★
"Quality Control, Agriculture machines","Het bedrijf
For decades, this yacht building company has specialized in making the world’s most luxurious yachts. They produce the most beautiful and luxurious motor yachts that have a maximum length of no less than 120 meters. It is originally a family business and that can still be seen in the way the large custom-built yachts are produced. The team consists of around 500 to 600 skilled workers who work in the workplace every day with great passion and pleasure. They do everything they can to achieve the very best results and they can achieve this with the latest technologies, best materials and intensive training.

De baan
As an assembly worker, you will mainly work in the workplace and within the assembly. It is a very challenging and varied job: every project is different. You will assist in the realization of various pieces of furniture, interior components and sheet material. You will also be involved in furniture repair, maintenance and service of the interior elements. It is important that you can read from drawings and that you are familiar with machine woodworking. You will work on a project from the start until completion. A high sense of responsibility comes in handy within the function. Next to that, it is important that you want to deliver quality work and that you are motivated and eager to learn. The work is very diverse; no workday or project is the same. Inventiveness, thinking in solutions and feeling for quality are important key concepts within the function.

Functie eisen

You live inside the EU;
You are in possession of a European passport;
You have an MBO working and thinking level;
You stand for quality and craftsmanship;
You are familiar with woodworking machines and hand tools;
You have an eye for detail;
You have several years of experience in a similar position (preferred);
You have an orderly and neat work attitude;
You have a motivated work mentality;
You have technical insight (advantage);
You have professional knowledge;
You can read from drawings.

Wij bieden

Working on exclusive craftsmanship in yacht building;
Working in an informal and enthusiastic team;
Varied and challenging work;
A good salary in accordance with the collective labor agreement, age and experience;
Room for professional and personal development.

Reageren
More information about this vacancy is available at mr. Erwin Borghuis on number 0341-437031. Are you interested in this job? Then we would like to receive your personal information, preferably by email: info@interieurbouwvacature.nl",https://media.glassdoor.com/sql/302306/randstad-squarelogo-1560525173615.png,Alblasserdam,€4K (Employer est.),Randstad3.9 ★
Production Worker,"Want to get started as a quality employee? You will be working in a factory where they assemble agricultural machinery. Because Kubota orders and buys new parts for the machines , we are looking for a quality employee who believes it is important that all products meet the safety requirements and quality standards. Do you see yourself in this vacancy? Then please read on.
what we offer

Salary between €2.700,- and - €3.700,-
A great opportunity for a technical tinkerer!
Reachable by public transport
€0.16 per km allowance. Maximum of €16,- per day
Day shift between 07:00 till 15:30
who are you
Quality comes first at Kubota in Alblasserdam! As a quality worker, you have an eye for detail. You work accurately and you have experience in a similar role. Roles such as: quality employee or inspector in a (metal) machine / equipment environment, but also machine construction, construction, mechanical engineering and assembly.
You also have the following points:
You have completed an education in a technical direction;
You are familiar with SAP QC Module, Microsoft and Google platforms such as Gmail, Drive, Documents, and Spreadsheets;
Good command of the Dutch and English language;
You have experience ordering materials in logistics;
You easily recognize deviations in machines and orders;
You have experience working with (geometric measuring) tools and drawings/instructions;
what will you do
As a quality employee you will focus on supplying, producing and sending products in accordance with the correct regulations. You will also perform these activities:
You order tractor parts and process parts and orders that are defective;
you maintain the complaint system;
You prepare and carry out analyzes;
You identify defects and resolve them;
And you will set up PowerPoint presentations about the progress of the inspections;
where will you work
Kubota grows as a business. Since 1890 they have been a manufacturer in the agricultural sector. They make tractors, agricultural machines, earthmoving machines, lawnmowers and engines. In Europe, Kubota has been an established name for over 40 years. Due to their growth, a factory was built in Rotterdam. Tractors are assembled here. Kubota's headquarters are located in Osaka, Japan. Worldwide, 40,000 employees work in more than 110 countries in North America, Europe and Asia.
Our client is a growing international company;
They are a major producer in the agricultural industry;
job application
Interested in this job opening? Don't hesitate to contact us!

Would you like to know more about this vacancy or do you have any other questions?
You can call us on this number 06 57291261. Sending a message is also possible.
Uiteraard staat deze vacature open voor iedereen die zich hierin herkent.",https://media.glassdoor.com/sql/809569/gi-group-squareLogo-1681343190302.png,Oude Meer,€13.71 Per Hour (Employer est.),Gi Group3.8 ★
Assembly worker,"We offer you a full-time job as Production Worker with an hourly wage of €13.71. No experience? No problem for us! If you are motivated to learn, the company will teach you everything.
Are you looking for a job where you can work for a longer period of time and develop yourself as technical Production worker? This position as Production Worker can be yours!

The work activities as a Production Worker will be:

Packaging and quality control of the electronic products;

Assembly of computer / data servers;

Material handling within a production environment;

Testingthe products;

Connecting wires and labeling wires.
Within this company there are multiple departments where you are able to start working. Each department has different activities and responsibilities. The activities will be further explained in our first phonecall.
When you start as Production Worker you will be working from Monday till Friday from 08:
30 - 17:
00 hours.

Functie-eisen:

As a Production Worker we will ask you:

Flexibility to move between various projects and departments;

Speaking and writing in English fluently and able to get a certificate of good conduct (VOG in Dutch);

Available to work for 40 hours per week;

You are able towork with strict processes.

Arbeidsvoorwaarden:

In addition to a pleasant working atmosphere as Production Worker, you also benefit from the following:

A hourly wage of €13,71 per hour;

25 vacation days and 8 extra days off for a good work/life balance;

Pension plan;

Great development opportunities;

The travel allowance is €0,19 per kilometer. This is capped at a maximum of €13,30 per day.﻿

Over de klant:

Our client is an international company based in Oude Meer. The company is specialized in making computer servers and other electronic devices.
If you have any questions about the vacancy, feel free to contact Iman Lazam via iman.lazam@gigroup.com or call to 316-58069734",https://media.glassdoor.com/sql/1076313/wiertz-personeelsdiensten-squarelogo-1475499216185.png,Kessel,nan,Wiertz Company3.0 ★
Assemblagemedewerker,"Wat ga je doen?
Do you want to participate in the construction phase of the coolest projects? We are looking for assembly workers within the event industry. You will be working at the biggest events/festivals in Europe. A super cool opportunity to travel through Europe together with your colleagues!


As an assembly worker you will take care of the construction of halls and demountable buildings. From great events and festivals to international semi-permanent projects. If you have an overdose of discipline and are willing to work hard, you are the right candidate! Together with your team, you ensure that everything goes according to plan. It can happen that the construction is sometimes against you, then you put your shoulders to the wheel together with the team and ensure that it can still be delivered to the client on time. A job full of variety, because you always work at different locations and every project is unique. After a hard day's work, you close together with colleagues and talk about how the day went. Meals and hotel stays are of course reimbursed after a hard day's work.


In addition to using material and tools, you also work with a cherry picker, forklift or crane. If you do not have these certificates, you are prepared to obtain them in the short term.

Wat krijg je?
What can you expect from us?

Direct contract with the client;
A super cool opportunity to travel through Europe; Growth opportunities within the company;
Travel and accommodation costs are reimbursed;
A family business with the best outings;
A super fun team that welcomes you with open arms.

Is assembly employee within the event industry your dream job? Then contact us by phone on +31 (0)773525173 or apply directly via the application button!

Wat kun jij?
What do we expect from you?

Suitable for physically demanding work;
Team spirit and collegiality are very important to you;
You don't mind getting up early and working hard;
Prepared to follow training such as B-VCA, forklift truck and cherry-pick truck;
You have knowledge of the Dutch or English language;
Minimum MBO level 2 and technical insight;You are registered in the Netherlands and have own accommodation;
Driving license B is necessary.",https://media.glassdoor.com/sql/302306/randstad-squarelogo-1560525173615.png,Oosterhout,€13.67 Per Hour (Employer est.),Randstad3.9 ★
Assembly Worker,"Do you like technique a lot and do you like to put things together? Are you the new assembly worker we are looking for? Great!
We are looking for an assembly worker at a fun/growing company in Oosterhout. Do you like repetitive work and are you flexible? Then read this vacancy and apply.
what we offer

€ 13,67 gross per hour
Oosterhout
Working in a small friendly company
day shift: 07:30 - 16:30
40 hours a week
who are you
You feel at home in a production environment and physically demanding work is not a problem for you. You are a real go-getter and you can work in a team and independently.

This is what we expect of you:
command of the English and/or Dutch language
have an eye for detail
technical understanding
Flexible
what will you do
You will be working as an assembly employee in the assembly department. With all kinds of screws and assembly parts you know how to quickly assemble a tow-bar system. The work is repetitive and you get your energy out of it to do as much as possible per day. You will also occasionally help with light packing work, in which you are flexible. The work is mainly done sitting.
assembling towing hooks and towing systems
performing quality checks
packing of tow-bars
repetitive work
where will you work
This company is a producer of detachable tow-bar systems. In Oosterhout they make systems that find their way to many customers within the EU. They supply the automotive industry as well as companies that are also active with tow-bars and tow-bar systems.
a salary of € 13,67 gross per hour
a job in day shift
a pleasant working atmosphere and a job within a growing/young company
travel expenses, 0,19 cent per hour from 10 km one way
opportunities for growth
job application
Got excited? Great! Then apply quickly via the button or contact Marjolein, Tamara or Nikita by phone at 0162-497575. We would like to discuss with you whether this is the right job for you!
Uiteraard staat deze vacature open voor iedereen die zich hierin herkent.",https://media.glassdoor.com/sql/3053496/baanmeesters-squareLogo-1613116428279.png,Zwolle,€2K - €4K (Employer est.),BaanMeesters4.5 ★
Production worker,"Het bedrijf
Looking for a social, informal and no-nonsense company? Then this is the place to be! The technical services company is the expert in providing sustainable solutions in the field of living and working climate. They are not in the top 10 of Dutch installation companies for nothing; they have no fewer than 1,800 experts in house! These experts work extremely hard to sell central heating boilers, heat pumps, solar panels, service subscriptions and ventilation solutions to both the private and business markets. The best? Everything is always well organized within the company. They have the best materials and tools and always provide a nice company structure to work in.

De baan
The company is looking for an assembly worker to join the team. But they are not looking for just any assembly worker, they want someone who has the ability to put a smile on customers’ faces while installing their plumbing.

As an assembly worker within the company, you must be able to crack jokes about leaky pipes and clogged toilets. You should also be able to make your colleagues laugh with your great sense of humor. After all, it is important to keep the atmosphere in the team light-hearted and cheerful. If you also have the ability to complete bathroom assembly without bursting into laughter at the “toilet” humor, then you are our perfect candidate!

So, if you like to laugh, tinker and make customers happy, then this job as an assembly worker is meant for you. Apply now and hopefully you will soon be the team’s funny assembly worker!

Functie eisen

You own and may legally drive a car. No driver’s license? Then we’ll see if you can ride with us to the job;
Do you like engineering? Then you are definitely in the right place here!
The sky is the limit – you want to continuously develop yourself within the wonderful profession;
You enjoy working with hand and machine tools;
You love the big M (not McDonalds, we mean Motivation);
You know the difference between a nail and a screw (hard requirement);
Experience in construction and engineering is not directly required, it does help (and saves in salary). So what do you need? Willingness!
Starters are therefore also invited to respond, we can teach you the work!

Wij bieden

A direct contract with the installation company or a 1st contract through BaanMeesters;
A set of vacation days that you don’t want to use up anyway;
Weekly or 4-weekly pay;
A salary from €2400,- to €3500,- per month;
Brand new company vans to drive;
Working with the finest and most modern machines and materials;
Advancement opportunities, development opportunities, you name it, we got it;
A cozy team that consists of craftmanship ‘geeks’, fighting together for a piece of craftsmanship.

Reageren
More information about this vacancy is available at mr. Erwin Borghuis on number 0341-437030. Are you interested in this job? Then we would like to receive your personal information, preferably by email: info@baanmeesters.nl",https://media.glassdoor.com/sql/302306/randstad-squarelogo-1560525173615.png,Amsterdam,€14.00 Per Hour (Employer est.),Randstad3.9 ★
Production worker,"For an international company, Intralox, in Hoofddorp we are looking for new production workers for the assembly team! You can start on the 1st of May.

Are you looking for a long-term job with the possibility of a contract at Intralox? Then this is the job for you!
what we offer

Opportunity to grow
Working hours from Mon to Fri from 07:30 to 16:00
Salary of € 12,50 gross per hour + € 1,50 extra
Possibility for a contract at Intralox
Travel allowance of € 0,21 cents per kilometer
Working at Hoofddorp
who are you
As a Production worker, it is important that you can stand for a longer period of time. You have good hand-eye coordination and you are detail-oriented. It is no problem for you to lift and carry 20 kilograms. You also meet the following requirements:
You have a good command of the English language;
You have a stable work history;
You have good math and communication skills;
You can work accurately;
You have experience in a production environment.
what will you do
As a Production worker (Assembler) you work with quality products. You will work in an international team in a state-of-the-art production facility.

As an Assembler, you manually build Intralox conveyor belts according to customer orders in a fast-paced, teamwork-oriented environment. You will get ""on-the-job"" training and coaching.
Assembling plastic modules in conveyor belts according to customer orders;
Follow all safety procedures and policies;
Carrying out cleaning work.
where will you work
You will be working as a Production worker in a international company which is a global provider of conveying solutions. The company is world leading in service, technology, accountability and results.
Salary of € 12,50 gross per hour + € 1,50 extra if you work up to 40 hours a week;
Travel allowance of € 0,21 cents per kilometer (up to a maximum of 25 kilometers);
Possibility of a contract with Intralox;
Opportunity to grow;
Nice working atmosphere.
job application
Are you interested in this position as a Production worker and do you meet all the requirements? Then apply quickly and leave a motivation. Then I will contact you as soon as possible to discuss the possibilities!
Uiteraard staat deze vacature open voor iedereen die zich hierin herkent.",https://media.glassdoor.com/sql/1089/adecco-squarelogo-1475077479987.png,Waddinxveen,€14.00 Per Hour (Employer est.),Adecco2.2 ★
Assembly Worker Excavators,"Do you want to be part of the coziest candy adventure in the Netherlands? Concorp in Waddinxveen has a great opportunity for you as a production employee! If you are a hardworking, motivated and passionate candy lover, then look no further, because we need you!
What are you going to do?
At this company, no day is the same. For example, one of your working days will look like this:
You come in and first grab a cup of coffee. The foreman distributes the production work and then everyone gets to work. Your tasks are diverse and varied. Sometimes you have to operate a machine, other times you stand at the assembly line and check the quality of products. Or you work in the warehouse: packing things and preparing them for shipment.
Together with your colleagues you make sure that all jobs are finished by the end of the day. Just make sure to clean up after and the job is done.
This job is a day shift and the working hours are from 07:00 to 15:00.
Waar ga je werken?
You will be working in the best candy factory in the Netherlands! Every day millions of candies race out of this factory. Well known candy brands such as Autodrop and Skittles are produced here.
It is a family business with now two factories in the Netherlands, including in Waddinxveen.
The company has an open and sincere corporate atmosphere. All employees feel connected and enjoy going to work together.
The company is easy to reach by car and by public transport. There is plenty of parking and it is within walking distance from the bus stop!
Wat vragen wij?
We are looking for someone who likes to roll up their sleeves and is not averse to working. And further:
You are precise and can work well independently;
It is important that you have at least basic knowledge of the Dutch and English language, both spoken and written;
That you work neatly and ordered;
That you can work well under high work pressure;
Experience in production work is an advantage.
A diploma is not a requirement for this job! However, it is important that you are able to do physical work.
What do we offer?
We offer you a job within a nice and cozy company. There are also opportunities for growth to other departments. Furthermore, we offer:
A nice gross hourly wage of € 14 excluding irregularity allowance;
Wage increase after 26 weeks;
A good travel allowance from 10 kilometers;
8,33% vacation allowance and 25 vacation days (on full-time basis);
Participation in the pension plan after 8 worked weeks;
Access to the Adecco Academy with more than 150 online trainings and courses to expand your knowledge!
Are you getting excited after reading this vacancy? Then apply today! You can apply until 30 June 2023. Would you like more information first? Then call 010- 201 03 70.
You can apply via the button on the site!",https://media.glassdoor.com/sql/1026144/timing-squarelogo-1436861193862.png,Weert,€13.00 Per Hour (Employer est.),Timing Uitzendbureau3.7 ★
Production employee Bonfait,"Do you have a passion for technics or are you the assembly worker we are looking for? Maybe this job is the perfect fit for you! Keep on reading....

Your job as a technical/assembly worker is to assembly and montage harvesters and excavators on a customer based level.
The machines will be driven to the technical workplace by the logistics employees. You will be working with the excavators. You will montage modifications, wire cables and there are more than 500 options available. A lot to learn!

Your duties also include the following:

Preparing materials, making adjustments together with your teamlead, guiding external firms on the job and keep of the used materials and workingplaces.
Do all the montage- and technical activities on new machines according to guidelines and safety requirements. And you are also responsible for the assembly of excavators, harvesters and cuttingboards.

Are you interested? Call or e-mail me as soon as possible. You can also click the apply button.
a.somedjo@timing.nl | 088-5063045- A challenging work environment where you work at your own assemblystation;

A fulltime position in dayshifts;
Start salary from €13,00 op to €15,00 bruto per hour;
Travelcost compensation € 0,21 up to 40 km;
Possibilities to participate in courses and getting work related certificates;
1 or 2 month training period at the location in Born, after your training you will start in Weert;
An arranged pension fund- LBO+/MBO Level schooled or level of thinking;
Fulltime availability;
Assembly worker or Technical experience is required
You speak the Dutch, English or German language;
You got a drivers licence B;
you have a sense of responsibility;
You can work independently.This company in Weert is not only specialized in storing, processing and transporting cargo, but also transporting overseas, through air and railway. You will contribute at the start of this new location. This offers you chances to grow if you got the ambition for it. On this location the excavators are provided with customer based modifications.

Education : MBO",https://media.glassdoor.com/sql/1026144/timing-squarelogo-1436861193862.png,Denekamp,nan,Timing Uitzendbureau3.7 ★
