job_titles,job_description,images,locations,salaries,companies
Junior Front-end Developer,"Wij zijn op zoek naar een junior Backend Developer bij DDi.Onze DevOps teams genereren code die de verzekeringssector automatiseert. Robots koppelen grote hoeveelheden data aan de juiste dossiers, om verzekeringsprofessionals te ontzorgen. Wil jij één van die DevOps teams joinen op weg naar jouw low-code carrière hoogtepunten?Als onze Junior Backend DeveloperGebruik jij jouw kennis van moderne tooling om code te bouwen en intensief te testen voor onze key proposities: Robotic Process Automation (RPA) en Business Process Management (BPM)Sleutel je aan het backend platform zodat je de verzekeringsprofessionals maximaal kunt ondersteunen.Ondersteun je bij de migratie van BPM naar de cloud.Word je ondersteund en begeleid door ervaren developers die agile werken, de Azure DevOps filosofie omarmen, en jou alles kunnen leren over de tools waar wij mee werken.Onze Tech StackWe ontwikkelen in de bekende talen, maar C# heeft onze voorkeur. Als je een ander ‘dialect’ spreekt ontmoeten we je ook graag!Jouw Specs0-3 jaar ervaring in een backend functieJe kunt goed werken met de volgende talen: C#, C,C++Je wilt nieuwe dingen ontdekken in Azure DevOps of GitHubJe houdt van een goede user story en maakt daar graag werk van.Bonuspunten voor CI/CD ervaring en kennis van API en SQL.Goede beheersing van de Nederlandse taal.Onze specsAls we matchen bieden we je gelijk een vaste job aan.Salaris tussen €2.500 tot €4.000, afhankelijk van je skills en ervaring.Nieuwste gear en interessante projecten voor grote klanten.Reiskostenvergoeding, opleidingsbudget en een individueel trainingsprogramma.We work hard, play hard: naast keihard code kloppen zien, we je ook graag op onze borrels, LAN-party’s en robot rally’s.We zijn flexibel: thuiswerken (of waar dan ook) is zelden een probleem.Zin om bij én met ons te coden?We schatten skills hoger in dan opleiding of achtergrond. We zijn trots op onze ‘all inclusive’ cultuur en hebben de meest uiteenlopende techies rondlopen. Ben jij een code wizard (in spé) die niet terugdeinst voor autonomie of eigenaarschap en graag actief deelneemt aan standups of de tech community? Solliciteer dan via de button hieronder. Of WhatsApp Marin op 06 - 28 55 62 65 voor meer info.Soort dienstverband: Vaste baanSalaris: €2.500,00 - €3.500,00 per maandRooster:ma-vrSecundaire arbeidsvoorwaarden:ReiskostenvergoedingWerk vanuit huisSoorten aanvullende vergoedingen:VakantiegeldTaal:Nederlands (Vereist)Werklocatie: Hybride werken in 2132 CT Hoofddorp",https://media.glassdoor.com/sql/4790107/sneleentaxi-squarelogo-1642065892140.png,Utrecht,€3K - €4K (Employer est.),sneleentaxi
Full-stack developer (junior),"Wie zijn wij?

Sneleentaxi is een innovatieve scale-up die met een slim online boekingsplatform een grote bijdrage levert aan het efficiënter indelen van vervoersstromen. Met een explosieve omzetgroei en een grote, trouwe klantenbase zijn wij inmiddels een gevestigde naam geworden in Nederland. Maar wij willen nog veel groter worden. En daar horen de juiste mensen bij. Klinkt dit je goed in de oren? Lees dan snel verder.
Ambitieus. Efficiënt. Gefocust. Plezier. Dat zijn onze kernwaarden. Wij vinden het belangrijk dat iedereen elke dag een beetje beter wordt en elkaar hierin ondersteunt. De lijntjes tussen de verschillende afdelingen zijn kort en besluiten worden snel gemaakt. Geen ellenlange vergaderingen, maar beslissingen gebaseerd op data en rationaliteit.
Wat ga je doen?

Als Junior Front-end developer krijg je een dynamische functie met veel verantwoordelijkheid. Het is aan jou de kunst om de gebruiksvriendelijkheid, verbeteringen en kwaliteit, waarborging te combineren voor het beste eindresultaat. Je werkt hierin nauw samen met de CTO en je zes gedreven teamgenoten, waarmee je het platform dagelijks verbetert, beheert en onderhoud.

Ons platform bestaat uit een API (.NET 6), een Web App (Angular 15) en een mobiele app voor Chauffeurs (React Native). We werken hierin met een uniek realtime veilingsysteem. Om een ‘ideale veiling’ tot stand te laten komen zetten we machine learning in op ons veilingmodel.
In de rol als Front-end Developer vervul je een sleutelpositie in het development team. Je zal gaan werken aan diverse aspecten op het gebied van product development. Je bent verantwoordelijk voor het ontwikkelen van gebruiksvriendelijke applicaties die de gebruikerservaring verbeteren. Tevens ben je verantwoordelijk voor het ontwikkelen van nieuwe functionaliteiten, het oplossen van problemen en het onderhouden en verbeteren van bestaande applicaties. Je werkt samen met andere ontwikkelteams om producten te bouwen die voldoen aan onze kwaliteitsstandaarden.
Wie ben jij?

Je hebt minimaal 1 jaar werkervaring als Front-end Developer met een Typescript Framework zoals Angular of soortegelijke.
Kennis van SCSS of andere CSS Preprocessors
Je hebt ervaring met onderhouden en verbeteren van bestaande applicaties.
Je beheerst de Nederlandse taal in woord en geschrift.
Je kunt taken prioriteren; je staat met je voeten in de modder, maar kijkt ook vooruit.
Je hebt minimaal een MBO-diploma informatica (of soortgelijk), een hieraan gerelateerde opleiding of je kan aantonen dat je jezelf als autodidact boven de crowd uit hebt weten te steken.
Bonuspunten

Je ervaring hebt met Design tools zoals Figma.
Je bekend bent met Core Web Vitals, Analytics en eventueel SEO.
Je hebt sterke affiniteit met UX/UI.


Wat bieden wij?
Een functie met veel zelfstandigheid binnen een snelgroeiende organisatie.
Een professionele en informele werkomgeving in een modern kantoor.
Een platte organisatiestructuur waarin je rechtstreeks in contact staat met het management.
Ruimte voor eigen initiatieven en ideeën.
Elke week een vrijdagmiddagborrel en regelmatig leuke uitjes.

Reiskostenvergoeding voor woon-werkverkeer (auto of OV).
Ongelimiteerd toegang tot het online platform OpenUp met allerlei middelen om aan je mentale gezondheid te werken.
Een kantoor aan de rand van Utrecht, goed bereikbaar met het ov of de auto.


Wat doen wij?

Wij zijn sneleentaxi BV. We geloven in de kracht van een markt waarin vraag en aanbod perfect op elkaar afgestemd zijn en mobiliteit op zijn efficiëntst is ingericht. Klanten kunnen met sneleentaxi reizen van en naar iedere locatie in Nederland en luchthavens in Duitsland en België. Wij bieden onder meer zakelijk vervoer, zorgvervoer en festivalvervoer aan.

Via ons zelfgebouwde online boekingsplatform kunnen klanten eenvoudig hun taxi boeken. Met een uniek veilingsysteem zorgen we voor een efficiëntere verdeling van taxi's. Wij bieden vervoerders grote hoeveelheden ritten aan en kunnen onze klanten tegen veel lagere tarieven vervoeren dan gebruikelijk is in deze markt. Wij werken onder andere samen met DSW, Mammoet, 9292, ANWB en het Gelredome.
Word je blij van wat je hierboven hebt gelezen en komen jouw interesses en vaardigheden overeen met de werkzaamheden die we omschrijven? Laten we dan met elkaar kennis gaan maken! (Mocht je twijfels hebben, gewoon solliciteren dan kijken we samen hoe ver we komen).",https://media.glassdoor.com/sql/968503/axians-squarelogo-1462861889028.png,Alphen aan den Rijn,€3K - €4K (Employer est.),Axians3.7 ★
Junior front end developer | Amsterdam,"Hoe ziet jouw uitdaging eruit?
Je werkt niet voor, maar met klanten. Je werkt mee aan applicaties voor consumenten en bedrijven, die verschillen in grootte en complexiteit. Je werkt veelal met data vanuit externe systemen;
Als junior developer ga je meewerken aan applicaties die uitblinken in performance en user experience;
Je gaat aan de slag voor bekende en minder bekende bedrijven die graag het verschil willen maken;
Jij bouwt met lef de beste oplossing voor je klant en krijgt de mogelijkheid om aan diverse projecten te werken;
Je krijgt de kans om op vele terreinen vaardigheden te ontwikkelen;
Denk jij dat iets beter kan of moet? Heb je daarvoor behoefte aan een andere techniek? Er staat je niets in de weg om impact te maken op ons applicatielandschap. Je bent een oprechte vernieuwer, die de randen van de technologie opzoekt.
Wat vragen wij van jou?
We zijn op zoek naar een junior developer die
Een kick krijgt van het meewerken aan uitdagende projecten;
Niet terugdeinst voor soms nadenken over complexe zaken;
De drive heeft om onderhoudbare en nette code te (leren) maken;
Graag slimme dingen bedenkt waar de eindgebruikers blij van worden;
Goed kan communiceren, je werkt nauw samen met onze product owner en de klant;
Over een relevante, afgeronde HBO opleiding beschikt;
Ongeveer een jaar relevante werkervaring heeft;
Al wat ervaring heeft met frameworks zoals React en/of Angular;
Goede kennis in woord en geschrift van de Nederlandse taal.
Wat bieden wij jou?
Bij Axians werk je in een lokaal, hecht team en profiteer je van de voordelen van werken in een grote internationale organisatie; we vinden jouw persoonlijke ontwikkeling erg belangrijk en bieden hier volop mogelijkheden voor. Werken bij ons betekent verder:
Werken in een klein team met betrokken collega’s en veel gezelligheid zoals onze gezamenlijke lunches;
Een afwisselende rol binnen ons team die ook parttime is in te vullen;
Onderdeel van een grote internationale organisatie met veel doorgroeimogelijkheden;
Een goed salaris, afhankelijk van ervaring €2800 - €3500 en winstdeling;
Leaseauto of mobiliteitsbudget;
Pensioenopbouw 100% premiebetaling door Axians;
Laptop en telefoon;
25 vakantiedagen en de mogelijkheid om extra dagen op te bouwen.
8 studiedagen per jaar;
Onderdeel van een grote, internationale organisatie met veel doorgroeimogelijkheden;
Opleidingsmogelijkheden aan onze Academy;
Aantrekkelijk aandelen spaarprogramma vanuit ons moederbedrijf VINCI;
Een goede werk-privébalans, waarbij je hybride kan werken: op ons kantoor in Alphen aan den Rijn, soms bij de klant, of thuis (met een fijne thuiswerkplek die wij voor je regelen) en een thuiswerkvergoeding.
Wat als ik deze baan graag wil?
We nodigen je graag uit om te solliciteren via de sollicitatiebutton boven in. Wil je eerst meer informatie? Neem dan contact op met Bart Evers, business unit manager (06 25056360) of Lars Noorlander, teamlead (+31 172 785 464).

Goed om te weten: kom je bij ons in dienst, dan vragen we je om een Verklaring Omtrent Gedrag (VOG) te overleggen.

Acquisitie wordt niet op prijs gesteld!",https://media.glassdoor.com/sql/7516791/haystack-people-squarelogo-1661245068893.png,Netherlands,€3K - €4K (Employer est.),Haystack People
Junior Front-end Developer,"Bedrijfsprofiel
Onze klant is een fullservice digital agency die vraagstukken vertaalt naar softwareoplossingen. De focus ligt op het ontwikkelen van web en mobiele applicaties en zij werken met de nieuwste technologieën.
Functie omschrijving
Het kantoor zit in Amsterdam waarbij de woensdag en vrijdag de kantoordagen zijn.
Je zult betrokken zijn bij het ontwikkelen van realtime webapplicaties gebaseerd op React en ons eigen framework.
Je zult werken met API's die op Django en Python gebouwd zijn.
Je zult werken aan de verbetering van realtime websocket integratie en WebRTC implementatie voor video- en audio-oproepen.
Je zult samenwerken met ons team van developers om onze producten te verbeteren en nieuwe features toe te voegen.
Functie eisen
Je hebt een opleiding in de IT of bent hobbymatig bezig met programmeren.
Je hebt ervaring met React, HTML en CSS en bent geïnteresseerd in het werken met NextJS of Astro.
Je bent gemotiveerd om je te verdiepen in de nieuwste technologieën en je vaardigheden te verbeteren.
Je bent communicatief vaardig, nauwkeurig en werkt graag in teamverband.
Arbeidsvoorwaarden
Het salaris ligt tussen de €2500 en €3500.
Klinkt dit als de juiste startersfunctie voor jou?
Bel dan naar +31620293364 of l.verweij@haystackpeople.nl",https://media.glassdoor.com/sql/3547498/social-brothers-squarelogo-1629701739563.png,Utrecht,€2K - €3K (Employer est.),Social Brothers1.0 ★
Junior Full Stack Developer,"Wij zijn op zoek naar een Junior Front-end Developer met skills. Gaat jouw hart sneller kloppen van het ontwikkelen van websites en heb je oog voor detail? Heb jij 0 tot 4 jaar werkervaring en leef je voor de code? Schrik je niet van een custom ontwikkeld WordPress omgeving en wil je graag meewerken aan snelle en gebruiksvriendelijke websites?Maak kennis, stuur jouw sollicitatie op en dan nodigen wij je graag uit voor een kop versgemalen koffie (of thee).Wie zoeken wij:Developer met MBO of HBO -opleiding op het gebied van website ontwikkelingKennis van HTML5, CSS3, Javascript, jQuery, PHP en BootstrapErvaring met development via GIT, SASS en Javascript (ES6 en typescript)Je hebt zeker 2 websites gebouwd als Front-ed developer waar je bijzonder trots op bentKennis van Webpack, deployments, Bitbucket, Woocommerce en Pipelines is een preJe kent Stackoverflow en maakt daar dankbaar gebruik vanEen voorliefde voor nette en gestructureerde codeJe vertaalt een technisch vraagstuk perfect naar een werkende oplossingCommunicatief vaardigOp zoek naar een baan met zelfstandigheidEnthousiastTeamspelerErvaring met WordPress is een vereiste.Wie zijn wij:Social Brothers is opgericht in 2011 en is een Digital Agency, gespecialiseerd in het bouwen van websites, applicaties en data gedreven marketing campagnes vanuit onze kantoren in Utrecht en Rotterdam. Met inmiddels meer dan 50 collega’s, onder wie designers, developers en marketeers, werken wij dagelijks aan toffe projecten.Zo werken voor verschillende opdrachtgevers in verschillende segmenten en markten. Opdrachtgevers waar Social Brothers op dit moment voor werkt, zijn: Rode Kruis, Dr. Veggie, Human Total Care, Piet Boon, Port of Rotterdam en andere. Deze opdrachtgevers verschillen in doelstelling (van beleving tot conversie) of aantal bezoekers (van 10.000 tot 1 miljoen per maand). De opdrachten die we uitvoeren voor deze opdrachtgevers lopen uiteen van het ontwikkelen van een website tot het volledig verzorgen van de marketing activiteiten.Het Front-end WordPressteam:Een team van twaalf gedreven en ambitieuze developers, dat is wat ons WordPressteam kenmerkt. We hebben allemaal onze eigen kwaliteiten en daarmee kunnen wij in verschillende projectgroepen werken aan de mooiste opdrachten. Juist omdat we zo verschillend zijn en kennis hebben van verschillende dingen, is samenwerken en kennisdelen belangrijk. Dit doen wij wekelijks in kennisdelingssessies en tijdens het werk, maar ook op de donderdagavond, waar we, onder het genot van een pizza en veel gezelligheid, momenteel leren hoe Svelte werkt.Wat mag je van ons verwachten:Als Junior Front-end Developer bieden wij jou bij Social Brothers:een salaris tussen de € 2.000,- en € 2.600,- bruto per maand, gebaseerd op jouw kennis en werkervaring;reiskostenvergoeding op basis van € 0,19 per kilometer;goede secundaire arbeidsvoorwaarden zoals een laptop van de zaak, een vrijdagmiddagborrel, mogelijkheid om op donderdag te bootcampen, een weekendje weg en nog meer evenementen;een ambitieus en hecht team van veertien developers;een organisatie met 50 enthousiaste professionals die klaar is voor gave projecten;de ideale omgeving om jezelf te blijven ontwikkelen, niet alleen op het gebied van development, maar ook op het gebied van professionaliteit en communicatie eneen fijne combinatie tussen zelfstandig en in teamverband werken.Denk jij dat je past binnen het team en wil je graag verder ontwikkelen als Junior Front-end Developer? Solliciteer dan nu!Soort dienstverband: Fulltime, Vaste baanSalaris: €2.000,00 - €2.600,00 per maandRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenBedrijfsfitnessBudget voor professionele ontwikkelingDienstreizen vergoedingFietsplanKerstpakketLunchkortingMogelijkheid tot promotiePensioenReiskostenvergoedingTelefoonplanVrijdagmiddagborrelSoorten aanvullende vergoedingen:BonusregelingVakantiegeldWerklocatie: Fysiek",nan,Utrecht,€35K - €50K (Employer est.),Amigos App
(Junior) Web Developer,"No worries, we zullen je niet vragen waar je al die tijd was. Dat horen wij namelijk ook altijd over onze apps zoals Amigos. En dat is precies wat wij graag horen. Bij Dutch Concepts gaan we heel lekker op reacties zoals 'waarom heeft niemand dit eerder bedacht'.Het is dan ook onze 'purpose' om het leven van onze gebruikers leuker, gezelliger en vooral ook simpeler maken. Je kent ons misschien wel van 'Spontane Gezelligheid' via de Amigos app. En zo niet, dan heb je ons nu 'eindelijk' gevonden. It's about damn time! Ben jij een baas in development en ook nog ondernemend? Wil jij 'skin in de game' bij een snelgroeiende startup en naast meebouwen ook mee profiteren van succes? Dat kan!Als Junior Fullstack Developer bij Amigos;Word jij gewaardeerd om wat je kan. Wil jij in een enthousiast team van Developers werken? Ons team van 6 developers staat te springen om met je samen te werken. Om succesvol te kunnen zijn bij ons komt brede ervaring binnen onze stack goed van pas; zoals met Node.js. Wij bouwen onze app volledig zelf. Jij gedijt dus goed in een omgeving waar je nieuwe dingen mag bouwen en waar geen legacy code is. Van jou verwachten we dat je meebouwt aan nieuwe features op onze backlog. Als Fullstacker bouw jij ook aan onze interfaces. Met het team zorg jij ervoor dat deze naast responsive ook aantrekkelijk zijn met oog voor UX/UI. Jij werkt graag in een omgeving waar je dezelfde dag resultaat ziet van je werk. Met jouw clean coding principles kunnen we explosief en veilig groeien met onze Amigos app. Klaar om Europa te veroveren!Wij zijn letterlijk aan het bouwen, op de Roadmap staan bijvoorbeeld projecten als; Partnerships, advertentiebeheer, activity fees, Premium memberships, etc. Met jou erbij worden we niet meer verrast als we ineens groeien naar een half miljoen gebruikers #truestory. Uit ervaring blijkt namelijk dat onze apps als een lopend vuurtje gaan als ze opgepikt worden door de media en de mainstream. Denk, bouw en profiteer je mee?Check, check, dubbelcheck;Zelfstarter, proactief en een inspiratiebron voor andere developers.Gewend of gemotiveerd om in een startup of scaleup te werken en/of ervaring met eigen apps bouwen: show us that Github.1+ jaar met hobbyprojecten (the more the merrier), voornamelijk met Node gecombineerd met Typescript, Vue, React of Javascript.Bonuspunten: ervaring met GraphQL, GIT, Scrum, architectuur, Security, AWS, Elasticsearch en Serverless.GEZELLIG.Wat schuift het?Een goed salaris (beloofd) & skin in the game; je bouwt vanaf het begin aandelen op.25 betaalde vakantiedagen + 8% vakantiegeld.Een informele werksfeer met veel ruimte voor eigen inbreng.Wij werken het liefst op kantoor om makkelijk te sparren, lachen en dagelijks lekker (& pittig) te lunchen #sriracha (liever hybrid? Laat het weten).Mooi kantoor net achter de Wittevrouwensingel met een chille werkplek en gear naar keuze.Met een vrijdagmiddagborrel luiden we gezamenlijk het weekend in!Eindelijk! Je bent er!Even bellen, koppie koffie of mee borrelen? Gezellig! Laat ons weten waarom je een match ziet (dat mag in een paar zinnen ipv 2 A4tjes, graag zelfs) en dan prikken we een datum. Contact Laura via meebouwen@amigosapp.nl. Ook als je op zoek bent naar een (afstudeer)stage!Soort dienstverband: Fulltime, Vaste baanSalaris: €35.000,00 - €50.000,00 per jaarRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:AandelenoptiesBudget voor professionele ontwikkelingVrijdagmiddagborrelSoorten aanvullende vergoedingen:VakantiegeldErvaring:Node.js: 3 jaar (Vereist)Taal:Nederlanders (Vereist)Werklocatie: Fysiek",https://media.glassdoor.com/sql/4660600/netpoint-group-squarelogo-1628084541869.png,Waalwijk,nan,Netpoint Facilities1.0 ★
Junior WordPress developer,"Wat voor onze klanten onmogelijk lijkt, maak jij mogelijk. Want jouw webapplicaties zorgen ervoor dat tandartsen, orthodontisten en universiteiten zich kunnen richten op hun patiënten. En daarbij realiseer je niet alleen het technische aspect, want je denkt ook mee over de vormgeving. Die verantwoordelijkheid is jou wel toevertrouwd. Als trotse IT-nerd. Als lid van een enthousiast web development-team. Als tikje perfectionistische slimmerik. Als Web Developer bij Netpoint dus.

Wat verwachten wij van jou als (Junior) Web Developer?
Goede kennis van de web basics; HTML, CSS, JavaScript, PHP, MySQL / MSSQL en CMS-systemen.
Gezond verstand om mee te denken op creatief en technisch niveau zodat wij voorop kunnen blijven lopen.
Je bent zelfstandig, zorgvuldig en je realiseert je dat het oog ook wat wil.
Je denkt mee over de veiligheid en performance van onze applicaties.
Je bent een kei in het organiseren van je eigen werk, hebt ambitie en wilt altijd beter worden in je vak; je volgt de ontwikkelingen in de wereld van web op de voet.
Het bedenken van een technische oplossingen en deze vertalen naar een gebruiksvriendelijke webapplicatie geeft jou vleugels.
Ervaring
MBO/HBO werk- en denkniveau.
Minimaal 1 jaar gewerkt als webdeveloper waarbij je ervaring hebt opgedaan met bovengenoemde webtalen en systemen.
Ervaring met Laravel, CodeIgniter, AngularJS, jQuery en Adobe Photoshop maakt ons gelukkig!
Wat kun je van ons verwachten?
Ontwikkel- en groeimogelijkheden, zowel persoonlijk als in salaris;
Het aantal uren voor deze vacature is 40 uur per week;
Om te beginnen een bepaaldetijdscontract dat – als we allebei tevreden zijn - kan worden omgezet naar een vast contract;
Een informele sfeer in een ambitieus en enthousiast team;
Een leuke baan met gezonde afwisseling in je werkzaamheden;
Tot 28 verlofdagen.

Een verklaring omtrent gedrag (VOG) is standaard in onze selectieprocedure.

Voldoe jij aan bovengenoemde gevraagde criteria en heb je interesse?
Laat je gegevens dan achter via de knop onderaan deze pagina en we laten je binnen 2 weken zeker iets weten.
Wil je meer informatie over deze vacature? Stuur dan een e-mail aan werkenbij@netpoint.nl ter attentie van Tim Winkelmolen.
Wij stellen het op prijs als bedrijven/bureaus ervan afzien om naar aanleiding van deze advertentie ongevraagd hun CV’s of diensten aan te bieden. CV’s die ongevraagd worden aangeboden zien wij als een directe en persoonlijke sollicitatie. Algemene voorwaarden die worden meegestuurd verklaren wij nietig.",nan,Utrecht,nan,STUURLUI
Vacature junior back-end developer/ applicatie- ontwikkelaar,"32-40 uur
Vanwege groei zoeken wij een enthousiaste en ambitieuze Jr. WordPress developer. Je bent net afgestudeerd (GLU, CMD of vergelijkbare opleiding) of je bent klaar om een carrièreswitch te maken en je wil aan de slag bij een leuk bureau om je skills verder te ontwikkelen. Je hebt al wel ervaring met WordPress (als gebruiker, designer of developer) en je wil de komende jaren alle ins- en outs van WordPress leren.

Wij zijn Stuurlui. Een fullservice WordPress bureau in Utrecht. Wij ontwerpen, bouwen en onderhouden maatwerk WordPress websites. Stuurlui bestaat uit een ervaren team van 34 bemanningsleden. We zijn klein genoeg om snel te schakelen en persoonlijk contact te hebben en groot genoeg om specialisten op ieder gebied in huis te hebben.
Jouw werk

Het eerste jaar zul je voornamelijk aan de slag gaan met ons zelfgebouwde WordPress thema dat we inzetten voor kleinere ‘standaard’ websites. Je gaat klanten adviseren over de inrichting, maatwerk code toevoegen (HTML, CSS, PHP), gebruikerstrainingen geven en support tickets oplossen. Je leert in sneltreinvaart alles wat er komt kijken bij het ontwikkelen van websites voor klanten.

Na een jaar krijg je de keuze: wil je je verder specialiseren in development? Dan kun je doorstromen naar de functie van developer. Heb je toch andere ambities? Dan hebben we ook voldoende andere doorgroeimogelijkheden bij Stuurlui.

In het eerste jaar ga je WordPress websites bouwen met behulp van ons zelfontwikkelde basis thema waar je o.a., onder begeleiding van een ervaren developer, maatwerk design en functies gaat toevoegen;
Je geeft WordPress advies en gebruikerstrainingen aan klanten;
Je lost support tickets op;
Je volgt onder werktijd trainingen.
Goed om te weten
Stuurlui bestaat uit een ervaren team van 34 bemanningsleden;
De gemiddelde leeftijd van ons team is 30.6 jaar;
We investeren graag in jouw persoonlijke ontwikkeling;
Bootcamp, festivals, game nights, borrels, hardlopen, padel, squash, familiedag, kerstdiner, skitrip, weekendje weg…. Er is altijd wel wat te doen!;
We geven je veel vrijheid en verantwoordelijkheid om de beste resultaten te behalen en nieuwe dingen te leren;
Je bent een belangrijk onderdeel van een platte organisatie, naar je ideeën wordt niet alleen geluisterd, er wordt ook echt iets mee gedaan;
Is dit niet de laatste functie in je carrière? Wij bieden veel doorgroeimogelijkheden binnen Stuurlui;
Hard werken hoort erbij. Overwerken niet.
Secundaire arbeidsvoorwaarden
De mogelijkheid om hybride te werken;
Flexibele werkuren / rooster;
Elke maand een ‘Alle Hens Aan Dek’ dag met al je collega’s;
Je eigen Macbook;
We doen aan pensioen en verzekeringen enzo;
Reiskostenvergoeding voor auto en/of OV;
Mogelijkheid tot het volgen van opleidingen tbv persoonlijke ontwikkeling;
Gratis sporten bij BASE GYM op Campus Werkspoor;
Lunchen met korting bij BASECAMP op Campus Werkspoor.
Ben je benieuwd of Stuurlui het bureau is voor jou?
Bekijk onze Stack. Dit zijn de tools die wij inzetten om (interne) processen te stroomlijnen.
Bekijk of jij je herkent in de kernwaarden van Stuurlui

Interesse?

Solliciteer dan nu en stuur je C.V. en een korte motivatie aan werkenbij@stuurlui.nl t.a.v. Regien Vleems.

Je gegevens worden verwerkt volgens onze privacy statement.

Freelancers en recruiters zoeken we niet!
Regien Vleems
Lead Projectmanager, HR, Sales
Heb je een vraag over deze vacature?
030 227 4000
Ahoy@stuurlui.nl",https://media.glassdoor.com/sql/2993960/avancé-interactive-communication-squarelogo-1638963829515.png,Zutphen,nan,Avancé interactive Communication
Bijbaan Junior Datawarehouse & BI Developer,"Ben jij de gedreven back-end developer die onderdeel wil worden van ons ‘winning team’? Vind je het een uitdaging om processen slimmer, efficiënter en sneller te maken en ben je altijd op zoek naar de best passende oplossing? Wil je werken aan gave softwareprojecten en ben je initiatiefrijk en nieuwsgierig en volg je de nieuwe ontwikkelingen op de voet?
Kom dan voor je eindstage, afstuderen of eerste baan bij ons en wordt onderdeel van ons gezellige, sociale maar ook vakkundig en gedreven ‘winning team’!
Wat ga je doen als back-end developer?

Als back-end Developer werk je aan de ‘achterkant’ van een website of applicatie. Je ontwikkelt de technische oplossingen op maat die nodig zijn voor een website, webshop en/of applicatie. Dit doe je in overleg met de front-end developers.
Je bent de technische vertaling van dat wat een front-ender bedacht heeft en weet hoe je back-end omgevingen efficiënt en veilig opzet. Je hebt kennis van objectgeoriënteerd programmeren en bent bekend met de populaire frameworks zoals Laravel. Je weet je weg met grote hoeveelheden data en weet dit logisch te structureren.
Je hebt passie voor software en jouw liefde voor back-end gaat dan ook verder dan een paar talen.

Hoe zit de dag van een back-end developer er uit?
Overleggen met je collega’s (developers) over het ontwikkelen van een systeem of toepassing
Aandragen van en bijdragen aan creatieve ICT oplossingen
Functionele wensen omzetten naar technische oplossingen
Een SQL database maken en deze efficiënt inrichten
Bedenken, programmeren, testen en implementeren van nieuwe back-end (deel)toepassingen voor websites, webshops en applicaties
Testen en verbeteren van al bestaande back-end toepassingen
Wat bieden wij?

Een leuke, uitdagende stage / eerste baan met veel mogelijkheden in een enthousiast team. Een verantwoordelijke, zelfstandige functie met alle ruimte voor persoonlijke en vakinhoudelijke groei.

Wij bieden je de ondersteuning en kennis om jezelf door te ontwikkelen in dat waar jij goed in bent en waar jij dan ook nog eens blij van wordt.
Wil jij onze nieuwe junior back-end developer worden?

Bekijk ook eens onze website www.avnc.nl en neem contact met mij op via irene@avnc.nl",https://media.glassdoor.com/sql/2419534/hoppenbrouwers-techniek-squarelogo-1630391095958.png,Udenhout,nan,Hoppenbrouwers3.8 ★
Junior C#/.NET Developer,"Voel jij je thuis in de wereld van data en houd je van een uitdaging? Dan zijn wij op zoek naar jou!

Als Junior Datawarehouse & BI Developer bij Hoppenbrouwers ontwikkel en onderhoud je onze datawarehouse-omgeving. Je zult werken met SQL en geavanceerde tools zoals Qlik Sense en TimeXtender. Jouw taak is om data te transformeren in waardevolle inzichten door het ontwerpen van interactieve dashboards. In deze rol draag je bij aan het verbeteren van de datakwaliteit en data-integriteit.

Bij Hoppenbrouwers werken we met passie aan projecten die er echt toe doen. Techniek is onze kracht. Daarom zoeken we jou, een leergierige en gedreven student, om ons team te versterken als Junior Datawarehouse & BI Developer. Daarnaast beschik je over:


Je volgt momenteel een studie in de richting van Data Science, Informatie Technologie, Computer Science of een gerelateerd veld • Je hebt basiskennis van SQL en ervaring met Qlik Sense en TimeXtender is een pre • Je hebt een sterk analytisch vermogen en aandacht voor detail • Je bent in staat om goed te communiceren in zowel Nederlands als Engels

",https://media.glassdoor.com/sql/2979289/nedfinity-squarelogo-1640257642741.png,Zwolle,nan,Nedfinity
