job_titles,job_description,images,locations,salaries,companies
Assistent Transportplanner,"Heb jij:

Meerdere jaren ervaring binnen wegtransport;
Een goede beheersing van de Nederlandse en Engelse taal;
Een stressbestendige instelling;
Kan je goed communiceren met chauffeurs.

Wil jij?

Een dynamische functie met veel verschillende werkzaamheden;
Werken binnen een super gezond familiebedrijf binnen de Transport & Logistiek;
Werken in een gemotiveerd en gezellig team;
Werken binnen een organisatie waar ontwikkeling van het personeel voorop staat.

Lees dan snel verder!

De uitdaging:
Je bent verantwoordelijk voor de planning van de vrachtwagens met behulp van software systemen. Je maakt een efficiënte rittenplanning waarbij je rekening houdt met de behoeftes van de klant. De snelste routes breng je in kaart binnen Europa en houdt rekening. Bij het inplannen van de ritten hou je rekening met allerlei factoren, als bijv. mogelijke vertragingen, timeslots en een optimale service richting de klant. Verder stuur je een X aantal chauffeurs aan en moet je kunnen om gaan met een ‘nee’ en om die reden kunnen overtuigen. Jouw werkzaamheden bestaan onder andere uit:

Het verzorgen van een zo’n optimale route planning;
Het aansturen van chauffeurs;
Routes plannen aan de hand van de laadcapaciteiten en beschikbaar materieel;
Het analyseren van de huidige routes en aanpassen waar nodig;
Het oplossen van problemen tijdens het transport.

Waar ga je op de koffie?
Onze opdrachtgever is een toonaangevend transportbedrijf met vestigingen in heel Europa. Het bedrijf verzorgt onder andere internationaal transport, distributie en supply chain solutions. Je komt terecht in een moderne organisatie, een modern wagenpark en met een gemotiveerd en hecht team. Het bedrijf heeft diverse specialismes, waarin het bedrijf één van de grotere spelers in de markt is. Opleidingsmogelijkheden en ontwikkeling van hun medewerkers ziet de organisatie als ‘’key’’ voor het bedienen van hun klanten en groei van de interne organisatie.

Reageren?
Interesse? Reageer dan snel door je CV in Word, motivatiebrief + een salarisindicatie naar sander.rook@axslogistiek.nl te mailen. Daarnaast kun je ook whatsappen naar 0621320658, bellen naar 076-3036700 of reageren via onderstaande knoppen!

Waarom AXS?
Wij hebben onze kandidaten gevraagd naar 10 positieve punten van AXS

AXS luistert goed naar je wensen en inventariseert je kennis, kunde en ervaring. Daarna krijg je gelijk advies over beschikbare functies;
Als AXS een passende functie voor je heeft, is een gesprek bij deze werkgever gegarandeerd;
95% van de AXS medewerkers vindt een vaste baan;
AXS geeft voordat je bij een werkgever op gesprek gaat een persoonlijke sollicitatietraining;
AXS biedt opleidingsmogelijkheden, hier is een budget voor;
AXS geeft iedere medewerker bovenop zijn salaris één of meerdere bonussen;
AXS onderhandeld voor jou over je startsalarissen wat zorgt voor een zeer marktconform salaris;
Werk je via AXS dan heb je evaluatie-, voortgang-, coaching- en loopbaan gesprekken;
Als de reisafstand een probleem is, biedt AXS een auto van de zaak;
AXS is duidelijk, snel en persoonlijk. Ze zeggen wat ze doen en doen wat ze zeggen.

Locatie: Oud Gastel, Noord-Brabant
Salaris: €2.300 - 3.300
solliciteren Whatsapp",https://media.glassdoor.com/sql/1055724/talentrecruit-squarelogo-1585743739593.png,Oldenzaal,nan,TalentRecruit3.5 ★
Junior Logistics Engineer EMEA,"Jij krijgt het voor elkaar

Als Assistent Transportplanner ben je verantwoordelijk voor:
Het documenteren en controleren van transportopdrachten;
Het aannemen en verwerken van schademeldingen
Het melden van calamiteiten bij de afdelingen customer service en trailer planning;
Het instrueren van de chauffeurs met de benodigde gegevens;
Jouw nieuwe werkgever

Is een internationaal opererende logistiek dienstverlener in de regio Oldenzaal.
Jammer genoeg is dit alles wat we hier en nu met je over de werkgever kunnen delen. Toch kunnen we ons voorstellen dat je meer wilt weten. In dat geval, adviseren we je om contact op te nemen met onze recruiter via 053 - 434 44 77.

Onze checklist

Opleiding:
Min. MBO Niveau 4/HBO afgeronde opleiding, bijvoorbeeld in de richting Logistiek.
Ervaring:
Min. 1 jaar ervaring in een vergelijkbare rol.
Branche ervaring:
Ervaring binnen een transportbedrijf.
Talenkennis:
Goede kennis van de Nederlandse en Engelse taal.
Dit zijn de arbeidsvoorwaarden

Arbeidsvoorwaarden:
Een bruto maandsalaris (afhankelijk van opleiding en ervaring) tussen +/- € 2.900.
Uitstekende secundaire arbeidsvoorwaarden zoals een pensioensopbouw, vakantiedagen en reiskostenvergoeding die we graag toelichten in een persoonlijk gesprek.
Dienstverband:
Het betreft een structurele functie, waarbij je direct in dienst treedt bij de opdrachtgever.
Het gaat om een fulltime functie.
Jouw vak is ons specialisme

Wij zijn TalentRecruit, dé specialist als het gaat om Supply Chain vacatures. Dit doen we met een persoonlijke benadering, heldere afspraken en recruitment op maat. Dankzij ons uitgebreide netwerk en kennis van de branche bemiddelen wij succesvol voor vaste, tijdelijke en interim functies in de regio's Overijssel en Gelderland. Vragen over deze vacature of onze werkwijze? Onze recruiter heeft het antwoord via 053 - 434 44 77.
Nog 1 klik verwijderd
Van jouw nieuwe baan als Assistent Transportplanner. Ben jij enthousiast over de functie en heb je onze checklist afgevinkt? Solliciteer dan nu op de vacature via onderstaande button en misschien drinken we binnenkort een kop koffie met elkaar.",https://media.glassdoor.com/sql/6363/nippon-express-squarelogo-1568366674388.png,Schiphol,nan,Nippon Express3.6 ★
Assistent manager bedrijfsbureau,"Nippon Express is one of top ten largest Global Logistics Service Providers. Originated in Japan. We began working as a logistics provider more than 80 years ago, and our ground transportation business dates back to 1872. With a strong base in Asia we have expanded our presence to the rest of the world. Resulting in a mature coverage in other continents such as America and Europe. Our growth ambition is strong and we aim to serve our customers wherever needed.
The role:
As a Logistics Engineer you are a part of the contract logistics division of Nippon Express EMEA. Your scope is linked to 80 locations in 10 countries with a total footprint of 800.000m2 warehousing space. In this role you will deal with three main topics:
Solution Design - Design processes and warehouse layouts based on a thorough data and cost analysis - as part of requests for quotations of potential customers. Advanced knowledge (and enjoyment in working with data) of Excel and/or other data processing programs is a requirement
Implementation - When a new contract is won it has to be implemented. You will take part in; or lead a multidisciplinary implementation team. This can be teams with both in- or external stakeholders. It is also possible to coordinate implementations with existing customers.
Innovation - We want to test and trial new technologies in the area of automated guided vehicles, co-bots and administrative automation

The tasks associated with these three topics are:
Solution Design
Analyze in- and outgoing flows to determine optimal location for the customer
Process the information and data provided by the customer request and translate into physical processes and required layout in the warehouse
Present the analysis to management of the relevant site
Collect and process costing elements such as labour, investment, IT developments etc.
Support price setting with sales and involved site
Create an attractive proposal for the customer based on the above components
Support in face to face sessions with the customer together with sales and involved site

Implementation
Set-up a project plan and select members to the team of each involved department
Support or coordinate the execution of the project plan
Prepare progress reporting for in- and external stakeholders
Monitor project budget

Innovation
Review existing processes and determine potential for innovation
Map suppliers of relevant technologies who may be suitable as a partner in a pilot project to test the technology in a real-life environment
Select and coordinate the execution of a pilot. Evaluate and share the outcome with the EMEA logistics community

Your profile
Depending on your personal interest, competence or company requirements you will participate in one or more of these topics. We expect a limited requirement of (inter)national travel. As a junior you will always work together with a senior logistics engineer. Experience is not mandatory. You preferably have a master's degree in the field of supply chain / warehouse / logistics management.

Workplace will be Schiphol-Rijk (Amsterdam), Rotterdam or Mönchengladbach (Germany). You need to be eligible to work in the EU.
Your Application
If we sparked your interest, we are looking forward to your application. You can submit your application by filling in the form on the rigth hand side of this page. For more information you can always contact our recruiter Kees-Jan Band via +31 88 5678 399.",nan,Helmond,nan,Giebels Meat Products BV
Junior Customer Service Representative,"We houden je echt geen worst voorGiebels Meat Products B.V. is als familiebedrijf een gespecialiseerde vleesverwerker. We produceren met name vlees-producten met behulp van de coëxtrusie-techniek. Deze producten zijn vacuüm verpakt en buiten de koeling voor langere tijd houdbaar. Wij streven naar product-innovatie en tevens nieuwe producten. Onze afnemers bevinden zich voornamelijk in de Benelux en het Verenigd Koninkrijk.Onze manager bedrijfsbureau is op zoek naar een ervaren assistent. De primaire verantwoordelijkheid voor deze functie is het beheer van de voorraadstromen. Je bent verantwoordelijk voor de juistheid van de voorraad en tevens stuur je alle activiteiten aan die de ingaande en uitgaande als wel de interne voorraadstromen verwezenlijken.We bieden een zeer afwisselende baan met zowel logistieke als administratieve taken.Jouw profielWij zoeken een assistent manager bedrijfsbureau die goed tot zijn recht komt in een dynamische omgeving binnen de voedselindustrie. Het is daarom belangrijk dat jij flexibel, positief ingesteld en doortastend bent. Jij bent in staat om met verschillende mensen binnen de organisatie te communiceren en weet daar waar nodig ook draagkracht te creëren. Werken met informatie, data en cijfers is jou op het lijf geschreven. Met jouw kwaliteiten draag je bij aan het motiveren en ontwikkelen van ons bedrijf. Salarisniveau is afhankelijk van opleiding en relevante werkervaring. Het is een groeifunctie waarbij het salaris mee kan groeienJouw taken.Jouw taken zijn als volgt:Administratieve taken bedrijfsbureauAanmaken en/of afmelden productopdrachtenInvullen rendementsoverzichtenTransportplanningBestellen kruiden en hulpstoffenAannemen en verzenden van vracht, incl. aanmaken papierenVoorraad- en locatiebeheerVerwerken inkomende goederen in ons ERP systeemControle inkomende goederen (hoeveelheid, temperatuur etc.)Aansturen van expeditie medewerkersFunctie eisenMBO4 / HBO werk en denkniveauOpleiding in de logistiek / supply chain is een préErvaring met ExcelGoede kennis van de Nederlandse en Engelse taalErvaring met Exact Globe is een préAcquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteldVoor nadere informatie over deze functie kun je rechtstreeks contact opnemen metPeter de Wit, manager bedrijfsbureau, telefoon: 0492 594002. Wil je even binnenlopen dan staat de koffie altijd klaar.Soort dienstverband: FulltimeRooster:Dagdienstma-vrWerklocatie: Fysiek",https://media.glassdoor.com/sql/4763618/seesing-flex-squarelogo-1636463524230.png,'s-Heerenberg,nan,Seesing Flex
Junior Consultant,"Voor JCL Logistics in 's Heerenberg zijn wij op zoek naar een Junior Customer Service Representative die graag in teamverband werkt.
Junior Customer Service Representative
Over onze opdrachtgever
JCL Logistics vervoert fietsen van allerlei merken over de hele wereld. In 's-Heerenberg zijn twee vestigingen waarbij dagelijks duizenden fietsen worden gemonteerd, opgeslagen en verzonden.
Wat zijn jouw werkzaamheden?
JCL draagt de verantwoordelijkheid voor de Supply Chain van diverse grote fietsenmerken. De Key Account afdeling is het eerste aanspreekpunt voor alle vragen van deze fietsenmerken. Als Junior Customer Service Representative, onderdeel van de Key Account afdeling, ben jij de schakel tussen de afdelingen binnen JCL (van planning tot warehouse en van finance tot customs) om ervoor te zorgen dat zowel jouw klant als JCL tevreden is over de geleverde service en zodat de diverse fietsenmerken graag met jou samenwerken!
Jij legt afspraken en acties goed vast, zodat jij samen met je team weet wat er afgesproken is en KPI's behaald en gecontroleerd kunnen worden.
Wat vragen wij van jou?
Wij zijn op zoek naar iemand wie:
in oplossingen denkt;
van nature klantvriendelijk en dienstverlenend is;
secuur en accuraat te werk gaat;
administratief goed is onderlegd;
de Nederlandse en Engelse taal goed beheerst (mondeling en schriftelijk);
resultaatgericht is, in samenwerking met je team;
minimaal 24 uur per week beschikbaar is verdeeld over 4 dagen.
Wat bieden wij jou?
Wat er geboden wordt:
een veelzijdige baan met veel eigen verantwoordelijkheid en zelfstandigheid;
ontwikkel- en opleidingsmogelijkheden;
reiskostenvergoeding;
een zeer prettige, informele werkomgeving in een dynamisch en innovatief bedrijf.
Heb je interesse of wil je meer weten over deze functie? Neem dan contact op met Ellis via 0544-353739 of stuur jouw sollicitatie naar ellis@seesingflex.nl.",https://media.glassdoor.com/sql/1000383/extra-talent-squareLogo-1683031204307.png,Eindhoven,€3K - €4K (Employer est.),Extra Talent4.3 ★
Junior Recruiter,"Daar sta je dan, pas afgestudeerd en klaar om de wijde wereld in te gaan. Geweldig! Je bent gedreven en gaat een uitdaging niet uit de weg. Je hebt oog voor detail en kan snel schakelen. Kan jij je hierin vinden en wil je dit toepassen in een jong team waar leuke bedrijfsuitjes worden gehouden? Dan ben jij de Junior Consultant die wij zoeken! Lees verder en solliciteer.
Waar ga jij van start?
Jij gaat van start bij Extra Talent, een gezellig, informeel en energiek bedrijf. Extra Talent is een detacheringsbureau dat meer dan 20 jaar actief is op de markt. Wij zijn actief in zes verschillende branches, namelijk: Juridisch, Financieel, Beleid en Overheid, HR Professionals, Supply Chain en Logistiek. Wij zijn te vinden in: Amsterdam, Rotterdam, Eindhoven, Breda en Tiel.
Wat maakt Extra Talent anders dan anderen? Wij onderscheiden ons door middel van onze specialismen. Hiervoor zijn wij op zoek naar nieuwe enthousiaste collega’s die dezelfde passie voort kunnen en willen zetten. Daarnaast vinden wij persoonlijke aandacht erg belangrijk voor onze kandidaten, klanten én collega’s. We gaan in elk gesprek op zoek naar hoe wij, Extra Talent, het verschil kunnen maken. Voel jij je helemaal thuis bij ons? Dan mag jij met alle intensiteit een potje tafeltennissen tegen een van je collega’s. Al met al staat jouw werkgeluk hoog op de ranglijst bij ons.
Wat ga jij uitvoeren?
Als Junior Consultant ga jij actief op zoek naar het juiste talent. Dit doe je met persoonlijke aandacht en door de juiste vragen te stellen. Echter is je doel om de juiste match te maken tussen kandidaat en bedrijf. Dat lees je goed, ook met bedrijven ga jij een relatie opbouwen. Dit doe je door middel van bedrijfsbezoeken en contact te onderhouden. Zo leer je beide partijen persoonlijk kennen en weet je makkelijker de gelijkenissen te vinden.

Na een plaatsing is je werk als Junior Consultant nog niet voorbij. Je mag de pet van bemiddelaar af doen en de pet van jobcoach op doen. Je gaat langs bij jouw kandidaat en klant om te zien hoe de samenwerking verloopt. Loopt het stroef? Dan plan je een evaluatiegesprek in. Weet jij telkens de juiste match te maken? Dan stop jij een mooie bonus in je zak.
Wat neem je van jezelf mee?
Een rijbewijs B heb jij op zak;
Een hbo werk- en denkniveau;
Targets prikkelen je en maken jou fanatiek;
Je maakt makkelijk connecties met mensen;
De Nederlandse taal beheers je uitstekend, zowel in woord als geschrift.
Wat bereiden wij voor?
Een brutosalaris tussen de € 2.800,- en € 4.100,- per maand inclusief bonus, afhankelijk van je ervaring;
Leuke en energieke collega’s;
3 weken een onboardingstraject;
Aandacht voor jouw persoonlijke groei;
Een laptop, telefoon en een eventuele leaseauto;
Op basis van jouw prestaties een mooie bonusregeling.
Positief verrast?
Zie jij jezelf al helemaal zitten als Junior Consultant bij Extra Talent? Neem dan snel contact op met mij, Luna Verhaar. Heb je vragen? Geef mij dan een belletje of stuur een mail naar de contactgegevens op deze pagina. Je mag mij ook whatsappen!",https://media.glassdoor.com/sql/1000383/extra-talent-squareLogo-1683031204307.png,Eindhoven,€2K - €3K (Employer est.),Extra Talent4.3 ★
Gezocht ambitieuze Bachelor / Master ICT junior en trainee posities,"Wij zoeken starters die niet alleen geld willen verdienen, maar vooral willen leren en zich persoonlijk willen ontwikkelen. Iemand die wil groeien en bereid is daarvoor aan de slag te gaan. Jij bent verantwoordelijk voor jouw eigen succes! Als Junior Recruiter werk jij naar jouw doelen en geef jij professionele begeleiding aan zowel jouw kandidaten als jouw opdrachtgevers.
Over Extra Talent
Wij geloven dat iedereen Talent heeft, alleen moet je het juiste Talent op de juiste plek weten te plaatsen. Vandaar dat onze (Junior) Recruiters zich specialiseren in één branche. Hierdoor kennen ze de markt door en door, en weten ze het Talent te vinden en te koppelen aan onze opdrachtgevers. Extra Talent heeft zes verschillende specialisaties; Supply Chain, HR professionals, Juridisch, Financieel, Logistiek en Beleid & Overheid.

Jij zal komen te werken op ons kantoor in Eindhoven!
Ons kantoor in Eindhoven is keigezellig en er heerst een ontspannen sfeer tussen collega’s. Daarbij staan we altijd open voor jouw ideeën en geven jou de ruimte om hiermee aan de slag te gaan. Bij Extra Talent behalen we niet alleen successen, maar we vieren ze ook samen! Zo gaan we gezellig op uitjes en hebben we erg leuke bedrijfsfeesten. Natuurlijk krijg jij wel een individuele bonus, nadat jij je targets hebt gehaald.
Wat ga je doen als Junior Recruiter?
Als Junior Recruiter bekleed je drie verschillende functies in één. Je bent namelijk Accountmanager, Recruiter en Job Coach. Je bent verantwoordelijk voor je eigen klantenbestand en je gaat op zoek naar de juiste kandidaten. Van het schrijven van vacatures en intensief gebruikmaken van social media, tot het binnenhalen van nieuwe klanten: jij gaat het allemaal doen. Ondanks de drukte kan je goed orde houden en zorg je dat de kwaliteit hoog ligt. Doordat je gespecialiseerd bent in één branche, weten de kandidaten en klanten dat ze op je kunnen vertrouwen en bouwen.
Wat zijn jouw kwaliteiten?Je beschikt over hbo werk- en denkniveau;Je bent positief ingesteld en energiek;Stevig in je schoenen sta jij en je weet mensen voor je te winnen;In Eindhoven voel jij je thuis en ben je in het bezit van rijbewijs B.
Ons aanbod
Wij bieden een basissalaris tussen de € 2.400,- en € 3.100,- bruto per maand op fulltime basis inclusief bonus. Dit is uiteraard afhankelijk van je ervaring. Ook krijg je van ons een telefoon, laptop en eventueel een leaseauto. Naast de materiële zaken vinden we het ook belangrijk dat je je thuis voelt en plezier hebt in wat je doet; vandaar dat een vrijmibo en regelmatige personeelsfeestjes er ook bij horen!

Maar is dit dan alles? Nee! Je neemt deel aan diverse trainingen, gericht op sales en recruitment en heb je onbeperkt toegang tot onze online leeromgeving. Zo kun jij jezelf blijven ontwikkelen. Geen ervaring is dus geen probleem! Hoe fijn is dat?
Ben jij enthousiast geworden?
Denk jij onze consultants te kunnen verslaan met een potje tafeltennis of weet je zeker dat jij dé Junior Recruiter bent die ik zoek? Druk dan direct op de sollicitatieknop! Als je meer wilt weten over de vacature, dan kun je mij bereiken op per mail luna.verhaar@extra-talent.nl of per telefoon 06 – 22 13 82 67",https://media.glassdoor.com/sql/4763929/itequals3-squarelogo-1636457092183.png,Utrecht,nan,ITEquals3
Customs Compliance (Entry Level),"Functieomschrijving
junior .Net software developer - Amersfoort - vaste werkplek
junior Java software developer - Amersfoort en Nijkerk en Utrecht
junior DevOps engineer – Amersfoort en Vianen en Utrecht
junior Outsystems software developer – Geldermalsen en Utrecht
junior BI Consultant - Utrecht
junior data analist – Amersfoort en Utrecht
trainee Outsystems software developer – Utrecht en Vianen
junior Supply chain en Logistieke Consultant - Breda en Rotterdam
junior Java software developer – Amersfoort en Utrecht
junior C++ software developer - Amersfoort
junior C# software developer - Utrecht
junior programmeur - Amersfoort en Utrecht en Den Bosch
Bootcamp junior Outsystems software developer - Utrecht
trainee Cloud SQL of Oracle of Postgres DBA - Leerdam – database engineer DevOps en Cloud
trainee Outsystems consultant - Leerdam
trainee Oracle database engineer & Cloud - Utrecht en Amersfoort
ICT Academy Cloud Oracle en SQL database engineer - Leerdam en Utrecht
ICT Academy junior Cloud Engineer – Amersfoort en Utrecht
trainee EPM/CPM Consultant - Amsterdam
trainee fullstack software developer - Utrecht, Amersfoort en Den Bosch
trainee Outsystems low-code modeller - Utrecht
junior trainee SQL database engineer - Amersfoort en Leerdam en Utrecht
ICT Academy junior DevOps Engineer - Den Bosch
ICT Academy technische applicatiebeheerder - Utrecht en Geldermalsen
ICT Academy trainee Cloud DevOps Engineer
Op basis van een uitgebreid trainee programma wordt er gewerkt aan persoonlijke en vakinhoudelijke ontplooiing. Contract meteen rechtstreeks bij onze klant – vast dienstverband.
Functieomschrijving software developer / ontwikkelaar
Als ontwikkelaar werk je mee aan zowel het ontwerp als de realisatie van de systemen.
Afhankelijk van je ervaring wordt je ingezet bij het opstellen van de architectuur, opstellen van ontwerp, vastleggen van requirements, ontwikkelen van web en mobile applicaties of coaching van junior medewerkers.
Goede carrièreplanning. De loopbaan wordt in overleg opgesteld en voortdurende geëvalueerd afhankelijk van persoonlijke voorkeuren en mogelijkheden en wensen van jou als individuele medewerker
Met een eigen opleidingscentrum - veel mogelijkheden tot het volgen van cursussen en het behalen van certificaten. Zeer ruime opleidingsbudget.
Concrete mogelijkheden voor het uitwisselen van kennis en ervaringen met collega's en je als ICT deskundige verder te ontplooien o.a. door middel van werkgroepen, kennismiddagen, bezoeken van seminars en congressen etc. Alles onder werktijd = kantoortijden.
Goede begeleiding door een senior collega. Goede doorgroeimogelijkheden
Omgeving
Java
Oracle database
SQL Server database
XML
Apache
JUnit
Jalopy
Tomcat
Hibernate, Spring, Maven, Patterns, etc.
Scrum / Agile
Cloud technologie o.a. OpenStack
Mango, Maria en andere opensource databases
HTML, Javascript, CSS
REACT
Outsystems
AWS, Azure Cloud Stack
PowerBI
Functie omschrijving junior data analist
Namens onze klant zoeken wij een enthousiaste junior data analist voor uitbreiding van het team binnen een dienstverband bij onze klant.
Als junior data analist wordt je ingewerkt door een senior consultant binnen een project op kantoor.
Je volgt diverse opleidingen en behaalt certificering en gaat vervolgens weer andere trainingen volgen met certificering.
Functieomschrijving
Als data analist wordt je verantwoordelijk voor het ontwikkelen, implementeren en onderhouden van de data, rapportage en ETL-oplossingen.
Tevens ben je verantwoordelijk voor het definiëren en vastleggen van de requirements van de opdrachtgever en overleggen met de opdrachtgever over zijn wensen en eisen.
Hierbij volg je diverse trainingen bij erkende opleidingscentra.
Elke vrijdag heb je structureel overleg met collega’s op kantoor om ervaringen te delen en nieuwe ontwikkelingen, trends en technologieën te bespreken.
Je wordt onderdeel van een enthousiast en deskundig team met ruime ondersteuning vanuit management.
Tevens werk je mee aan diverse vernieuwende projecten op kantoor van jouw werkgever en onderzoek je het gebruik van nieuwe technologieën om te komen tot nieuwe diensten en producten.
Afhankelijk van de basiskennis en ervaring met SSIS, SSRS, SQL Server, Postgres, Mango, TSQL, MS Azure, PowerBI, Qlik, Tableau, wordt je ingewerkt op bestaande en nieuwe projecten.
Tevens ben je medeverantwoordelijk voor het verder ontwikkelen van de bestaande ETL tools en oplossingen.
Ook werk je mee aan het verder inrichten van de BI Cloud omgevingen.
Werkzaamheden vinden plaats op kantoor, thuis of gedurende enkele weken bij de klanten tijdens implementaties, aanpassingen of consultancy opdrachten.
Functieomschrijving EAM Consultant
Deliver EAM solutions to Clients
Provide detailed user and technical training to client staff
Provide guidance on the development of an Enterprise Asset Management process or Industrial Maintenance process
Match software functionality with client business requirements
Assist the integration of the software into the client business processes
Define and specify client customisation requests to software developers
Realize project risk analyses
Attend product functionality briefings and training sessions
Utilise part of working hours for self-study
Maintain general supply chain & maintenance knowledge
Provide relevant input into software development process·
Functieomschrijving Cloud SQL DBA – database engineer
Voor een vast dienstverband bij onze klant zoeken wij een junior SQL DBA.Na een uitgebreide opleiding waarbij je technologieën als MS SQL Server databases, tooling als back-up en recovery, dba werkzaamheden en taken etc. leert, word je ingezet binnen het data center als junior database en Cloud engineer, om kennis en ervaring verder uit te breiden.Je werkt naast een senior collega op het remote beheer centrum (=data center) om opdrachten onder begeleiding uit te voeren.Als SQL DBA ben je verantwoordelijk voor het beheren van de SQL Server databases van diverse klanten evenals het werken in projecten en het installeren en beheren van de Cloud omgevingen.
Werkzaamheden zijn o.a.:
Monitoring van databases
Aanpassen van performance van databases
Tuning van databases
Optimaliseren van SQL queries
Aanpassen van gebruiksrechten en applicatie autorisaties
Maken van back-ups
Inrichten en installeren van databases
Optimaliseren van databases en opschonen van tabellen en gegevens
Oplossen van storingen
Uitvoeren van migratie en upgrade projecten
Adviseren over en inrichten van Cloud omgevingen
Functie-eisen
minimaal afgeronde Master of Bachelor opleiding - bijvoorbeeld: wiskunde, natuurkunde, biologie, kunstmatige intelligentie, biomedische wetenschappen, biometrie, game technology, geographical information systems, scheikunde, bio-informatica, bewegingswetenschappen, aardwetenschappen, communicatie & multimedia design, game development, forensische wetenschappen, meteorologie, toegepaste taalwetenschappen, toegepaste wiskunde, bewegingstechnologie, technische bedrijfskunde, bouwkunde, farmacie, sterrenkunde, astrofysica, astronomie, elektrotechniek, luchtvaarttechnologie, industriële vormgeving, computational Science, actuariële wetenschappen, econometrie, software engineering, lifestyle informatics, human Movement Science, medische natuurwetenschappen, life sciences, mens & techniek, etc.Aantoonbare affiniteit met ICT tijdens de studie, stage, thuis, tutorial of bijbaan zoals Matlab, Mathematica, SPSS, SQL, Python, R, Prolog, Eclipse, Java, PHP, C#, HTML, Javascript, C++.
-relevante stage of studie ervaring - programmeer ervaring of data analyse of ICT beheer, opzetten van een server, inrichten van een webapplicatie omgeving, installeren van computers, programmeren, data analyse etc. is wenselijk
Of Bachelor of Master informatica, computer Science, software engineering e.d.
Promovendus / PhD ook welkom
Overige wensen en eisen
Proactieve houding
Goede beheersing van de Nederlandse én Engelse taal, in woord en geschrift.
Het leuk vinden om kennis te delen met collega's
Het leuk vinden om in een team te werken en ook zelfstandig.
Wil graag meedenken over het aanbrengen van verbeteringen in het werkproces
Wil graag eigen verantwoordelijkheid binnen de werkzaamheden
Beschikt over goede communicatieve vaardigheden
Teamplayer die initiatief toont.
Voor meer informatie en het maken van een afspraak bel 033-2772244
Of solliciteer direct via de sollicitatie button
OF kijk op onze website voor alle vacatures www.itequals3.com",https://media.glassdoor.com/sql/3127375/page-personnel-squarelogo-1583296830992.png,Schiphol,nan,Page Personnel3.7 ★
Supply Chain Assistant,"You like working for an international company|Being the coordinating factor for various business units for a multinational
About Our Client
The client is an agricultural supply chain company that strives to make the food system more resilient and sustainable. One of their main focuses is to reduce the environmental impact and increase the regenerative aspect of agriculture.

Job Description
Execute trade compliance operations activities with supervision, using department procedures and controls to preserve value and mitigate risk.
Validate and coordinate import/export transactional requirements that apply to documents and data.
Work with GTC Team members, Customs brokers, Customs authorities, and other governmental agencies (sanitary, veterinary, phytosanitary etc.)
With supervision, review or prepare documents (invoices, preferential trade documentation and other cross-border documents) to ensure they meet legal and fiscal requirements.
With supervision, execute cross-border clearance, and file import/export declarations with customs and other government agencies using defined procedures.
Manage client interaction and business partnerships to support GTC and implement agreed solutions.
Execute trade activities, maintaining partnerships, to meet global trade compliance goals.
Handle basic issues and problems under direct supervision, while escalating more complex issues to appropriate staff
Other duties as assigned.

The Successful Applicant
Minimum Qualifications
High school diploma, secondary education level or equivalent
Basic experience in customs, logistics, trade compliance or equivalent areas, related to operations and documents management.
Demonstrated client/customer focus role and strong relationship builder.
Other minimum qualifications may apply.

What's on Offer
Competitive salary
Incentive plan
25 vacation days per year
13th month
Flexible working environment
Growth and development opportunities within the company",https://media.glassdoor.com/sql/1838/robert-half-squarelogo-1592327072305.png,Hoofddorp,€3K - €4K (Employer est.),Robert Half3.8 ★
Junior supply chain planner Coevorden,"For an international client specialized in food industries and located in Nieuw Vennep we are looking for an Supply Chain Assistant (m/f/x) 40 hours per week.
General Responsibilities & Tasks
Manage supplies, from the supplier order to the receipt of goods
Ensure the proper receipt of the documents requested at the time of the order (certificates, invoices, documents required for importation, etc.)
Ensure the follow-up of supplier claims (AX)
Propose possible improvements to his hierarchy (minimum stocks, order quantity, supplier evaluation, etc.)
Operate the basic enrichments and define the parameters in the ERP (AX and OPTIMACT) ensuring the correct transmission of the data provided by R&D
Assist the Supply Chain Assistants in their various tasks and mainly the management of customer orders
In case of absence of a colleague, to ensure the main part of his function in order to guarantee the good functioning of the Supply Chain department
To assist his/her hierarchy in carrying out various tasks in order to guarantee the smooth running of the Supply Chain department
Ensure the measurement of supplier performance and communicate the result annually to the Quality Assurance department
Skills, Capabilities, Requirements & Knowledge
HBO/bachelor degree in Supply Chain Management, Logistics, Marketing, Business studies
Previous experience in the food industry is a plus
Entrepreneurial, practical oriented, with strong analytical skills and excellent communicator
Fluent in Dutch, English, Dutch is key!
You have experience in MS Office and SAP
You have strong communication skills
Pro active
Hands on
Offer
Salary between €2700-€3500 per month based on 40 hours
Travel expenses
After approximately 6 months possibility of a permanent contract
Interested?
Are you the an Supply Chain Assistant (m/f/x) we're looking for? And you live in the surroundings of Hoofddorp? Please reply to this position today!
Robert Half Nederland B.V. en Robert Half International B.V. verwerken de gegevens van sollicitanten die nodig zijn om de sollicitatieprocedure uit te voeren. Meer informatie over gegevensbescherming, in het bijzonder over uw rechten, vindt u op https://www.roberthalf.nl/nl/privacyverklaring. Indien u vragen heeft omtrent de verwerking van uw persoonsgegevens kan u steeds contact met ons opnemen via privacy-emea@roberthalf.net.",https://media.glassdoor.com/sql/2548/manpower-squareLogo-1660051189626.png,Coevorden,€3K (Employer est.),Manpower4.2 ★
